序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2007/10/31,萬華,5.0,0.52,-,25.1,31,28,21.0,31.08,8.25,22.82,-,-,-,-,-,25.15,-,83.48,32.0,-
2,臺北市,2007/10/31,士林,0.9,0.3,-,40.3,42,22,10.0,8.75,1.79,6.97,-,-,-,-,-,25.54,-,74.34,39.0,-
3,臺北市,2007/10/31,古亭,4.5,0.6,-,21.5,30,34,22.0,35.87,11.02,24.85,2.049,0.186,1.86,-,-,24.4,-,91.63,34.0,-
4,臺北市,2007/10/31,陽明,1.3,0.19,382.84,45.1,46,5,3.0,2.68,1.54,1.14,-,-,-,-,-,18.61,-,91.06,41.0,-
5,臺北市,2007/10/31,松山,4.4,0.46,390.34,24.3,30,25,21.0,29.97,6.17,23.8,2.01,0.178,1.83,-,-,23.54,-,90.83,33.0,-
6,臺北市,2007/10/31,中山,5.4,0.58,-,25.3,34,26,17.0,31.31,8.47,22.85,2.14,0.196,1.94,-,-,25.58,-,83.91,34.0,-
7,臺北市,2007/10/30,萬華,3.4,0.51,-,25.6,35,32,15.0,28.73,6.16,22.57,-,-,-,-,-,24.42,-,78.22,32.0,-
8,臺北市,2007/10/30,士林,1.6,0.28,-,38.2,42,29,12.0,8.98,1.55,7.43,-,-,-,-,-,24.41,-,71.49,38.0,-
9,臺北市,2007/10/30,古亭,3.2,0.47,-,25.5,33,36,18.0,27.42,7.74,19.68,1.986,0.135,1.85,-,-,23.66,-,86.62,36.0,-
10,臺北市,2007/10/30,陽明,1.0,0.16,382.39,43.0,44,8,7.0,2.63,1.32,1.31,-,-,-,-,-,17.13,-,91.42,37.0,-
11,臺北市,2007/10/30,松山,4.2,0.41,388.12,25.2,35,28,19.0,28.85,5.73,23.11,1.994,0.162,1.83,-,-,22.91,-,85.95,31.0,-
12,臺北市,2007/10/30,中山,2.7,0.57,-,24.5,32,31,20.0,30.74,8.75,21.99,2.13,0.207,1.92,-,-,24.78,-,78.91,31.0,-
13,臺北市,2007/10/29,中山,5.4,0.47,-,26.6,33,41,19.0,29.51,8.38,21.13,2.093,0.192,1.9,-,-,25.75,-,67.58,41.0,-
14,臺北市,2007/10/29,古亭,2.2,0.37,-,30.6,35,44,19.0,20.84,4.99,15.85,1.933,0.1,1.83,-,-,25.01,-,70.97,44.0,-
15,臺北市,2007/10/29,萬華,2.1,0.41,-,32.6,37,39,15.0,19.39,2.98,16.39,-,-,-,-,-,25.61,-,64.14,39.0,-
16,臺北市,2007/10/29,士林,1.6,0.21,-,41.0,45,39,14.0,6.87,1.06,5.83,-,-,-,-,-,24.73,-,63.59,39.0,-
17,臺北市,2007/10/29,松山,2.7,0.35,384.08,31.5,37,41,18.0,22.41,4.33,18.09,1.953,0.133,1.82,-,-,24.5,-,68.35,41.0,-
18,臺北市,2007/10/29,陽明,1.1,0.13,381.11,43.3,45,9,10.0,2.41,1.62,0.79,-,-,-,-,-,16.4,-,92.2,38.0,-
19,臺北市,2007/10/28,陽明,3.4,0.15,381.8,43.1,48,22,13.0,3.64,1.83,1.81,-,-,-,-,-,17.91,-,83.13,41.0,-
20,臺北市,2007/10/28,中山,2.5,0.47,-,25.6,35,42,23.0,27.77,5.77,22.0,2.153,0.181,1.97,-,-,26.58,-,60.39,42.0,-
21,臺北市,2007/10/28,士林,2.0,0.23,-,42.1,47,51,17.0,8.41,0.81,7.62,-,-,-,-,-,25.62,-,56.56,50.0,-
22,臺北市,2007/10/28,松山,4.0,0.42,391.91,23.9,40,40,18.0,27.41,5.45,21.96,2.082,0.172,1.91,-,-,24.7,-,63.31,40.0,-
23,臺北市,2007/10/28,萬華,1.4,0.44,-,34.2,44,41,16.0,20.52,3.01,17.5,-,-,-,-,-,26.67,-,54.02,41.0,-
24,臺北市,2007/10/28,古亭,1.9,0.38,-,31.6,38,41,21.0,21.98,5.35,16.64,1.971,0.1,1.87,-,-,26.03,-,60.44,41.0,-
25,臺北市,2007/10/27,陽明,-,-,-,-,51,-,-,-,-,-,-,-,-,-,-,15.94,-,83.61,43.0,-
26,臺北市,2007/10/27,中山,3.2,0.53,-,30.3,38,51,29.0,31.22,6.44,24.79,2.186,0.205,1.98,-,-,25.05,-,60.67,50.0,-
27,臺北市,2007/10/27,萬華,2.6,0.5,-,33.7,43,52,25.0,24.74,4.02,20.72,-,-,-,-,-,24.54,-,59.6,51.0,-
28,臺北市,2007/10/27,松山,4.4,0.49,391.03,32.3,45,46,25.0,27.99,4.75,23.24,2.12,0.202,1.92,-,-,23.2,-,64.06,46.0,-
29,臺北市,2007/10/27,士林,3.2,0.31,-,43.2,46,52,23.0,12.97,1.99,10.98,-,-,-,-,-,23.52,-,59.78,51.0,-
30,臺北市,2007/10/27,古亭,3.3,0.49,-,28.9,36,51,29.0,29.24,7.9,21.34,2.061,0.138,1.92,-,-,23.82,-,67.0,50.0,-
31,臺北市,2007/10/26,萬華,2.4,0.6,-,30.7,38,52,29.0,24.71,3.44,21.27,-,-,-,-,-,25.22,-,70.36,51.0,-
32,臺北市,2007/10/26,士林,2.6,0.31,-,43.4,50,52,26.0,9.08,1.29,7.8,-,-,-,-,-,24.39,-,67.94,51.0,-
33,臺北市,2007/10/26,松山,2.4,0.43,384.95,35.6,41,50,29.0,18.19,2.67,15.52,1.975,0.128,1.85,-,-,23.75,-,76.43,50.0,-
34,臺北市,2007/10/26,古亭,2.7,0.56,-,27.2,32,60,35.0,29.49,6.4,23.09,2.034,0.156,1.88,-,-,24.34,-,78.89,55.0,-
35,臺北市,2007/10/26,陽明,1.5,0.22,382.55,45.3,54,22,16.0,3.12,1.45,1.67,-,-,-,-,-,16.93,-,90.94,46.0,-
36,臺北市,2007/10/26,中山,2.5,0.67,-,26.7,30,53,35.0,33.29,8.44,24.85,2.175,0.226,1.95,-,-,25.33,-,72.82,52.0,-
37,臺北市,2007/10/25,士林,3.8,0.26,-,31.0,36,37,15.0,11.74,1.93,9.79,-,-,-,-,-,25.99,-,68.08,37.0,-
38,臺北市,2007/10/25,古亭,2.8,0.47,-,22.3,31,47,18.0,28.29,8.48,19.81,1.982,0.14,1.84,-,-,26.51,-,74.62,47.0,-
39,臺北市,2007/10/25,松山,3.8,0.43,385.81,22.4,26,39,17.0,27.44,7.19,20.26,2.041,0.189,1.85,-,-,25.62,-,74.4,39.0,-
40,臺北市,2007/10/25,陽明,1.9,0.12,379.59,36.1,39,17,10.0,3.33,1.77,1.55,-,-,-,-,-,18.54,-,89.76,35.0,-
41,臺北市,2007/10/25,萬華,2.2,0.5,-,22.9,29,36,18.0,27.09,6.67,20.42,-,-,-,-,-,27.15,-,68.04,36.0,-
42,臺北市,2007/10/25,中山,4.5,0.62,-,18.8,25,44,22.0,37.75,13.68,24.07,2.224,0.28,1.94,-,-,27.55,-,69.85,44.0,-
43,臺北市,2007/10/24,士林,3.9,0.2,-,34.0,37,43,16.0,9.57,2.4,7.17,-,-,-,-,-,26.16,-,68.91,43.0,-
44,臺北市,2007/10/24,陽明,1.8,0.11,379.49,38.2,40,13,9.0,3.01,1.53,1.47,-,-,-,-,-,18.38,-,93.48,35.0,-
45,臺北市,2007/10/24,古亭,1.4,0.4,-,26.6,31,40,19.0,22.86,7.31,15.55,1.945,0.111,1.83,-,-,26.71,-,71.62,40.0,-
46,臺北市,2007/10/24,松山,1.9,0.42,383.76,24.9,31,38,17.0,24.58,5.89,18.68,2.027,0.181,1.85,-,-,25.95,-,71.44,38.0,-
47,臺北市,2007/10/24,萬華,2.0,0.46,-,25.3,30,35,17.0,25.01,6.37,18.64,-,-,-,-,-,27.24,-,66.47,35.0,-
48,臺北市,2007/10/24,中山,2.5,0.53,-,21.1,27,44,20.0,30.85,8.53,22.33,2.141,0.212,1.93,-,-,27.14,-,72.11,44.0,-
49,臺北市,2007/10/23,古亭,1.5,0.41,-,28.3,33,40,20.0,24.79,6.64,18.16,1.973,0.126,1.85,-,-,25.84,-,68.24,40.0,-
50,臺北市,2007/10/23,陽明,2.0,0.12,380.42,41.2,43,12,8.0,3.38,1.09,2.29,-,-,-,-,-,17.16,-,-,37.0,-
51,臺北市,2007/10/23,松山,3.3,0.45,389.97,21.1,31,42,17.0,30.31,7.48,22.82,2.096,0.215,1.88,-,-,24.4,-,70.69,42.0,-
52,臺北市,2007/10/23,萬華,3.0,0.43,-,27.8,34,39,18.0,24.07,4.43,19.63,-,-,-,-,-,26.15,-,63.88,39.0,-
53,臺北市,2007/10/23,士林,2.1,0.22,-,37.8,40,39,15.0,9.4,2.3,7.1,-,-,-,-,-,25.25,-,64.35,39.0,-
54,臺北市,2007/10/23,中山,4.1,0.54,-,20.1,25,42,24.0,33.72,8.74,24.98,2.172,0.217,1.96,-,-,26.17,-,68.02,42.0,-
55,臺北市,2007/10/22,中山,4.6,0.55,-,22.0,29,50,23.0,35.38,10.64,24.74,2.191,0.235,1.96,-,-,25.27,-,62.92,50.0,-
56,臺北市,2007/10/22,松山,4.3,0.5,391.5,21.4,35,44,20.0,34.42,10.1,24.32,2.145,0.233,1.91,-,-,23.36,-,65.77,44.0,-
57,臺北市,2007/10/22,古亭,2.4,0.44,-,27.3,34,50,24.0,28.5,8.21,20.29,2.001,0.141,1.86,-,-,24.67,-,63.54,50.0,-
58,臺北市,2007/10/22,士林,6.3,0.24,-,34.2,40,46,19.0,14.14,2.84,11.3,-,-,-,-,-,24.04,-,59.54,46.0,-
59,臺北市,2007/10/22,萬華,4.2,0.47,-,27.4,35,42,22.0,26.14,4.92,21.21,-,-,-,-,-,25.12,-,58.76,42.0,-
60,臺北市,2007/10/22,陽明,2.5,0.14,384.41,40.8,43,24,12.0,2.97,0.76,2.21,-,-,-,-,-,16.32,-,-,37.0,-
61,臺北市,2007/10/21,中山,3.6,0.49,-,26.3,37,64,33.0,31.28,7.09,24.19,2.182,0.2,1.98,-,-,24.45,-,58.64,57.0,-
62,臺北市,2007/10/21,松山,3.9,0.44,388.64,28.9,44,58,28.0,27.15,4.38,22.77,2.071,0.17,1.9,-,-,22.88,-,59.49,54.0,-
63,臺北市,2007/10/21,陽明,2.1,0.19,387.0,45.8,47,38,23.0,2.9,0.72,2.16,-,-,-,-,-,15.22,-,-,41.0,-
64,臺北市,2007/10/21,士林,4.5,0.27,-,42.1,46,59,27.0,10.53,1.41,9.12,-,-,-,-,-,23.05,-,56.68,54.0,-
65,臺北市,2007/10/21,萬華,2.1,0.46,-,34.1,44,53,27.0,20.23,3.1,17.12,-,-,-,-,-,24.16,-,55.3,52.0,-
66,臺北市,2007/10/21,古亭,2.0,0.35,-,35.6,40,57,27.0,17.88,3.79,14.09,1.959,0.076,1.88,-,-,23.63,-,60.73,54.0,-
67,臺北市,2007/10/20,松山,5.1,0.48,388.5,45.1,63,75,42.0,22.53,2.53,19.99,2.051,0.149,1.9,-,-,22.2,-,55.0,62.0,-
