序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
29,臺北市,2016/04/28,大同,3.2,1.35,-,-,76,-,69.13,28.22,40.91,2.433,0.391,2.042,-,-,-,-,-,-,-
30,臺北市,2016/04/28,萬華,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-
31,臺北市,2016/04/28,萬華,2.5,0.58,-,46.5,56,-,23.98,2.61,21.37,-,-,-,2.81,2.51,22.83,-,-,78.36,-
32,臺北市,2016/04/28,陽明,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-
33,臺北市,2016/04/28,陽明,1.1,0.35,424.65,59,24,-,3.55,0.28,3.3,-,-,-,-,-,13.81,3.33,4.31,94.66,44.3
34,臺北市,2016/04/28,士林,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-
35,臺北市,2016/04/28,士林,2.1,0.44,-,48.9,45,-,12.7,1.25,11.44,-,-,-,2.5,2.32,22.35,-,-,76.89,-
36,臺北市,2016/04/27,松山,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-
37,臺北市,2016/04/27,松山,2.3,0.65,427.28,19.9,38,-,33.44,9.67,23.77,2.068,0.214,1.854,1.63,1.14,26.31,-,-,77.93,-
38,臺北市,2016/04/27,古亭,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-
39,臺北市,2016/04/27,古亭,2.8,0.6,-,21,29,-,27.36,5.36,22,2.142,0.229,1.914,1.45,0.94,26.67,-,-,79.23,-
40,臺北市,2016/04/27,中山,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-
41,臺北市,2016/04/27,中山,2.9,0.89,-,17.5,44,-,40.72,16.06,24.67,2.18,0.278,1.901,1.82,0.73,27.07,-,-,81.88,-
42,臺北市,2016/04/27,大同,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-
43,臺北市,2016/04/27,大同,3.6,1.42,-,-,53,-,53.5,26.1,27.41,2.535,0.439,2.097,-,-,-,-,-,-,-
44,臺北市,2016/04/27,萬華,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-
45,臺北市,2016/04/27,萬華,2.5,0.7,-,19.7,39,-,29.69,5.99,23.7,-,-,-,1.66,1.12,27.2,-,-,78.46,-
46,臺北市,2016/04/27,陽明,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-
47,臺北市,2016/04/27,陽明,1.4,0.17,414.58,32.7,11,-,4.64,0.62,3.97,-,-,-,-,-,19.93,9.6,4.71,94.47,22.72
48,臺北市,2016/04/27,士林,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-
49,臺北市,2016/04/27,士林,2.5,0.34,-,23.7,32,-,14.99,2.38,12.61,-,-,-,2.03,1.71,26.23,-,-,78.59,-
50,臺北市,2016/04/26,松山,-,-,-,-,-,-,-,-,-,-,-,-,1.18,-,-,-,-,-,-
51,臺北市,2016/04/26,古亭,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-
52,臺北市,2016/04/26,古亭,3.1,0.65,-,31.4,44,-,27.2,6.16,21.04,2.197,0.228,1.969,1.31,1.06,25.93,-,-,80.91,-
53,臺北市,2016/04/26,中山,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-
54,臺北市,2016/04/26,中山,6.4,0.77,-,33.6,71,-,44.21,10.45,33.77,2.166,0.239,1.926,1.68,1.01,26.65,-,-,82.1,-
55,臺北市,2016/04/26,大同,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-,-,-,-,-
56,臺北市,2016/04/26,大同,6.5,1.33,-,-,74,-,54.77,21.31,33.46,2.508,0.389,2.119,-,-,-,-,-,-,-
57,臺北市,2016/04/26,萬華,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-
58,臺北市,2016/04/26,萬華,5.2,0.74,-,38.2,66,-,32.62,3.95,28.67,-,-,-,1.34,0.89,26.82,-,-,78.61,-
59,臺北市,2016/04/26,陽明,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-
60,臺北市,2016/04/26,陽明,1.9,0.26,421.17,47.4,31,-,6.01,0.61,5.36,-,-,-,-,-,21.01,0,0,94.52,0
61,臺北市,2016/04/26,士林,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-
62,臺北市,2016/04/26,士林,5.9,0.41,-,42.9,54,-,18.65,2.39,16.26,-,-,-,1.58,1.4,26.21,-,-,77.63,-
63,臺北市,2016/04/25,松山,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-
64,臺北市,2016/04/25,松山,-,-,430.44,-,42,-,-,-,-,-,-,-,1.54,1.12,24.58,-,-,82.84,-
65,臺北市,2016/04/25,古亭,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-
66,臺北市,2016/04/25,古亭,4.3,0.54,-,27.6,44,-,26.5,4.83,21.67,2.112,0.166,1.946,1.58,1.16,25.09,-,-,82.81,-
67,臺北市,2016/04/25,中山,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-
68,臺北市,2016/04/25,中山,4.6,0.67,-,24.3,53,-,33.32,7.74,25.58,2.093,0.186,1.906,1.67,1.16,25.4,-,-,86.81,-
69,臺北市,2016/04/25,大同,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-
70,臺北市,2016/04/25,大同,5.4,1.45,-,-,61,-,66.77,33.13,33.64,2.457,0.44,2.017,-,-,-,-,-,-,-
71,臺北市,2016/04/25,萬華,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
72,臺北市,2016/04/25,萬華,4.9,0.6,-,28.4,47,-,30.29,4.52,25.77,-,-,-,1.62,1.19,25.8,-,-,81.51,-
73,臺北市,2016/04/25,陽明,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-
74,臺北市,2016/04/25,陽明,1.4,0.25,419.94,40.5,19,-,5.45,0.57,4.83,-,-,-,-,-,20.01,1,4.66,98.89,13.69
75,臺北市,2016/04/25,士林,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-
76,臺北市,2016/04/25,士林,2.7,0.43,-,31.2,44,-,17.06,2.54,14.51,-,-,-,1.44,1.2,25.28,-,-,80.78,-
77,臺北市,2016/04/24,松山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,臺北市,2016/04/24,古亭,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-
79,臺北市,2016/04/24,古亭,2.5,0.54,-,20.9,34,-,27.19,7.35,19.84,2.139,0.187,1.952,1.38,1.07,25.46,-,-,82.38,-
80,臺北市,2016/04/24,中山,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-
81,臺北市,2016/04/24,中山,2.6,0.69,-,17.5,40,-,34.63,9.05,25.58,2.192,0.218,1.974,1.44,0.88,26.2,-,-,83.79,-
82,臺北市,2016/04/24,大同,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-
83,臺北市,2016/04/24,大同,3.6,1.22,-,-,52,-,60.35,30.67,29.68,2.508,0.362,2.146,-,-,-,-,-,-,-
84,臺北市,2016/04/24,萬華,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-
85,臺北市,2016/04/24,萬華,2.3,0.62,-,19.3,33,-,30.45,7.11,23.34,-,-,-,1.34,0.93,26.29,-,-,80.59,-
86,臺北市,2016/04/24,陽明,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
87,臺北市,2016/04/24,陽明,1.9,0.23,420.01,35.3,18,-,5.49,0.67,4.8,-,-,-,-,-,19.7,1.25,5.14,98.52,12.42
88,臺北市,2016/04/24,士林,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-
89,臺北市,2016/04/24,士林,2,0.46,-,21.1,29,-,21.02,4.11,16.91,-,-,-,1.16,0.9,25.55,-,-,80.6,-
90,臺北市,2016/04/23,松山,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,臺北市,2016/04/23,古亭,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-
92,臺北市,2016/04/23,古亭,2.8,0.58,-,20.9,37,-,27.49,7.03,20.46,2.156,0.214,1.942,1.5,1.1,26.52,-,-,76.72,-
93,臺北市,2016/04/23,中山,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-
94,臺北市,2016/04/23,中山,3.6,0.72,-,17.1,48,-,34.55,9.69,24.85,2.143,0.228,1.914,1.72,0.82,27.44,-,-,77.36,-
95,臺北市,2016/04/23,大同,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-
96,臺北市,2016/04/23,大同,3.7,1.25,-,-,56,-,51.26,23.09,28.17,2.597,0.366,2.231,-,-,-,-,-,-,-
97,臺北市,2016/04/23,萬華,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-
98,臺北市,2016/04/23,萬華,3.7,0.67,-,17.2,39,-,32.46,8.93,23.53,-,-,-,1.33,0.74,27.45,-,-,74.31,-
99,臺北市,2016/04/23,陽明,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-
100,臺北市,2016/04/23,陽明,3.1,0.21,418.7,28.6,19,-,6.59,1.35,5.23,-,-,-,-,-,20.86,0,0,94.65,0
101,臺北市,2016/04/23,士林,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-
102,臺北市,2016/04/23,士林,3,0.48,-,20,35,-,21.91,3.43,18.48,-,-,-,1.72,1.54,26.54,-,-,75.82,-
103,臺北市,2016/04/22,松山,-,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-
104,臺北市,2016/04/22,松山,5.3,0.65,443.59,10,46,-,39.68,15.63,24.06,2.143,0.262,1.881,1.38,1.03,26.33,-,-,77.45,-
105,臺北市,2016/04/22,古亭,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-
106,臺北市,2016/04/22,古亭,2.9,0.66,-,14.7,43,-,31.15,9.03,22.12,2.152,0.213,1.939,1.58,1.34,26.4,-,-,78.42,-
107,臺北市,2016/04/22,中山,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
108,臺北市,2016/04/22,中山,4.5,0.86,-,10.8,60,-,47.12,18,29.12,2.205,0.291,1.914,1.7,0.84,27.55,-,-,79.33,-
109,臺北市,2016/04/22,大同,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-
110,臺北市,2016/04/22,大同,3.7,1.42,-,-,63,-,72.36,41.52,30.84,2.55,0.445,2.105,-,-,-,-,-,-,-
111,臺北市,2016/04/22,萬華,-,-,-,-,-,28,-,-,-,-,-,-,-,-,-,-,-,-,-
112,臺北市,2016/04/22,萬華,2.8,0.74,-,12.7,46,-,38.26,11.79,26.47,-,-,-,1.39,0.89,27.67,-,-,75.5,-
113,臺北市,2016/04/22,陽明,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-
114,臺北市,2016/04/22,陽明,1.9,0.22,417.5,34.7,28,-,6.82,1.63,5.19,-,-,-,-,-,20.96,0,0,96.23,0
115,臺北市,2016/04/22,士林,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
116,臺北市,2016/04/22,士林,3.7,0.42,-,20,46,-,21,3.27,17.73,-,-,-,2.02,1.8,26.9,-,-,76.58,-
117,臺北市,2016/04/21,松山,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
118,臺北市,2016/04/21,松山,5.4,0.85,454.77,27.4,66,-,38.83,8.43,30.39,2.323,0.33,1.993,1.33,0.95,27.12,-,-,72.14,-
119,臺北市,2016/04/21,古亭,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-
120,臺北市,2016/04/21,古亭,4.4,0.79,-,30.8,65,-,34.29,7.46,26.83,2.327,0.293,2.034,1.36,0.93,27.34,-,-,74.68,-
121,臺北市,2016/04/21,中山,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-
122,臺北市,2016/04/21,中山,4.2,1.08,-,23,72,-,48.56,14.12,34.44,2.445,0.393,2.052,1.46,0.67,27.96,-,-,77.57,-
123,臺北市,2016/04/21,大同,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-
124,臺北市,2016/04/21,大同,4.8,2.02,-,-,79,-,73.74,34.17,39.57,3.078,0.671,2.407,-,-,-,-,-,-,-
125,臺北市,2016/04/21,萬華,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-
126,臺北市,2016/04/21,萬華,3.5,0.96,-,23.6,64,-,38.03,8.5,29.54,-,-,-,1.19,0.7,28,-,-,75.14,-
127,臺北市,2016/04/21,陽明,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-
128,臺北市,2016/04/21,陽明,1.4,0.28,419.29,45.7,32,-,4.9,1.3,3.6,-,-,-,-,-,21.42,0,0,95.65,0
129,臺北市,2016/04/21,士林,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
130,臺北市,2016/04/21,士林,2.9,0.58,-,30.3,57,-,22.63,2.66,19.98,-,-,-,1.81,1.39,26.99,-,-,75.53,-
131,臺北市,2016/04/20,松山,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-
132,臺北市,2016/04/20,松山,3.7,0.95,454.6,25.5,48,-,46.92,12.61,34.32,2.45,0.365,2.085,1.27,0.98,24.99,-,-,71.53,-
133,臺北市,2016/04/20,古亭,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-
134,臺北市,2016/04/20,古亭,3.6,0.96,-,33.8,56,-,41.76,8.5,33.26,2.484,0.382,2.102,1.36,0.94,25.43,-,-,72.07,-
135,臺北市,2016/04/20,中山,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
136,臺北市,2016/04/20,中山,-,-,-,22,64,-,-,-,-,2.822,0.511,2.311,1.45,0.87,25.77,-,-,75,-
137,臺北市,2016/04/20,大同,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
138,臺北市,2016/04/20,大同,3.3,1.89,-,-,68,-,77.72,32.22,45.5,3.229,0.646,2.583,-,-,-,-,-,-,-
139,臺北市,2016/04/20,萬華,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-
140,臺北市,2016/04/20,萬華,3.8,1.11,-,31.9,56,-,46.58,9.8,36.78,-,-,-,1.21,0.7,26.03,-,-,70.33,-
141,臺北市,2016/04/20,陽明,-,-,-,-,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-
142,臺北市,2016/04/20,陽明,0.7,0.34,420.18,63.4,22,-,4.73,0.4,4.25,-,-,-,-,-,19.84,0,0,93.39,0
143,臺北市,2016/04/20,士林,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-
144,臺北市,2016/04/20,士林,2.8,0.69,-,36.8,49,-,29.11,5.27,23.84,-,-,-,1.52,1.34,24.81,-,-,74.22,-
145,臺北市,2016/04/19,松山,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-
146,臺北市,2016/04/19,松山,2.9,0.5,423.1,40.4,29,-,24.12,3.52,20.6,1.986,0.149,1.838,2.31,1.95,21.78,-,-,71.99,-
147,臺北市,2016/04/19,古亭,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-
148,臺北市,2016/04/19,古亭,1.9,0.51,-,46,27,-,22.1,4,18.11,2.041,0.116,1.925,3.12,2.81,22.08,-,-,72.54,-
149,臺北市,2016/04/19,中山,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
150,臺北市,2016/04/19,中山,4.6,-,-,37,32,-,19.18,3.58,15.63,2.058,0.164,1.895,2.7,2.38,22.26,-,-,76.68,-
151,臺北市,2016/04/19,大同,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-
152,臺北市,2016/04/19,大同,3.4,0.95,-,-,43,-,51.77,21.11,30.66,2.264,0.268,1.996,-,-,-,-,-,-,-
153,臺北市,2016/04/19,萬華,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-
154,臺北市,2016/04/19,萬華,2.9,0.53,-,39.2,30,-,29.69,5.08,24.61,-,-,-,3.08,3.01,22.46,-,-,71.64,-
155,臺北市,2016/04/19,陽明,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-
156,臺北市,2016/04/19,陽明,0.8,0.27,418.45,56.5,11,-,2.54,0.62,1.89,-,-,-,-,-,14.78,0,0,99.14,0
157,臺北市,2016/04/19,士林,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
158,臺北市,2016/04/19,士林,1.6,0.33,-,54.5,20,-,8.9,1.75,7.15,-,-,-,3.16,2.93,22.16,-,-,68.93,-
159,臺北市,2016/04/18,松山,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-
160,臺北市,2016/04/18,松山,1.7,0.6,429.32,37.1,29,-,26.52,3.53,22.98,2.023,0.132,1.891,1.71,1.34,19,-,-,85.68,-
161,臺北市,2016/04/18,古亭,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-
162,臺北市,2016/04/18,古亭,1.9,0.64,-,38.5,21,-,25.51,3.05,22.46,2.19,0.166,2.025,2.07,1.81,19.15,-,-,89.69,-
163,臺北市,2016/04/18,中山,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
164,臺北市,2016/04/18,中山,2.6,0.83,-,30.7,23,-,36.8,6.78,30.02,2.191,0.209,1.982,2,1.55,19.87,-,-,90.65,-
165,臺北市,2016/04/18,大同,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-
166,臺北市,2016/04/18,大同,2.4,1.52,-,-,44,-,78.74,37.18,41.56,2.542,0.42,2.122,-,-,-,-,-,-,-
167,臺北市,2016/04/18,萬華,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-
168,臺北市,2016/04/18,萬華,2.5,0.74,-,33.5,26,-,32.95,3.87,29.08,-,-,-,1.97,1.67,19.98,-,-,85.58,-
169,臺北市,2016/04/18,陽明,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
170,臺北市,2016/04/18,陽明,1,0.35,422.3,54.1,8,-,2.9,0.55,2.32,-,-,-,-,-,14.37,3.13,4.67,100,5.36
171,臺北市,2016/04/18,士林,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-
172,臺北市,2016/04/18,士林,2,0.59,-,35,23,-,21.95,2.29,19.66,-,-,-,1.77,1.41,19.51,-,-,85.02,-
173,臺北市,2016/04/17,松山,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-
174,臺北市,2016/04/17,松山,2.4,0.75,431.17,27.6,42,-,33.08,13.83,19.26,2.224,0.231,1.994,1.76,1.47,22.36,-,-,83.87,-
175,臺北市,2016/04/17,古亭,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-
176,臺北市,2016/04/17,古亭,2.2,0.67,-,29,40,-,29.55,10.38,19.17,2.264,0.184,2.08,2.22,1.93,22.45,-,-,88.12,-
177,臺北市,2016/04/17,中山,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-
178,臺北市,2016/04/17,中山,4,0.98,-,25.7,46,-,49.48,25.58,23.9,2.404,0.304,2.1,2.13,1.8,23.46,-,-,87.35,-
179,臺北市,2016/04/17,大同,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-
180,臺北市,2016/04/17,大同,4.4,1.54,-,-,60,-,77.46,44.67,32.79,2.713,0.461,2.253,-,-,-,-,-,-,-
181,臺北市,2016/04/17,萬華,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-
182,臺北市,2016/04/17,萬華,2,0.77,-,27.8,41,-,35.47,12.75,22.72,-,-,-,2.45,2.23,23.5,-,-,83.3,-
183,臺北市,2016/04/17,陽明,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-
184,臺北市,2016/04/17,陽明,1.5,0.29,422.46,41,9,-,3.78,0.6,3.15,-,-,-,-,-,17.9,8.25,4.45,99.14,5.03
185,臺北市,2016/04/17,士林,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-
186,臺北市,2016/04/17,士林,2,0.4,-,35.9,26,-,12.63,2.05,10.57,-,-,-,2.45,2.24,23.92,-,-,76.97,-
187,臺北市,2016/04/16,松山,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
188,臺北市,2016/04/16,松山,2.8,1.07,460.68,14.9,54,-,55.3,24.61,30.69,2.523,0.411,2.112,1.25,0.93,24.51,-,-,83.37,-
189,臺北市,2016/04/16,古亭,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-
190,臺北市,2016/04/16,古亭,2.1,1.12,-,15.2,56,-,51.86,20.05,31.82,2.634,0.43,2.203,1.24,0.73,24.88,-,-,85.51,-
191,臺北市,2016/04/16,中山,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
192,臺北市,2016/04/16,中山,4.1,1.56,-,10.2,59,-,78.41,42.44,35.97,2.843,0.59,2.253,1.45,0.6,25.56,-,-,85.85,-
193,臺北市,2016/04/16,大同,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
194,臺北市,2016/04/16,大同,4.5,2.61,-,-,69,-,113.79,74.43,39.36,3.432,0.919,2.514,-,-,-,-,-,-,-
195,臺北市,2016/04/16,萬華,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
196,臺北市,2016/04/16,萬華,1.7,1.3,-,11.7,55,-,62.18,27.67,34.52,-,-,-,1.17,0.75,25.75,-,-,81.58,-
197,臺北市,2016/04/16,陽明,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-
198,臺北市,2016/04/16,陽明,1.6,0.26,421.28,35.3,17,-,4.31,0.46,3.78,-,-,-,-,-,19.57,0,0,97.94,0
199,臺北市,2016/04/16,士林,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,-,-
200,臺北市,2016/04/16,士林,2.4,0.68,-,16.5,42,-,33.87,11.19,22.68,-,-,-,1.84,1.41,25.32,-,-,78.31,-
201,臺北市,2016/04/15,松山,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-
202,臺北市,2016/04/15,松山,3.3,0.67,432.05,30,37,-,45.86,17.45,28.41,2.106,0.238,1.868,1.77,1.4,21.02,-,-,86.62,-
203,臺北市,2016/04/15,古亭,-,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-
