序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2016/04/30,松山,-,-,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-
2,臺北市,2016/04/30,古亭,-,-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-
3,臺北市,2016/04/30,中山,-,-,-,-,-,63,-,-,-,-,-,-,-,-,-,-,-,-,-
4,臺北市,2016/04/30,大同,-,-,-,-,-,61,-,-,-,-,-,-,-,-,-,-,-,-,-
5,臺北市,2016/04/30,萬華,-,-,-,-,-,54,-,-,-,-,-,-,-,-,-,-,-,-,-
6,臺北市,2016/04/30,陽明,-,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,-,-,-
7,臺北市,2016/04/30,士林,-,-,-,-,-,65,-,-,-,-,-,-,-,-,-,-,-,-,-
8,臺北市,2016/04/29,松山,-,-,-,-,-,53,-,-,-,-,-,-,-,-,-,-,-,-,-
9,臺北市,2016/04/29,松山,4,0.66,430.82,75.2,105,-,23.95,2.11,21.83,2.034,0.135,1.899,2.37,2.08,21.47,-,-,60.06,-
10,臺北市,2016/04/29,古亭,-,-,-,-,-,53,-,-,-,-,-,-,-,-,-,-,-,-,-
11,臺北市,2016/04/29,古亭,4,0.6,-,84.2,96,-,20.81,1.66,19.15,2.004,0.136,1.868,3.14,2.78,21.81,-,-,61.68,-
12,臺北市,2016/04/29,中山,-,-,-,-,-,59,-,-,-,-,-,-,-,-,-,-,-,-,-
13,臺北市,2016/04/29,中山,5.9,0.8,-,68.4,114,-,32.39,2.94,29.45,2.173,0.183,1.99,2.32,1.91,22.21,-,-,64.81,-
14,臺北市,2016/04/29,大同,-,-,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-
15,臺北市,2016/04/29,大同,4.8,0.98,-,-,112,-,50.01,11.61,38.4,2.296,0.242,2.054,-,-,-,-,-,-,-
16,臺北市,2016/04/29,萬華,-,-,-,-,-,53,-,-,-,-,-,-,-,-,-,-,-,-,-
17,臺北市,2016/04/29,萬華,5.4,0.67,-,81.1,99,-,26.08,1.44,24.68,-,-,-,3.04,2.65,22.59,-,-,57.92,-
18,臺北市,2016/04/29,陽明,-,-,-,-,-,52,-,-,-,-,-,-,-,-,-,-,-,-,-
19,臺北市,2016/04/29,陽明,3.3,0.49,425.64,96.9,70,-,6.99,0.58,6.4,-,-,-,-,-,12.65,0,0,87.71,0
20,臺北市,2016/04/29,士林,-,-,-,-,-,54,-,-,-,-,-,-,-,-,-,-,-,-,-
21,臺北市,2016/04/29,士林,5.4,0.5,-,86,88,-,12.45,1.1,11.35,-,-,-,2.6,2.41,21.69,-,-,59.63,-
22,臺北市,2016/04/28,松山,-,-,-,-,-,30,-,-,-,-,-,-,-,-,-,-,-,-,-
23,臺北市,2016/04/28,松山,2.8,0.52,427.77,46.5,59,-,20.16,1.73,18.43,1.973,0.123,1.85,2.07,1.65,21.97,-,-,77.81,-
24,臺北市,2016/04/28,古亭,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
25,臺北市,2016/04/28,古亭,3.5,0.56,-,48.1,59,-,21.21,2.32,18.9,2.07,0.12,1.951,2.63,2.33,22.11,-,-,81.58,-
26,臺北市,2016/04/28,中山,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
27,臺北市,2016/04/28,中山,3.2,0.7,-,41.3,63,-,28.86,4.57,24.29,2.11,0.165,1.946,2.55,2.05,22.76,-,-,83.03,-
28,臺北市,2016/04/28,大同,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-
