序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2004/07/31,松山,12.7,0.44,390.78,35.6,-,60,-,33.82,8.71,25.15,-,-,-,31.05,-,60.42,77.0,-
2,臺北市,2004/07/31,古亭,4.6,0.56,-,25.9,62,47,23.0,33.7,9.96,23.77,-,-,-,33.5,-,58.8,75.0,-
3,臺北市,2004/07/31,中山,4.1,0.68,-,20.6,-,47,-,56.94,22.9,34.06,2.571,0.55,-,33.13,-,61.23,67.0,-
4,臺北市,2004/07/31,大同,5.6,0.71,-,16.8,-,39,-,57.78,27.89,29.89,2.819,0.447,2.37,31.24,-,-,39.0,-
5,臺北市,2004/07/31,萬華,4.9,0.47,-,27.7,-,44,0.0,26.79,4.53,22.26,-,-,-,31.95,-,61.93,75.0,-
6,臺北市,2004/07/31,陽明,2.8,0.15,378.72,41.6,-,22,-,9.14,1.65,7.68,-,-,-,24.02,-,76.0,64.0,-
7,臺北市,2004/07/31,士林,3.9,0.38,-,30.8,-,38,-,28.14,8.75,19.42,-,-,-,30.99,-,64.76,60.0,-
8,臺北市,2004/07/30,松山,7.4,0.42,385.45,26.5,-,56,-,33.79,9.5,24.33,-,-,-,31.43,-,58.59,78.0,-
9,臺北市,2004/07/30,古亭,5.5,0.67,-,14.5,29,46,18.0,43.55,18.24,25.34,-,-,-,33.63,-,56.92,46.0,-
10,臺北市,2004/07/30,中山,6.3,0.8,-,18.7,-,49,-,65.02,29.88,35.15,2.747,0.683,-,33.49,-,59.52,52.0,-
11,臺北市,2004/07/30,大同,7.3,0.84,-,16.4,-,37,-,63.48,32.55,30.93,2.985,0.523,2.46,31.49,-,-,37.0,-
12,臺北市,2004/07/30,萬華,6.4,0.52,-,28.9,-,44,-,35.19,10.6,24.59,-,-,-,31.82,-,61.92,86.0,-
13,臺北市,2004/07/30,陽明,1.7,0.1,374.95,37.7,-,18,-,3.97,0.75,3.48,-,-,-,24.36,-,77.0,67.0,-
14,臺北市,2004/07/30,士林,3.1,0.34,-,26.0,-,46,-,28.46,9.3,19.18,-,-,-,31.12,-,64.49,61.0,-
15,臺北市,2004/07/29,松山,5.8,0.52,386.07,19.6,-,37,-,38.53,10.8,27.76,-,-,-,30.61,-,62.74,43.0,-
16,臺北市,2004/07/29,古亭,3.4,0.71,-,16.8,34,41,20.0,40.61,15.52,25.09,-,-,-,32.77,-,62.44,41.0,-
17,臺北市,2004/07/29,中山,6.9,0.81,-,13.3,-,41,-,70.93,31.1,39.84,2.753,0.733,-,32.44,-,64.47,41.0,-
18,臺北市,2004/07/29,大同,6.3,1.22,-,10.5,-,35,-,74.22,38.99,35.22,2.966,0.705,2.26,30.61,-,-,35.0,-
19,臺北市,2004/07/29,萬華,6.1,0.74,-,12.1,-,42,-,45.86,13.15,32.71,-,-,-,30.83,-,68.18,42.0,-
20,臺北市,2004/07/29,陽明,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85.0,46.0,-
21,臺北市,2004/07/29,士林,3.3,0.42,-,26.7,-,36,-,32.29,9.28,23.05,-,-,-,29.92,-,69.26,56.0,-
22,臺北市,2004/07/28,松山,6.0,0.58,392.79,18.0,-,51,-,39.76,12.24,27.56,-,-,-,29.76,-,67.92,50.0,-
23,臺北市,2004/07/28,古亭,5.4,0.79,-,10.7,30,-,25.0,44.89,17.6,27.3,-,-,-,31.3,-,68.13,33.0,-
24,臺北市,2004/07/28,中山,7.3,1.0,-,10.5,-,54,-,60.06,18.93,41.16,2.838,0.818,-,31.64,-,70.01,52.0,-
25,臺北市,2004/07/28,大同,5.9,1.27,-,7.4,-,55,-,84.22,47.09,37.13,3.254,0.763,2.49,29.31,-,-,52.0,-
26,臺北市,2004/07/28,萬華,5.2,0.65,-,14.9,-,57,-,34.82,9.27,25.55,-,-,-,29.92,-,72.56,54.0,-
27,臺北市,2004/07/28,陽明,0.6,0.13,375.34,31.8,-,20,-,4.56,0.82,3.98,-,-,-,-,-,89.0,36.0,-
28,臺北市,2004/07/28,士林,3.1,0.63,-,24.8,-,54,-,39.13,9.94,29.19,-,-,-,29.22,-,75.76,72.0,-
29,臺北市,2004/07/27,松山,4.0,0.41,382.83,20.7,-,38,-,31.16,9.39,21.82,-,-,-,30.5,-,61.84,64.0,-
30,臺北市,2004/07/27,古亭,5.8,0.66,-,19.4,49,-,21.0,36.53,14.81,21.76,-,-,-,32.78,-,59.99,81.0,-
31,臺北市,2004/07/27,中山,5.9,0.76,-,21.0,-,57,-,59.1,15.48,43.74,2.535,0.687,-,32.77,-,62.25,71.0,-
32,臺北市,2004/07/27,大同,7.0,1.13,-,20.0,-,56,-,62.25,28.07,34.18,2.973,0.664,2.31,30.73,-,-,53.0,-
33,臺北市,2004/07/27,萬華,5.4,0.58,-,33.1,-,69,-,30.24,5.58,24.65,-,-,-,31.25,-,64.02,99.0,-
34,臺北市,2004/07/27,陽明,2.1,0.19,380.12,38.4,-,34,-,8.16,0.84,7.52,-,-,-,-,-,85.0,62.0,-
35,臺北市,2004/07/27,士林,2.4,0.36,-,36.9,-,35,-,24.75,5.44,19.37,-,-,-,30.53,-,65.76,95.0,-
36,臺北市,2004/07/26,松山,2.5,0.26,378.95,9.7,-,29,-,23.74,11.65,12.1,-,-,-,30.37,-,59.64,29.0,-
37,臺北市,2004/07/26,古亭,2.9,0.35,-,8.8,16,-,8.0,20.05,11.27,8.8,-,-,-,32.53,-,57.45,17.0,-
38,臺北市,2004/07/26,中山,3.4,0.42,-,7.8,15,26,-,35.49,14.87,20.62,-,-,-,32.71,-,58.93,26.0,-
39,臺北市,2004/07/26,大同,1.7,0.68,-,5.2,-,24,-,47.69,29.46,18.23,2.585,0.377,2.21,30.93,-,-,24.0,-
40,臺北市,2004/07/26,萬華,1.0,0.36,-,9.5,-,45,-,18.3,8.61,9.69,-,-,-,31.4,-,59.9,45.0,-
41,臺北市,2004/07/26,陽明,0.6,0.06,372.16,18.8,-,12,-,2.92,0.91,2.17,-,-,-,23.4,-,82.0,24.0,-
