序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2016/09/30,松山,1.3,0.56,429.62,16.3,34,17,30.38,11.52,18.86,2.045,0.223,1.822,0.8,0.37,29.09,-,-,70.29,-
2,臺北市,2016/09/30,古亭,1.9,0.64,-,14,37,20,32.64,11.49,21.15,2.137,0.238,1.9,1.55,1.18,28.55,-,-,73.35,-
3,臺北市,2016/09/30,中山,2.6,0.79,-,15,39,20,40.55,14.79,25.76,2.236,0.27,1.967,1.59,1.08,29.44,-,-,74.7,-
4,臺北市,2016/09/30,大同,3.9,1.97,-,-,58,23,80.23,50.72,29.51,2.792,0.664,2.128,-,-,-,-,-,-,-
5,臺北市,2016/09/30,萬華,3.1,0.79,-,13.9,35,23,37.26,11.45,25.81,-,-,-,1.23,0.9,29.65,-,-,73.53,-
6,臺北市,2016/09/30,陽明,1.5,0.17,408.88,31.7,17,13,2.17,0.36,1.79,-,-,-,-,-,22.32,0,0,91.09,0
7,臺北市,2016/09/30,士林,3,0.65,-,22.3,40,25,32.99,12.98,20.01,-,-,-,1.13,0.79,28.82,-,-,74.75,-
8,臺北市,2016/09/29,松山,2.1,0.65,429.68,27.8,34,20,29.28,8.28,21,2.054,0.212,1.842,0.95,0.47,28.94,-,-,73.48,-
9,臺北市,2016/09/29,古亭,2.3,0.72,-,25,37,23,31.28,8.42,22.86,2.179,0.238,1.941,1.56,1.24,28.89,-,-,74.85,-
10,臺北市,2016/09/29,中山,2.7,0.93,-,22.7,40,-,44.15,12.1,32.06,2.283,0.273,2.01,1.46,1.04,29.65,-,-,76.39,-
11,臺北市,2016/09/29,大同,3.7,1.91,-,-,56,24,69.12,33.41,35.71,2.784,0.616,2.169,-,-,-,-,-,-,-
12,臺北市,2016/09/29,萬華,2.3,0.86,-,10.6,37,21,37.1,6.97,30.13,-,-,-,1.15,0.71,29.98,-,-,74.72,-
13,臺北市,2016/09/29,陽明,1,0.2,411.74,43.5,22,17,2.14,0.35,1.75,-,-,-,-,-,21.39,0,0,91.07,0
14,臺北市,2016/09/29,士林,2.7,0.53,-,31,37,22,24.44,5.43,19.01,-,-,-,1.73,1.51,29.21,-,-,75.1,-
15,臺北市,2016/09/28,松山,2.7,0.42,408.06,41.6,44,23,11.64,3.1,8.54,1.829,0.081,1.748,2.75,1.6,29.42,-,-,70.87,-
16,臺北市,2016/09/28,古亭,1.7,0.43,-,37.6,43,26,17.11,3.9,13.21,1.986,0.115,1.87,3.42,3.24,29.39,-,-,73.02,-
17,臺北市,2016/09/28,中山,1.1,0.5,-,37.5,44,24,19.55,4.79,14.76,2,0.103,1.902,3.57,3.25,30.1,-,-,74.43,-
18,臺北市,2016/09/28,大同,1.4,1.38,-,-,61,25,53.62,27.23,26.38,2.428,0.425,2.002,-,-,-,-,-,-,-
19,臺北市,2016/09/28,萬華,1.6,0.55,-,34.2,44,22,21.88,3.74,18.19,-,-,-,2.14,1.69,30.49,-,-,73.17,-
20,臺北市,2016/09/28,陽明,1.1,0.18,409.59,44,26,20,1.8,0.86,0.91,-,-,-,-,-,21.52,0.83,5.24,93.63,62.31
21,臺北市,2016/09/28,士林,1.6,0.32,-,43.5,41,26,10.47,1.44,9.01,-,-,-,4.45,4.34,29.81,-,-,71.87,-
22,臺北市,2016/09/27,松山,1.5,0.09,400.8,21.4,21,5,6.98,4.61,2.38,1.615,0.007,1.612,6.79,5.49,27.16,-,-,84.45,-
23,臺北市,2016/09/27,古亭,1.4,0.07,-,21.9,17,7,2.99,1.11,1.89,1.727,0.004,1.725,7.4,5.77,27.15,-,-,85.25,-
