序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2014/10/31,松山,-,-,-,-,-,15,-,-,-,-,-,-
2,臺北市,2014/10/31,松山,1.7,0.48,420.03,30.2,32,-,28.2,6.71,21.49,1.49,25.57,67.41
3,臺北市,2014/10/31,古亭,-,-,-,-,-,19,-,-,-,-,-,-
4,臺北市,2014/10/31,古亭,3,0.5,-,35.1,43,-,26.45,6.01,20.45,2.08,26.56,65.23
5,臺北市,2014/10/31,中山,-,-,-,-,-,18,-,-,-,-,-,-
6,臺北市,2014/10/31,中山,3.5,0.7,-,28.7,54,-,36.54,9.53,27,1.79,26.94,65.16
7,臺北市,2014/10/31,大同,-,-,-,-,-,16,-,-,-,-,-,-
8,臺北市,2014/10/31,大同,3.9,1.58,-,-,55,-,83.5,46.57,36.93,-,-,-
9,臺北市,2014/10/31,萬華,-,-,-,-,-,20,-,-,-,-,-,-
10,臺北市,2014/10/31,萬華,3.8,0.58,-,33.8,41,-,33.06,7.13,25.92,2.04,26.83,64.47
11,臺北市,2014/10/31,陽明,-,-,-,-,-,10,-,-,-,-,-,-
12,臺北市,2014/10/31,陽明,2.3,0.14,401.68,45.4,15,-,2.89,0.58,2.25,-,20.28,86.26
13,臺北市,2014/10/31,士林,-,-,-,-,-,16,-,-,-,-,-,-
14,臺北市,2014/10/31,士林,2.7,0.28,-,46.1,35,-,14.42,3.35,11.08,2.07,26.58,63.93
15,臺北市,2014/10/30,松山,-,-,-,-,-,15,-,-,-,-,-,-
16,臺北市,2014/10/30,松山,2.8,0.43,417.2,25.1,41,-,27.62,7.17,20.45,1.74,25.88,63.45
17,臺北市,2014/10/30,古亭,-,-,-,-,-,17,-,-,-,-,-,-
18,臺北市,2014/10/30,古亭,1.5,0.31,-,32.1,43,-,16.41,3.44,12.97,2.73,27,62.72
19,臺北市,2014/10/30,中山,-,-,-,-,-,17,-,-,-,-,-,-
20,臺北市,2014/10/30,中山,1.9,0.55,-,26.5,55,-,28,8.14,19.86,2.72,27.2,61.24
21,臺北市,2014/10/30,大同,-,-,-,-,-,15,-,-,-,-,-,-
22,臺北市,2014/10/30,大同,2.7,1.3,-,-,54,-,75.91,42.89,33.02,-,-,-
23,臺北市,2014/10/30,萬華,-,-,-,-,-,17,-,-,-,-,-,-
24,臺北市,2014/10/30,萬華,1.7,0.43,-,27.3,39,-,27.13,5.88,21.24,2.81,27.11,61.2
25,臺北市,2014/10/30,陽明,-,-,-,-,-,13,-,-,-,-,-,-
