序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2009/11/30,松山,3.1,0.58,405.11,28.2,36,54,-,20.6,2.32,18.27,1.827,0.131,1.7,18.88,69.14,52.0
2,臺北市,2009/11/30,古亭,3.5,0.68,-,31.4,33,-,38.0,25.99,3.95,22.04,2.057,0.138,1.92,19.24,69.34,32.0
3,臺北市,2009/11/30,中山,2.8,0.77,-,25.4,29,61,42.0,29.94,8.2,21.74,2.15,0.232,1.92,19.66,67.78,56.0
4,臺北市,2009/11/30,萬華,2.7,0.71,-,29.5,34,58,35.0,23.09,4.08,19.01,-,-,-,18.73,70.88,54.0
5,臺北市,2009/11/30,陽明,2.2,0.41,394.1,43.2,50,30,23.0,3.85,0.68,3.14,-,-,-,11.4,95.26,43.0
6,臺北市,2009/11/30,士林,3.2,0.48,-,38.9,44,61,29.0,11.03,1.21,9.83,-,-,-,19.12,65.44,56.0
7,臺北市,2009/11/29,松山,2.3,0.38,396.38,32.5,36,52,36.0,18.37,2.27,16.08,1.727,0.083,1.64,20.3,64.84,51.0
8,臺北市,2009/11/29,古亭,2.4,0.42,-,35.2,39,58,31.0,19.18,3.29,15.89,1.893,0.089,1.8,20.67,68.29,54.0
9,臺北市,2009/11/29,中山,2.1,0.5,-,31.8,37,55,37.0,22.8,5.41,17.38,2.028,0.139,1.89,20.99,64.81,52.0
10,臺北市,2009/11/29,萬華,1.9,0.47,-,36.7,41,56,34.0,16.76,2.27,14.49,-,-,-,20.21,66.99,53.0
11,臺北市,2009/11/29,陽明,1.2,0.25,385.53,47.6,50,26,19.0,1.7,0.78,0.88,-,-,-,12.54,93.47,44.0
12,臺北市,2009/11/29,士林,1.7,0.31,-,44.3,49,56,24.0,7.8,0.8,7.07,-,-,-,20.37,63.57,53.0
13,臺北市,2009/11/28,松山,2.3,0.51,399.16,25.9,30,61,41.0,26.0,2.55,23.45,1.856,0.141,1.72,20.41,77.28,56.0
14,臺北市,2009/11/28,古亭,2.1,0.55,-,26.5,28,64,35.0,29.02,5.19,23.84,1.978,0.16,1.82,20.67,79.91,57.0
15,臺北市,2009/11/28,中山,2.3,0.7,-,23.9,28,64,42.0,33.39,7.64,25.75,2.175,0.227,1.95,21.18,74.22,57.0
16,臺北市,2009/11/28,萬華,2.0,0.68,-,26.8,31,63,38.0,28.18,4.26,23.93,-,-,-,20.36,77.45,56.0
17,臺北市,2009/11/28,陽明,1.5,0.28,385.84,51.6,53,28,21.0,2.69,1.37,1.31,-,-,-,13.74,96.19,45.0
18,臺北市,2009/11/28,士林,2.1,0.42,-,40.5,48,59,25.0,13.43,2.01,11.42,-,-,-,20.65,72.73,54.0
19,臺北市,2009/11/27,松山,3.6,0.46,398.81,21.0,28,40,25.0,27.01,6.43,20.57,1.84,0.152,1.69,22.57,74.38,40.0
20,臺北市,2009/11/27,古亭,2.1,0.57,-,16.6,19,45,21.0,33.72,11.39,22.33,1.994,0.203,1.79,23.0,76.16,45.0
21,臺北市,2009/11/27,中山,4.3,0.68,-,18.6,27,44,30.0,37.09,11.41,25.68,2.202,0.276,1.93,23.31,73.78,44.0
22,臺北市,2009/11/27,萬華,2.8,0.62,-,24.5,39,48,24.0,28.18,6.92,21.26,-,-,-,22.38,77.17,48.0
23,臺北市,2009/11/27,陽明,1.4,0.16,381.42,41.4,45,14,10.0,2.84,1.54,1.31,-,-,-,15.45,94.97,39.0
24,臺北市,2009/11/27,士林,3.8,0.41,-,29.7,41,49,18.0,22.52,5.82,16.7,-,-,-,22.95,71.63,49.0
25,臺北市,2009/11/26,松山,3.4,0.53,397.5,16.5,23,37,19.0,36.55,11.15,25.39,1.872,0.203,1.67,22.87,73.99,37.0
26,臺北市,2009/11/26,古亭,1.8,0.49,-,20.1,26,39,15.0,28.66,7.47,21.19,1.963,0.152,1.81,23.21,76.02,39.0
27,臺北市,2009/11/26,中山,3.1,0.59,-,19.9,29,36,23.0,33.77,11.05,22.72,2.064,0.206,1.86,23.47,73.12,36.0
28,臺北市,2009/11/26,萬華,1.8,0.6,-,21.6,28,36,19.0,28.13,6.36,21.76,-,-,-,22.74,75.7,36.0
29,臺北市,2009/11/26,陽明,1.6,0.14,380.45,42.3,44,9,7.0,2.63,1.06,1.55,-,-,-,14.84,97.52,38.0
30,臺北市,2009/11/26,士林,3.6,0.24,-,35.8,41,40,11.0,10.57,1.63,8.94,-,-,-,23.18,69.91,40.0
31,臺北市,2009/11/25,松山,2.6,0.42,401.95,17.4,21,27,18.0,26.16,6.85,19.31,1.8,0.143,1.66,22.98,81.33,27.0
32,臺北市,2009/11/25,古亭,2.4,0.53,-,18.8,22,31,16.0,31.09,10.15,20.94,2.001,0.163,1.84,23.07,82.6,31.0
33,臺北市,2009/11/25,中山,2.9,0.55,-,18.9,21,28,21.0,28.28,9.42,18.86,2.066,0.192,1.87,23.2,80.39,28.0
34,臺北市,2009/11/25,萬華,1.4,0.55,-,22.1,27,27,13.0,23.67,6.37,17.3,-,-,-,22.62,82.19,27.0
35,臺北市,2009/11/25,陽明,1.7,0.16,380.71,39.4,41,5,4.0,2.0,0.42,1.54,-,-,-,15.46,97.63,36.0
36,臺北市,2009/11/25,士林,3.0,0.28,-,29.6,33,35,10.0,11.43,2.1,9.33,-,-,-,23.06,75.6,35.0
37,臺北市,2009/11/24,松山,1.7,0.66,407.06,12.8,21,25,16.0,41.8,14.98,26.82,2.008,0.297,1.71,22.98,83.11,25.0
38,臺北市,2009/11/24,古亭,2.3,0.83,-,12.6,17,34,16.0,43.51,12.89,30.62,2.272,0.321,1.95,22.09,87.76,34.0
39,臺北市,2009/11/24,中山,2.4,0.93,-,11.8,16,32,22.0,48.0,17.87,30.13,2.414,0.386,2.03,22.37,84.26,32.0
40,臺北市,2009/11/24,萬華,1.4,0.78,-,17.4,22,32,17.0,33.05,7.89,25.16,-,-,-,21.54,87.32,32.0
41,臺北市,2009/11/24,陽明,1.2,0.18,382.31,40.1,42,5,3.0,2.47,1.42,1.03,-,-,-,15.21,97.67,36.0
42,臺北市,2009/11/24,士林,1.7,0.5,-,21.0,33,34,9.0,21.63,3.3,18.32,-,-,-,22.08,82.41,38.0
43,臺北市,2009/11/23,松山,2.4,0.51,402.72,16.6,24,18,14.0,32.24,8.59,23.66,1.863,0.191,1.67,21.98,87.73,25.0
44,臺北市,2009/11/23,古亭,1.7,0.6,-,17.8,26,22,12.0,32.59,9.98,22.61,2.046,0.175,1.87,21.07,90.12,29.0
45,臺北市,2009/11/23,中山,4.3,0.67,-,17.1,26,23,17.0,35.09,13.17,21.92,2.154,0.233,1.92,21.42,86.14,27.0
46,臺北市,2009/11/23,萬華,2.1,0.73,-,17.9,27,-,14.0,30.3,6.63,23.66,-,-,-,20.59,89.51,28.0
47,臺北市,2009/11/23,陽明,0.6,0.2,382.32,40.4,42,5,3.0,2.77,1.71,1.06,-,-,-,14.71,97.65,36.0
48,臺北市,2009/11/23,士林,1.4,0.35,-,29.3,35,25,11.0,12.85,2.08,10.77,-,-,-,21.81,78.7,32.0
49,臺北市,2009/11/22,松山,2.1,0.53,404.94,16.5,19,20,17.0,28.15,6.48,21.68,1.918,0.16,1.76,20.7,87.15,21.0
50,臺北市,2009/11/22,古亭,2.0,0.75,-,15.0,20,26,14.0,34.66,10.76,23.9,2.187,0.235,1.95,19.44,92.42,26.0
51,臺北市,2009/11/22,中山,1.9,0.74,-,13.7,17,24,22.0,34.71,9.62,25.09,2.321,0.245,2.08,19.98,86.26,24.0
52,臺北市,2009/11/22,萬華,2.1,0.79,-,15.5,20,-,16.0,31.27,7.12,24.15,-,-,-,18.95,91.57,21.0
53,臺北市,2009/11/22,陽明,1.1,0.29,386.2,37.8,41,5,3.0,2.85,1.01,1.85,-,-,-,13.38,97.47,34.0
54,臺北市,2009/11/22,士林,1.9,0.48,-,23.1,29,30,10.0,17.02,2.47,14.54,-,-,-,20.08,80.85,30.0
55,臺北市,2009/11/21,松山,2.4,0.54,404.75,17.4,23,18,20.0,25.16,4.12,21.03,1.823,0.133,1.69,18.28,85.47,24.0
56,臺北市,2009/11/21,古亭,2.7,0.65,-,17.1,21,25,15.0,30.07,8.28,21.79,2.034,0.139,1.9,17.77,89.84,25.0
57,臺北市,2009/11/21,中山,2.8,0.68,-,16.0,20,24,19.0,28.94,7.39,21.55,2.119,0.185,1.93,18.41,81.59,24.0
58,臺北市,2009/11/21,萬華,2.5,0.75,-,16.3,21,23,14.0,30.59,7.35,23.24,-,-,-,17.44,86.64,24.0
59,臺北市,2009/11/21,陽明,2.2,0.38,391.13,35.5,40,5,4.0,4.29,0.97,3.31,-,-,-,10.95,96.73,34.0
60,臺北市,2009/11/21,士林,2.4,0.47,-,28.3,31,22,8.0,11.68,2.34,9.34,-,-,-,18.76,73.14,28.0
61,臺北市,2009/11/20,松山,2.3,0.62,408.68,10.9,13,14,12.0,33.25,9.44,23.81,1.939,0.212,1.73,20.07,83.51,17.0
62,臺北市,2009/11/20,古亭,3.0,0.89,-,8.1,12,24,15.0,49.83,20.71,29.13,2.248,0.283,1.97,19.15,90.86,24.0
63,臺北市,2009/11/20,中山,2.9,0.89,-,6.3,10,22,21.0,48.05,20.08,27.97,2.333,0.327,2.01,19.84,82.11,22.0
64,臺北市,2009/11/20,萬華,2.5,0.96,-,8.3,13,18,12.0,42.35,13.59,28.75,-,-,-,18.66,89.25,18.0
65,臺北市,2009/11/20,陽明,2.1,0.35,390.8,30.1,38,5,3.0,7.51,0.98,6.5,-,-,-,12.59,97.08,32.0
66,臺北市,2009/11/20,士林,2.2,0.58,-,13.8,16,29,13.0,22.85,4.22,18.61,-,-,-,19.45,80.67,29.0
67,臺北市,2009/11/19,松山,2.9,0.42,399.91,18.0,21,16,15.0,25.19,4.68,20.5,1.821,0.155,1.67,20.43,86.93,21.0
68,臺北市,2009/11/19,古亭,2.7,0.53,-,17.2,21,23,11.0,31.61,9.3,22.3,2.025,0.158,1.87,19.55,90.9,23.0
69,臺北市,2009/11/19,中山,2.2,0.6,-,17.0,19,18,15.0,33.75,11.23,22.52,2.102,0.202,1.9,20.08,84.08,22.0
70,臺北市,2009/11/19,萬華,2.2,0.68,-,18.6,23,15,10.0,28.97,7.17,21.8,-,-,-,19.33,87.57,24.0
71,臺北市,2009/11/19,陽明,1.3,0.19,382.74,38.6,39,5,3.0,2.12,0.86,1.24,-,-,-,13.03,97.15,33.0
72,臺北市,2009/11/19,士林,2.0,0.41,-,20.7,29,29,8.0,19.1,3.21,15.87,-,-,-,19.85,80.31,29.0
73,臺北市,2009/11/18,松山,2.6,0.45,402.46,11.8,20,17,16.0,34.39,8.62,25.77,1.856,0.179,1.68,17.71,87.31,20.0
74,臺北市,2009/11/18,古亭,2.3,0.53,-,13.0,22,23,15.0,33.48,9.95,23.53,2.037,0.159,1.88,17.18,93.18,23.0
75,臺北市,2009/11/18,中山,2.8,0.62,-,12.0,19,19,20.0,38.35,14.39,23.96,2.12,0.209,1.91,17.57,86.21,21.0
76,臺北市,2009/11/18,萬華,2.6,0.65,-,11.8,20,22,16.0,34.28,10.09,24.19,-,-,-,16.8,90.83,22.0
77,臺北市,2009/11/18,陽明,1.4,0.21,385.11,34.7,37,5,4.0,2.54,1.39,1.14,-,-,-,10.57,96.69,31.0
78,臺北市,2009/11/18,士林,1.4,0.39,-,21.0,26,23,8.0,16.2,3.44,12.77,-,-,-,17.57,79.42,23.0
79,臺北市,2009/11/17,松山,1.6,0.32,396.17,22.0,27,13,14.0,18.61,3.22,15.39,1.736,0.096,1.64,18.14,79.52,28.0
80,臺北市,2009/11/17,古亭,1.4,0.52,-,14.8,20,22,11.0,30.3,8.92,21.38,2.017,0.15,1.87,18.22,86.01,25.0
81,臺北市,2009/11/17,中山,1.8,0.57,-,15.4,20,20,18.0,36.56,14.38,22.19,2.091,0.197,1.9,18.88,77.91,23.0
82,臺北市,2009/11/17,萬華,1.3,0.61,-,17.5,24,19,12.0,28.75,7.77,20.98,-,-,-,17.88,84.37,23.0
83,臺北市,2009/11/17,陽明,1.4,0.2,384.78,34.5,39,5,3.0,3.5,0.79,2.72,-,-,-,10.65,96.38,34.0
84,臺北市,2009/11/17,士林,1.7,0.26,-,29.3,34,24,7.0,9.16,1.43,7.73,-,-,-,18.53,73.27,31.0
85,臺北市,2009/11/16,松山,2.0,0.62,409.4,16.3,24,30,19.0,42.69,15.39,27.29,2.096,0.284,1.81,22.86,73.19,35.0
86,臺北市,2009/11/16,古亭,3.2,0.99,-,13.6,23,40,19.0,49.9,17.67,32.23,2.4,0.419,1.98,22.57,80.82,40.0
87,臺北市,2009/11/16,中山,2.7,0.99,-,13.4,20,41,24.0,56.46,24.43,32.03,2.57,0.427,2.14,22.95,77.15,41.0
88,臺北市,2009/11/16,萬華,3.3,0.8,-,15.2,26,28,19.0,39.02,11.55,27.47,-,-,-,21.71,82.24,30.0
89,臺北市,2009/11/16,陽明,1.5,0.18,382.51,39.1,41,9,6.0,3.15,0.78,2.33,-,-,-,15.94,91.95,36.0
90,臺北市,2009/11/16,士林,2.2,0.45,-,23.2,29,36,14.0,24.51,6.9,17.61,-,-,-,22.64,76.73,36.0
91,臺北市,2009/11/15,松山,3.6,0.4,398.71,19.7,25,41,27.0,24.41,3.47,20.95,1.817,0.144,1.67,21.55,73.57,41.0
92,臺北市,2009/11/15,古亭,2.0,0.45,-,22.5,30,42,20.0,24.96,5.39,19.57,1.975,0.114,1.86,21.81,76.48,42.0
93,臺北市,2009/11/15,中山,3.5,0.47,-,21.0,26,45,29.0,32.56,9.22,23.34,2.043,0.146,1.9,21.84,74.94,45.0
94,臺北市,2009/11/15,萬華,1.7,0.49,-,24.9,30,38,24.0,22.44,2.93,19.5,-,-,-,21.21,76.11,38.0
95,臺北市,2009/11/15,陽明,1.9,0.18,382.05,42.3,43,16,11.0,3.44,1.6,1.84,-,-,-,13.85,95.48,38.0
96,臺北市,2009/11/15,士林,1.8,0.24,-,37.8,40,43,17.0,8.64,1.4,7.25,-,-,-,21.86,70.2,43.0
97,臺北市,2009/11/14,松山,2.2,0.6,404.73,18.0,24,53,38.0,25.52,4.23,21.3,1.849,0.157,1.69,18.68,71.35,52.0
98,臺北市,2009/11/14,古亭,2.5,0.63,-,20.4,29,57,33.0,26.44,6.25,20.19,2.044,0.144,1.9,18.87,76.46,54.0
99,臺北市,2009/11/14,中山,3.8,0.72,-,16.4,19,66,42.0,42.29,14.72,27.57,2.152,0.211,1.94,19.22,71.57,58.0
100,臺北市,2009/11/14,萬華,2.4,0.78,-,20.2,28,53,35.0,28.25,6.39,21.86,-,-,-,18.47,73.99,52.0
101,臺北市,2009/11/14,陽明,1.9,0.4,391.26,38.9,49,24,17.0,5.15,1.09,4.06,-,-,-,10.52,96.03,44.0
102,臺北市,2009/11/14,士林,2.4,0.49,-,32.4,42,55,25.0,12.24,1.46,10.78,-,-,-,18.93,68.65,52.0
103,臺北市,2009/11/13,松山,2.7,0.65,414.9,7.3,10,19,18.0,36.41,13.42,22.99,2.068,0.277,1.79,21.38,84.65,19.0
104,臺北市,2009/11/13,古亭,2.9,0.86,-,4.9,6,28,14.0,46.28,19.47,26.81,2.286,0.318,1.97,20.62,91.42,28.0
105,臺北市,2009/11/13,中山,3.0,0.92,-,4.3,5,26,20.0,62.72,33.43,29.29,2.441,0.379,2.06,21.06,86.72,26.0
106,臺北市,2009/11/13,萬華,3.6,0.93,-,4.5,6,25,13.0,43.63,17.32,26.31,-,-,-,20.31,90.04,25.0
107,臺北市,2009/11/13,陽明,1.5,0.31,390.89,25.8,31,6,4.0,6.19,1.31,4.89,-,-,-,13.75,96.19,30.0
108,臺北市,2009/11/13,士林,1.9,0.59,-,9.4,12,26,7.0,29.56,9.43,20.13,-,-,-,20.26,88.6,26.0
109,臺北市,2009/11/12,松山,2.6,0.44,399.82,15.0,22,24,18.0,33.74,6.68,27.06,1.871,0.2,1.67,23.16,81.0,25.0
110,臺北市,2009/11/12,古亭,2.3,0.54,-,16.3,29,32,14.0,34.5,10.51,23.99,2.039,0.184,1.86,23.22,84.81,32.0
111,臺北市,2009/11/12,中山,2.0,0.62,-,16.3,25,29,18.0,36.37,10.35,26.02,2.189,0.247,1.94,23.37,81.82,29.0
112,臺北市,2009/11/12,萬華,1.6,0.58,-,19.2,29,27,13.0,27.83,6.19,21.64,-,-,-,22.75,83.37,28.0
113,臺北市,2009/11/12,陽明,1.9,0.16,382.66,40.5,43,5,3.0,2.44,0.33,2.11,-,-,-,15.98,97.74,37.0
114,臺北市,2009/11/12,士林,2.1,0.26,-,32.0,38,30,8.0,13.71,3.24,10.47,-,-,-,23.25,76.94,34.0
115,臺北市,2009/11/11,松山,2.7,0.49,402.7,20.5,27,34,21.0,-,-,-,1.824,0.159,1.67,22.18,73.6,38.0
116,臺北市,2009/11/11,古亭,2.8,0.55,-,21.0,25,43,18.0,25.58,5.96,19.63,2.021,0.148,1.87,22.39,78.72,43.0
117,臺北市,2009/11/11,中山,2.9,0.68,-,18.0,21,43,26.0,34.91,10.23,24.68,2.195,0.233,1.96,22.79,73.7,43.0
118,臺北市,2009/11/11,萬華,1.2,0.66,-,22.9,27,37,20.0,22.89,3.93,18.96,-,-,-,21.95,76.2,37.0
119,臺北市,2009/11/11,陽明,1.5,0.28,388.21,39.0,49,10,8.0,4.51,1.04,3.47,-,-,-,14.2,97.26,42.0
120,臺北市,2009/11/11,士林,2.1,0.37,-,32.8,41,42,15.0,11.21,1.34,9.84,-,-,-,22.52,70.0,42.0
121,臺北市,2009/11/10,松山,3.9,0.7,415.78,9.9,17,48,34.0,43.43,13.13,30.3,2.059,0.34,1.72,25.69,70.09,48.0
122,臺北市,2009/11/10,古亭,5.7,0.88,-,8.4,17,52,29.0,46.82,16.81,30.01,2.354,0.429,1.93,25.67,77.18,51.0
123,臺北市,2009/11/10,中山,5.2,1.15,-,6.3,11,55,39.0,61.78,28.6,33.17,2.647,0.549,2.1,25.93,73.91,52.0
124,臺北市,2009/11/10,萬華,5.8,0.79,-,10.3,20,46,30.0,37.18,9.96,27.22,-,-,-,25.18,76.18,46.0
125,臺北市,2009/11/10,陽明,2.5,0.2,389.22,34.9,39,18,15.0,6.72,1.06,5.67,-,-,-,17.39,94.27,44.0
126,臺北市,2009/11/10,士林,5.2,0.57,-,14.7,24,55,26.0,32.88,8.39,24.49,-,-,-,24.92,76.07,52.0
