序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2012/08/31,松山,3.3,0.64,420.68,18.9,45,54,27.0,32.5,9.75,22.75,2.384,0.472,1.91,27.72,76.64,69.0
2,臺北市,2012/08/31,古亭,2.2,0.69,-,24.5,56,47,27.0,30.29,9.4,20.89,2.069,0.249,1.82,27.72,82.23,83.0
3,臺北市,2012/08/31,中山,4.2,0.96,-,20.3,53,49,45.0,46.19,15.64,30.55,2.364,0.357,2.01,28.29,77.01,80.0
4,臺北市,2012/08/31,大同,4.3,2.34,-,-,-,55,41.0,85.69,48.36,37.32,2.98,0.863,2.12,-,-,52.0
5,臺北市,2012/08/31,萬華,3.6,0.83,-,24.5,61,52,36.0,37.11,10.32,26.79,-,-,-,28.26,76.52,88.0
6,臺北市,2012/08/31,陽明,2.0,0.17,380.82,32.7,48,16,14.0,3.55,1.23,2.32,-,-,-,21.81,94.74,51.0
7,臺北市,2012/08/31,士林,2.4,0.57,-,24.8,60,43,24.0,24.84,3.54,21.3,-,-,-,27.99,71.95,82.0
8,臺北市,2012/08/30,松山,2.9,0.65,425.29,18.7,41,62,33.0,33.16,8.58,24.58,2.245,0.312,1.93,27.5,80.51,56.0
9,臺北市,2012/08/30,古亭,2.5,0.76,-,18.6,41,56,34.0,35.79,9.12,26.68,2.194,0.292,1.9,27.74,86.5,55.0
10,臺北市,2012/08/30,中山,3.4,1.0,-,15.5,37,55,47.0,50.88,17.0,33.88,2.487,0.384,2.1,28.34,81.1,52.0
11,臺北市,2012/08/30,大同,4.2,2.21,-,-,-,64,49.0,87.3,49.28,38.02,3.036,0.824,2.21,-,-,57.0
12,臺北市,2012/08/30,萬華,2.9,0.83,-,16.5,41,52,39.0,40.83,10.84,29.99,-,-,-,28.23,80.92,51.0
13,臺北市,2012/08/30,陽明,1.6,0.21,389.11,41.1,56,31,25.0,4.53,1.12,3.37,-,-,-,21.71,97.84,53.0
14,臺北市,2012/08/30,士林,3.1,0.55,-,22.1,45,57,34.0,25.0,4.36,20.64,-,-,-,27.78,75.77,57.0
15,臺北市,2012/08/29,松山,2.6,0.58,411.03,30.5,55,71,39.0,26.56,5.01,21.55,2.141,0.256,1.89,29.05,73.43,60.0
16,臺北市,2012/08/29,古亭,3.4,0.63,-,29.9,53,69,44.0,28.51,6.0,22.51,2.143,0.262,1.88,29.5,79.51,60.0
17,臺北市,2012/08/29,中山,3.7,0.96,-,26.2,47,64,53.0,41.85,10.78,31.07,2.372,0.347,2.03,29.81,75.51,57.0
18,臺北市,2012/08/29,大同,4.1,2.07,-,-,-,71,51.0,63.38,28.43,34.95,2.844,0.718,2.13,-,-,60.0
