序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2012/06/30,松山,2.9,0.37,409.93,22.5,46,33,20.0,20.64,3.65,16.99,1.977,0.167,1.81,29.41,72.88,56.0
2,臺北市,2012/06/30,古亭,3.4,0.42,-,19.7,42,42,18.0,23.5,5.37,18.13,1.962,0.182,1.78,30.1,73.33,47.0
3,臺北市,2012/06/30,中山,2.5,0.61,-,16.3,34,41,28.0,31.75,11.3,20.45,2.082,0.227,1.86,30.14,73.75,41.0
4,臺北市,2012/06/30,大同,2.8,1.05,-,-,-,43,25.0,45.71,23.4,22.3,2.386,0.38,2.01,-,-,43.0
5,臺北市,2012/06/30,萬華,3.4,0.51,-,17.0,36,30,17.0,28.5,7.25,21.25,-,-,-,30.3,72.12,39.0
6,臺北市,2012/06/30,陽明,1.5,0.13,399.61,22.9,31,11,9.0,7.2,1.14,6.06,-,-,-,22.31,98.44,31.0
7,臺北市,2012/06/30,士林,2.8,0.26,-,21.0,38,30,18.0,12.57,2.0,10.58,-,-,-,29.68,69.69,41.0
8,臺北市,2012/06/29,松山,0.9,0.31,399.62,16.8,23,28,12.0,17.55,5.28,12.27,1.878,0.131,1.75,30.53,61.66,28.0
9,臺北市,2012/06/29,古亭,2.3,0.49,-,16.1,28,42,17.0,26.21,9.31,16.9,1.933,0.193,1.74,30.83,65.72,42.0
10,臺北市,2012/06/29,中山,2.9,0.62,-,14.2,25,36,23.0,30.98,11.74,19.24,2.056,0.23,1.83,31.24,63.14,36.0
11,臺北市,2012/06/29,大同,3.3,1.83,-,-,-,44,24.0,70.06,46.66,23.4,2.664,0.664,2.0,-,-,44.0
12,臺北市,2012/06/29,萬華,1.9,0.49,-,14.9,26,30,17.0,26.95,7.27,19.68,-,-,-,31.09,64.07,35.0
13,臺北市,2012/06/29,陽明,0.7,0.11,395.53,21.2,32,11,8.0,-,-,-,-,-,-,22.62,90.45,40.0
14,臺北市,2012/06/29,士林,1.7,0.29,-,18.8,33,35,16.0,15.26,3.0,12.26,-,-,-,30.58,61.0,39.0
15,臺北市,2012/06/28,松山,0.9,0.3,406.75,11.2,17,27,16.0,16.92,7.04,9.88,1.964,0.147,1.82,29.62,66.61,27.0
16,臺北市,2012/06/28,古亭,1.4,0.29,-,11.0,15,39,14.0,15.8,6.91,8.89,1.841,0.104,1.74,30.16,67.2,39.0
17,臺北市,2012/06/28,中山,1.5,0.51,-,8.4,15,36,24.0,28.4,13.93,14.47,2.028,0.195,1.83,30.65,65.4,36.0
