序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2006/07/31,松山,-,0.25,382.87,12.8,18,-,14.0,20.77,12.87,7.9,-,-,-,30.26,-,57.77,17.0,-
2,臺北市,2006/07/31,古亭,2.0,0.29,-,13.6,19,25,10.0,17.15,8.69,8.46,1.943,0.078,1.87,30.86,-,62.77,25.0,-
3,臺北市,2006/07/31,中山,2.3,0.42,-,11.6,17,27,13.0,23.1,12.3,10.8,2.0,0.13,1.87,30.99,-,56.58,27.0,-
4,臺北市,2006/07/31,萬華,0.8,0.38,-,12.7,19,24,14.0,16.83,6.66,10.16,-,-,-,32.22,-,57.58,24.0,-
5,臺北市,2006/07/31,陽明,1.0,0.05,387.8,20.9,25,7,5.0,2.07,1.02,1.05,-,-,-,23.7,-,81.0,25.0,-
6,臺北市,2006/07/31,士林,1.4,0.16,-,14.9,21,30,12.0,9.17,3.01,6.17,-,-,-,30.94,-,59.22,30.0,-
7,臺北市,2006/07/30,松山,2.5,0.24,382.31,11.4,17,26,12.0,17.16,9.42,7.73,-,-,-,30.22,-,57.34,26.0,-
8,臺北市,2006/07/30,古亭,1.5,0.17,-,13.5,18,32,10.0,10.74,5.84,4.9,1.875,0.025,1.85,30.54,-,62.19,32.0,-
9,臺北市,2006/07/30,中山,2.1,0.31,-,10.4,17,24,9.0,19.17,9.76,9.41,1.931,0.096,1.84,30.54,-,57.23,24.0,-
10,臺北市,2006/07/30,萬華,1.1,0.28,-,12.2,18,20,16.0,12.69,5.77,6.92,-,-,-,31.96,-,56.62,20.0,-
11,臺北市,2006/07/30,陽明,2.0,0.05,384.03,18.3,22,6,5.0,1.72,0.88,0.84,-,-,-,23.47,-,80.0,22.0,-
12,臺北市,2006/07/30,士林,1.9,0.14,-,14.2,19,25,8.0,7.47,2.9,4.57,-,-,-,30.52,-,60.11,25.0,-
13,臺北市,2006/07/29,松山,2.2,0.25,387.04,10.9,17,26,12.0,20.79,13.65,7.14,-,-,-,30.31,-,57.9,26.0,-
14,臺北市,2006/07/29,古亭,2.0,0.29,-,10.9,17,27,11.0,19.77,12.51,7.26,1.936,0.066,1.87,30.29,-,64.25,27.0,-
15,臺北市,2006/07/29,中山,2.3,0.4,-,9.3,16,26,15.0,24.81,15.87,8.94,2.013,0.129,1.88,30.65,-,56.47,26.0,-
16,臺北市,2006/07/29,萬華,1.9,0.38,-,9.2,15,22,14.0,19.22,9.78,9.44,-,-,-,31.74,-,58.63,22.0,-
17,臺北市,2006/07/29,陽明,1.6,0.06,386.44,17.2,21,6,5.0,3.16,1.71,1.45,-,-,-,23.49,-,80.0,20.0,-
18,臺北市,2006/07/29,士林,1.2,0.19,-,11.3,18,27,7.0,11.22,4.5,6.72,-,-,-,30.47,-,59.72,27.0,-
19,臺北市,2006/07/28,松山,2.8,0.37,392.01,10.0,17,31,14.0,25.2,12.28,12.92,-,-,-,29.85,-,62.53,31.0,-
20,臺北市,2006/07/28,古亭,2.3,0.47,-,12.5,24,34,12.0,30.03,16.05,13.98,2.077,0.149,1.93,29.98,-,67.78,34.0,-
21,臺北市,2006/07/28,中山,3.4,0.58,-,11.4,22,34,17.0,33.71,17.16,16.55,2.13,0.203,1.93,30.21,-,61.03,34.0,-
22,臺北市,2006/07/28,萬華,2.4,0.62,-,12.6,25,32,18.0,30.01,13.21,16.8,-,-,-,31.1,-,64.24,32.0,-
23,臺北市,2006/07/28,陽明,1.5,0.09,387.9,24.5,32,10,7.0,3.87,1.15,2.72,-,-,-,23.1,-,85.0,32.0,-
24,臺北市,2006/07/28,士林,2.6,0.33,-,13.3,27,37,12.0,19.92,7.04,12.87,-,-,-,29.79,-,65.44,37.0,-
25,臺北市,2006/07/27,松山,3.3,0.44,390.9,17.9,28,33,17.0,33.54,12.55,20.99,-,-,-,29.35,-,63.46,48.0,-
