序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2003/07/31,松山,4.8,0.7,385.16,31.5,-,48,-,33.24,6.23,27.01,-,-,-,30.9,-,-,67.0,-
2,臺北市,2003/07/31,古亭,1.7,0.76,-,22.1,-,35,25.29,29.77,8.01,21.75,3.34,1.25,2.09,31.85,-,-,53.0,-
3,臺北市,2003/07/31,中山,4.9,0.72,-,13.2,-,40,-,31.86,7.47,24.39,2.702,0.52,2.18,31.41,-,-,40.0,-
4,臺北市,2003/07/31,大同,6.0,0.96,-,-,-,-,-,-,-,-,2.901,0.49,2.41,31.79,-,-,14.0,-
5,臺北市,2003/07/31,萬華,2.3,0.79,-,16.0,-,35,-,27.76,6.68,21.08,-,-,-,31.26,-,-,45.0,-
6,臺北市,2003/07/31,陽明,1.9,0.32,379.61,28.7,-,17,-,10.87,1.21,9.66,-,-,-,24.03,-,94.0,48.0,-
7,臺北市,2003/07/31,士林,3.2,0.49,-,11.8,-,31,-,24.14,6.77,17.37,-,-,-,29.98,-,-,31.0,-
8,臺北市,2003/07/30,松山,4.7,0.65,378.65,29.3,-,42,-,29.35,5.7,23.66,-,-,-,31.56,-,-,62.0,-
9,臺北市,2003/07/30,古亭,1.6,0.73,-,26.1,-,31,18.25,29.74,7.76,21.98,3.383,1.23,2.15,32.35,-,-,70.0,-
10,臺北市,2003/07/30,中山,4.7,0.76,-,12.6,-,43,-,36.7,9.3,27.4,2.749,0.55,2.2,32.0,-,-,44.0,-
11,臺北市,2003/07/30,大同,4.5,0.94,-,-,-,-,-,-,-,-,2.843,0.54,2.3,32.38,-,-,13.0,-
12,臺北市,2003/07/30,萬華,3.3,0.79,-,23.1,-,37,-,26.36,5.85,20.51,-,-,-,32.0,-,-,72.0,-
