序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2010/04/30,松山,1.4,0.48,405.14,38.4,44,73,29.0,35.27,8.2,27.07,1.885,0.205,1.68,24.44,38.6,62.0
2,臺北市,2010/04/30,古亭,2.0,0.57,-,39.3,49,78,26.0,36.59,10.97,25.62,2.042,0.198,1.84,23.91,46.32,64.0
3,臺北市,2010/04/30,中山,2.7,0.74,-,29.2,41,83,29.0,49.34,14.53,34.81,2.271,0.293,1.98,24.4,43.38,66.0
4,臺北市,2010/04/30,萬華,1.4,0.68,-,31.1,42,70,26.0,44.51,12.05,32.46,-,-,-,23.96,45.87,60.0
5,臺北市,2010/04/30,陽明,2.0,0.17,389.53,57.6,61,37,22.0,2.75,0.96,1.79,-,-,-,14.52,67.64,53.0
6,臺北市,2010/04/30,士林,1.7,0.35,-,49.3,58,83,19.0,17.81,2.79,15.02,-,-,-,23.73,43.64,66.0
7,臺北市,2010/04/29,松山,2.8,0.61,407.73,46.0,56,161,50.0,29.78,8.14,21.64,1.909,0.203,1.71,22.61,65.76,106.0
8,臺北市,2010/04/29,古亭,2.7,0.62,-,42.4,54,157,47.0,29.98,5.89,24.1,2.035,0.174,1.86,22.61,69.1,104.0
9,臺北市,2010/04/29,中山,3.7,0.78,-,36.0,44,166,49.0,37.8,9.66,28.13,2.263,0.266,2.0,22.79,66.97,108.0
10,臺北市,2010/04/29,萬華,1.7,0.64,-,35.8,48,141,44.0,31.81,5.67,26.15,-,-,-,22.16,67.61,96.0
11,臺北市,2010/04/29,陽明,2.1,0.28,393.36,61.2,66,61,32.0,3.96,1.32,2.63,-,-,-,12.97,86.7,56.0
12,臺北市,2010/04/29,士林,3.2,0.59,-,51.8,65,159,41.0,22.43,7.78,14.65,-,-,-,22.24,65.65,104.0
13,臺北市,2010/04/28,松山,4.1,1.4,435.48,17.4,35,140,60.0,96.88,45.17,51.7,2.711,0.695,2.02,21.43,67.56,95.0
14,臺北市,2010/04/28,古亭,2.8,1.11,-,17.4,31,127,46.0,61.78,24.07,37.7,2.518,0.476,2.04,21.2,69.8,88.0
15,臺北市,2010/04/28,中山,5.5,1.56,-,15.6,28,144,56.0,92.95,42.1,50.85,2.982,0.726,2.26,21.51,69.7,97.0
16,臺北市,2010/04/28,萬華,3.3,1.18,-,14.3,23,115,46.0,64.11,22.61,41.49,-,-,-,21.18,71.0,82.0
17,臺北市,2010/04/28,陽明,1.6,0.29,398.17,53.3,59,42,24.0,5.06,1.13,3.94,-,-,-,14.12,75.5,51.0
18,臺北市,2010/04/28,士林,3.9,1.1,-,25.0,45,127,37.0,59.08,20.68,38.4,-,-,-,20.89,68.57,88.0
19,臺北市,2010/04/27,松山,2.7,0.66,414.92,24.7,30,100,42.0,45.02,9.01,36.0,2.035,0.281,1.75,20.6,70.76,75.0
20,臺北市,2010/04/27,古亭,2.2,0.71,-,29.0,37,105,41.0,36.4,7.48,28.92,2.134,0.223,1.91,20.38,74.14,78.0
