序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2009/01/31,松山,1.2,0.44,398.71,22.8,28,42,20.0,21.27,3.85,17.42,1.993,0.116,1.88,17.12,64.64,42.0
2,臺北市,2009/01/31,古亭,1.1,0.4,-,26.9,32,46,23.0,19.46,4.42,15.04,1.903,0.089,1.81,17.48,69.7,46.0
3,臺北市,2009/01/31,中山,2.3,0.53,-,21.0,26,49,29.0,28.52,5.95,22.57,2.051,0.172,1.88,16.4,65.82,49.0
4,臺北市,2009/01/31,萬華,0.9,0.41,-,27.6,34,48,24.0,17.01,2.69,14.32,-,-,-,17.2,67.78,48.0
5,臺北市,2009/01/31,陽明,0.9,0.22,388.57,39.7,45,23,14.0,4.36,2.03,2.33,-,-,-,10.5,92.27,39.0
6,臺北市,2009/01/31,士林,2.0,0.37,-,32.1,39,51,23.0,15.74,3.5,12.24,-,-,-,16.82,64.63,50.0
7,臺北市,2009/01/30,松山,1.8,0.66,411.38,11.3,18,38,24.0,30.19,8.24,21.95,2.207,0.214,1.99,17.29,80.73,38.0
8,臺北市,2009/01/30,古亭,1.4,0.72,-,9.0,14,40,25.0,36.35,11.95,24.4,2.168,0.22,1.95,16.96,88.44,40.0
9,臺北市,2009/01/30,中山,2.5,0.79,-,9.2,14,42,31.0,42.37,14.77,27.6,2.307,0.265,2.04,16.33,82.28,42.0
10,臺北市,2009/01/30,萬華,1.1,0.66,-,12.5,21,36,24.0,26.95,6.18,20.77,-,-,-,16.59,86.1,36.0
11,臺北市,2009/01/30,陽明,1.4,0.27,391.58,35.1,40,8,6.0,3.99,1.77,2.21,-,-,-,11.54,95.62,37.0
12,臺北市,2009/01/30,士林,1.8,0.55,-,15.2,24,38,17.0,23.89,4.52,19.37,-,-,-,16.61,82.52,38.0
13,臺北市,2009/01/29,松山,2.2,0.62,406.09,15.2,25,37,26.0,26.86,5.35,21.52,2.193,0.204,1.99,20.0,81.25,37.0
14,臺北市,2009/01/29,古亭,2.1,0.54,-,19.3,30,39,22.0,24.26,5.45,18.81,2.085,0.168,1.92,19.91,85.87,39.0
15,臺北市,2009/01/29,中山,2.4,0.64,-,15.6,23,38,27.0,34.3,10.95,23.35,2.243,0.235,2.01,18.9,83.96,38.0
16,臺北市,2009/01/29,萬華,1.8,0.51,-,18.9,31,32,22.0,23.05,4.6,18.44,-,-,-,19.32,85.71,32.0
17,臺北市,2009/01/29,陽明,1.7,0.23,386.17,36.4,40,10,7.0,4.08,2.07,1.99,-,-,-,16.22,92.32,34.0
18,臺北市,2009/01/29,士林,1.7,0.63,-,17.7,30,51,24.0,31.61,11.55,20.06,-,-,-,18.95,85.52,50.0
19,臺北市,2009/01/28,松山,2.5,0.47,402.12,17.3,28,16,13.0,26.21,6.29,19.92,2.137,0.152,1.99,19.06,83.63,27.0
20,臺北市,2009/01/28,古亭,1.4,0.47,-,21.2,32,21,12.0,26.67,6.83,19.84,2.061,0.13,1.93,19.52,86.32,29.0
21,臺北市,2009/01/28,中山,3.2,0.61,-,15.6,27,24,20.0,37.99,12.35,25.64,2.338,0.239,2.1,18.45,82.95,25.0
22,臺北市,2009/01/28,萬華,2.2,0.53,-,21.6,35,25,14.0,25.93,6.07,19.86,-,-,-,19.3,84.68,32.0
23,臺北市,2009/01/28,陽明,1.4,0.21,382.18,39.9,41,6,4.0,3.19,2.02,1.18,-,-,-,14.88,95.77,35.0
24,臺北市,2009/01/28,士林,1.8,0.54,-,19.6,36,39,18.0,24.33,5.3,19.03,-,-,-,18.95,78.95,39.0
25,臺北市,2009/01/27,松山,2.0,0.35,395.41,26.4,30,9,7.0,16.83,2.98,13.84,1.949,0.082,1.87,14.93,87.94,27.0
26,臺北市,2009/01/27,古亭,1.5,0.36,-,30.5,36,17,8.0,17.22,3.46,13.76,1.889,0.074,1.82,15.23,92.73,33.0
27,臺北市,2009/01/27,中山,1.9,0.41,-,25.9,32,14,16.0,22.43,4.77,17.67,1.994,0.123,1.87,14.59,83.67,29.0
28,臺北市,2009/01/27,萬華,1.5,0.4,-,28.9,33,21,14.0,16.63,2.32,14.32,-,-,-,15.11,88.77,30.0
29,臺北市,2009/01/27,陽明,1.4,0.21,380.09,41.3,42,5,3.0,2.5,0.96,1.52,-,-,-,10.57,96.05,35.0
