序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/04/30,松山,4.6,0.72,458.7,32.6,49,29,33.85,5.73,28.12,2.14,0.202,1.938,0.91,0.66,26.39,-,-,72.04,-
2,臺北市,2018/04/30,古亭,3.7,0.66,-,30.5,46,22,29.72,5.33,24.38,2.157,0.179,1.979,1.44,1.18,26.69,-,-,70.35,-
3,臺北市,2018/04/30,中山,3.5,0.75,-,28.4,47,26,34.09,7.7,26.39,2.182,0.198,1.984,1.57,1.19,26.98,-,-,75.27,-
4,臺北市,2018/04/30,大同,4.5,1.66,-,-,62,28,69.53,35.06,34.47,2.582,0.444,2.138,-,-,-,-,-,-,-
5,臺北市,2018/04/30,萬華,4,0.7,-,27.3,39,21,30.12,4.95,25.16,-,-,-,1.32,0.97,27.23,-,-,72.57,-
6,臺北市,2018/04/30,陽明,2.1,0.3,435.09,48.8,20,18,8.01,2.48,5.51,-,-,-,0.91,-,20.7,0,0,87.76,0
7,臺北市,2018/04/30,士林,2.6,0.53,-,28.6,42,30,18.16,1.7,16.43,-,-,-,1.46,1.31,27.1,-,-,77.96,-
8,臺北市,2018/04/29,松山,4.2,0.6,450.26,44.3,57,33,25.34,2.84,22.51,2.109,0.169,1.941,0.85,0.51,25.46,-,-,72.82,-
9,臺北市,2018/04/29,古亭,3.2,0.59,-,46.4,47,27,21.87,2.64,19.22,2.152,0.14,2.012,1.2,1.02,25.87,-,-,71.3,-
10,臺北市,2018/04/29,中山,3,0.65,-,45.4,55,34,25.87,2.08,23.77,2.147,0.153,1.994,1.56,1.19,26.23,-,-,74.73,-
11,臺北市,2018/04/29,大同,4.2,1.26,-,-,74,35,59.96,21.27,38.69,2.479,0.327,2.153,-,-,-,-,-,-,-
12,臺北市,2018/04/29,萬華,3.9,0.6,-,48.4,55,34,22.16,1.97,20.19,-,-,-,1.36,0.98,26.55,-,-,71.35,-
13,臺北市,2018/04/29,陽明,1.8,0.37,436.94,61.5,29,27,4.62,0.57,4,-,-,-,1.43,-,20.3,0,0,87.44,0
14,臺北市,2018/04/29,士林,3.3,0.5,-,45.3,47,34,14.01,0.91,13.06,-,-,-,1.52,1.25,26.3,-,-,76.78,-
15,臺北市,2018/04/28,松山,1.3,0.41,423.01,57.7,41,21,16.69,1.2,15.49,1.868,0.09,1.779,1.97,1.65,24.13,-,-,68.12,-
16,臺北市,2018/04/28,古亭,1.6,0.43,-,59.9,38,16,16.24,1.49,14.76,1.956,0.075,1.881,2.45,2.31,24.71,-,-,65.45,-
17,臺北市,2018/04/28,中山,0.6,0.54,-,50.7,46,23,22.58,2.23,20.35,2.017,0.122,1.895,2.16,1.78,24.62,-,-,71.77,-
18,臺北市,2018/04/28,大同,1.9,0.77,-,-,63,23,47.14,14.96,32.19,2.17,0.205,1.964,-,-,-,-,-,-,-
19,臺北市,2018/04/28,萬華,2,0.44,-,56.2,43,21,20.7,1.09,19.61,-,-,-,2.5,2.2,25.04,-,-,67.41,-
20,臺北市,2018/04/28,陽明,2,0.27,423.8,66.1,23,20,4.35,0.48,3.83,-,-,-,2.33,-,17.38,0,0,95.55,0
21,臺北市,2018/04/28,士林,1.6,0.32,-,59.2,39,22,9.87,2.03,7.84,-,-,-,2.55,2.34,25.31,-,-,71.35,-
22,臺北市,2018/04/27,松山,3.5,0.51,435.53,34.4,39,20,29.39,3.7,25.69,2.044,0.168,1.877,1.74,1.37,23.37,-,-,72.15,-
23,臺北市,2018/04/27,古亭,2.4,0.49,-,40,41,19,26.33,3.39,22.94,2.063,0.13,1.933,1.99,1.58,23.84,-,-,69.96,-
