序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2008/01/31,中山,3.3,0.86,-,9.4,17,23,14.0,48.51,19.38,29.13,2.317,0.268,2.05,-,-,12.18,-,87.66,23.0,-
2,臺北市,2008/01/31,松山,2.5,0.62,399.73,14.6,18,14,12.0,28.57,6.38,22.18,2.113,0.185,1.93,-,-,12.84,-,87.69,18.0,-
3,臺北市,2008/01/31,萬華,2.8,0.8,-,14.1,21,17,12.0,34.52,9.17,25.35,-,-,-,-,-,12.91,-,91.04,20.0,-
4,臺北市,2008/01/31,古亭,2.1,0.74,-,13.6,21,19,13.0,36.96,13.34,23.63,2.059,0.169,1.89,-,-,12.62,-,91.31,20.0,-
5,臺北市,2008/01/31,士林,2.4,0.51,-,25.2,29,22,7.0,14.96,3.08,11.88,-,-,-,-,-,12.8,-,80.86,28.0,-
6,臺北市,2008/01/31,陽明,1.9,0.39,396.32,35.3,37,5,3.0,3.08,1.07,2.01,-,-,-,-,-,6.6,-,93.0,33.0,-
7,臺北市,2008/01/30,中山,3.1,0.96,-,8.2,13,25,17.0,47.26,19.9,27.36,2.341,0.298,2.04,-,-,14.01,-,83.34,25.0,-
8,臺北市,2008/01/30,松山,3.0,0.71,404.36,11.3,14,16,14.0,33.59,9.28,24.31,2.157,0.199,1.96,-,-,14.15,-,87.32,17.0,-
9,臺北市,2008/01/30,萬華,2.8,0.87,-,12.6,17,18,12.0,32.59,7.74,24.84,-,-,-,-,-,14.36,-,89.01,21.0,-
10,臺北市,2008/01/30,古亭,2.8,0.8,-,11.4,16,22,12.0,36.85,12.83,24.02,2.075,0.19,1.89,-,-,14.15,-,89.41,22.0,-
11,臺北市,2008/01/30,士林,2.7,0.65,-,15.9,20,24,9.0,22.3,4.03,18.27,-,-,-,-,-,14.73,-,79.13,24.0,-
12,臺北市,2008/01/30,陽明,2.2,0.47,394.83,31.9,38,5,3.0,4.99,1.24,3.75,-,-,-,-,-,8.06,-,92.83,34.0,-
13,臺北市,2008/01/29,中山,3.6,0.84,-,7.0,9,30,19.0,57.45,26.99,30.46,2.425,0.326,2.1,-,-,15.72,-,82.13,30.0,-
