序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2015/08/31,松山,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-
2,臺北市,2015/08/31,松山,2.3,0.62,416.12,13.2,18,-,37.05,13.79,23.26,2.081,0.236,1.845,1.42,1.12,25.49,-,-,87.7,-
3,臺北市,2015/08/31,古亭,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-
4,臺北市,2015/08/31,古亭,2.8,0.73,-,10.8,28,-,37.42,13.66,23.76,2.397,0.353,2.044,1.37,1.01,25.37,-,-,95.56,-
5,臺北市,2015/08/31,中山,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-
6,臺北市,2015/08/31,中山,2.7,1.06,-,11.1,22,-,52.11,24.38,27.73,2.415,0.377,2.038,1.32,0.8,26.07,-,-,90.3,-
7,臺北市,2015/08/31,大同,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-
8,臺北市,2015/08/31,大同,3,1.42,-,-,32,-,53.63,26.93,26.71,2.511,0.466,2.045,-,-,-,-,-,-,-
9,臺北市,2015/08/31,萬華,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-
10,臺北市,2015/08/31,萬華,3.8,0.88,-,12.1,23,-,43.1,13.74,29.36,-,-,-,1.18,1,26.41,-,-,89.09,-
11,臺北市,2015/08/31,陽明,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-
12,臺北市,2015/08/31,陽明,0.5,0.13,402.74,33.3,5,-,2.86,0.81,2.05,-,-,-,-,-,20.26,2.75,4.96,100,7.68
13,臺北市,2015/08/31,士林,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-
14,臺北市,2015/08/31,士林,8.9,0.39,-,22.7,19,-,16.5,2.99,13.49,-,-,-,1.34,1.19,25.25,-,-,87.93,-
15,臺北市,2015/08/30,松山,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-
16,臺北市,2015/08/30,松山,2.4,0.44,415.46,15,20,-,25.62,5.97,19.64,1.997,0.154,1.843,1.28,0.98,26.17,-,-,84.97,-
17,臺北市,2015/08/30,古亭,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
18,臺北市,2015/08/30,古亭,2.2,0.53,-,13,26,-,24.33,5.91,18.43,2.426,0.402,2.024,1.54,1.19,26.09,-,-,92.84,-
19,臺北市,2015/08/30,中山,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-
20,臺北市,2015/08/30,中山,2.4,0.69,-,10.9,22,-,35.98,11.32,24.67,2.231,0.235,1.996,1.39,0.86,26.75,-,-,88.32,-
21,臺北市,2015/08/30,大同,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-
22,臺北市,2015/08/30,大同,2.6,1.1,-,-,33,-,48.69,25.69,22.99,2.346,0.343,2.003,-,-,-,-,-,-,-
23,臺北市,2015/08/30,萬華,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-
24,臺北市,2015/08/30,萬華,2.8,0.63,-,13.6,18,-,30.35,7.69,22.66,-,-,-,1.33,0.96,27.2,-,-,86.78,-
25,臺北市,2015/08/30,陽明,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
26,臺北市,2015/08/30,陽明,0.5,0.12,407.26,30,5,-,2.93,1.2,1.72,-,-,-,-,-,20.51,0.79,4.78,99.73,13.25
27,臺北市,2015/08/30,士林,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-
