序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/03/31,松山,1.6,0.69,445.44,26.9,41,23,36.78,10.55,26.23,2.28,0.262,2.019,1.78,1.41,19.29,-,-,78.92,-
2,臺北市,2017/03/31,古亭,1.6,0.61,-,27.3,37,23,31.65,6.3,25.35,2.258,0.224,2.034,1.88,1.55,19.09,-,-,82.03,-
3,臺北市,2017/03/31,中山,2.2,0.92,-,20.9,48,24,47.75,15.12,32.63,2.34,0.313,2.027,1.5,1,19.9,-,-,82.81,-
4,臺北市,2017/03/31,大同,3.1,1.37,-,-,64,24,78.24,39.25,38.99,2.677,0.462,2.215,-,-,-,-,-,-,-
5,臺北市,2017/03/31,萬華,-,0.72,-,22,41,24,38.6,7.28,31.32,-,-,-,1.5,1.04,19.8,-,-,79.32,-
6,臺北市,2017/03/31,陽明,0.9,0.2,422,53.5,25,18,4.17,0.35,3.75,-,-,-,-,-,12.38,2.83,4.52,94.44,21.93
7,臺北市,2017/03/31,士林,2.2,0.61,-,26.6,40,19,28.93,6.99,21.94,-,-,-,1.55,0.97,19.12,-,-,82.58,-
8,臺北市,2017/03/30,松山,1.1,0.82,449.28,30.5,61,34,43.31,10.33,32.98,2.327,0.297,2.029,1.41,1.04,22.87,-,-,69.31,-
9,臺北市,2017/03/30,古亭,3,0.81,-,32.3,61,38,38.08,7.5,30.58,2.406,0.325,2.082,1.33,0.95,22.83,-,-,70.02,-
10,臺北市,2017/03/30,中山,3.4,1,-,26,67,33,49.89,12.16,37.73,2.411,0.353,2.058,1.49,0.82,23.36,-,-,73.37,-
11,臺北市,2017/03/30,大同,5,1.8,-,-,93,37,83.29,37.79,45.5,2.986,0.617,2.369,-,-,-,-,-,-,-
12,臺北市,2017/03/30,萬華,4.1,0.92,-,29.7,66,35,40.96,6.15,34.81,-,-,-,1.1,0.68,23.48,-,-,69.81,-
13,臺北市,2017/03/30,陽明,2,0.27,419.3,61.2,33,25,4.96,0.84,4.11,-,-,-,-,-,16.99,0,0,76.03,0
14,臺北市,2017/03/30,士林,2.8,0.74,-,27.3,63,32,34.76,5.77,28.99,-,-,-,1.4,1.12,22.36,-,-,75.81,-
15,臺北市,2017/03/29,松山,-,0.69,445.77,33.7,73,36,37.51,4.79,32.72,2.221,0.22,2,1.48,1.1,21.57,-,-,65.63,-
16,臺北市,2017/03/29,古亭,5.2,0.66,-,44.6,68,39,31.91,4.16,27.75,2.271,0.241,2.029,1.72,1.29,21.58,-,-,66.43,-
17,臺北市,2017/03/29,中山,4.4,0.8,-,34.7,73,36,42.09,7.49,34.6,2.257,0.257,2.001,1.85,1.2,22.28,-,-,68.27,-
18,臺北市,2017/03/29,大同,6.3,1.62,-,-,90,41,82.49,35.38,47.11,2.747,0.524,2.223,-,-,-,-,-,-,-
19,臺北市,2017/03/29,萬華,5.3,0.74,-,36.6,75,36,36.96,4.13,32.83,-,-,-,1.46,0.99,22.23,-,-,65.16,-
20,臺北市,2017/03/29,陽明,3.1,0.27,421.28,67.5,46,30,4.78,0.6,4.15,-,-,-,-,-,14.86,0,0,73.88,0
21,臺北市,2017/03/29,士林,3,0.56,-,40.1,64,33,24.09,2.92,21.12,-,-,-,1.44,1.24,21.54,-,-,70.83,-
22,臺北市,2017/03/28,松山,4.3,0.46,428.06,58.7,68,30,20.14,2.8,17.35,1.965,0.096,1.869,1.86,0.94,22.26,-,-,53.54,-
23,臺北市,2017/03/28,古亭,2.2,0.48,-,61.8,66,30,19.12,2.31,16.81,2.193,0.197,1.996,2.38,2.15,23.04,-,-,53.25,-
