序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2016/02/29,松山,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
2,臺北市,2016/02/29,松山,2.1,0.42,423.32,42.3,84,-,16.64,1.95,14.69,1.949,0.082,1.867,2.18,1.83,15.94,-,-,62.31,-
3,臺北市,2016/02/29,古亭,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,-,-
4,臺北市,2016/02/29,古亭,1.6,0.43,-,43.1,71,-,16.8,2.59,14.21,2.032,0.087,1.945,3.1,2.61,15.91,-,-,68.33,-
5,臺北市,2016/02/29,中山,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,-,-,-
6,臺北市,2016/02/29,中山,1.6,0.61,-,34.5,79,-,28.58,6.06,22.52,2.125,0.164,1.961,2.35,1.84,16.87,-,-,66.5,-
7,臺北市,2016/02/29,大同,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-
8,臺北市,2016/02/29,大同,2.6,0.89,-,-,-,-,52.63,23.88,28.75,2.305,0.245,2.06,-,-,-,-,-,-,-
9,臺北市,2016/02/29,萬華,-,-,-,-,-,37,-,-,-,-,-,-,-,-,-,-,-,-,-
10,臺北市,2016/02/29,萬華,1.7,0.53,-,36.3,73,-,26.71,4.66,22.05,-,-,-,2.7,2.45,17.01,-,-,61.75,-
11,臺北市,2016/02/29,陽明,-,-,-,-,-,34,-,-,-,-,-,-,-,-,-,-,-,-,-
12,臺北市,2016/02/29,陽明,1.8,0.27,416.37,55,53,-,2.81,0.28,2.44,-,-,-,-,-,8.24,0,0,90.12,0
13,臺北市,2016/02/29,士林,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-
14,臺北市,2016/02/29,士林,2.8,0.41,-,43.4,72,-,14.48,3.31,11.18,-,-,-,2.55,1.9,15.95,-,-,62.84,-
15,臺北市,2016/02/28,松山,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
16,臺北市,2016/02/28,松山,2.2,0.49,428.72,24.5,24,-,28.61,6.28,22.33,2.077,0.141,1.936,1.43,1.26,17.85,-,-,72.16,-
17,臺北市,2016/02/28,古亭,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
18,臺北市,2016/02/28,古亭,2.1,0.5,-,27,26,-,27.84,6.05,21.78,2.168,0.135,2.033,1.87,1.61,18.2,-,-,75.12,-
19,臺北市,2016/02/28,中山,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-
20,臺北市,2016/02/28,中山,2.7,0.66,-,21.1,26,-,39.84,10.48,29.36,2.152,0.194,1.958,1.85,1.5,18.84,-,-,75.72,-
21,臺北市,2016/02/28,大同,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-
22,臺北市,2016/02/28,大同,3.2,1.17,-,-,44,-,78.74,43.23,35.51,2.492,0.366,2.126,-,-,-,-,-,-,-
23,臺北市,2016/02/28,萬華,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-
24,臺北市,2016/02/28,萬華,2.5,0.64,-,22.9,26,-,40.89,12.6,28.29,-,-,-,2.14,1.81,19.34,-,-,70.8,-
25,臺北市,2016/02/28,陽明,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-
26,臺北市,2016/02/28,陽明,1.3,0.21,411.27,48.2,14,-,2.23,0.36,1.79,-,-,-,-,-,12.44,0,0,85.67,0
27,臺北市,2016/02/28,士林,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-
