序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2007/09/30,松山,3.2,0.27,377.91,8.1,11,20,13.0,20.83,11.91,8.92,1.879,0.099,1.78,-,-,28.13,-,79.83,20.0,-
2,臺北市,2007/09/30,古亭,3.6,0.31,-,6.6,10,25,13.0,19.6,11.25,8.35,1.837,0.081,1.76,-,-,29.13,-,77.16,25.0,-
3,臺北市,2007/09/30,陽明,2.2,0.05,384.87,12.0,15,5,5.0,3.07,1.45,1.61,-,-,-,-,-,21.49,-,94.59,16.0,-
4,臺北市,2007/09/30,士林,4.9,0.16,-,9.8,12,25,10.0,8.7,3.25,5.45,-,-,-,-,-,28.71,-,73.95,25.0,-
5,臺北市,2007/09/30,萬華,2.0,0.34,-,-,-,19,7.0,17.38,8.21,9.18,-,-,-,-,-,29.76,-,71.67,19.0,-
6,臺北市,2007/09/30,中山,3.9,0.38,-,6.7,10,30,20.0,26.48,16.51,9.97,1.985,0.142,1.84,-,-,29.44,-,78.24,30.0,-
7,臺北市,2007/09/29,松山,2.6,0.35,378.21,8.9,12,23,13.0,24.35,14.56,9.79,1.926,0.165,1.76,-,-,29.11,-,72.17,23.0,-
8,臺北市,2007/09/29,古亭,1.8,0.31,-,10.3,14,22,13.0,17.68,10.34,7.34,1.829,0.08,1.75,-,-,30.09,-,69.84,22.0,-
9,臺北市,2007/09/29,陽明,3.9,0.06,385.66,10.3,12,6,7.0,6.76,2.06,4.7,-,-,-,-,-,21.53,-,93.38,14.0,-
10,臺北市,2007/09/29,士林,2.7,0.19,-,12.1,17,27,11.0,9.54,4.04,5.49,-,-,-,-,-,28.9,-,72.74,27.0,-
11,臺北市,2007/09/29,萬華,2.0,0.35,-,-,14,27,9.0,16.87,7.51,9.36,-,-,-,-,-,30.09,-,65.97,27.0,-
12,臺北市,2007/09/29,中山,3.6,0.51,-,7.3,10,28,12.0,29.63,18.75,10.88,2.058,0.214,1.84,-,-,30.3,-,71.84,28.0,-
13,臺北市,2007/09/28,松山,3.1,0.44,381.26,10.9,17,26,14.0,26.05,12.1,13.95,2.066,0.211,1.86,-,-,29.21,-,67.27,26.0,-
14,臺北市,2007/09/28,古亭,2.0,0.38,-,11.9,15,27,14.0,21.48,9.14,12.35,1.925,0.112,1.81,-,-,30.23,-,65.26,27.0,-
15,臺北市,2007/09/28,陽明,4.2,0.1,378.99,18.0,21,10,10.0,5.65,2.06,3.58,-,-,-,-,-,21.68,-,88.08,20.0,-
16,臺北市,2007/09/28,士林,2.4,0.23,-,18.3,22,28,10.0,10.97,3.34,7.62,-,-,-,-,-,29.46,-,65.56,28.0,-
17,臺北市,2007/09/28,萬華,1.6,0.43,-,14.1,19,23,11.0,18.68,6.06,12.61,-,-,-,-,-,31.34,-,58.44,23.0,-
18,臺北市,2007/09/28,中山,3.2,0.55,-,7.0,12,29,13.0,31.3,16.08,15.23,2.182,0.287,1.9,-,-,30.95,-,64.28,29.0,-
19,臺北市,2007/09/27,松山,4.2,0.43,383.26,13.6,21,30,19.0,26.13,9.63,16.49,2.052,0.198,1.85,-,-,28.97,-,69.15,30.0,-
20,臺北市,2007/09/27,古亭,2.7,0.39,-,15.4,19,31,17.0,22.98,9.28,13.71,1.93,0.121,1.81,-,-,29.98,-,67.35,31.0,-
21,臺北市,2007/09/27,陽明,3.1,0.09,379.01,24.0,26,12,11.0,4.39,1.77,2.61,-,-,-,-,-,21.44,-,89.5,25.0,-
22,臺北市,2007/09/27,士林,3.2,0.21,-,23.8,26,32,15.0,10.97,3.68,7.28,-,-,-,-,-,29.28,-,66.27,32.0,-
