序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2007/07/31,中山,-,-,-,-,55,-,-,-,-,-,-,-,-,-,-,-,-,-,92.0,-
2,臺北市,2007/07/31,松山,9.5,0.79,409.7,31.8,68,57,41.0,42.85,9.87,32.98,2.277,0.366,1.91,-,-,29.79,-,70.68,90.0,-
3,臺北市,2007/07/31,萬華,5.0,0.94,-,36.1,82,55,38.0,37.76,8.18,29.58,-,-,-,-,-,30.06,-,70.72,104.0,-
4,臺北市,2007/07/31,古亭,2.8,0.76,-,31.7,72,56,34.0,36.29,13.22,23.08,2.236,0.378,1.86,-,-,27.99,-,79.34,115.0,-
5,臺北市,2007/07/31,士林,5.2,0.7,-,42.8,96,69,47.0,33.04,7.47,25.58,-,-,-,-,-,29.3,-,74.3,114.0,-
6,臺北市,2007/07/31,陽明,3.2,0.27,395.38,48.5,73,44,34.0,8.53,1.89,6.64,-,-,-,-,-,22.84,-,88.83,67.0,-
7,臺北市,2007/07/30,中山,-,-,-,-,43,-,-,-,-,-,-,-,-,-,-,-,-,-,63.0,-
8,臺北市,2007/07/30,松山,3.9,0.63,399.09,23.2,38,47,33.0,35.49,9.9,25.6,2.286,0.332,1.95,-,-,30.03,-,69.61,47.0,-
9,臺北市,2007/07/30,萬華,3.2,0.86,-,30.1,63,57,35.0,32.91,6.29,26.62,-,-,-,-,-,30.62,-,68.77,86.0,-
10,臺北市,2007/07/30,古亭,3.0,0.83,-,24.5,50,54,39.0,41.17,12.92,28.25,2.255,0.371,1.88,-,-,28.98,-,76.4,89.0,-
11,臺北市,2007/07/30,士林,2.9,0.52,-,31.1,58,49,31.0,25.81,3.26,22.55,-,-,-,-,-,29.82,-,69.95,75.0,-
12,臺北市,2007/07/30,陽明,2.7,0.2,386.17,29.7,43,25,20.0,5.69,1.35,4.35,-,-,-,-,-,23.2,-,86.6,41.0,-
13,臺北市,2007/07/29,中山,4.8,0.6,-,24.1,50,53,24.0,31.19,9.89,21.3,2.538,0.543,2.0,-,-,31.77,-,63.42,69.0,-
14,臺北市,2007/07/29,松山,7.4,0.43,390.28,19.9,38,44,36.0,24.86,8.15,16.71,2.055,0.173,1.88,-,-,30.68,-,66.38,60.0,-
15,臺北市,2007/07/29,萬華,2.2,0.56,-,29.8,63,45,34.0,22.41,5.07,17.35,-,-,-,-,-,31.34,-,63.46,77.0,-
