序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2013/11/30,松山,3.7,0.54,428.0,19.3,40,38,27.0,36.54,9.08,27.44,2.171,0.217,1.96,1.75,15.74,57.54,39.0
2,臺北市,2013/11/30,古亭,2.9,0.49,-,27.3,39,48,22.0,29.96,9.66,20.31,2.067,0.138,1.93,2.24,16.96,55.63,48.0
3,臺北市,2013/11/30,中山,2.7,0.64,-,18.3,30,71,33.0,42.15,13.0,29.15,2.188,0.22,1.97,2.02,17.65,54.89,60.0
4,臺北市,2013/11/30,大同,4.8,1.11,-,-,-,65,31.0,80.24,44.15,36.08,2.402,0.41,1.99,-,-,-,58.0
5,臺北市,2013/11/30,萬華,3.7,0.53,-,19.6,34,36,26.0,39.53,8.97,30.56,-,-,-,1.9,17.53,51.96,37.0
6,臺北市,2013/11/30,陽明,5.2,0.22,397.82,43.3,50,24,14.0,4.67,0.93,3.72,-,-,-,-,10.56,83.19,43.0
7,臺北市,2013/11/30,士林,3.7,0.31,-,38.0,45,45,22.0,12.69,1.6,11.08,-,-,-,2.11,17.59,52.93,45.0
8,臺北市,2013/11/29,松山,4.4,0.43,424.04,26.0,43,44,26.0,25.22,3.32,21.89,2.081,0.149,1.93,2.13,13.4,51.82,44.0
9,臺北市,2013/11/29,古亭,3.9,0.45,-,25.2,38,53,23.0,27.42,9.22,18.2,2.018,0.132,1.89,2.57,13.48,58.53,52.0
10,臺北市,2013/11/29,中山,4.5,0.66,-,18.6,30,79,33.0,43.82,15.44,28.38,2.194,0.227,1.97,1.7,14.47,53.55,64.0
11,臺北市,2013/11/29,大同,5.1,1.1,-,-,-,70,35.0,80.6,45.68,34.92,2.483,0.406,2.08,-,-,-,60.0
12,臺北市,2013/11/29,萬華,4.4,0.51,-,20.7,36,47,24.0,33.9,8.41,25.49,-,-,-,2.12,14.2,52.3,47.0
13,臺北市,2013/11/29,陽明,4.9,0.24,399.84,42.9,50,33,18.0,4.68,1.28,3.38,-,-,-,-,6.7,82.71,45.0
14,臺北市,2013/11/29,士林,3.9,0.38,-,31.4,44,50,27.0,17.76,3.09,14.67,-,-,-,2.01,13.65,53.63,50.0
15,臺北市,2013/11/28,松山,4.9,0.43,419.89,24.2,31,50,31.0,24.49,3.29,21.18,2.01,0.123,1.89,1.95,13.89,63.83,50.0
16,臺北市,2013/11/28,古亭,4.0,0.51,-,19.7,26,57,26.0,29.63,6.71,22.91,2.034,0.137,1.9,2.25,14.02,70.07,54.0
17,臺北市,2013/11/28,中山,3.9,0.59,-,17.8,26,78,36.0,36.73,12.06,24.67,2.076,0.187,1.89,1.58,14.73,66.97,64.0
18,臺北市,2013/11/28,大同,4.4,1.15,-,-,-,79,34.0,76.81,45.92,30.89,2.306,0.397,1.91,-,-,-,64.0
19,臺北市,2013/11/28,萬華,4.2,0.51,-,19.4,27,53,25.0,31.96,7.24,24.72,-,-,-,1.73,14.58,64.04,52.0
20,臺北市,2013/11/28,陽明,3.6,0.26,416.62,37.6,43,25,13.0,5.45,0.72,4.73,-,-,-,-,7.02,93.45,40.0
21,臺北市,2013/11/28,士林,3.7,0.36,-,29.1,34,54,26.0,15.4,2.07,13.33,-,-,-,1.71,14.04,64.97,52.0
22,臺北市,2013/11/27,松山,2.6,0.54,427.46,24.8,37,77,32.0,32.51,8.81,23.7,2.215,0.212,2.0,1.87,19.51,68.05,64.0
23,臺北市,2013/11/27,古亭,2.8,0.57,-,23.4,34,81,28.0,30.91,8.14,22.77,2.096,0.193,1.9,2.05,19.64,70.66,66.0
24,臺北市,2013/11/27,中山,2.7,0.68,-,20.7,27,106,36.0,37.56,10.29,27.27,2.228,0.259,1.97,1.64,20.62,67.18,78.0
25,臺北市,2013/11/27,大同,3.9,1.82,-,-,-,107,40.0,88.86,54.92,33.94,2.622,0.638,1.98,-,-,-,78.0
26,臺北市,2013/11/27,萬華,3.1,0.58,-,24.0,34,77,31.0,29.67,5.12,24.55,-,-,-,1.49,20.27,66.4,64.0
27,臺北市,2013/11/27,陽明,1.5,0.25,422.27,45.4,54,42,20.0,5.74,2.32,3.42,-,-,-,-,13.8,94.5,57.0
28,臺北市,2013/11/27,士林,3.3,0.38,-,34.5,48,92,30.0,19.69,4.15,15.53,-,-,-,2.18,20.38,65.9,71.0
29,臺北市,2013/11/26,松山,3.2,0.41,417.0,25.7,32,127,37.0,25.11,4.82,20.27,2.024,0.137,1.89,2.32,19.23,56.86,88.0
30,臺北市,2013/11/26,古亭,2.4,0.4,-,28.2,32,132,31.0,18.35,3.77,14.58,1.9,0.073,1.83,3.34,19.52,59.54,91.0
31,臺北市,2013/11/26,中山,2.4,0.6,-,18.6,24,166,41.0,36.9,10.65,26.25,2.139,0.216,1.92,2.48,20.11,59.4,108.0
32,臺北市,2013/11/26,大同,3.3,1.12,-,-,-,151,44.0,74.25,43.67,30.58,2.333,0.389,1.94,-,-,-,100.0
33,臺北市,2013/11/26,萬華,2.6,0.45,-,21.9,29,127,41.0,30.09,7.14,22.95,-,-,-,3.48,19.94,57.16,88.0
34,臺北市,2013/11/26,陽明,3.0,0.2,423.7,40.5,42,83,28.0,4.05,1.7,2.34,-,-,-,-,12.27,89.41,66.0
35,臺北市,2013/11/26,士林,2.5,0.29,-,35.7,37,144,32.0,11.0,2.16,8.83,-,-,-,2.94,19.7,58.01,97.0
36,臺北市,2013/11/25,松山,3.0,0.49,422.66,27.9,34,73,26.0,21.5,3.27,18.22,2.061,0.13,1.93,2.14,17.75,72.68,62.0
37,臺北市,2013/11/25,古亭,3.0,0.56,-,24.0,30,82,25.0,23.97,5.39,18.58,2.06,0.144,1.92,2.65,17.78,80.1,66.0
38,臺北市,2013/11/25,中山,2.5,0.71,-,18.9,22,101,33.0,36.46,10.15,26.3,2.196,0.228,1.97,1.96,18.65,75.41,76.0
39,臺北市,2013/11/25,大同,4.0,1.59,-,-,-,99,36.0,83.76,51.07,32.69,2.536,0.537,2.0,-,-,-,74.0
40,臺北市,2013/11/25,萬華,2.9,0.59,-,22.3,27,77,25.0,29.85,6.29,23.56,-,-,-,2.17,18.47,73.38,64.0
41,臺北市,2013/11/25,陽明,2.2,0.34,421.07,41.8,49,52,17.0,3.81,0.84,2.96,-,-,-,-,11.82,96.44,51.0
42,臺北市,2013/11/25,士林,2.5,0.45,-,31.8,41,84,22.0,15.97,3.23,12.75,-,-,-,2.32,18.02,72.99,67.0
43,臺北市,2013/11/24,松山,3.5,0.69,433.35,30.4,57,51,41.0,39.38,8.71,30.67,2.361,0.285,2.08,1.32,23.01,65.15,57.0
44,臺北市,2013/11/24,古亭,3.2,0.63,-,29.8,51,58,38.0,30.73,6.32,24.42,2.123,0.214,1.91,1.36,23.02,68.7,57.0
45,臺北市,2013/11/24,中山,3.9,1.02,-,20.4,40,82,48.0,56.85,19.45,37.4,2.537,0.382,2.16,1.16,23.66,68.44,66.0
46,臺北市,2013/11/24,大同,5.3,1.61,-,-,-,75,43.0,75.89,38.59,37.3,2.773,0.568,2.21,-,-,-,62.0
47,臺北市,2013/11/24,萬華,5.3,0.87,-,25.5,47,53,36.0,46.99,14.34,32.65,-,-,-,0.96,23.25,68.85,52.0
48,臺北市,2013/11/24,陽明,3.0,0.28,404.73,54.6,75,30,25.0,7.61,1.5,6.12,-,-,-,-,17.68,84.73,68.0
49,臺北市,2013/11/24,士林,2.5,0.48,-,37.1,63,61,37.0,24.46,5.83,18.63,-,-,-,1.54,22.72,71.26,60.0
50,臺北市,2013/11/23,松山,1.7,0.3,408.66,37.9,45,33,21.0,14.83,1.83,12.99,1.908,0.078,1.83,2.5,23.12,61.81,39.0
51,臺北市,2013/11/23,古亭,1.7,0.3,-,34.6,39,42,23.0,14.61,2.88,11.74,1.896,0.071,1.83,3.14,23.72,62.34,42.0
52,臺北市,2013/11/23,中山,1.8,0.52,-,26.1,31,69,32.0,29.93,6.26,23.68,2.057,0.178,1.88,2.54,24.21,62.17,60.0
53,臺北市,2013/11/23,大同,3.0,1.16,-,-,-,62,29.0,68.05,35.06,32.99,2.334,0.389,1.94,-,-,-,56.0
54,臺北市,2013/11/23,萬華,1.8,0.42,-,26.7,32,36,23.0,29.22,6.19,23.04,-,-,-,2.55,24.1,61.13,36.0
55,臺北市,2013/11/23,陽明,2.0,0.16,392.84,45.3,47,19,15.0,2.13,0.53,1.62,-,-,-,-,17.34,88.34,41.0
56,臺北市,2013/11/23,士林,0.6,0.23,-,42.3,47,51,24.0,10.2,2.09,8.11,-,-,-,3.18,24.07,60.93,50.0
57,臺北市,2013/11/22,松山,3.0,0.48,416.65,20.8,33,28,23.0,35.7,9.51,26.17,2.067,0.194,1.87,2.22,19.7,77.7,32.0
58,臺北市,2013/11/22,古亭,1.5,0.36,-,26.6,29,37,21.0,22.27,4.07,18.2,1.929,0.109,1.82,2.94,20.28,77.53,37.0
59,臺北市,2013/11/22,中山,2.5,0.57,-,18.7,29,61,29.0,38.83,11.77,27.06,2.103,0.227,1.88,2.5,20.82,76.45,56.0
60,臺北市,2013/11/22,大同,4.6,1.55,-,-,-,58,30.0,97.08,60.71,36.37,2.517,0.58,1.94,-,-,-,54.0
61,臺北市,2013/11/22,萬華,2.7,0.46,-,21.0,32,30,21.0,38.68,9.98,28.69,-,-,-,3.13,20.69,75.68,30.0
62,臺北市,2013/11/22,陽明,2.1,0.13,395.37,46.9,48,12,8.0,2.63,1.48,1.15,-,-,-,-,14.29,97.27,41.0
63,臺北市,2013/11/22,士林,2.5,0.22,-,39.1,42,32,17.0,15.24,5.15,10.09,-,-,-,3.09,21.09,69.08,38.0
64,臺北市,2013/11/21,松山,2.3,0.46,418.98,20.4,25,39,25.0,32.5,7.0,25.49,2.087,0.188,1.9,1.95,20.11,69.85,39.0
65,臺北市,2013/11/21,古亭,1.9,0.37,-,28.1,32,41,20.0,21.51,4.46,17.05,1.944,0.084,1.86,3.06,20.67,70.21,41.0
66,臺北市,2013/11/21,中山,1.7,0.58,-,19.1,26,63,32.0,39.54,12.34,27.21,2.113,0.214,1.9,2.4,21.27,70.07,56.0
67,臺北市,2013/11/21,大同,3.4,1.14,-,-,-,68,28.0,76.6,42.15,34.45,2.381,0.435,1.95,-,-,-,59.0
68,臺北市,2013/11/21,萬華,2.6,0.45,-,21.3,27,33,24.0,33.92,7.88,26.04,-,-,-,3.15,21.1,68.67,33.0
69,臺北市,2013/11/21,陽明,2.4,0.14,399.29,44.2,47,16,12.0,3.66,0.94,2.72,-,-,-,-,14.41,95.76,40.0
70,臺北市,2013/11/21,士林,3.2,0.24,-,35.8,46,39,23.0,25.23,11.1,14.14,-,-,-,2.79,21.41,66.49,40.0
71,臺北市,2013/11/20,松山,4.8,0.58,425.07,25.7,40,64,38.0,36.98,6.68,30.28,2.159,0.212,1.95,2.0,18.67,60.16,57.0
72,臺北市,2013/11/20,古亭,4.0,0.51,-,36.7,49,67,35.0,26.44,4.75,21.66,2.014,0.117,1.9,2.88,19.76,57.95,58.0
73,臺北市,2013/11/20,中山,3.2,0.66,-,26.2,34,91,45.0,39.95,10.02,29.93,2.155,0.222,1.93,2.26,20.25,58.5,70.0
74,臺北市,2013/11/20,大同,5.0,1.36,-,-,-,86,43.0,86.14,45.44,40.7,2.491,0.496,2.0,-,-,-,68.0
75,臺北市,2013/11/20,萬華,3.9,0.54,-,30.0,39,60,37.0,36.83,6.89,29.94,-,-,-,3.06,20.01,56.72,55.0
76,臺北市,2013/11/20,陽明,6.9,0.21,407.11,52.7,58,32,24.0,5.8,1.02,4.78,-,-,-,-,12.9,87.49,55.0
77,臺北市,2013/11/20,士林,3.8,0.32,-,44.6,57,62,36.0,27.41,10.96,16.44,-,-,-,2.66,20.29,56.64,56.0
78,臺北市,2013/11/19,松山,6.0,0.63,431.59,23.8,48,71,37.0,39.95,8.23,31.72,2.234,0.23,2.0,2.06,16.84,53.88,60.0
79,臺北市,2013/11/19,古亭,5.7,0.47,-,37.6,51,73,35.0,22.0,4.17,17.83,2.045,0.098,1.95,2.91,17.45,53.78,62.0
80,臺北市,2013/11/19,中山,6.4,0.8,-,20.5,38,102,46.0,54.04,17.37,36.67,2.328,0.29,2.04,2.19,18.32,53.23,76.0
81,臺北市,2013/11/19,大同,7.5,1.27,-,-,-,101,47.0,96.08,50.76,45.33,2.563,0.474,2.09,-,-,-,76.0
82,臺北市,2013/11/19,萬華,5.3,0.58,-,27.5,44,71,38.0,33.78,4.31,29.47,-,-,-,2.74,17.98,50.85,60.0
83,臺北市,2013/11/19,陽明,7.9,0.31,412.45,54.5,66,46,30.0,6.33,1.37,4.96,-,-,-,-,10.92,76.42,56.0
84,臺北市,2013/11/19,士林,6.8,0.41,-,40.0,56,75,40.0,29.48,10.16,19.32,-,-,-,2.43,17.81,52.03,62.0
85,臺北市,2013/11/18,松山,5.0,0.59,429.98,26.8,53,103,37.0,32.89,7.18,25.71,2.243,0.195,2.05,1.92,16.72,55.34,76.0
86,臺北市,2013/11/18,古亭,5.0,0.58,-,28.6,47,110,36.0,30.93,8.24,22.69,2.075,0.14,1.94,2.29,16.9,57.9,80.0
87,臺北市,2013/11/18,中山,4.8,0.73,-,20.3,38,131,46.0,31.64,8.5,23.14,2.303,0.258,2.05,1.52,18.09,54.8,90.0
88,臺北市,2013/11/18,大同,6.2,1.38,-,-,-,127,46.0,89.06,49.63,39.43,2.59,0.492,2.1,-,-,-,88.0
89,臺北市,2013/11/18,萬華,4.7,0.58,-,25.5,43,95,42.0,33.22,6.54,26.68,-,-,-,1.68,17.58,53.92,72.0
90,臺北市,2013/11/18,陽明,5.4,0.27,410.68,50.4,57,65,29.0,6.37,1.86,4.51,-,-,-,-,10.77,77.96,58.0
91,臺北市,2013/11/18,士林,5.8,0.53,-,29.1,50,116,39.0,30.41,8.28,22.12,-,-,-,1.88,16.99,57.02,83.0
92,臺北市,2013/11/17,松山,4.7,0.63,431.96,38.2,71,125,55.0,28.06,4.06,24.0,2.266,0.195,2.07,1.71,18.53,59.92,88.0
93,臺北市,2013/11/17,古亭,4.8,0.66,-,34.2,61,139,54.0,29.02,5.35,23.67,2.17,0.146,2.02,2.23,18.83,63.22,94.0
94,臺北市,2013/11/17,中山,4.3,0.73,-,30.9,52,166,58.0,-,-,-,2.303,0.225,2.08,1.48,19.92,57.87,108.0
95,臺北市,2013/11/17,大同,6.1,1.26,-,-,-,149,65.0,81.46,38.91,42.56,2.55,0.441,2.11,-,-,-,100.0
96,臺北市,2013/11/17,萬華,5.4,0.68,-,32.5,54,126,59.0,30.99,3.98,27.01,-,-,-,1.64,19.69,58.21,88.0
97,臺北市,2013/11/17,陽明,5.6,0.32,409.23,62.7,71,87,43.0,4.82,1.09,3.73,-,-,-,-,12.47,76.87,68.0
98,臺北市,2013/11/17,士林,5.1,0.62,-,37.3,61,145,55.0,29.88,7.34,22.54,-,-,-,2.04,18.85,60.11,98.0
99,臺北市,2013/11/16,松山,3.5,0.67,426.14,29.8,34,74,57.0,27.86,2.94,24.91,2.16,0.195,1.97,1.62,19.78,83.86,62.0
100,臺北市,2013/11/16,古亭,3.2,0.62,-,32.0,37,78,53.0,24.0,2.95,21.04,2.085,0.124,1.96,2.27,20.25,85.46,64.0
101,臺北市,2013/11/16,中山,3.2,0.8,-,22.2,30,96,58.0,-,-,-,2.226,0.233,1.99,1.61,20.93,82.09,73.0
102,臺北市,2013/11/16,大同,4.8,1.58,-,-,-,98,63.0,94.93,52.36,42.57,2.703,0.645,2.06,-,-,-,74.0
103,臺北市,2013/11/16,萬華,3.3,0.67,-,26.7,34,66,51.0,30.45,3.3,27.14,-,-,-,1.8,20.86,81.15,58.0
104,臺北市,2013/11/16,陽明,1.5,0.36,413.14,54.1,59,17,16.0,3.8,1.27,2.53,-,-,-,-,14.9,99.66,51.0
105,臺北市,2013/11/16,士林,2.3,0.73,-,25.5,35,73,48.0,34.49,7.92,26.59,-,-,-,1.25,20.67,78.97,62.0
106,臺北市,2013/11/15,松山,2.9,0.59,423.73,21.2,31,47,38.0,27.13,4.93,22.19,2.074,0.152,1.92,2.2,20.65,83.05,47.0
107,臺北市,2013/11/15,古亭,3.1,0.59,-,21.6,26,62,34.0,26.29,5.7,20.59,2.029,0.131,1.9,2.84,21.08,85.25,56.0
108,臺北市,2013/11/15,中山,2.1,0.75,-,17.1,22,78,43.0,21.15,4.88,16.27,2.127,0.222,1.91,2.07,22.07,78.82,64.0
109,臺北市,2013/11/15,大同,3.7,1.37,-,-,-,73,42.0,79.52,46.24,33.28,2.453,0.49,1.96,-,-,-,62.0
110,臺北市,2013/11/15,萬華,2.3,0.62,-,18.5,25,50,36.0,32.87,7.89,24.98,-,-,-,2.64,21.93,78.63,50.0
111,臺北市,2013/11/15,陽明,1.5,0.35,412.54,41.0,53,9,6.0,5.89,1.47,4.42,-,-,-,-,15.84,99.95,48.0
112,臺北市,2013/11/15,士林,2.4,0.45,-,31.7,38,43,30.0,20.28,7.21,13.06,-,-,-,2.1,22.12,73.0,43.0
113,臺北市,2013/11/14,松山,3.2,0.43,412.57,22.7,32,19,12.0,27.89,6.69,21.2,2.033,0.159,1.87,2.27,22.07,81.91,33.0
114,臺北市,2013/11/14,古亭,2.6,0.45,-,21.4,29,27,11.0,26.61,7.04,19.56,1.976,0.124,1.85,2.94,22.66,84.53,29.0
115,臺北市,2013/11/14,中山,2.6,0.59,-,18.5,30,35,19.0,23.62,7.97,15.65,2.052,0.185,1.87,2.32,23.28,79.73,35.0
116,臺北市,2013/11/14,大同,3.4,1.23,-,-,-,46,16.0,68.42,40.01,28.41,2.343,0.428,1.92,-,-,-,46.0
117,臺北市,2013/11/14,萬華,2.0,0.44,-,21.1,31,17,11.0,30.29,8.97,21.33,-,-,-,3.27,23.14,79.64,31.0
118,臺北市,2013/11/14,陽明,1.4,0.14,398.71,40.4,44,6,5.0,3.0,1.6,1.39,-,-,-,-,17.28,99.93,37.0
119,臺北市,2013/11/14,士林,2.6,0.26,-,33.1,39,21,11.0,11.5,2.54,8.97,-,-,-,2.5,23.6,72.95,36.0
120,臺北市,2013/11/13,松山,2.4,0.35,412.12,24.6,31,15,11.0,23.34,4.38,18.96,1.971,0.114,1.86,2.49,19.84,86.13,29.0
121,臺北市,2013/11/13,古亭,1.6,0.36,-,26.0,28,20,7.0,17.76,3.54,14.22,1.926,0.078,1.85,3.27,20.26,90.15,27.0
122,臺北市,2013/11/13,中山,2.0,0.49,-,20.8,28,46,18.0,30.44,9.2,21.24,2.015,0.161,1.85,2.84,20.88,85.28,46.0
123,臺北市,2013/11/13,大同,3.0,1.31,-,-,-,50,16.0,70.95,41.73,29.22,2.356,0.447,1.91,-,-,-,50.0
124,臺北市,2013/11/13,萬華,2.0,0.37,-,22.3,29,19,12.0,24.76,5.34,19.42,-,-,-,3.64,20.82,84.13,28.0
125,臺北市,2013/11/13,陽明,1.0,0.13,401.07,41.8,45,5,3.0,1.93,0.75,1.14,-,-,-,-,15.42,100.0,39.0
126,臺北市,2013/11/13,士林,2.4,0.22,-,34.1,36,19,11.0,10.85,2.9,7.95,-,-,-,3.09,21.18,76.99,32.0
127,臺北市,2013/11/12,松山,1.4,0.37,413.13,27.3,37,15,16.0,20.97,3.57,17.39,1.967,0.111,1.86,2.78,19.72,86.44,36.0
128,臺北市,2013/11/12,古亭,1.7,0.42,-,26.0,35,22,11.0,20.06,4.08,15.99,1.945,0.093,1.85,3.74,20.15,90.07,32.0
129,臺北市,2013/11/12,中山,1.8,0.5,-,23.3,32,50,20.0,27.56,8.64,18.92,2.002,0.157,1.84,2.94,20.87,84.75,50.0
130,臺北市,2013/11/12,大同,3.4,1.11,-,-,-,39,18.0,59.46,31.84,27.62,2.277,0.373,1.9,-,-,-,39.0
131,臺北市,2013/11/12,萬華,2.9,0.39,-,24.2,33,19,13.0,24.58,5.37,19.21,-,-,-,4.02,20.72,84.21,31.0
132,臺北市,2013/11/12,陽明,1.2,0.17,405.24,42.8,45,5,3.0,1.52,0.6,0.89,-,-,-,-,15.29,100.0,39.0
133,臺北市,2013/11/12,士林,1.7,0.23,-,37.9,42,20,9.0,8.01,1.47,6.55,-,-,-,3.78,21.18,75.88,37.0
134,臺北市,2013/11/11,松山,2.4,0.41,416.17,31.6,41,18,14.0,20.12,3.03,17.09,1.97,0.109,1.86,2.99,20.98,86.82,39.0
135,臺北市,2013/11/11,古亭,1.8,0.44,-,30.1,38,26,15.0,17.08,3.06,14.02,1.938,0.085,1.85,3.69,21.35,90.89,36.0
136,臺北市,2013/11/11,中山,2.2,0.55,-,26.2,36,46,21.0,26.0,5.69,20.31,2.001,0.148,1.85,3.12,22.22,84.36,46.0
137,臺北市,2013/11/11,大同,3.2,1.25,-,-,-,63,21.0,61.9,35.2,26.7,2.303,0.389,1.91,-,-,-,21.0
138,臺北市,2013/11/11,萬華,2.7,0.44,-,28.6,37,21,15.0,21.2,3.68,17.53,-,-,-,4.16,22.03,84.43,36.0
139,臺北市,2013/11/11,陽明,1.2,0.24,407.72,44.5,47,-,2.0,2.54,1.22,1.32,-,-,-,-,16.55,100.0,42.0
140,臺北市,2013/11/11,士林,2.2,0.32,-,39.7,45,20,13.0,9.55,2.01,7.53,-,-,-,3.48,22.57,75.66,42.0
141,臺北市,2013/11/10,松山,5.1,0.62,435.4,31.7,72,51,38.0,29.32,7.2,22.12,2.192,0.222,1.97,1.74,26.5,72.95,96.0
142,臺北市,2013/11/10,古亭,5.6,0.68,-,27.8,61,70,40.0,28.5,6.12,22.39,2.173,0.224,1.95,2.18,26.59,75.39,86.0
143,臺北市,2013/11/10,中山,10.6,0.9,-,22.1,49,109,61.0,44.18,12.96,31.21,2.418,0.35,2.07,1.72,27.34,73.9,80.0
144,臺北市,2013/11/10,大同,11.4,1.53,-,-,-,102,58.0,64.78,30.99,33.8,2.645,0.52,2.13,-,-,-,22.0
145,臺北市,2013/11/10,萬華,12.2,0.86,-,26.4,62,81,-,39.18,10.55,28.62,-,-,-,1.79,27.1,74.96,93.0
146,臺北市,2013/11/10,陽明,2.8,0.28,410.45,43.7,64,27,18.0,5.75,1.39,4.37,-,-,-,-,22.12,87.49,68.0
147,臺北市,2013/11/10,士林,5.5,0.54,-,30.6,64,64,39.0,24.09,6.52,17.58,-,-,-,1.68,26.94,73.42,94.0
148,臺北市,2013/11/09,松山,2.2,0.25,404.29,18.8,22,15,12.0,12.32,4.64,7.68,1.835,0.054,1.78,2.73,27.19,64.47,21.0
149,臺北市,2013/11/09,古亭,1.6,0.3,-,16.0,21,32,11.0,14.98,5.37,9.62,1.862,0.062,1.8,3.27,27.66,65.36,32.0
150,臺北市,2013/11/09,中山,1.1,0.47,-,12.6,17,47,20.0,25.75,12.84,12.91,1.99,0.157,1.83,2.82,28.21,64.61,47.0
151,臺北市,2013/11/09,大同,2.5,1.09,-,-,-,53,17.0,58.86,39.79,19.07,2.25,0.358,1.89,-,-,-,20.0
152,臺北市,2013/11/09,萬華,1.7,0.35,-,13.3,19,21,-,20.56,8.2,12.36,-,-,-,2.66,28.11,64.1,21.0
153,臺北市,2013/11/09,陽明,1.4,0.13,400.73,22.1,24,6,6.0,3.07,1.77,1.29,-,-,-,-,21.28,94.28,21.0
154,臺北市,2013/11/09,士林,1.5,0.25,-,17.4,24,35,15.0,15.73,7.65,8.1,-,-,-,3.23,27.74,65.87,35.0
155,臺北市,2013/11/08,松山,1.5,0.42,411.05,27.2,38,33,23.0,-,-,-,1.961,0.115,1.85,2.54,25.73,67.8,45.0
156,臺北市,2013/11/08,古亭,1.9,0.41,-,25.8,34,41,21.0,19.29,5.18,14.11,1.922,0.084,1.84,2.97,26.08,69.33,43.0
157,臺北市,2013/11/08,中山,1.6,0.6,-,21.9,35,71,27.0,32.67,11.57,21.1,2.053,0.19,1.86,2.86,26.59,68.18,60.0
158,臺北市,2013/11/08,大同,2.6,1.3,-,-,-,63,29.0,70.72,43.62,27.1,2.336,0.425,1.91,-,-,-,21.0
159,臺北市,2013/11/08,萬華,2.0,0.49,-,22.2,37,34,22.0,29.08,9.27,19.81,-,-,-,3.15,26.53,67.69,44.0
160,臺北市,2013/11/08,陽明,1.5,0.19,404.09,38.1,45,14,12.0,3.21,1.64,1.58,-,-,-,-,19.2,98.27,46.0
161,臺北市,2013/11/08,士林,1.8,0.28,-,33.9,46,42,19.0,10.11,2.9,7.21,-,-,-,3.04,26.5,66.73,49.0
162,臺北市,2013/11/07,松山,3.2,0.47,417.65,42.5,52,47,31.0,-,-,-,1.982,0.116,1.87,2.69,22.79,78.76,54.0
163,臺北市,2013/11/07,古亭,2.1,0.46,-,42.4,53,54,29.0,16.97,2.64,14.32,1.946,0.094,1.85,3.5,23.18,81.07,52.0
164,臺北市,2013/11/07,中山,2.7,0.62,-,36.7,46,82,43.0,29.3,4.17,25.13,2.064,0.177,1.89,2.92,23.85,77.37,66.0
165,臺北市,2013/11/07,大同,3.2,1.31,-,-,-,82,43.0,62.33,26.58,35.74,2.363,0.414,1.95,-,-,-,66.0
166,臺北市,2013/11/07,萬華,2.6,0.52,-,38.8,47,44,32.0,24.27,3.05,21.22,-,-,-,3.95,23.66,77.55,44.0
167,臺北市,2013/11/07,陽明,1.3,0.3,405.39,60.5,74,20,13.0,4.11,1.67,2.44,-,-,-,-,17.29,100.0,66.0
168,臺北市,2013/11/07,士林,2.4,0.4,-,49.5,68,59,35.0,-,-,-,-,-,-,2.99,23.82,73.12,60.0
169,臺北市,2013/11/06,松山,3.7,0.55,419.38,24.6,30,34,23.0,29.26,7.57,21.68,2.042,0.165,1.88,1.86,23.5,85.45,35.0
170,臺北市,2013/11/06,古亭,1.9,0.6,-,24.0,28,44,20.0,24.97,4.84,20.13,2.07,0.156,1.91,2.21,24.11,88.99,44.0
171,臺北市,2013/11/06,中山,2.2,0.74,-,21.6,29,61,28.0,37.3,10.83,26.46,2.109,0.216,1.89,1.96,24.77,82.76,56.0
172,臺北市,2013/11/06,大同,3.4,1.85,-,-,-,61,36.0,82.37,48.43,33.94,2.626,0.642,1.98,-,-,-,56.0
173,臺北市,2013/11/06,萬華,2.5,0.62,-,22.6,32,29,19.0,32.11,7.71,24.4,-,-,-,2.41,24.72,82.54,34.0
174,臺北市,2013/11/06,陽明,1.4,0.25,395.98,44.7,49,7,4.0,3.18,1.78,1.4,-,-,-,-,19.29,100.0,45.0
175,臺北市,2013/11/06,士林,1.7,0.46,-,34.5,42,34,19.0,18.01,3.89,14.12,-,-,-,1.78,25.11,77.54,39.0
176,臺北市,2013/11/05,松山,2.6,0.49,417.7,34.1,50,37,30.0,22.73,2.76,19.95,1.96,0.116,1.84,2.45,20.78,88.98,48.0
