序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/12/31,松山,1.8,0.52,435.66,28.5,57,31,18.22,2.99,15.23,1.979,0.102,1.877,1.66,1.21,15.45,-,-,80.79,-
2,臺北市,2017/12/31,古亭,1.9,0.56,-,30,54,28,17.65,2.12,15.51,2.093,0.122,1.971,2.28,1.97,15.89,-,-,85.2,-
3,臺北市,2017/12/31,中山,1.3,0.65,-,26.1,58,26,23.39,4.26,19.13,2.121,0.148,1.973,1.94,1.47,16.32,-,-,84.07,-
4,臺北市,2017/12/31,大同,2.5,0.88,-,-,72,28,50.29,23.74,26.55,2.238,0.218,2.02,-,-,-,-,-,-,-
5,臺北市,2017/12/31,萬華,2.5,0.55,-,20.4,47,27,22.55,2.81,19.74,-,-,-,1.95,1.64,16.83,-,-,75.93,-
6,臺北市,2017/12/31,陽明,1.7,0.39,426.9,40,21,12,4.22,0.84,3.37,-,-,-,4.29,-,9.39,0.94,4.17,99.34,111.56
7,臺北市,2017/12/31,士林,1.2,0.45,-,37.4,40,22,8.77,1,7.76,-,-,-,2.33,1.66,17.1,-,-,74.35,-
8,臺北市,2017/12/30,松山,2.3,0.31,422.35,33.9,27,18,19.29,2.99,16.3,1.872,0.072,1.8,1.7,1.35,17.75,-,-,85.8,-
9,臺北市,2017/12/30,古亭,1.5,0.34,-,36.5,21,14,17.99,2.53,15.46,1.971,0.087,1.884,2.43,2.09,18.24,-,-,89.54,-
10,臺北市,2017/12/30,中山,2.7,0.45,-,31.9,27,16,23.5,3.33,20.18,2.003,0.111,1.892,2.32,1.91,18.55,-,-,89.84,-
11,臺北市,2017/12/30,大同,4.5,0.87,-,-,46,15,60.74,29.51,31.23,2.177,0.237,1.94,-,-,-,-,-,-,-
12,臺北市,2017/12/30,萬華,2.9,0.36,-,27.4,27,14,22.41,2.57,19.82,-,-,-,2.43,2.15,19.02,-,-,82.25,-
13,臺北市,2017/12/30,陽明,1.8,0.16,412.78,50.2,5,1,1.43,0.29,1.11,-,-,-,3.23,-,12.33,1.17,4.31,99.5,40.67
14,臺北市,2017/12/30,士林,1.1,0.27,-,43.8,21,11,8.48,1.03,7.44,-,-,-,2.13,1.95,19.57,-,-,78.79,-
15,臺北市,2017/12/29,松山,3,0.4,428,20.6,19,10,28.89,7.63,21.26,1.96,0.132,1.827,1.91,1.54,19.03,-,-,84.2,-
16,臺北市,2017/12/29,古亭,2.2,0.45,-,24.5,17,9,24.2,4.69,19.51,2.03,0.132,1.898,2.17,1.78,19.58,-,-,87.01,-
17,臺北市,2017/12/29,中山,2.9,0.58,-,19.3,21,11,33.88,9.86,24.02,2.099,0.18,1.919,1.77,1.31,19.58,-,-,90.58,-
18,臺北市,2017/12/29,大同,3.1,1.11,-,-,42,11,68.59,36.55,32.04,2.392,0.358,2.033,-,-,-,-,-,-,-
19,臺北市,2017/12/29,萬華,2.9,0.43,-,-,24,9,27.4,5.29,22.11,-,-,-,2.16,1.74,20.13,-,-,82.63,-
20,臺北市,2017/12/29,陽明,0.7,0.16,413.09,41.7,8,4,2.29,0.27,1.96,-,-,-,3.34,-,13.6,3.23,4.61,99.35,16.59
21,臺北市,2017/12/29,士林,0.6,0.25,-,31.1,17,7,12.04,3.07,8.97,-,-,-,2.15,1.79,20.08,-,-,82.93,-
22,臺北市,2017/12/28,松山,3.3,0.4,424.92,24.5,33,13,27.34,7.2,20.14,1.942,0.133,1.809,1.56,1.15,20.07,-,-,67.16,-
23,臺北市,2017/12/28,古亭,1.7,0.39,-,29.9,32,13,23.22,5.21,18.02,1.994,0.115,1.879,2.4,2.21,20.89,-,-,69.21,-
