序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,1999/05/31,松山,2.1,1.22,16.5,-,39,-,69.14,21.48,47.66,-,-,-,21.33,-,-,39.0,-
2,臺北市,1999/05/31,古亭,1.6,1.25,17.9,-,29,-,66.1,19.21,46.89,2.478,0.5,1.97,20.83,-,-,39.0,-
3,臺北市,1999/05/31,中山,1.7,1.31,17.0,-,35,-,68.15,19.24,48.91,2.679,0.31,2.37,21.66,-,-,40.0,-
4,臺北市,1999/05/31,大同,4.1,4.04,-,-,43,-,223.11,155.42,67.69,4.217,1.79,2.43,22.09,-,-,61.0,-
5,臺北市,1999/05/31,萬華,1.9,1.59,20.8,-,30,-,65.84,18.78,47.06,-,-,-,21.48,-,-,42.0,-
6,臺北市,1999/05/31,陽明,0.3,0.19,60.3,-,12,-,1.31,0.02,1.29,-,-,-,16.58,-,97.0,56.0,-
7,臺北市,1999/05/31,士林,0.4,0.93,21.3,-,23,-,37.97,6.8,31.17,-,-,-,21.55,-,-,40.0,-
8,臺北市,1999/05/30,松山,1.4,0.77,27.9,-,44,-,42.56,8.61,33.95,-,-,-,25.11,-,-,44.0,-
9,臺北市,1999/05/30,古亭,0.7,0.65,32.1,-,35,-,35.5,6.14,29.35,2.097,0.2,1.9,24.93,-,-,39.0,-
10,臺北市,1999/05/30,中山,1.2,0.87,29.7,-,35,-,42.11,6.75,35.36,2.428,0.17,2.25,25.59,-,-,41.0,-
11,臺北市,1999/05/30,大同,4.6,3.52,-,-,55,-,193.92,131.01,62.91,3.667,1.36,2.3,26.35,-,-,52.0,-
12,臺北市,1999/05/30,萬華,1.1,0.89,34.5,-,32,-,31.46,2.02,29.45,-,-,-,25.73,-,-,42.0,-
13,臺北市,1999/05/30,陽明,0.5,0.16,59.4,-,14,-,2.31,0.06,2.25,-,-,-,18.26,-,83.0,56.0,-
14,臺北市,1999/05/30,士林,0.5,0.5,34.5,-,25,-,16.8,1.48,15.33,-,-,-,25.41,-,-,35.0,-
15,臺北市,1999/05/29,松山,2.3,0.74,34.2,-,41,-,42.52,7.0,35.52,-,-,-,25.4,-,-,45.0,-
16,臺北市,1999/05/29,古亭,1.1,0.62,39.9,-,-,1,35.66,7.11,28.55,2.124,0.26,1.87,25.44,-,-,41.0,-
17,臺北市,1999/05/29,中山,1.8,0.74,42.5,-,36,-,35.71,5.03,30.68,2.287,0.12,2.17,25.88,-,-,51.0,-
18,臺北市,1999/05/29,大同,6.2,3.88,-,-,42,-,195.16,127.39,67.77,4.044,1.77,2.27,26.85,-,-,62.0,-
19,臺北市,1999/05/29,萬華,1.1,0.88,40.9,-,22,-,32.2,2.6,29.59,-,-,-,26.0,-,-,45.0,-
20,臺北市,1999/05/29,陽明,2.5,0.16,66.0,-,12,-,2.76,0.39,2.38,-,-,-,20.0,-,67.0,60.0,-
21,臺北市,1999/05/29,士林,1.9,0.42,41.3,-,22,-,15.47,1.7,13.78,-,-,-,26.16,-,-,41.0,-
