序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2000/05/31,松山,7.0,1.24,18.5,-,69,-,63.12,24.68,38.43,-,-,-,29.4,-,-,59.0,-
2,臺北市,2000/05/31,古亭,4.6,1.29,17.5,-,51,29,50.34,20.86,29.49,2.473,0.5,1.97,30.72,-,-,52.0,-
3,臺北市,2000/05/31,中山,5.5,1.27,14.7,-,66,-,55.4,22.73,32.67,3.178,0.75,2.43,30.65,-,-,58.0,-
4,臺北市,2000/05/31,大同,9.9,3.03,-,-,80,-,128.1,86.01,42.09,3.704,1.57,2.13,31.1,-,-,65.0,-
5,臺北市,2000/05/31,萬華,2.5,0.8,23.3,-,39,-,24.32,3.23,21.09,-,-,-,29.87,-,-,62.0,-
6,臺北市,2000/05/31,陽明,2.6,0.31,30.5,-,20,-,6.85,0.61,6.24,-,-,-,23.83,-,84.0,60.0,-
7,臺北市,2000/05/31,士林,4.5,0.86,14.9,-,48,-,33.93,11.34,22.58,-,-,-,30.33,-,-,48.0,-
8,臺北市,2000/05/30,松山,7.1,1.15,24.5,-,73,-,53.52,14.93,38.59,-,-,-,28.39,-,-,87.0,-
9,臺北市,2000/05/30,古亭,4.8,1.27,21.5,-,56,34,48.43,17.19,31.24,2.515,0.56,1.95,28.8,-,-,59.0,-
10,臺北市,2000/05/30,中山,6.0,1.27,18.6,-,72,-,50.83,15.79,35.04,3.122,0.62,2.5,28.82,-,-,61.0,-
11,臺北市,2000/05/30,大同,11.5,3.35,-,-,76,-,136.99,90.47,46.52,4.023,1.76,2.26,29.3,-,-,63.0,-
12,臺北市,2000/05/30,萬華,5.2,1.03,20.3,-,57,-,35.96,5.49,30.47,-,-,-,27.91,-,-,54.0,-
