序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/02/28,松山,2.9,0.39,424.84,38.5,52,30,20.89,2.5,18.4,1.959,0.083,1.876,1.8,1.3,14.8,-,-,81.16,-
2,臺北市,2017/02/28,古亭,2.3,0.34,-,1,40,30,15.63,1.61,14.01,2.047,0.057,1.99,3.03,2.77,14.94,-,-,82.56,-
3,臺北市,2017/02/28,中山,3.2,0.47,-,35.4,49,29,25.79,3.55,22.24,2.004,0.112,1.893,2.55,2.4,15.36,-,-,85.36,-
4,臺北市,2017/02/28,大同,2.9,0.84,-,-,64,29,64.27,29.22,35.05,2.249,0.222,2.027,-,-,-,-,-,-,-
5,臺北市,2017/02/28,萬華,3.1,0.39,-,36.6,46,26,24.52,2.32,22.19,-,-,-,2.6,2.4,15.35,-,-,79.49,-
6,臺北市,2017/02/28,陽明,0.9,0.19,415.96,57.5,14,11,3,0.34,2.61,-,-,-,-,-,8.34,0.63,3.63,98.31,222.1
7,臺北市,2017/02/28,士林,2.3,0.32,-,47.2,40,25,11.56,1.22,10.35,-,-,-,2.68,2.38,15.47,-,-,77.38,-
8,臺北市,2017/02/27,松山,2.5,0.44,426.01,44.4,63,36,18.55,1.74,16.81,1.964,0.083,1.881,1.33,0.82,15.5,-,-,65.6,-
9,臺北市,2017/02/27,古亭,1.9,0.39,-,-,51,36,15.55,1.55,14,2.082,0.064,2.018,2.43,2.38,15.22,-,-,70.27,-
10,臺北市,2017/02/27,中山,1.7,0.53,-,39.3,68,34,26.71,3.46,23.25,2.07,0.13,1.94,2.16,1.94,16.03,-,-,71.14,-
11,臺北市,2017/02/27,大同,3,0.99,-,-,76,36,68.83,29.45,39.38,2.333,0.273,2.06,-,-,-,-,-,-,-
12,臺北市,2017/02/27,萬華,2.5,0.47,-,39,59,37,26.1,2.82,23.28,-,-,-,1.8,1.69,15.99,-,-,66.64,-
13,臺北市,2017/02/27,陽明,2.1,0.26,417.2,63.2,38,33,2.64,0.4,2.17,-,-,-,-,-,7.56,0.5,3.42,93,419.09
14,臺北市,2017/02/27,士林,2.2,0.34,-,57.1,60,34,8.33,1.27,7.05,-,-,-,2.54,2.38,15.87,-,-,66.27,-
15,臺北市,2017/02/26,松山,1.4,0.34,425.19,34.8,19,10,19.96,3.17,16.78,1.96,0.076,1.884,1.37,0.9,14,-,-,82.87,-
16,臺北市,2017/02/26,古亭,1.5,0.41,-,12.8,16,13,20.44,2.38,18.06,2.098,0.114,1.983,1.34,1.12,13.89,-,-,87.12,-
17,臺北市,2017/02/26,中山,2.3,0.46,-,28.3,22,13,29.78,6.12,23.66,2.029,0.118,1.911,1.37,0.78,14.19,-,-,89.18,-
18,臺北市,2017/02/26,大同,2.1,0.74,-,-,32,11,51.24,21.9,29.35,2.229,0.193,2.036,-,-,-,-,-,-,-
19,臺北市,2017/02/26,萬華,1.6,0.42,-,29.5,17,12,25.39,2.64,22.75,-,-,-,1.21,0.84,13.73,-,-,90.88,-
20,臺北市,2017/02/26,陽明,1.5,0.17,414.62,52.7,10,7,2.21,0.47,1.67,-,-,-,-,-,7.02,1.43,4.5,99.34,19.77
21,臺北市,2017/02/26,士林,0.8,0.33,-,36.6,21,11,12.46,0.85,11.6,-,-,-,1.29,0.95,13.46,-,-,85.79,-
22,臺北市,2017/02/25,松山,0.9,0.31,423.09,27.2,11,4,21.89,2.47,19.42,1.945,0.085,1.861,1.18,0.74,14.52,-,-,90.91,-
23,臺北市,2017/02/25,古亭,1.7,0.36,-,27.6,6,8,24.01,3.29,20.73,1.988,0.092,1.896,1.78,1.48,14.57,-,-,93.8,-
