序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/11/30,松山,1.3,0.27,416.49,27.8,9,6,16.81,3.56,13.25,1.824,0.064,1.76,2.57,2.06,21.56,-,-,86.15,-
2,臺北市,2017/11/30,古亭,1.1,0.36,-,29.2,14,9,17.34,2.84,14.47,1.908,0.06,1.847,2.88,2.46,22.31,-,-,87.26,-
3,臺北市,2017/11/30,中山,1.6,0.48,-,24.2,18,7,24.22,6.01,18.22,1.981,0.133,1.848,2.39,1.92,23,-,-,84.43,-
4,臺北市,2017/11/30,大同,1.6,0.86,-,-,29,5,52,26.08,25.92,2.198,0.257,1.941,-,-,-,-,-,-,-
5,臺北市,2017/11/30,萬華,1.7,0.35,-,24.9,20,10,20.45,4.12,16.33,-,-,-,2.83,2.46,23.24,-,-,80.19,-
6,臺北市,2017/11/30,陽明,1,0.14,409.6,39.2,5,1,0.69,0.25,0.56,-,-,-,2.48,-,16.58,2.09,5.35,99.47,6.3
7,臺北市,2017/11/30,士林,1.3,0.21,-,36.5,13,6,7.17,1.37,5.81,-,-,-,2.24,1.48,24.16,-,-,75.35,-
8,臺北市,2017/11/29,松山,3.2,0.47,430.97,22.2,37,26,24.67,5.82,18.84,1.956,0.141,1.815,1.69,1.3,25.61,-,-,74.06,-
9,臺北市,2017/11/29,古亭,3.2,0.68,-,24.7,54,30,34.65,10.38,24.26,2.222,0.249,1.973,1.65,1.25,26.15,-,-,75.83,-
10,臺北市,2017/11/29,中山,3.8,0.77,-,22.5,74,29,36.67,11.44,25.23,2.216,0.242,1.973,2.02,1.57,25.92,-,-,80.17,-
11,臺北市,2017/11/29,大同,2.4,1.33,-,-,73,32,58.33,31.44,26.89,2.553,0.451,2.102,-,-,-,-,-,-,-
12,臺北市,2017/11/29,萬華,3.8,0.77,-,22,56,35,37.23,10.63,26.6,-,-,-,1.63,1.34,25.98,-,-,76.84,-
13,臺北市,2017/11/29,陽明,2,0.14,411.55,27.2,8,5,2.74,0.6,2.11,-,-,-,3.27,-,20.95,0,0,90.54,0
14,臺北市,2017/11/29,士林,2.4,0.45,-,31.3,52,29,15.91,4.99,10.92,-,-,-,2.05,1.77,26.15,-,-,78.97,-
15,臺北市,2017/11/28,松山,2.4,0.42,420.93,18.8,13,8,25.05,8.41,16.64,1.932,0.13,1.802,1.71,1.25,25.07,-,-,72.08,-
16,臺北市,2017/11/28,古亭,1.1,0.38,-,24.8,15,7,21.13,6.58,14.55,1.982,0.088,1.894,2.55,2.3,26.14,-,-,70.34,-
17,臺北市,2017/11/28,中山,1.7,0.56,-,17.9,17,6,32.25,12.02,20.24,2.046,0.173,1.873,2.22,1.87,26.04,-,-,74.61,-
18,臺北市,2017/11/28,大同,1.5,0.87,-,-,36,6,62.49,35.46,27.02,2.263,0.298,1.966,-,-,-,-,-,-,-
19,臺北市,2017/11/28,萬華,2.2,0.39,-,18.3,20,3,27.26,7.14,20.12,-,-,-,2.49,2.23,26.62,-,-,68.37,-
20,臺北市,2017/11/28,陽明,1.3,0.12,406.46,33.7,7,3,1.42,0.36,1.02,-,-,-,3.35,-,19.41,0.5,3.73,92.36,192.1
21,臺北市,2017/11/28,士林,2.1,0.2,-,33.3,13,7,6.59,2.11,4.48,-,-,-,2.81,2.37,27.18,-,-,69.58,-
22,臺北市,2017/11/27,松山,2.1,0.34,419.96,22.9,17,8,26.84,6.09,20.74,1.913,0.118,1.795,1.79,1.36,20.95,-,-,85.19,-
23,臺北市,2017/11/27,古亭,1.6,0.33,-,29.9,19,8,19.32,3.31,16,1.944,0.079,1.864,3.05,2.65,21.65,-,-,86.18,-
