序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2011/01/31,松山,2.1,0.45,404.24,21.5,33,42,29.0,33.47,8.24,25.23,2.04,0.139,1.9,10.94,71.85,42.0
2,臺北市,2011/01/31,古亭,1.9,0.45,-,26.6,34,50,22.0,25.92,6.61,19.31,2.018,0.113,1.91,11.12,76.31,50.0
3,臺北市,2011/01/31,中山,2.8,0.62,-,18.7,31,48,35.0,39.33,11.67,27.66,2.141,0.205,1.94,11.3,69.95,48.0
4,臺北市,2011/01/31,大同,4.6,1.4,-,-,-,55,31.0,95.9,58.61,37.3,2.585,0.579,2.01,-,-,52.0
5,臺北市,2011/01/31,萬華,2.4,0.51,-,19.3,31,43,35.0,35.65,8.21,27.43,-,-,-,11.15,71.33,43.0
6,臺北市,2011/01/31,陽明,1.6,0.18,394.66,42.0,43,15,11.0,2.54,0.61,1.89,-,-,-,3.77,95.06,37.0
7,臺北市,2011/01/31,士林,1.5,0.31,-,37.1,43,31,20.0,12.13,2.45,9.67,-,-,-,11.55,65.76,38.0
8,臺北市,2011/01/30,松山,6.3,0.66,410.31,25.5,35,76,62.0,28.24,5.51,22.73,2.087,0.117,1.97,10.96,76.66,63.0
9,臺北市,2011/01/30,古亭,6.1,0.7,-,26.4,34,82,58.0,26.43,5.0,21.43,2.09,0.125,1.97,11.1,81.81,66.0
10,臺北市,2011/01/30,中山,6.4,0.78,-,22.4,32,85,65.0,32.68,7.58,25.11,2.169,0.169,2.0,11.4,73.54,68.0
11,臺北市,2011/01/30,大同,6.9,1.22,-,-,-,85,60.0,69.43,36.12,33.3,2.423,0.366,2.06,-,-,68.0
12,臺北市,2011/01/30,萬華,6.5,0.69,-,22.5,30,73,54.0,29.87,5.66,24.21,-,-,-,11.23,75.12,62.0
13,臺北市,2011/01/30,陽明,5.6,0.46,401.23,41.4,45,32,27.0,5.32,1.51,3.81,-,-,-,4.12,95.25,39.0
14,臺北市,2011/01/30,士林,6.4,0.57,-,39.0,44,47,46.0,11.2,1.31,9.88,-,-,-,11.73,67.59,47.0
15,臺北市,2011/01/29,松山,2.3,0.48,405.18,23.6,31,32,27.0,29.22,7.37,21.85,2.041,0.123,1.92,11.64,78.36,32.0
16,臺北市,2011/01/29,古亭,1.8,0.54,-,22.2,28,38,23.0,28.73,6.27,22.47,2.061,0.123,1.94,11.97,81.93,38.0
17,臺北市,2011/01/29,中山,1.7,0.62,-,20.2,27,37,30.0,32.23,9.52,22.71,2.112,0.17,1.94,12.37,73.13,37.0
18,臺北市,2011/01/29,大同,2.7,1.23,-,-,-,40,27.0,73.48,42.39,31.09,2.427,0.425,2.0,-,-,40.0
19,臺北市,2011/01/29,萬華,1.9,0.54,-,17.8,23,30,25.0,32.89,7.16,25.72,-,-,-,12.17,75.43,30.0
20,臺北市,2011/01/29,陽明,2.2,0.29,395.83,39.5,43,12,10.0,3.41,1.59,1.82,-,-,-,5.04,95.78,37.0
21,臺北市,2011/01/29,士林,1.8,0.4,-,35.8,37,18,20.0,10.33,1.36,8.97,-,-,-,12.4,73.08,34.0
22,臺北市,2011/01/28,松山,1.6,0.5,405.88,15.9,20,18,17.0,32.61,7.04,25.57,2.145,0.195,1.95,15.6,83.62,22.0
23,臺北市,2011/01/28,古亭,0.9,0.72,-,12.3,17,26,8.0,46.91,15.54,31.37,2.242,0.264,1.98,15.96,86.76,26.0
24,臺北市,2011/01/28,中山,2.3,0.83,-,8.0,10,20,21.0,53.46,19.34,34.11,2.371,0.342,2.03,16.34,80.14,20.0
25,臺北市,2011/01/28,大同,3.3,1.8,-,-,-,30,18.0,100.92,61.57,39.34,2.892,0.779,2.11,-,-,30.0
26,臺北市,2011/01/28,萬華,1.3,0.76,-,9.0,11,21,13.0,48.33,13.52,34.81,-,-,-,16.1,82.59,21.0
27,臺北市,2011/01/28,陽明,1.1,0.13,389.17,39.6,40,5,2.0,1.96,0.84,1.12,-,-,-,9.92,96.73,34.0
28,臺北市,2011/01/28,士林,0.8,0.34,-,25.5,34,13,9.0,22.08,6.0,16.08,-,-,-,16.36,96.0,32.0
29,臺北市,2011/01/27,松山,2.3,0.52,404.76,18.0,30,19,17.0,40.61,12.42,28.16,2.144,0.175,1.97,16.14,87.67,31.0
30,臺北市,2011/01/27,古亭,1.7,0.65,-,19.1,30,27,12.0,38.92,12.54,26.38,2.132,0.197,1.94,16.41,91.3,30.0
31,臺北市,2011/01/27,中山,2.2,0.77,-,16.3,27,20,21.0,43.47,15.81,27.66,2.23,0.268,1.96,16.91,82.81,29.0
32,臺北市,2011/01/27,大同,3.8,2.27,-,-,-,32,21.0,121.46,82.44,39.02,2.978,0.904,2.07,-,-,41.0
33,臺北市,2011/01/27,萬華,2.4,0.66,-,17.4,27,18,15.0,38.47,11.8,26.67,-,-,-,16.71,84.95,28.0
34,臺北市,2011/01/27,陽明,1.2,0.2,390.28,40.1,42,5,3.0,1.95,1.31,0.62,-,-,-,11.03,96.33,36.0
35,臺北市,2011/01/27,士林,1.5,0.4,-,27.6,31,18,10.0,21.19,5.57,15.61,-,-,-,17.21,75.41,35.0
36,臺北市,2011/01/26,松山,3.6,0.4,402.23,18.9,28,15,16.0,36.71,10.61,26.1,2.061,0.143,1.92,15.18,85.81,28.0
37,臺北市,2011/01/26,古亭,1.4,0.46,-,22.4,29,25,11.0,31.16,9.08,22.08,2.01,0.123,1.89,15.59,88.13,27.0
38,臺北市,2011/01/26,中山,2.3,0.57,-,20.1,25,17,17.0,32.51,9.7,22.81,2.066,0.18,1.89,15.88,81.62,27.0
39,臺北市,2011/01/26,大同,3.2,1.63,-,-,-,25,16.0,90.73,55.98,34.76,2.652,0.657,2.0,-,-,25.0
40,臺北市,2011/01/26,萬華,2.6,0.45,-,19.4,26,14,14.0,30.89,7.2,23.68,-,-,-,15.67,83.52,27.0
41,臺北市,2011/01/26,陽明,0.5,0.16,389.65,39.7,41,5,3.0,1.39,0.54,0.77,-,-,-,9.77,93.58,36.0
42,臺北市,2011/01/26,士林,0.7,0.3,-,34.3,36,12,9.0,11.11,2.2,8.91,-,-,-,16.6,86.63,34.0
43,臺北市,2011/01/25,松山,3.3,0.47,403.39,15.0,27,25,19.0,41.15,12.41,28.72,2.056,0.168,1.89,13.85,84.24,26.0
44,臺北市,2011/01/25,古亭,0.6,0.48,-,21.2,33,30,16.0,28.98,8.12,20.86,2.02,0.136,1.88,14.31,85.25,31.0
45,臺北市,2011/01/25,中山,2.8,0.64,-,13.7,26,30,25.0,42.86,14.21,28.64,2.169,0.224,1.95,14.3,82.52,30.0
46,臺北市,2011/01/25,大同,4.9,1.9,-,-,-,42,25.0,112.52,74.61,37.9,2.822,0.794,2.03,-,-,42.0
47,臺北市,2011/01/25,萬華,2.9,0.52,-,14.3,26,27,18.0,39.38,10.6,28.77,-,-,-,14.17,83.82,27.0
48,臺北市,2011/01/25,陽明,0.5,0.17,390.5,38.4,39,5,3.0,2.67,1.45,1.22,-,-,-,8.46,93.59,35.0
49,臺北市,2011/01/25,士林,1.3,0.31,-,32.7,39,16,11.0,11.98,2.67,9.31,-,-,-,14.97,83.77,35.0
50,臺北市,2011/01/24,松山,5.4,0.81,417.82,19.8,26,62,47.0,32.81,7.9,24.91,2.157,0.173,1.98,12.99,79.16,56.0
51,臺北市,2011/01/24,古亭,4.9,0.86,-,19.8,25,63,44.0,34.1,8.94,25.16,2.17,0.183,1.99,13.3,83.11,56.0
52,臺北市,2011/01/24,中山,5.2,0.98,-,17.0,24,53,45.0,39.55,12.47,27.09,2.249,0.24,2.01,13.59,75.12,52.0
53,臺北市,2011/01/24,大同,6.2,1.75,-,-,-,59,44.0,84.57,50.15,34.42,2.668,0.589,2.08,-,-,54.0
54,臺北市,2011/01/24,萬華,5.6,0.9,-,15.8,21,50,41.0,37.08,8.87,28.2,-,-,-,13.35,77.75,50.0
55,臺北市,2011/01/24,陽明,4.2,0.57,410.61,35.4,42,11,8.0,7.61,1.24,6.37,-,-,-,6.45,96.69,36.0
56,臺北市,2011/01/24,士林,4.7,0.73,-,30.1,38,38,27.0,16.91,3.7,13.21,-,-,-,13.65,71.96,38.0
57,臺北市,2011/01/23,松山,3.2,0.65,415.03,15.6,24,42,33.0,46.01,17.76,28.24,2.263,0.215,2.05,16.01,79.84,42.0
58,臺北市,2011/01/23,古亭,2.2,0.73,-,14.7,18,51,24.0,37.08,12.07,25.0,2.263,0.233,2.03,16.02,84.13,50.0
59,臺北市,2011/01/23,中山,3.9,0.87,-,9.0,12,50,41.0,50.27,19.46,30.81,2.416,0.308,2.11,16.21,79.44,50.0
60,臺北市,2011/01/23,大同,4.8,1.79,-,-,-,56,40.0,91.61,56.98,34.63,2.865,0.648,2.22,-,-,53.0
61,臺北市,2011/01/23,萬華,3.2,0.84,-,9.3,12,45,34.0,43.11,12.7,30.41,-,-,-,16.0,81.54,45.0
62,臺北市,2011/01/23,陽明,1.3,0.26,400.51,36.8,40,10,8.0,5.65,1.59,4.06,-,-,-,10.1,97.29,35.0
63,臺北市,2011/01/23,士林,3.1,0.64,-,17.3,25,39,30.0,34.47,10.17,24.29,-,-,-,16.14,79.31,39.0
64,臺北市,2011/01/22,松山,1.3,0.49,404.09,22.4,30,46,31.0,29.7,7.26,22.45,2.068,0.149,1.92,14.97,68.45,46.0
65,臺北市,2011/01/22,古亭,0.5,0.48,-,27.3,32,47,26.0,23.68,5.71,17.97,2.026,0.108,1.92,15.35,71.51,47.0
66,臺北市,2011/01/22,中山,2.5,0.61,-,19.2,26,46,36.0,35.91,11.01,24.9,2.163,0.196,1.97,15.42,67.5,46.0
67,臺北市,2011/01/22,大同,3.4,1.27,-,-,-,51,33.0,77.7,43.4,34.3,2.51,0.47,2.04,-,-,50.0
