序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2014/06/30,松山,-,-,-,-,-,15,-,-,-,-,-,-
2,臺北市,2014/06/30,松山,3,0.59,427.29,24.6,23,-,32.17,9.02,23.16,1.35,28.48,79.98
3,臺北市,2014/06/30,古亭,-,-,-,-,-,11,-,-,-,-,-,-
4,臺北市,2014/06/30,古亭,2.7,0.67,-,23.3,30,-,29.26,6.17,23.08,1.43,28.42,85.25
5,臺北市,2014/06/30,中山,-,-,-,-,-,12,-,-,-,-,-,-
6,臺北市,2014/06/30,中山,2.6,0.81,-,19.4,42,-,38.77,10.57,28.21,1.5,29.08,79.91
7,臺北市,2014/06/30,大同,-,-,-,-,-,10,-,-,-,-,-,-
8,臺北市,2014/06/30,大同,4.3,1.91,-,-,42,-,74.82,40.91,33.91,-,-,-
9,臺北市,2014/06/30,萬華,-,-,-,-,-,-,-,-,-,-,-,-
10,臺北市,2014/06/30,陽明,-,-,-,-,-,13,-,-,-,-,-,-
11,臺北市,2014/06/30,陽明,1.7,0.15,405.87,31.2,16,-,6.39,1.31,5.08,-,23.79,92.68
12,臺北市,2014/06/30,士林,-,-,-,-,-,14,-,-,-,-,-,-
13,臺北市,2014/06/30,士林,2.5,0.49,-,23.8,28,-,23.72,5.42,18.31,1.61,28.79,78.97
14,臺北市,2014/06/29,松山,-,-,-,-,-,22,-,-,-,-,-,-
15,臺北市,2014/06/29,松山,4.8,0.43,426.82,23.1,40,-,20.75,4.45,16.29,1.48,29.38,76.98
16,臺北市,2014/06/29,古亭,-,-,-,-,-,19,-,-,-,-,-,-
17,臺北市,2014/06/29,古亭,3,0.45,-,21.4,48,-,21.43,3.97,17.46,1.64,29.37,79.76
18,臺北市,2014/06/29,中山,-,-,-,-,-,20,-,-,-,-,-,-
19,臺北市,2014/06/29,中山,4.4,0.53,-,19.4,55,-,26.95,6.52,20.43,1.65,30,76.79
20,臺北市,2014/06/29,大同,-,-,-,-,-,17,-,-,-,-,-,-
21,臺北市,2014/06/29,大同,4.4,1.32,-,-,57,-,58.59,31.21,27.38,-,-,-
22,臺北市,2014/06/29,萬華,-,-,-,-,-,24,-,-,-,-,-,-
23,臺北市,2014/06/29,萬華,4.4,0.51,-,20.5,43,-,24.59,4.47,20.12,1.39,29.91,77.69
24,臺北市,2014/06/29,陽明,-,-,-,-,-,13,-,-,-,-,-,-
