序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2016/01/31,松山,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-
2,臺北市,2016/01/31,松山,1.8,0.34,420.96,30.1,26,-,17.21,2.66,14.55,1.855,0.075,1.78,2.23,1.71,17.26,-,-,79.08,-
3,臺北市,2016/01/31,古亭,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,-,-
4,臺北市,2016/01/31,古亭,2,0.37,-,29.9,30,-,17.28,3.03,14.25,1.943,0.076,1.867,3.22,3.03,17.58,-,-,82.72,-
5,臺北市,2016/01/31,中山,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-
6,臺北市,2016/01/31,中山,3.4,0.47,-,27.3,33,-,24.42,5.8,18.62,1.935,0.118,1.816,2.89,2.58,18.41,-,-,80.46,-
7,臺北市,2016/01/31,大同,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-
8,臺北市,2016/01/31,大同,3.6,0.72,-,-,44,-,44.27,20.96,23.31,2.146,0.203,1.942,-,-,-,-,-,-,-
9,臺北市,2016/01/31,萬華,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-
10,臺北市,2016/01/31,萬華,2.9,0.38,-,29.7,31,-,21.43,4.2,17.23,-,-,-,3.34,3.08,18.52,-,-,76.84,-
11,臺北市,2016/01/31,陽明,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
12,臺北市,2016/01/31,陽明,1.2,0.23,407.91,44.6,6,-,1.82,0.26,1.48,-,-,-,-,-,8.17,0.97,4.21,100,106.11
13,臺北市,2016/01/31,士林,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-
14,臺北市,2016/01/31,士林,1.6,0.27,-,41.8,21,-,6.96,1.9,5.07,-,-,-,3.35,3,18.46,-,-,70.69,-
15,臺北市,2016/01/30,松山,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-
16,臺北市,2016/01/30,松山,0.7,0.43,425.19,19.9,16,-,25.29,5.38,19.91,1.912,0.111,1.801,1.76,1.4,16.31,-,-,83.85,-
17,臺北市,2016/01/30,古亭,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-
18,臺北市,2016/01/30,古亭,0.7,0.55,-,16.8,18,-,29.32,7.1,22.21,2.061,0.14,1.921,1.85,1.6,16.32,-,-,90.87,-
19,臺北市,2016/01/30,中山,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-
20,臺北市,2016/01/30,中山,1.6,0.71,-,13.5,16,-,39.97,13.77,26.2,2.105,0.219,1.886,1.45,0.78,17.31,-,-,86.62,-
21,臺北市,2016/01/30,大同,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-
22,臺北市,2016/01/30,大同,2.3,1.29,-,-,30,-,80.91,49.83,31.08,2.436,0.409,2.028,-,-,-,-,-,-,-
23,臺北市,2016/01/30,萬華,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-
24,臺北市,2016/01/30,萬華,1.4,0.68,-,12.1,21,-,38.44,10.61,27.84,-,-,-,1.37,0.97,17.43,-,-,83.81,-
25,臺北市,2016/01/30,陽明,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-
26,臺北市,2016/01/30,陽明,1.2,0.26,415.04,38,5,-,2.79,0.26,2.57,-,-,-,-,-,7.88,1.14,4.83,99.88,18.23
27,臺北市,2016/01/30,士林,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-
