序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2016/08/31,松山,4.3,0.57,422.89,66.8,55,31,27.99,3.25,24.74,2.078,0.188,1.89,1.43,1.04,28.47,-,-,57.38,-
2,臺北市,2016/08/31,古亭,4.1,0.58,-,62.3,52,30,24.63,2.68,21.95,2.147,0.177,1.97,1.62,1.09,28.77,-,-,56.99,-
3,臺北市,2016/08/31,中山,3.7,0.7,-,58.4,-,27,33.18,4.31,28.87,2.193,0.221,1.972,1.69,1,29.66,-,-,57.4,-
4,臺北市,2016/08/31,大同,4.1,1.53,-,-,67,30,66.19,26.56,39.64,2.626,0.458,2.168,-,-,-,-,-,-,-
5,臺北市,2016/08/31,萬華,3.3,0.66,-,58.8,49,30,27.49,3.32,24.17,-,-,-,1.5,0.99,29.93,-,-,56.52,-
6,臺北市,2016/08/31,陽明,4.4,0.3,403.25,83.4,36,32,6.55,0.71,5.83,-,-,-,-,-,21.51,0,0,71.98,0
7,臺北市,2016/08/31,士林,3.1,0.47,-,67.6,50,33,19.36,2.31,17.05,-,-,-,1.78,1.62,28.46,-,-,59.46,-
8,臺北市,2016/08/30,松山,4.6,0.46,416.86,41.3,43,19,27.27,3.65,23.63,2.008,0.166,1.842,1.85,1.46,27.96,-,-,54.65,-
9,臺北市,2016/08/30,古亭,2.9,0.38,-,54.9,39,20,19.39,2.48,16.91,1.982,0.083,1.899,2.04,1.79,28.61,-,-,51.97,-
10,臺北市,2016/08/30,中山,3.3,0.6,-,45.5,-,20,32.79,5.19,27.6,2.053,0.168,1.885,1.92,1.48,29.16,-,-,54.19,-
11,臺北市,2016/08/30,大同,4.4,0.98,-,-,54,21,61.08,23.67,37.41,2.324,0.307,2.017,-,-,-,-,-,-,-
12,臺北市,2016/08/30,萬華,3.9,0.46,-,47.7,39,24,26.92,2.78,24.16,-,-,-,1.87,1.65,29.61,-,-,51.69,-
13,臺北市,2016/08/30,陽明,1.7,0.2,397.19,71,26,20,2.85,0.67,2.19,-,-,-,-,-,20.92,0,0,70.42,0
14,臺北市,2016/08/30,士林,3.5,0.32,-,60,39,20,14.19,1.54,12.66,-,-,-,1.9,1.77,28.35,-,-,54.56,-
15,臺北市,2016/08/29,松山,2.2,0.48,415.11,47.5,48,20,21.6,2.97,18.63,2.041,0.156,1.884,1.6,1.36,27.54,-,-,59.6,-
16,臺北市,2016/08/29,古亭,2.5,0.46,-,50,49,22,19.37,3.18,16.19,2.006,0.093,1.914,2.22,1.96,27.44,-,-,60.71,-
17,臺北市,2016/08/29,中山,2.5,0.57,-,48.5,-,-,27.05,3.72,23.33,2.088,0.153,1.936,1.92,1.58,28.44,-,-,61.55,-
18,臺北市,2016/08/29,大同,2.7,1.25,-,-,62,23,62,24.61,37.39,2.421,0.358,2.064,-,-,-,-,-,-,-
19,臺北市,2016/08/29,萬華,2.1,0.49,-,46.5,46,22,24.21,4.42,19.79,-,-,-,2.2,1.97,28.56,-,-,60.29,-
20,臺北市,2016/08/29,陽明,2.2,0.23,399.66,73.8,31,22,2.29,0.22,2.14,-,-,-,-,-,20.57,0,0,79.27,0
21,臺北市,2016/08/29,士林,2.5,0.39,-,60.1,47,24,13.41,1.6,11.83,-,-,-,1.72,1.4,27.66,-,-,61.95,-
22,臺北市,2016/08/28,松山,2.5,0.38,408.26,46.7,43,20,14.92,1.84,13.08,1.941,0.098,1.843,1.29,0.95,26.85,-,-,77.18,-
23,臺北市,2016/08/28,古亭,1.9,0.45,-,39.9,44,21,19.56,2.56,17.01,2.062,0.1,1.962,1.17,1.03,26.73,-,-,79.39,-
