序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2002/05/31,松山,3.6,1.03,4.6,-,40,-,61.29,31.92,29.37,-,-,-,25.56,-,-,40.0,-
2,臺北市,2002/05/31,古亭,2.2,1.25,6.7,-,37,31,67.51,35.12,32.39,2.853,0.68,2.18,25.06,-,-,37.0,-
3,臺北市,2002/05/31,中山,4.9,1.25,3.8,-,49,-,65.76,27.86,37.9,2.816,0.58,2.24,26.04,-,-,49.0,-
4,臺北市,2002/05/31,大同,7.0,2.41,-,-,50,-,99.42,63.84,35.58,3.576,1.27,2.31,25.64,-,-,50.0,-
5,臺北市,2002/05/31,萬華,4.5,1.18,5.0,-,57,-,52.1,16.01,36.09,-,-,-,25.38,-,-,54.0,-
6,臺北市,2002/05/31,陽明,0.8,0.31,36.0,-,15,-,6.13,0.21,5.92,-,-,-,20.34,-,95.0,41.0,-
7,臺北市,2002/05/31,士林,3.8,0.94,5.4,-,38,-,55.6,21.35,34.24,-,-,-,24.81,-,-,38.0,-
8,臺北市,2002/05/30,松山,5.7,0.79,31.4,-,67,-,40.09,4.46,35.64,-,-,-,29.16,-,-,64.0,-
9,臺北市,2002/05/30,古亭,5.2,0.77,32.9,-,53,39,43.2,7.55,35.65,2.663,0.54,2.12,29.08,-,-,60.0,-
10,臺北市,2002/05/30,中山,7.2,1.11,24.6,-,83,-,48.48,8.39,40.09,-,-,-,29.63,-,-,66.0,-
11,臺北市,2002/05/30,大同,9.9,2.39,-,-,80,-,94.53,47.24,47.28,3.687,1.15,2.54,30.29,-,-,65.0,-
12,臺北市,2002/05/30,萬華,6.9,0.82,36.0,-,74,-,-,-,-,-,-,-,29.31,-,-,63.0,-
13,臺北市,2002/05/30,陽明,2.6,0.34,52.6,-,27,-,7.93,0.43,7.5,-,-,-,22.94,-,84.0,64.0,-
14,臺北市,2002/05/30,士林,4.9,0.67,35.3,-,65,-,33.71,7.24,26.47,-,-,-,28.16,-,-,66.0,-
15,臺北市,2002/05/29,松山,2.1,0.45,28.9,-,51,-,25.28,3.01,22.27,-,-,-,28.47,-,-,70.0,-
16,臺北市,2002/05/29,古亭,1.3,0.61,29.6,-,39,30,36.27,10.43,25.84,2.485,0.42,2.07,28.67,-,-,66.0,-
17,臺北市,2002/05/29,中山,2.6,0.84,27.5,-,62,-,36.56,6.48,30.07,2.446,0.24,2.21,29.17,-,-,74.0,-
18,臺北市,2002/05/29,大同,7.5,3.73,-,-,70,-,159.88,104.08,55.8,-,-,-,30.68,-,-,60.0,-
