序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2008/03/31,松山,3.2,0.5,400.61,31.3,43,49,33.0,32.88,5.09,27.79,2.088,0.153,1.94,-,15.35,-,81.57,49.0,-
2,臺北市,2008/03/31,古亭,3.3,0.49,-,37.9,48,52,35.0,28.5,6.05,22.45,1.987,0.121,1.87,-,15.03,-,85.35,51.0,-
3,臺北市,2008/03/31,中山,3.0,0.62,-,31.5,48,55,35.0,39.02,8.08,30.94,2.158,0.191,1.97,-,15.48,-,79.19,52.0,-
4,臺北市,2008/03/31,萬華,5.7,0.56,-,37.9,51,50,34.0,27.67,3.37,24.3,-,-,-,-,15.33,-,84.27,50.0,-
5,臺北市,2008/03/31,陽明,1.5,0.27,391.44,56.8,58,12,8.0,3.21,0.81,2.41,-,-,-,-,8.18,-,91.3,52.0,-
6,臺北市,2008/03/31,士林,1.5,0.37,-,50.7,57,44,28.0,13.63,1.63,12.0,-,-,-,-,15.35,-,75.87,52.0,-
7,臺北市,2008/03/30,松山,3.3,0.67,410.8,25.4,39,58,41.0,33.97,7.06,26.91,2.237,0.231,2.01,-,20.09,-,81.68,54.0,-
8,臺北市,2008/03/30,古亭,2.5,0.66,-,26.0,39,58,37.0,30.38,5.89,24.49,2.126,0.185,1.94,-,19.66,-,85.49,54.0,-
9,臺北市,2008/03/30,中山,3.3,0.74,-,26.1,38,55,40.0,38.87,8.84,30.03,2.292,0.243,2.05,-,19.34,-,83.98,52.0,-
10,臺北市,2008/03/30,萬華,2.7,0.66,-,29.4,42,53,35.0,25.84,3.52,22.32,-,-,-,-,19.89,-,86.16,52.0,-
11,臺北市,2008/03/30,陽明,1.6,0.31,389.6,46.8,58,6,4.0,6.18,1.15,5.03,-,-,-,-,13.79,-,91.88,51.0,-
12,臺北市,2008/03/30,士林,3.0,0.51,-,34.5,48,48,29.0,22.31,2.4,19.92,-,-,-,-,19.77,-,84.62,48.0,-
13,臺北市,2008/03/29,松山,9.3,0.83,417.54,30.5,50,80,50.0,52.08,10.58,41.5,2.441,0.365,2.08,-,24.04,-,65.26,68.0,-
14,臺北市,2008/03/29,古亭,7.8,0.99,-,35.2,72,94,58.0,55.66,13.77,41.89,2.455,0.415,2.04,-,24.19,-,67.18,92.0,-
15,臺北市,2008/03/29,中山,7.7,1.15,-,29.1,63,95,62.0,65.49,14.77,50.72,2.7,0.476,2.22,-,24.26,-,65.75,78.0,-
16,臺北市,2008/03/29,萬華,7.3,1.08,-,39.2,87,94,62.0,49.16,7.51,41.64,-,-,-,-,24.09,-,68.91,103.0,-
17,臺北市,2008/03/29,陽明,3.7,0.36,391.34,65.5,96,50,39.0,9.99,1.11,8.88,-,-,-,-,17.46,-,86.58,97.0,-
18,臺北市,2008/03/29,士林,5.8,0.7,-,41.0,71,91,61.0,35.86,3.94,31.93,-,-,-,-,23.6,-,70.24,78.0,-
19,臺北市,2008/03/28,松山,2.6,0.67,412.36,24.6,42,68,32.0,47.12,15.01,32.11,2.477,0.315,2.16,-,21.82,-,49.75,59.0,-
20,臺北市,2008/03/28,古亭,2.6,0.6,-,26.0,40,72,29.0,38.55,10.03,28.52,2.117,0.202,1.91,-,21.81,-,50.38,61.0,-
21,臺北市,2008/03/28,中山,3.4,0.85,-,22.6,38,78,37.0,56.69,16.78,39.92,2.466,0.377,2.09,-,22.19,-,46.7,64.0,-
22,臺北市,2008/03/28,萬華,3.7,0.71,-,31.2,53,74,33.0,35.05,5.65,29.4,-,-,-,-,22.06,-,50.87,66.0,-
23,臺北市,2008/03/28,陽明,2.1,0.19,384.16,55.1,60,44,22.0,4.78,1.03,3.75,-,-,-,-,15.87,-,56.07,51.0,-
24,臺北市,2008/03/28,士林,2.8,0.55,-,34.6,54,72,32.0,34.69,6.09,28.61,-,-,-,-,21.68,-,48.39,68.0,-
25,臺北市,2008/03/27,松山,8.2,0.96,426.23,23.1,56,89,53.0,68.06,17.41,50.65,2.723,0.438,2.28,-,21.03,-,58.81,70.0,-
26,臺北市,2008/03/27,古亭,5.2,0.9,-,33.7,70,81,53.0,55.09,14.92,40.18,2.351,0.351,2.0,-,21.24,-,53.52,82.0,-
27,臺北市,2008/03/27,中山,5.7,1.22,-,28.5,61,90,54.0,75.77,23.96,51.81,2.698,0.522,2.18,-,21.78,-,51.16,70.0,-
