序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2006/12/31,松山,3.9,0.44,406.29,16.9,24,18,13.0,33.66,8.12,25.54,2.132,0.166,1.97,18.44,-,87.22,24.0,-
2,臺北市,2006/12/31,古亭,3.5,0.48,-,16.9,23,23,13.0,33.36,7.89,25.47,1.756,0.141,1.62,18.22,-,83.84,24.0,-
3,臺北市,2006/12/31,中山,4.3,0.5,-,11.8,16,24,13.0,33.6,8.79,24.81,1.995,0.144,1.85,18.87,-,74.36,24.0,-
4,臺北市,2006/12/31,萬華,2.9,0.44,-,20.3,27,19,-,25.84,3.88,21.96,-,-,-,19.59,-,84.19,25.0,-
5,臺北市,2006/12/31,陽明,1.9,0.13,401.63,39.5,41,5,4.0,2.02,0.29,1.68,-,-,-,12.45,-,99.66,36.0,-
6,臺北市,2006/12/31,士林,1.8,0.23,-,32.4,35,18,8.0,11.82,2.04,9.77,-,-,-,19.45,-,76.46,30.0,-
7,臺北市,2006/12/30,松山,4.9,0.49,408.44,13.0,20,36,19.0,41.88,13.48,28.4,2.209,0.241,1.97,17.99,-,73.73,36.0,-
8,臺北市,2006/12/30,古亭,2.3,0.43,-,20.5,29,29,16.0,29.7,9.47,20.23,1.816,0.133,1.68,18.01,-,68.86,29.0,-
9,臺北市,2006/12/30,中山,3.6,0.56,-,9.7,13,36,15.0,41.32,13.18,28.13,2.081,0.204,1.88,18.45,-,62.07,36.0,-
10,臺北市,2006/12/30,萬華,3.8,0.5,-,21.0,27,29,-,27.26,6.25,21.01,-,-,-,19.27,-,70.04,29.0,-
11,臺北市,2006/12/30,陽明,3.3,0.13,402.82,36.2,37,12,8.0,2.89,0.58,2.27,-,-,-,10.51,-,99.57,32.0,-
12,臺北市,2006/12/30,士林,3.3,0.25,-,30.1,32,34,11.0,13.81,2.37,11.44,-,-,-,18.71,-,67.13,34.0,-
13,臺北市,2006/12/29,松山,3.3,0.47,406.32,20.0,32,48,27.0,33.23,8.87,24.36,2.116,0.184,1.93,15.24,-,65.93,48.0,-
14,臺北市,2006/12/29,古亭,2.4,0.45,-,22.3,27,49,32.0,26.8,7.76,19.04,1.778,0.12,1.66,14.35,-,67.52,49.0,-
15,臺北市,2006/12/29,中山,3.2,0.65,-,12.9,22,54,25.0,44.08,15.77,28.31,2.075,0.226,1.85,15.34,-,56.32,52.0,-
16,臺北市,2006/12/29,萬華,4.7,0.58,-,22.8,32,46,-,30.3,8.12,22.18,-,-,-,15.85,-,66.48,46.0,-
17,臺北市,2006/12/29,陽明,1.7,0.18,403.19,38.2,41,24,14.0,1.7,0.69,1.01,-,-,-,6.71,-,98.49,37.0,-
18,臺北市,2006/12/29,士林,2.5,0.3,-,32.3,38,50,19.0,11.93,2.34,9.59,-,-,-,15.15,-,63.42,50.0,-
19,臺北市,2006/12/28,松山,5.6,0.58,409.5,24.5,32,65,55.0,31.67,6.77,24.9,2.157,0.186,1.97,15.79,-,77.84,58.0,-
20,臺北市,2006/12/28,古亭,4.3,0.74,-,17.4,30,74,61.0,44.16,12.94,31.22,1.767,0.219,1.55,15.11,-,78.98,62.0,-
21,臺北市,2006/12/28,中山,4.5,0.8,-,15.5,24,66,48.0,46.51,16.33,30.18,2.107,0.231,1.88,16.01,-,66.09,58.0,-
22,臺北市,2006/12/28,萬華,7.8,0.85,-,18.1,31,71,-,43.69,11.06,32.63,-,-,-,16.64,-,79.02,60.0,-
23,臺北市,2006/12/28,陽明,3.9,0.33,406.14,44.0,46,31,21.0,2.63,0.44,2.14,-,-,-,8.23,-,99.3,39.0,-
24,臺北市,2006/12/28,士林,4.7,0.5,-,31.1,40,69,44.0,20.21,4.03,16.18,-,-,-,15.89,-,72.8,60.0,-
25,臺北市,2006/12/27,松山,8.1,0.8,424.3,20.1,36,77,49.0,60.05,26.29,33.76,2.549,0.353,2.2,17.66,-,71.18,64.0,-
26,臺北市,2006/12/27,古亭,5.6,0.77,-,18.9,33,71,57.0,47.56,16.76,30.8,1.879,0.26,1.62,17.36,-,68.75,60.0,-
27,臺北市,2006/12/27,中山,6.8,1.08,-,13.2,23,80,51.0,73.94,36.82,37.12,2.485,0.429,2.06,18.26,-,60.48,65.0,-
28,臺北市,2006/12/27,萬華,8.0,0.82,-,23.1,39,65,-,39.63,10.16,29.47,-,-,-,18.83,-,69.33,58.0,-
29,臺北市,2006/12/27,陽明,4.9,0.28,390.78,51.4,59,51,38.0,3.76,0.87,2.9,-,-,-,10.51,-,96.93,50.0,-
30,臺北市,2006/12/27,士林,5.0,0.71,-,27.3,46,79,46.0,35.8,13.23,22.57,-,-,-,17.45,-,69.82,64.0,-
31,臺北市,2006/12/26,松山,3.8,0.93,426.12,13.1,29,55,36.0,63.73,29.05,34.68,2.702,0.442,2.26,18.13,-,78.96,52.0,-
32,臺北市,2006/12/26,古亭,2.8,0.84,-,11.8,22,58,36.0,51.21,20.28,30.93,1.982,0.325,1.66,17.61,-,75.58,54.0,-
33,臺北市,2006/12/26,中山,3.9,1.08,-,3.5,5,59,37.0,-,-,-,2.472,0.431,2.04,18.33,-,66.62,54.0,-
34,臺北市,2006/12/26,萬華,2.6,1.07,-,15.6,33,58,-,51.37,17.82,33.55,-,-,-,19.08,-,76.61,54.0,-
35,臺北市,2006/12/26,陽明,2.1,0.24,385.53,43.3,47,31,23.0,2.76,0.66,2.05,-,-,-,11.25,-,99.44,40.0,-
36,臺北市,2006/12/26,士林,2.6,0.91,-,15.4,37,65,34.0,48.91,18.55,30.35,-,-,-,17.96,-,75.33,58.0,-
37,臺北市,2006/12/25,松山,3.1,0.75,411.59,22.9,35,54,41.0,38.72,12.03,26.68,2.25,0.272,1.98,18.46,-,76.03,52.0,-
38,臺北市,2006/12/25,古亭,3.0,0.82,-,20.5,33,63,45.0,39.22,12.09,27.12,2.022,0.342,1.68,17.63,-,76.43,56.0,-
39,臺北市,2006/12/25,中山,4.6,1.2,-,13.6,20,70,43.0,72.98,38.39,34.59,2.435,0.456,1.98,18.51,-,68.03,60.0,-
40,臺北市,2006/12/25,萬華,2.3,0.75,-,26.9,37,61,-,29.86,6.17,23.68,-,-,-,19.06,-,78.04,56.0,-
41,臺北市,2006/12/25,陽明,1.7,0.24,386.28,43.6,45,12,9.0,3.07,0.52,2.5,-,-,-,11.06,-,99.74,39.0,-
42,臺北市,2006/12/25,士林,2.7,0.67,-,26.3,38,66,-,30.15,10.46,19.69,-,-,-,17.98,-,77.08,58.0,-
43,臺北市,2006/12/24,松山,5.9,0.73,417.16,20.5,38,60,42.0,47.48,12.79,34.69,2.297,0.277,2.02,20.03,-,73.24,55.0,-
