序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2005/09/30,古亭,4.2,0.51,-,21.2,-,45,24.0,30.08,9.39,20.7,2.242,0.193,2.05,27.58,-,75.45,45.0,-
2,臺北市,2005/09/30,中山,5.4,0.62,-,15.5,-,45,25.0,36.96,13.02,23.94,2.065,0.379,1.69,27.96,-,70.41,45.0,-
3,臺北市,2005/09/30,萬華,5.9,0.48,-,21.2,-,43,25.0,24.05,5.24,18.81,-,-,-,29.37,-,70.83,43.0,-
4,臺北市,2005/09/30,陽明,0.7,0.14,375.64,37.3,-,15,13.0,1.63,0.93,0.68,-,-,-,20.19,-,88.0,38.0,-
5,臺北市,2005/09/30,士林,1.9,0.29,-,29.8,-,37,20.0,11.75,2.73,9.01,-,-,-,28.38,-,68.22,37.0,-
6,臺北市,2005/09/29,古亭,5.7,0.46,-,25.9,-,43,18.0,27.65,8.14,19.51,2.184,0.159,2.03,27.55,-,70.7,43.0,-
7,臺北市,2005/09/29,中山,4.5,0.56,-,19.6,-,41,19.0,33.99,10.85,23.14,2.061,0.483,1.58,27.8,-,65.34,41.0,-
8,臺北市,2005/09/29,萬華,6.1,0.4,-,27.6,-,37,19.0,20.4,3.87,16.53,-,-,-,29.28,-,65.91,37.0,-
9,臺北市,2005/09/29,陽明,1.6,-,374.71,41.1,-,15,10.0,1.61,0.81,0.8,-,-,-,20.18,-,89.0,38.0,-
10,臺北市,2005/09/29,士林,2.1,0.27,-,32.8,-,34,15.0,11.28,2.77,8.51,-,-,-,28.07,-,65.0,34.0,-
11,臺北市,2005/09/28,古亭,3.9,0.48,-,21.4,-,43,19.0,27.59,9.04,18.55,2.188,0.171,2.02,27.46,-,77.26,43.0,-
12,臺北市,2005/09/28,中山,4.4,0.55,-,14.5,-,42,20.0,33.05,11.87,21.18,2.028,0.458,1.57,27.77,-,70.66,42.0,-
13,臺北市,2005/09/28,萬華,5.6,0.42,-,22.6,-,44,21.0,19.83,4.51,15.32,-,-,-,29.29,-,71.5,44.0,-
14,臺北市,2005/09/28,陽明,1.4,0.12,375.33,34.7,-,13,9.0,1.72,0.9,0.8,-,-,-,20.0,-,92.0,31.0,-
15,臺北市,2005/09/28,士林,0.9,0.26,-,27.4,-,34,17.0,10.72,2.63,8.09,-,-,-,28.16,-,69.45,34.0,-
16,臺北市,2005/09/27,古亭,4.5,0.48,-,26.1,-,48,17.0,26.92,7.88,19.04,2.193,0.164,2.03,27.16,-,72.01,48.0,-
17,臺北市,2005/09/27,中山,4.3,0.57,-,18.4,-,45,18.0,35.77,10.92,24.86,2.052,0.475,1.58,27.58,-,65.5,45.0,-
18,臺北市,2005/09/27,萬華,4.5,0.41,-,29.5,-,45,18.0,17.86,3.1,14.76,-,-,-,29.06,-,66.25,45.0,-
19,臺北市,2005/09/27,陽明,1.1,0.13,373.99,40.9,-,17,9.0,1.97,1.31,0.61,-,-,-,19.77,-,95.0,37.0,-
20,臺北市,2005/09/27,士林,2.3,0.26,-,35.6,-,42,17.0,12.39,2.73,9.67,-,-,-,27.69,-,66.12,42.0,-
21,臺北市,2005/09/26,古亭,5.5,0.33,-,20.8,-,41,18.0,26.65,9.0,17.65,2.203,0.16,2.04,27.51,-,74.42,41.0,-
22,臺北市,2005/09/26,中山,5.3,0.57,-,15.4,-,34,16.0,34.82,10.68,24.14,2.03,0.449,1.58,27.91,-,67.97,34.0,-
23,臺北市,2005/09/26,萬華,4.8,0.52,-,23.5,-,38,16.0,20.35,5.01,15.35,-,-,-,29.28,-,69.23,38.0,-
24,臺北市,2005/09/26,陽明,1.8,0.14,374.92,39.5,-,13,9.0,1.98,1.05,0.88,-,-,-,19.57,-,95.0,37.0,-
25,臺北市,2005/09/26,士林,3.7,0.25,-,32.5,-,-,13.0,11.24,3.36,7.89,-,-,-,28.26,-,67.85,32.0,-
26,臺北市,2005/09/25,古亭,5.7,0.43,-,15.7,-,35,17.0,25.42,7.87,17.55,2.161,0.14,2.02,27.1,-,81.0,35.0,-
27,臺北市,2005/09/25,中山,6.1,0.44,-,14.6,-,26,18.0,26.33,7.74,18.59,2.01,0.458,1.55,27.37,-,74.71,26.0,-
28,臺北市,2005/09/25,萬華,5.2,0.38,-,19.6,-,29,16.0,16.92,4.25,12.66,-,-,-,28.91,-,75.33,34.0,-
29,臺北市,2005/09/25,陽明,2.0,0.13,376.5,33.2,-,10,8.0,3.23,1.1,2.12,-,-,-,20.14,-,96.0,36.0,-
30,臺北市,2005/09/25,士林,4.0,0.22,-,25.9,-,-,14.0,10.76,2.84,7.92,-,-,-,27.87,-,73.61,32.0,-
31,臺北市,2005/09/24,古亭,3.3,0.4,-,10.8,-,27,16.0,24.82,10.36,14.46,2.121,0.146,1.98,27.0,-,79.06,27.0,-
32,臺北市,2005/09/24,中山,5.0,0.48,-,7.5,-,22,15.0,31.99,14.82,17.16,1.949,0.421,1.53,27.4,-,72.85,22.0,-
33,臺北市,2005/09/24,萬華,3.1,0.43,-,11.3,-,23,14.0,17.27,7.13,10.14,-,-,-,28.91,-,73.31,23.0,-
34,臺北市,2005/09/24,陽明,3.2,0.1,374.38,23.2,-,10,8.0,3.59,0.97,2.6,-,-,-,20.56,-,95.0,32.0,-
35,臺北市,2005/09/24,士林,3.8,0.22,-,15.7,-,-,14.0,12.13,3.97,8.16,-,-,-,27.92,-,73.12,21.0,-
36,臺北市,2005/09/23,古亭,3.1,0.46,-,8.8,-,23,12.0,27.62,13.62,14.0,2.131,0.174,1.96,27.68,-,80.64,23.0,-
37,臺北市,2005/09/23,中山,4.4,0.59,-,5.8,-,21,13.0,37.56,21.2,16.36,1.975,0.47,1.51,27.84,-,75.79,21.0,-
38,臺北市,2005/09/23,萬華,2.5,0.47,-,9.6,-,24,11.0,17.66,8.88,8.78,-,-,-,29.65,-,74.93,24.0,-
39,臺北市,2005/09/23,陽明,2.8,0.06,374.2,19.9,-,6,5.0,3.33,1.31,1.98,-,-,-,21.15,-,91.0,23.0,-
40,臺北市,2005/09/23,士林,3.5,0.21,-,12.7,-,25,11.0,12.28,4.28,7.99,-,-,-,28.31,-,75.31,25.0,-
41,臺北市,2005/09/22,古亭,3.4,0.49,-,3.9,-,26,14.0,30.78,18.53,12.25,2.152,0.198,1.95,27.07,-,85.91,26.0,-
