序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/05/31,松山,3,0.55,449.82,15.4,26,16,31.61,10.05,21.56,2.063,0.19,1.873,2.03,1.79,28.78,-,-,72.16,-
2,臺北市,2017/05/31,古亭,3.3,0.54,-,20,32,11,24.18,6.58,17.61,2.157,0.197,1.96,1.73,1.21,31.23,-,-,76.01,-
3,臺北市,2017/05/31,中山,3.1,0.95,-,11.9,28,15,44.81,17.88,26.93,2.302,0.328,1.974,1.86,1.09,29.3,-,-,75.21,-
4,臺北市,2017/05/31,大同,2.9,1.27,-,-,42,14,44.75,19.89,24.86,2.629,0.404,2.225,-,-,-,-,-,-,-
5,臺北市,2017/05/31,萬華,3.4,0.6,-,17,27,14,25.24,5.66,19.58,-,-,-,1.75,1.48,29.17,-,-,74.78,-
6,臺北市,2017/05/31,陽明,2.6,0.14,423.75,29.1,10,6,6.06,0.52,5.5,-,-,-,-,-,20.75,0.5,4.38,92.57,41
7,臺北市,2017/05/31,士林,3.2,0.35,-,19.7,30,13,17.37,1.73,15.64,-,-,-,2.61,2.28,28.07,-,-,79.51,-
8,臺北市,2017/05/30,松山,1.5,0.38,435.38,26.8,22,10,17.15,3.25,13.9,1.974,0.111,1.863,1.23,0.68,27.21,-,-,77.37,-
9,臺北市,2017/05/30,古亭,1.7,0.43,-,26.9,27,8,19.96,4.41,15.55,2.121,0.138,1.983,1.37,1.04,29.78,-,-,80.69,-
10,臺北市,2017/05/30,中山,2,0.46,-,28.3,17,10,20.76,3.73,17.04,2.04,0.144,1.897,1.72,1.29,27.83,-,-,78.71,-
11,臺北市,2017/05/30,大同,3,1.19,-,-,40,8,61.4,36.63,24.77,2.376,0.339,2.037,-,-,-,-,-,-,-
12,臺北市,2017/05/30,萬華,2.6,0.42,-,27.1,22,7,19.77,4.1,15.66,-,-,-,1.45,1.21,27.9,-,-,76.77,-
13,臺北市,2017/05/30,陽明,1.8,0.19,422.9,41,15,12,3.63,0.48,3.1,-,-,-,-,-,21.53,0,0,91.95,0
14,臺北市,2017/05/30,士林,2.2,0.29,-,34.1,20,9,11.44,1.62,9.83,-,-,-,1.76,1.5,27.48,-,-,78.03,-
15,臺北市,2017/05/29,松山,2,0.26,422.61,35,24,12,12.31,1.79,10.52,1.864,0.062,1.802,2.14,1.61,26.09,-,-,78.07,-
16,臺北市,2017/05/29,古亭,1.3,0.24,-,37.6,24,7,12.78,2.26,10.52,1.968,0.061,1.906,3.15,2.7,29.27,-,-,77.91,-
17,臺北市,2017/05/29,中山,1.4,0.35,-,34.6,19,-,16.88,3.56,13.33,1.895,0.082,1.813,2.73,2.37,26.71,-,-,80.02,-
18,臺北市,2017/05/29,大同,2.1,0.47,-,-,35,8,25.2,9.56,15.64,2.037,0.12,1.917,-,-,-,-,-,-,-
19,臺北市,2017/05/29,萬華,1.5,0.25,-,35.2,23,11,14.12,2.69,11.43,-,-,-,3.17,2.97,26.97,-,-,76.77,-
20,臺北市,2017/05/29,陽明,1.6,0.1,414.24,44.4,6,4,2.08,0.43,1.61,-,-,-,-,-,19.56,0.5,4.1,98.93,74.55
21,臺北市,2017/05/29,士林,3.3,0.17,-,38.4,18,10,7.54,2.16,5.37,-,-,-,3.42,3.2,26.48,-,-,77.58,-
22,臺北市,2017/05/28,松山,2.2,0.25,421.89,51.1,18,10,11.14,2.1,9.04,1.868,0.05,1.818,2.48,2.07,23.62,-,-,80.75,-
23,臺北市,2017/05/28,古亭,1.5,0.28,-,52.5,28,9,13.87,2.25,11.62,1.993,0.061,1.932,3.35,3.03,26.93,-,-,80.3,-
