序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2009/04/30,松山,1.7,0.37,397.61,49.7,53,50,26.0,17.65,2.0,15.65,1.971,0.116,1.86,23.37,51.44,50.0
2,臺北市,2009/04/30,古亭,0.5,0.33,-,54.6,58,56,25.0,14.24,2.24,11.99,1.912,0.077,1.84,23.77,56.39,53.0
3,臺北市,2009/04/30,中山,2.1,0.49,-,46.7,52,60,31.0,24.34,3.57,20.76,2.03,0.166,1.86,23.09,54.13,55.0
4,臺北市,2009/04/30,萬華,1.3,0.45,-,52.3,56,-,24.0,16.04,2.09,13.95,-,-,-,23.57,55.17,49.0
5,臺北市,2009/04/30,陽明,1.8,0.2,390.09,60.1,61,29,18.0,2.98,1.13,1.85,-,-,-,15.72,77.47,52.0
6,臺北市,2009/04/30,士林,1.7,0.25,-,63.1,65,53,16.0,7.86,1.86,6.0,-,-,-,23.25,54.01,56.0
7,臺北市,2009/04/29,松山,2.0,0.37,399.59,47.3,52,50,25.0,20.06,2.73,17.32,1.987,0.126,1.86,22.51,50.38,50.0
8,臺北市,2009/04/29,古亭,1.1,0.34,-,54.9,59,54,30.0,14.24,2.93,11.31,1.914,0.072,1.84,23.07,54.17,53.0
9,臺北市,2009/04/29,中山,2.1,0.5,-,46.1,51,56,29.0,23.55,3.25,20.3,2.044,0.168,1.88,22.31,52.47,53.0
10,臺北市,2009/04/29,萬華,1.8,0.44,-,52.1,56,43,23.0,16.17,2.21,13.96,-,-,-,22.74,53.42,50.0
11,臺北市,2009/04/29,陽明,2.5,0.2,391.04,59.9,64,27,17.0,3.4,1.35,2.05,-,-,-,14.82,77.22,54.0
12,臺北市,2009/04/29,士林,1.6,0.25,-,63.2,69,50,19.0,6.89,0.87,6.01,-,-,-,22.52,52.39,59.0
13,臺北市,2009/04/28,松山,4.3,0.43,402.89,49.0,57,56,28.0,24.95,3.19,21.75,2.053,0.161,1.89,20.83,46.98,53.0
14,臺北市,2009/04/28,古亭,3.0,0.41,-,59.4,67,58,30.0,19.14,3.44,15.7,1.942,0.086,1.86,21.63,48.17,60.0
15,臺北市,2009/04/28,中山,3.0,0.57,-,48.3,53,63,37.0,30.3,4.52,25.79,2.096,0.197,1.9,20.68,48.68,56.0
16,臺北市,2009/04/28,萬華,2.8,0.46,-,57.7,63,47,30.0,17.92,2.13,15.79,-,-,-,21.19,48.06,55.0
17,臺北市,2009/04/28,陽明,3.2,0.24,393.25,68.3,75,34,20.0,3.5,0.8,2.69,-,-,-,12.98,74.18,64.0
18,臺北市,2009/04/28,士林,3.9,0.29,-,70.2,75,58,20.0,9.08,1.12,7.95,-,-,-,20.96,47.96,65.0
19,臺北市,2009/04/27,松山,3.6,0.47,403.66,50.5,59,61,31.0,24.52,1.93,22.59,2.062,0.17,1.89,19.55,46.31,56.0
20,臺北市,2009/04/27,古亭,4.0,0.41,-,59.3,64,62,32.0,19.89,3.02,16.87,1.961,0.1,1.86,20.15,49.43,56.0
21,臺北市,2009/04/27,中山,3.8,0.61,-,47.0,52,67,34.0,35.41,5.18,30.23,2.142,0.222,1.92,19.25,48.9,58.0
22,臺北市,2009/04/27,萬華,2.4,0.5,-,58.7,61,53,27.0,18.95,1.91,17.04,-,-,-,19.76,48.9,57.0
23,臺北市,2009/04/27,陽明,2.8,0.25,393.78,70.8,76,39,21.0,3.6,0.4,3.1,-,-,-,11.96,70.84,66.0
24,臺北市,2009/04/27,士林,3.4,0.34,-,47.3,71,63,18.0,10.98,0.93,10.04,-,-,-,19.5,47.27,64.0
25,臺北市,2009/04/26,松山,2.5,0.39,398.98,49.9,52,65,29.0,16.46,1.78,14.68,1.982,0.094,1.89,17.42,61.08,58.0
26,臺北市,2009/04/26,古亭,1.8,0.44,-,46.3,48,78,30.0,19.35,2.56,16.79,2.006,0.097,1.91,17.24,70.07,64.0
27,臺北市,2009/04/26,中山,2.7,0.53,-,45.0,48,73,36.0,26.65,2.87,23.77,2.105,0.17,1.94,17.18,63.46,62.0
28,臺北市,2009/04/26,萬華,2.1,0.54,-,45.6,49,70,32.0,22.07,2.64,19.44,-,-,-,16.87,69.75,60.0
29,臺北市,2009/04/26,陽明,2.6,0.28,393.97,64.6,71,59,24.0,3.34,0.57,2.72,-,-,-,10.2,82.76,61.0
30,臺北市,2009/04/26,士林,0.9,0.4,-,23.3,28,77,23.0,10.58,1.19,9.39,-,-,-,17.05,63.8,64.0
31,臺北市,2009/04/25,松山,2.6,0.61,415.61,31.3,46,310,65.0,25.04,4.92,20.12,2.165,0.196,1.97,20.93,69.68,180.0
32,臺北市,2009/04/25,古亭,1.7,0.64,-,25.6,39,329,65.0,26.84,5.27,21.57,2.106,0.167,1.94,20.99,75.37,190.0
33,臺北市,2009/04/25,中山,3.2,0.76,-,25.4,38,331,66.0,35.57,6.98,28.59,2.312,0.277,2.03,20.82,70.67,190.0
34,臺北市,2009/04/25,萬華,1.7,0.72,-,27.1,39,294,60.0,27.78,4.82,22.96,-,-,-,20.83,74.52,172.0
35,臺北市,2009/04/25,陽明,1.9,0.36,399.36,48.6,58,202,46.0,5.23,1.24,3.98,-,-,-,14.1,88.83,126.0
36,臺北市,2009/04/25,士林,2.0,0.55,-,14.5,22,303,51.0,12.67,0.98,11.65,-,-,-,20.98,68.62,176.0
37,臺北市,2009/04/24,松山,3.7,0.96,428.96,35.9,82,43,33.0,49.05,13.62,35.44,2.507,0.401,2.11,26.81,65.94,92.0
38,臺北市,2009/04/24,古亭,2.8,0.93,-,34.4,73,56,34.0,41.32,8.07,33.25,2.356,0.354,2.0,26.93,69.58,84.0
39,臺北市,2009/04/24,中山,4.5,1.31,-,32.2,68,58,42.0,67.83,23.95,43.88,2.738,0.546,2.19,26.24,68.66,86.0
40,臺北市,2009/04/24,萬華,3.5,1.09,-,38.3,80,47,35.0,40.89,8.75,32.14,-,-,-,26.59,69.79,99.0
41,臺北市,2009/04/24,陽明,2.7,0.26,391.79,49.3,59,14,11.0,3.66,1.02,2.62,-,-,-,21.27,77.84,77.0
42,臺北市,2009/04/24,士林,2.1,0.74,-,16.5,29,62,26.0,23.3,5.05,18.22,-,-,-,26.15,70.97,56.0
43,臺北市,2009/04/23,松山,2.1,0.48,400.94,41.6,50,35,17.0,19.51,2.35,17.15,2.025,0.152,1.87,24.49,62.64,47.0
44,臺北市,2009/04/23,古亭,1.9,0.46,-,44.9,55,38,22.0,19.69,3.83,15.86,1.945,0.101,1.84,25.04,64.9,53.0
45,臺北市,2009/04/23,中山,2.0,0.67,-,38.2,50,42,27.0,31.9,5.99,25.92,2.092,0.217,1.88,23.95,66.14,49.0
46,臺北市,2009/04/23,萬華,1.1,0.6,-,44.1,55,28,18.0,20.86,3.26,17.59,-,-,-,24.65,65.65,51.0
47,臺北市,2009/04/23,陽明,2.1,0.25,387.93,55.4,64,18,12.0,3.62,1.28,2.33,-,-,-,17.64,84.84,54.0
48,臺北市,2009/04/23,士林,1.5,0.36,-,19.9,23,36,11.0,8.11,0.82,7.28,-,-,-,24.42,64.34,36.0
49,臺北市,2009/04/22,松山,2.5,0.59,408.28,36.7,49,53,32.0,29.7,3.13,26.57,2.158,0.231,1.93,20.43,81.85,52.0
50,臺北市,2009/04/22,古亭,2.0,0.72,-,35.2,50,54,32.0,35.14,6.9,28.24,2.069,0.184,1.88,20.8,85.46,52.0
51,臺北市,2009/04/22,中山,2.7,0.72,-,37.5,53,60,36.0,36.42,4.3,32.12,2.103,0.21,1.89,20.06,83.48,55.0
52,臺北市,2009/04/22,萬華,1.5,0.63,-,39.3,52,42,30.0,25.92,2.28,23.63,-,-,-,20.4,86.08,49.0
53,臺北市,2009/04/22,陽明,2.2,0.34,394.77,59.6,60,16,10.0,5.61,1.45,4.16,-,-,-,14.87,94.16,52.0
54,臺北市,2009/04/22,士林,1.9,0.45,-,20.1,21,49,25.0,9.61,0.9,8.7,-,-,-,20.7,78.74,49.0
55,臺北市,2009/04/21,松山,3.8,0.71,411.57,39.9,43,111,52.0,26.88,3.82,23.06,2.208,0.253,1.96,22.59,70.94,80.0
