序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2007/11/30,松山,4.5,0.8,406.34,8.9,20,58,29.0,61.27,24.5,36.77,2.459,0.386,2.07,-,17.9,-,63.21,54.0,-
2,臺北市,2007/11/30,古亭,2.9,0.67,-,14.2,23,58,27.0,45.79,19.78,26.0,2.148,0.236,1.91,-,17.64,-,67.28,54.0,-
3,臺北市,2007/11/30,中山,5.0,0.97,-,7.9,17,59,28.0,71.84,32.92,38.91,2.579,0.434,2.14,-,17.8,-,62.28,54.0,-
4,臺北市,2007/11/30,萬華,4.6,0.84,-,15.8,26,51,28.0,45.89,16.02,29.86,-,-,-,-,17.97,-,65.74,50.0,-
5,臺北市,2007/11/30,陽明,1.4,0.17,380.01,42.6,45,28,14.0,2.94,1.03,1.92,-,-,-,-,10.3,-,87.72,39.0,-
6,臺北市,2007/11/30,士林,3.5,0.64,-,22.5,32,64,23.0,40.04,15.62,24.41,-,-,-,-,17.71,-,63.43,57.0,-
7,臺北市,2007/11/29,松山,7.3,0.7,400.79,24.2,35,89,52.0,33.83,8.55,25.28,2.202,0.229,1.97,-,16.96,-,57.53,70.0,-
8,臺北市,2007/11/29,古亭,6.6,0.76,-,22.4,34,98,56.0,37.12,12.65,24.47,2.145,0.218,1.93,-,16.85,-,62.25,74.0,-
9,臺北市,2007/11/29,中山,8.2,0.78,-,22.2,30,93,54.0,39.41,11.76,27.65,2.267,0.246,2.02,-,16.78,-,57.55,72.0,-
10,臺北市,2007/11/29,萬華,6.8,0.85,-,23.1,37,90,57.0,36.46,8.14,28.33,-,-,-,-,16.87,-,62.95,70.0,-
11,臺北市,2007/11/29,陽明,6.8,0.38,389.42,42.3,50,60,38.0,6.68,1.18,5.5,-,-,-,-,8.34,-,89.96,55.0,-
12,臺北市,2007/11/29,士林,7.9,0.7,-,26.5,41,103,50.0,28.16,6.06,22.1,-,-,-,-,16.66,-,58.37,76.0,-
13,臺北市,2007/11/28,松山,3.6,0.42,389.74,25.9,31,59,30.0,17.61,2.13,15.48,2.021,0.109,1.91,-,17.05,-,67.26,54.0,-
14,臺北市,2007/11/28,古亭,4.2,0.81,-,14.5,28,69,35.0,55.01,26.79,28.22,2.228,0.297,1.93,-,16.39,-,78.71,60.0,-
15,臺北市,2007/11/28,中山,4.7,0.58,-,21.1,28,66,31.0,33.57,11.06,22.51,2.163,0.185,1.98,-,16.39,-,70.09,58.0,-
16,臺北市,2007/11/28,萬華,5.1,0.88,-,14.4,29,61,38.0,45.79,15.48,30.31,-,-,-,-,16.68,-,76.3,56.0,-
17,臺北市,2007/11/28,陽明,3.5,0.25,332.28,37.7,41,31,18.0,5.13,1.29,3.83,-,-,-,-,9.07,-,95.08,36.0,-
18,臺北市,2007/11/28,士林,3.9,0.42,-,27.3,33,68,31.0,17.19,2.71,14.47,-,-,-,-,16.73,-,67.85,59.0,-
19,臺北市,2007/11/27,松山,1.4,0.39,387.1,27.9,34,19,14.0,20.05,4.06,15.99,1.983,0.084,1.9,-,17.45,-,83.69,32.0,-
20,臺北市,2007/11/27,古亭,1.7,0.63,-,21.5,37,28,14.0,39.65,12.13,27.52,2.053,0.171,1.88,-,17.37,-,87.34,36.0,-
21,臺北市,2007/11/27,中山,1.7,0.59,-,21.2,31,23,17.0,37.93,12.09,25.83,2.157,0.183,1.98,-,17.03,-,84.42,32.0,-
22,臺北市,2007/11/27,萬華,2.4,0.76,-,20.7,37,20,15.0,38.22,10.81,27.41,-,-,-,-,17.78,-,84.84,35.0,-
23,臺北市,2007/11/27,陽明,1.5,0.27,279.31,42.2,48,5,4.0,3.66,1.47,2.17,-,-,-,-,11.38,-,95.91,41.0,-
24,臺北市,2007/11/27,士林,1.7,0.36,-,35.6,44,23,11.0,10.75,1.98,8.77,-,-,-,-,17.75,-,77.37,39.0,-
25,臺北市,2007/11/26,松山,1.9,0.26,379.3,28.7,32,11,12.0,16.02,2.9,13.12,1.927,0.058,1.87,-,21.33,-,87.83,31.0,-
26,臺北市,2007/11/26,古亭,2.0,0.37,-,27.3,34,22,12.0,25.96,5.98,19.98,1.911,0.097,1.81,-,21.27,-,90.22,32.0,-
27,臺北市,2007/11/26,中山,3.0,0.43,-,25.4,29,23,18.0,25.29,5.69,19.61,2.057,0.16,1.9,-,21.1,-,87.43,27.0,-
28,臺北市,2007/11/26,萬華,1.7,0.4,-,29.0,35,13,10.0,19.64,2.41,17.22,-,-,-,-,21.71,-,86.17,32.0,-
29,臺北市,2007/11/26,陽明,-,-,-,-,46,-,-,-,-,-,-,-,-,-,16.18,-,96.18,41.0,-
30,臺北市,2007/11/26,士林,1.3,0.2,-,39.4,41,20,8.0,5.94,1.18,4.76,-,-,-,-,22.27,-,78.84,38.0,-
31,臺北市,2007/11/25,松山,1.5,0.28,376.01,27.4,30,19,11.0,17.49,3.92,13.57,1.972,0.08,1.89,-,21.85,-,84.95,28.0,-
32,臺北市,2007/11/25,古亭,2.2,0.32,-,30.4,37,26,14.0,18.43,4.35,14.08,1.898,0.078,1.82,-,22.42,-,82.43,33.0,-
33,臺北市,2007/11/25,中山,2.0,0.37,-,27.7,31,29,15.0,20.37,5.3,15.06,2.058,0.14,1.92,-,22.27,-,80.94,29.0,-
34,臺北市,2007/11/25,萬華,1.7,0.33,-,32.3,36,23,15.0,15.67,3.18,12.5,-,-,-,-,22.61,-,79.59,33.0,-
35,臺北市,2007/11/25,陽明,1.3,0.15,381.6,42.6,45,5,4.0,2.04,1.04,1.0,-,-,-,-,16.17,-,95.95,38.0,-
36,臺北市,2007/11/25,士林,3.2,0.2,-,36.1,41,30,11.0,8.74,1.79,6.95,-,-,-,-,22.82,-,76.61,37.0,-
37,臺北市,2007/11/24,松山,2.4,0.36,379.78,23.8,27,34,16.0,26.12,5.14,20.98,2.049,0.137,1.91,-,21.1,-,75.77,34.0,-
38,臺北市,2007/11/24,古亭,2.0,0.36,-,27.8,32,39,17.0,25.88,6.33,19.55,1.938,0.105,1.83,-,21.18,-,76.65,39.0,-
39,臺北市,2007/11/24,中山,4.4,0.47,-,22.4,27,40,17.0,31.19,6.84,24.34,2.155,0.191,1.96,-,20.76,-,76.92,40.0,-
40,臺北市,2007/11/24,萬華,2.6,0.46,-,27.6,32,35,18.0,25.04,3.92,21.12,-,-,-,-,21.37,-,74.07,35.0,-
41,臺北市,2007/11/24,陽明,1.2,0.13,382.59,44.6,45,9,6.0,1.88,0.92,0.96,-,-,-,-,14.13,-,94.71,38.0,-
42,臺北市,2007/11/24,士林,1.3,0.22,-,39.1,41,43,23.0,7.71,1.39,6.33,-,-,-,-,21.47,-,70.94,43.0,-
43,臺北市,2007/11/23,松山,2.8,0.56,386.23,16.7,25,28,17.0,41.96,12.72,29.23,2.212,0.248,1.96,-,19.54,-,83.72,28.0,-
44,臺北市,2007/11/23,古亭,1.0,0.46,-,22.7,27,30,16.0,32.76,9.77,22.99,2.01,0.142,1.87,-,19.79,-,83.66,30.0,-
45,臺北市,2007/11/23,中山,4.1,0.73,-,15.5,23,36,18.0,50.54,18.21,32.33,2.346,0.312,2.03,-,19.32,-,83.79,36.0,-
46,臺北市,2007/11/23,萬華,1.4,0.61,-,23.6,31,27,17.0,33.64,7.99,25.66,-,-,-,-,20.01,-,80.73,30.0,-
47,臺北市,2007/11/23,陽明,-,0.15,383.43,43.9,45,8,6.0,2.16,0.95,1.21,-,-,-,-,13.61,-,95.64,38.0,-
48,臺北市,2007/11/23,士林,3.0,0.29,-,31.4,35,35,11.0,14.24,2.49,11.75,-,-,-,-,20.04,-,77.88,35.0,-
49,臺北市,2007/11/22,松山,4.9,0.5,384.4,19.2,29,46,26.0,36.29,8.24,28.03,2.144,0.216,1.93,-,20.24,-,75.79,46.0,-
50,臺北市,2007/11/22,古亭,2.2,0.42,-,27.7,35,46,23.0,24.91,7.52,17.39,1.93,0.116,1.81,-,20.66,-,74.44,46.0,-
51,臺北市,2007/11/22,中山,3.9,0.64,-,19.3,28,49,26.0,42.22,12.47,29.75,2.265,0.264,2.0,-,20.43,-,73.35,49.0,-
52,臺北市,2007/11/22,萬華,1.6,0.56,-,27.0,36,43,24.0,28.17,6.26,21.9,-,-,-,-,20.94,-,70.81,43.0,-
53,臺北市,2007/11/22,陽明,1.6,0.18,383.92,45.8,47,19,11.0,2.32,1.24,1.08,-,-,-,-,13.28,-,95.15,39.0,-
54,臺北市,2007/11/22,士林,3.1,0.3,-,36.6,42,55,23.0,12.08,2.01,10.06,-,-,-,-,20.86,-,69.98,52.0,-
55,臺北市,2007/11/21,松山,5.2,0.55,386.38,25.0,42,72,41.0,35.58,7.13,28.46,2.142,0.201,1.94,-,19.62,-,75.33,61.0,-
56,臺北市,2007/11/21,古亭,3.5,0.49,-,34.3,48,71,27.0,22.06,4.8,17.26,1.957,0.105,1.85,-,20.06,-,74.1,60.0,-
57,臺北市,2007/11/21,中山,5.6,0.65,-,27.0,46,79,45.0,37.32,8.9,28.43,2.227,0.245,1.98,-,19.79,-,71.02,64.0,-
58,臺北市,2007/11/21,萬華,4.0,0.59,-,34.5,50,71,41.0,25.83,4.06,21.77,-,-,-,-,20.2,-,70.66,60.0,-
59,臺北市,2007/11/21,陽明,2.8,0.27,392.34,49.4,56,39,11.0,2.79,0.82,1.98,-,-,-,-,12.28,-,94.91,50.0,-
60,臺北市,2007/11/21,士林,3.6,0.36,-,45.5,57,80,36.0,9.51,1.41,8.1,-,-,-,-,20.36,-,65.58,65.0,-
61,臺北市,2007/11/20,松山,3.6,0.49,385.45,22.1,27,30,21.0,29.84,6.86,22.98,2.107,0.169,1.94,-,18.62,-,82.99,33.0,-
62,臺北市,2007/11/20,古亭,3.0,0.47,-,27.1,29,35,16.0,26.1,7.04,19.06,1.992,0.113,1.88,-,19.0,-,81.73,37.0,-
63,臺北市,2007/11/20,中山,3.4,0.58,-,23.7,26,35,19.0,31.62,6.98,24.64,2.209,0.229,1.98,-,19.16,-,75.83,37.0,-
64,臺北市,2007/11/20,萬華,3.3,0.55,-,28.1,30,30,21.0,26.26,4.84,21.42,-,-,-,-,19.3,-,77.07,42.0,-
65,臺北市,2007/11/20,陽明,2.2,0.23,392.35,43.9,53,17,7.0,3.32,1.18,2.14,-,-,-,-,12.23,-,95.57,50.0,-
66,臺北市,2007/11/20,士林,2.6,0.35,-,38.7,47,36,20.0,10.17,1.65,8.52,-,-,-,-,19.7,-,70.44,50.0,-
67,臺北市,2007/11/19,松山,4.1,0.47,385.09,-,11,21,11.0,32.47,8.5,23.97,2.089,0.164,1.93,-,18.54,-,88.24,21.0,-
68,臺北市,2007/11/19,古亭,3.0,0.45,-,22.5,33,26,14.0,29.29,8.86,20.43,2.005,0.134,1.87,-,18.88,-,87.53,32.0,-
69,臺北市,2007/11/19,中山,2.7,0.54,-,20.9,30,23,15.0,32.56,9.57,22.98,2.176,0.212,1.96,-,19.01,-,81.24,30.0,-
70,臺北市,2007/11/19,萬華,3.4,0.5,-,22.4,34,22,15.0,32.96,9.93,23.04,-,-,-,-,19.2,-,82.43,33.0,-
71,臺北市,2007/11/19,陽明,1.1,0.16,388.2,38.5,40,5,3.0,2.38,1.4,0.99,-,-,-,-,12.77,-,95.81,34.0,-
72,臺北市,2007/11/19,士林,1.4,0.29,-,33.4,38,23,11.0,9.92,1.88,8.03,-,-,-,-,19.78,-,73.98,34.0,-
73,臺北市,2007/11/18,松山,3.3,0.52,388.51,-,35,30,23.0,19.04,2.9,16.14,2.008,0.073,1.94,-,20.16,-,85.08,30.0,-
74,臺北市,2007/11/18,古亭,3.4,0.59,-,28.1,31,35,24.0,22.15,4.13,18.02,1.985,0.086,1.9,-,20.52,-,84.89,35.0,-
75,臺北市,2007/11/18,中山,3.2,0.66,-,26.7,30,36,24.0,25.06,4.04,21.02,2.195,0.169,2.03,-,20.61,-,79.81,36.0,-
76,臺北市,2007/11/18,萬華,2.9,0.61,-,32.1,35,29,24.0,18.83,2.25,16.58,-,-,-,-,20.92,-,79.49,33.0,-
77,臺北市,2007/11/18,陽明,2.2,0.38,392.59,42.4,45,8,6.0,3.68,1.7,1.98,-,-,-,-,14.37,-,94.97,38.0,-
78,臺北市,2007/11/18,士林,2.7,0.49,-,39.0,44,31,17.0,8.04,0.87,7.16,-,-,-,-,21.3,-,72.3,39.0,-
79,臺北市,2007/11/17,松山,5.6,0.48,386.94,-,-,48,32.0,29.89,5.15,24.73,2.063,0.127,1.94,-,24.15,-,74.06,48.0,-
80,臺北市,2007/11/17,古亭,6.8,0.5,-,24.7,32,53,34.0,29.32,6.74,22.57,1.989,0.117,1.87,-,24.5,-,73.04,52.0,-
81,臺北市,2007/11/17,中山,7.6,0.62,-,22.2,29,52,37.0,36.73,8.71,28.02,2.235,0.226,2.01,-,24.86,-,69.26,51.0,-
82,臺北市,2007/11/17,萬華,6.2,0.53,-,26.7,32,47,36.0,32.25,7.97,24.29,-,-,-,-,24.88,-,69.97,47.0,-
