序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2016/11/29,松山,2.3,0.36,418.36,29.4,55,18,20.75,3.95,16.79,1.915,0.095,1.82,2.29,1.72,21.15,-,-,65.52,-
2,臺北市,2016/11/29,古亭,1.2,0.31,-,35.9,52,19,13.38,2.96,10.42,1.927,0.066,1.861,3.61,3.29,21.03,-,-,66.89,-
3,臺北市,2016/11/29,中山,1.5,0.51,-,26.1,61,21,27.49,7.32,20.17,2.02,0.133,1.887,3.2,2.87,21.7,-,-,69.75,-
4,臺北市,2016/11/29,大同,2.7,0.94,-,-,74,16,60.63,33.52,27.11,2.279,0.3,1.98,-,-,-,-,-,-,-
5,臺北市,2016/11/29,萬華,1.5,0.41,-,26.9,67,17,25.03,5.07,19.96,-,-,-,2.97,2.84,21.98,-,-,64.9,-
6,臺北市,2016/11/29,陽明,1.4,0.18,411.85,43.5,29,14,1.67,0.35,1.2,-,-,-,-,-,13.67,0.8,5.18,92.8,238.72
7,臺北市,2016/11/29,士林,3.7,0.24,-,39.1,58,19,10.61,2.22,8.39,-,-,-,4.05,3.8,21.58,-,-,65.09,-
8,臺北市,2016/11/27,松山,1.6,0.46,430.5,23.2,22,9,16.56,2.69,13.87,1.954,0.091,1.863,1.75,1.32,19.26,-,-,83.5,-
9,臺北市,2016/11/27,古亭,1.7,0.54,-,19.1,21,12,22.3,4.01,18.3,2.094,0.134,1.96,1.74,1.57,18.97,-,-,86.95,-
10,臺北市,2016/11/27,中山,1.9,0.59,-,16.1,20,8,29.13,6.94,22.2,2.102,0.154,1.949,1.57,0.97,19.7,-,-,88.48,-
11,臺北市,2016/11/27,大同,2.6,0.94,-,-,27,9,59.66,34.49,25.17,2.3,0.256,2.045,-,-,-,-,-,-,-
12,臺北市,2016/11/27,萬華,0.8,0.55,-,13.4,22,11,29.29,6.24,23.04,-,-,-,1.58,1.29,20.08,-,-,83.16,-
13,臺北市,2016/11/27,陽明,1.4,0.32,423.96,33.7,8,5,5.29,0.45,4.77,-,-,-,-,-,13.08,2.17,5.45,99.37,147.77
14,臺北市,2016/11/27,士林,1.6,0.44,-,24,17,8,14.14,1.66,12.47,-,-,-,1.64,1.14,19.13,-,-,82.18,-
15,臺北市,2016/11/26,松山,1.2,0.44,424.83,27.2,20,7,21.65,5.23,16.42,1.949,0.114,1.835,1.67,1.22,23.14,-,-,77.97,-
16,臺北市,2016/11/26,古亭,1.6,0.5,-,26.3,21,10,24.61,6.06,18.55,2.059,0.142,1.917,1.97,1.65,23.12,-,-,78.51,-
17,臺北市,2016/11/26,中山,1.1,0.6,-,22.3,18,8,30.21,9.05,21.15,2.109,0.181,1.928,1.95,1.56,23.68,-,-,81.06,-
18,臺北市,2016/11/26,大同,2.9,1.15,-,-,37,8,61.64,35.87,25.77,2.388,0.362,2.025,-,-,-,-,-,-,-
19,臺北市,2016/11/26,萬華,2.1,0.54,-,23,25,10,28.04,7.76,20.28,-,-,-,2.09,1.59,23.99,-,-,77.55,-
20,臺北市,2016/11/26,陽明,1.7,0.22,417.15,36.8,8,4,5.13,0.44,4.59,-,-,-,-,-,16.77,2.25,5.24,97.79,166.29
21,臺北市,2016/11/26,士林,1.5,0.33,-,31.7,21,9,13.89,1.88,12.02,-,-,-,2.61,2.37,23.3,-,-,77.17,-
22,臺北市,2016/11/25,松山,2.4,0.35,419.29,25.1,15,5,19.69,4.08,15.6,1.908,0.09,1.818,2.62,2.09,21.01,-,-,84.64,-
23,臺北市,2016/11/25,古亭,1.5,0.39,-,25.4,15,8,20.74,4.98,15.76,1.975,0.094,1.881,3.49,3.24,21.2,-,-,83.45,-
