序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2005/01/31,松山,3.2,0.73,398.18,9.8,-,28,-,40.2,12.66,27.54,-,-,-,12.97,-,81.09,28.0,-
2,臺北市,2005/01/31,古亭,4.0,0.99,-,-,-,30,16.0,55.19,24.05,31.14,2.372,0.341,2.03,11.87,-,87.64,30.0,-
3,臺北市,2005/01/31,中山,4.2,1.03,-,5.5,-,24,15.0,56.0,25.46,30.53,-,-,-,12.55,-,78.16,24.0,-
4,臺北市,2005/01/31,大同,4.5,0.92,-,8.2,-,26,-,141.5,66.81,74.68,-,-,-,12.34,-,-,26.0,-
5,臺北市,2005/01/31,萬華,2.9,0.83,-,8.1,-,-,-,43.67,10.98,32.7,-,-,-,13.39,-,82.46,14.0,-
6,臺北市,2005/01/31,陽明,2.6,0.39,386.42,32.9,-,8,-,6.21,2.53,3.68,-,-,-,5.61,-,100.0,33.0,-
7,臺北市,2005/01/31,士林,2.1,0.51,-,13.0,-,29,-,23.81,3.66,20.15,-,-,-,12.7,-,79.26,29.0,-
8,臺北市,2005/01/30,松山,2.6,0.69,393.96,19.2,-,24,-,21.62,3.85,17.76,-,-,-,16.23,-,77.64,25.0,-
9,臺北市,2005/01/30,古亭,4.0,0.95,-,8.6,-,32,12.0,39.58,12.99,26.59,2.271,0.252,2.02,15.34,-,82.95,32.0,-
10,臺北市,2005/01/30,中山,3.7,1.04,-,8.3,-,25,10.0,40.85,15.69,25.16,-,-,-,15.94,-,74.43,25.0,-
11,臺北市,2005/01/30,大同,4.2,1.03,-,9.6,-,25,-,212.43,100.94,111.48,-,-,-,15.68,-,-,25.0,-
12,臺北市,2005/01/30,萬華,2.8,0.85,-,10.9,-,-,-,43.3,5.2,38.1,-,-,-,16.82,-,78.94,16.0,-
13,臺北市,2005/01/30,陽明,2.3,0.53,387.09,31.9,-,6,-,6.72,2.23,4.49,-,-,-,8.83,-,99.0,34.0,-
14,臺北市,2005/01/30,士林,2.0,0.62,-,15.1,-,28,-,20.7,3.05,17.65,-,-,-,15.87,-,78.1,28.0,-
15,臺北市,2005/01/29,松山,5.0,0.85,401.16,8.4,-,74,-,46.95,13.83,33.12,-,-,-,17.76,-,80.65,62.0,-
16,臺北市,2005/01/29,古亭,6.4,0.93,-,10.4,-,85,34.0,53.42,18.53,34.89,2.522,0.409,2.11,16.95,-,83.74,68.0,-
17,臺北市,2005/01/29,中山,3.7,1.05,-,6.2,-,63,27.0,52.63,20.62,32.0,-,-,-,17.04,-,80.61,56.0,-
