序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2002/09/30,松山,1.5,1.08,385.01,19.9,-,71,-,47.21,27.72,19.48,-,-,-,22.95,-,-,60.0,-
2,臺北市,2002/09/30,古亭,2.3,1.16,-,23.1,-,59,46.06,49.31,16.05,33.26,2.767,0.55,2.22,23.6,-,-,54.0,-
3,臺北市,2002/09/30,中山,3.8,0.99,-,21.5,-,81,-,66.08,24.8,41.28,2.616,0.36,2.25,23.85,-,-,65.0,-
4,臺北市,2002/09/30,大同,8.6,3.78,-,-,-,105,-,190.19,136.48,53.71,4.157,1.91,2.25,24.61,-,-,77.0,-
5,臺北市,2002/09/30,萬華,2.2,1.2,-,24.5,-,61,-,43.83,8.49,35.34,-,-,-,23.73,-,-,55.0,-
6,臺北市,2002/09/30,陽明,1.1,0.35,370.83,68.3,-,32,-,1.38,0.18,1.2,-,-,-,18.2,-,92.0,74.0,-
7,臺北市,2002/09/30,士林,2.9,0.86,-,35.0,-,55,-,37.02,2.96,34.06,-,-,-,22.95,-,-,55.0,-
8,臺北市,2002/09/29,松山,1.6,0.75,375.97,39.8,-,72,-,24.11,5.55,18.56,-,-,-,25.43,-,-,61.0,-
9,臺北市,2002/09/29,古亭,3.9,0.71,-,47.0,-,54,40.56,25.13,2.57,22.56,2.416,0.34,2.08,26.1,-,-,58.0,-
10,臺北市,2002/09/29,中山,4.3,0.52,-,45.1,-,71,-,27.36,1.77,25.59,2.218,0.14,2.07,26.38,-,-,61.0,-
11,臺北市,2002/09/29,大同,7.3,2.53,-,-,-,95,-,123.36,68.03,55.32,3.348,1.18,2.17,27.32,-,-,72.0,-
12,臺北市,2002/09/29,萬華,3.9,0.78,-,49.6,-,71,-,23.33,0.32,23.01,-,-,-,26.33,-,-,60.0,-
13,臺北市,2002/09/29,陽明,1.5,0.36,360.91,71.7,-,-,-,2.31,0.7,1.6,-,-,-,19.25,-,88.0,79.0,-
14,臺北市,2002/09/29,士林,2.2,0.57,-,61.0,-,54,-,16.85,0.53,16.32,-,-,-,25.64,-,-,58.0,-
15,臺北市,2002/09/28,松山,1.7,0.7,380.66,23.9,-,46,-,28.82,12.01,16.81,-,-,-,24.96,-,-,46.0,-
16,臺北市,2002/09/28,古亭,4.0,0.72,-,28.0,-,33,26.77,36.0,6.35,29.66,2.445,0.33,2.12,25.49,-,-,36.0,-
17,臺北市,2002/09/28,中山,2.0,0.53,-,28.1,-,49,-,34.67,4.68,29.99,2.459,0.25,2.21,25.93,-,-,49.0,-
18,臺北市,2002/09/28,大同,5.6,2.72,-,-,-,65,-,136.56,85.5,51.06,3.518,1.29,2.22,26.86,-,-,58.0,-
19,臺北市,2002/09/28,萬華,2.5,0.78,-,31.6,-,37,-,30.38,1.36,29.02,-,-,-,25.76,-,-,44.0,-
20,臺北市,2002/09/28,陽明,0.8,0.24,356.15,53.9,-,-,-,2.1,0.16,1.94,-,-,-,19.07,-,87.0,53.0,-
21,臺北市,2002/09/28,士林,2.1,0.79,-,29.3,-,46,-,35.12,4.78,30.34,-,-,-,24.84,-,-,48.0,-
22,臺北市,2002/09/27,松山,2.4,0.77,379.34,26.8,-,50,-,27.2,8.91,18.29,-,-,-,24.81,-,-,50.0,-
23,臺北市,2002/09/27,古亭,2.0,0.79,-,26.6,-,34,22.96,36.77,7.65,29.12,2.504,0.37,2.14,25.31,-,-,41.0,-
24,臺北市,2002/09/27,中山,1.5,0.68,-,27.1,-,47,-,38.89,6.05,32.84,2.509,0.2,2.31,25.84,-,-,47.0,-
25,臺北市,2002/09/27,大同,6.8,3.8,-,-,-,81,-,168.71,110.73,57.98,4.407,2.1,2.31,26.84,-,-,65.0,-
26,臺北市,2002/09/27,萬華,1.6,0.87,-,29.9,-,34,-,28.58,1.28,27.3,-,-,-,25.6,-,-,46.0,-
27,臺北市,2002/09/27,陽明,0.2,0.3,357.05,59.4,-,-,-,1.71,0.14,1.58,-,-,-,18.9,-,93.0,56.0,-
28,臺北市,2002/09/27,士林,1.5,0.96,-,30.2,-,56,-,47.75,13.14,34.61,-,-,-,24.88,-,-,53.0,-
29,臺北市,2002/09/26,松山,2.1,1.05,382.23,17.4,-,37,-,37.06,12.81,24.26,-,-,-,23.68,-,-,37.0,-
30,臺北市,2002/09/26,古亭,2.2,1.43,-,12.7,-,35,29.2,61.14,23.21,37.93,2.704,0.6,2.11,23.59,-,-,35.0,-
31,臺北市,2002/09/26,中山,3.7,1.21,-,13.4,-,57,-,65.01,18.32,46.69,3.008,0.59,2.42,24.23,-,-,53.0,-
32,臺北市,2002/09/26,大同,10.0,4.94,-,-,-,94,-,202.06,139.21,62.85,4.978,2.57,2.41,24.92,-,-,75.0,-
33,臺北市,2002/09/26,萬華,2.6,1.31,-,12.5,-,36,-,47.87,7.21,40.66,-,-,-,23.86,-,-,36.0,-
34,臺北市,2002/09/26,陽明,0.3,0.35,360.44,58.0,-,-,-,1.75,0.11,1.64,-,-,-,18.53,-,96.0,57.0,-
35,臺北市,2002/09/26,士林,2.7,1.46,-,10.2,-,48,-,80.44,18.22,62.23,-,-,-,23.28,-,-,48.0,-
36,臺北市,2002/09/25,松山,2.2,0.93,378.59,21.2,-,36,-,36.62,12.54,24.09,-,-,-,24.35,-,-,36.0,-
37,臺北市,2002/09/25,古亭,2.1,0.99,-,22.5,-,28,21.39,47.84,14.63,33.21,2.673,0.59,2.09,24.66,-,-,42.0,-
38,臺北市,2002/09/25,中山,2.7,0.9,-,21.0,-,41,-,53.63,16.58,37.05,2.707,0.55,2.16,25.03,-,-,41.0,-
39,臺北市,2002/09/25,大同,6.1,3.21,-,-,-,51,-,134.82,85.79,49.04,3.651,1.42,2.23,25.55,-,-,50.0,-
40,臺北市,2002/09/25,萬華,2.0,0.88,-,25.2,-,32,-,35.1,5.21,29.9,-,-,-,24.71,-,-,46.0,-
41,臺北市,2002/09/25,陽明,0.7,0.24,355.17,48.2,-,13,-,1.84,0.13,1.71,-,-,-,18.89,-,93.0,47.0,-
42,臺北市,2002/09/25,士林,1.1,0.75,-,29.5,-,-,-,45.3,10.28,35.02,-,-,-,23.78,-,-,43.0,-
43,臺北市,2002/09/24,松山,3.4,0.65,372.98,24.5,-,48,-,34.44,8.06,26.38,-,-,-,25.17,-,-,48.0,-
44,臺北市,2002/09/24,古亭,0.4,0.52,-,36.9,-,24,15.33,23.17,4.48,18.69,2.232,0.25,1.98,25.68,-,-,41.0,-
45,臺北市,2002/09/24,中山,2.0,0.44,-,28.5,-,48,-,36.54,6.58,29.95,2.246,0.16,2.09,25.99,-,-,48.0,-
46,臺北市,2002/09/24,大同,5.4,3.22,-,-,-,70,-,163.57,108.09,55.48,3.823,1.64,2.18,26.95,-,-,60.0,-
47,臺北市,2002/09/24,萬華,0.4,0.62,-,40.6,-,28,-,17.35,2.26,15.09,-,-,-,25.83,-,-,60.0,-
48,臺北市,2002/09/24,陽明,1.5,0.2,352.96,56.1,-,15,-,2.2,0.14,2.05,-,-,-,18.4,-,84.0,50.0,-
49,臺北市,2002/09/24,士林,2.1,0.36,-,46.4,-,27,-,19.07,1.49,17.59,-,-,-,25.05,-,-,44.0,-
50,臺北市,2002/09/23,松山,1.2,0.62,366.86,33.9,-,40,-,23.59,4.87,18.72,-,-,-,24.15,-,-,42.0,-
51,臺北市,2002/09/23,古亭,1.3,0.62,-,31.8,-,30,21.87,29.76,5.27,24.48,2.322,0.31,2.02,24.4,-,-,42.0,-
52,臺北市,2002/09/23,中山,1.3,0.4,-,32.7,-,56,-,34.54,6.01,28.53,2.364,0.25,2.11,24.99,-,-,53.0,-
53,臺北市,2002/09/23,大同,4.8,2.99,-,-,-,77,-,152.7,101.77,50.92,3.345,1.23,2.12,25.76,-,-,66.0,-
54,臺北市,2002/09/23,萬華,1.1,0.63,-,36.7,-,33,-,23.68,1.2,22.48,-,-,-,24.48,-,-,45.0,-
55,臺北市,2002/09/23,陽明,0.8,0.21,355.64,58.2,-,13,-,1.53,0.1,1.43,-,-,-,17.26,-,88.0,59.0,-
56,臺北市,2002/09/23,士林,1.1,0.39,-,48.3,-,26,-,18.67,0.71,17.96,-,-,-,23.96,-,-,59.0,-
57,臺北市,2002/09/22,松山,0.4,0.43,358.58,52.8,-,58,-,11.29,0.18,11.11,-,-,-,25.28,-,-,56.0,-
58,臺北市,2002/09/22,古亭,1.1,0.55,-,47.9,-,52,37.08,20.04,1.81,18.23,2.25,0.25,2.01,25.89,-,-,51.0,-
59,臺北市,2002/09/22,中山,0.8,0.28,-,51.3,-,67,-,17.96,0.82,17.13,2.115,0.05,2.06,26.35,-,-,58.0,-
60,臺北市,2002/09/22,大同,3.5,2.08,-,-,-,76,-,110.27,60.9,49.37,2.893,0.84,2.05,27.36,-,-,63.0,-
61,臺北市,2002/09/22,萬華,0.8,0.65,-,50.8,-,53,-,17.13,0.51,16.62,-,-,-,25.94,-,-,51.0,-
62,臺北市,2002/09/22,陽明,0.5,0.33,353.11,68.2,-,29,-,1.98,0.19,1.79,-,-,-,18.23,-,90.0,68.0,-
63,臺北市,2002/09/22,士林,1.3,0.45,-,63.2,-,45,-,11.46,0.35,11.2,-,-,-,25.72,-,-,62.0,-
64,臺北市,2002/09/21,松山,1.2,0.47,361.94,24.0,-,30,-,20.94,2.77,18.17,-,-,-,25.44,-,-,39.0,-
65,臺北市,2002/09/21,古亭,1.0,0.67,-,17.8,-,25,15.95,30.44,7.48,22.97,2.367,0.31,2.05,25.52,-,-,27.0,-
66,臺北市,2002/09/21,中山,1.7,0.49,-,20.5,-,45,-,33.68,7.45,26.23,2.533,0.28,2.26,26.24,-,-,45.0,-
67,臺北市,2002/09/21,大同,5.2,2.71,-,-,-,63,-,133.01,87.6,45.42,3.493,1.31,2.18,27.05,-,-,56.0,-
68,臺北市,2002/09/21,萬華,1.0,0.8,-,21.3,-,29,-,23.87,2.25,21.62,-,-,-,25.73,-,-,32.0,-
69,臺北市,2002/09/21,陽明,0.2,0.22,351.71,47.1,-,12,-,1.01,0.1,0.9,-,-,-,19.95,-,96.0,53.0,-
70,臺北市,2002/09/21,士林,0.6,0.51,-,33.4,-,28,-,18.57,2.33,16.24,-,-,-,25.9,-,-,47.0,-
71,臺北市,2002/09/20,松山,1.2,0.55,357.23,27.0,-,31,-,23.38,3.41,19.97,-,-,-,26.45,-,-,33.0,-
72,臺北市,2002/09/20,古亭,1.3,0.63,-,24.3,-,24,12.73,29.81,8.54,21.27,2.168,0.25,1.92,27.02,-,-,32.0,-
73,臺北市,2002/09/20,中山,1.5,0.38,-,23.6,-,40,-,29.28,5.69,23.59,2.425,0.24,2.18,27.34,-,-,40.0,-
74,臺北市,2002/09/20,大同,6.0,3.52,-,-,-,63,-,158.94,113.37,45.57,3.836,1.73,2.1,28.47,-,-,59.0,-
75,臺北市,2002/09/20,萬華,0.8,0.75,-,26.3,-,34,-,24.93,2.82,22.11,-,-,-,26.92,-,-,34.0,-
76,臺北市,2002/09/20,陽明,0.5,0.15,348.38,43.3,-,12,-,1.12,0.12,1.0,-,-,-,19.83,-,93.0,42.0,-
77,臺北市,2002/09/20,士林,0.6,0.5,-,29.6,-,31,-,23.37,2.62,20.75,-,-,-,26.49,-,-,40.0,-
78,臺北市,2002/09/19,松山,3.5,0.44,345.54,24.5,-,29,-,24.83,3.16,21.67,-,-,-,26.54,-,-,31.0,-
79,臺北市,2002/09/19,古亭,2.6,0.58,-,23.7,-,23,9.38,23.91,5.23,18.67,2.169,0.26,1.91,26.67,-,-,26.0,-
80,臺北市,2002/09/19,中山,1.7,0.26,-,26.5,-,32,-,22.3,4.0,18.29,2.311,0.19,2.12,27.47,-,-,32.0,-
81,臺北市,2002/09/19,大同,6.2,2.81,-,-,-,54,-,127.74,86.97,40.77,3.653,1.58,2.07,28.41,-,-,52.0,-
82,臺北市,2002/09/19,萬華,3.0,0.62,-,25.4,-,30,-,21.62,2.45,19.17,-,-,-,26.75,-,-,30.0,-
83,臺北市,2002/09/19,陽明,0.5,0.11,333.23,43.9,-,14,-,1.2,0.1,1.11,-,-,-,19.93,-,95.0,42.0,-
84,臺北市,2002/09/19,士林,1.0,0.29,-,36.9,-,20,-,12.68,1.39,11.29,-,-,-,26.88,-,-,40.0,-
85,臺北市,2002/09/18,松山,2.2,0.48,345.18,29.1,-,26,-,24.78,3.05,21.73,-,-,-,27.2,-,-,37.0,-
86,臺北市,2002/09/18,古亭,2.0,0.51,-,28.9,-,23,11.11,22.78,4.9,17.88,2.273,0.32,1.96,27.74,-,-,33.0,-
87,臺北市,2002/09/18,中山,4.7,0.29,-,27.7,-,38,-,25.25,4.66,20.59,2.241,0.14,2.1,27.98,-,-,38.0,-
88,臺北市,2002/09/18,大同,9.3,2.79,-,-,-,56,-,124.92,82.53,42.39,3.605,1.55,2.06,28.98,-,-,53.0,-
89,臺北市,2002/09/18,萬華,1.7,0.59,-,30.7,-,28,-,19.84,2.23,17.61,-,-,-,27.73,-,-,35.0,-
90,臺北市,2002/09/18,陽明,0.4,0.19,-,46.7,-,12,-,1.65,0.43,1.22,-,-,-,20.46,-,96.0,44.0,-
91,臺北市,2002/09/18,士林,2.6,0.34,-,38.1,-,16,-,15.48,3.23,12.25,-,-,-,27.55,-,-,41.0,-
92,臺北市,2002/09/17,松山,2.4,0.54,359.83,11.9,-,24,-,32.68,15.5,17.18,-,-,-,27.53,-,-,26.0,-
93,臺北市,2002/09/17,古亭,1.0,0.63,-,7.7,-,21,10.92,29.33,13.57,15.76,2.287,0.38,1.91,28.3,-,-,21.0,-
