序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2015/02/28,松山,-,-,-,-,-,9,-,-,-,-,-,-
2,臺北市,2015/02/28,松山,2.8,0.4,414.62,33.5,16,-,17.94,3.45,14.49,1.55,18.5,80.62
3,臺北市,2015/02/28,古亭,-,-,-,-,-,11,-,-,-,-,-,-
4,臺北市,2015/02/28,古亭,2,0.41,-,28.3,33,-,18.79,3.26,15.52,1.86,19.27,84.56
5,臺北市,2015/02/28,中山,-,-,-,-,-,10,-,-,-,-,-,-
6,臺北市,2015/02/28,中山,1.7,0.54,-,25.5,38,-,28.19,6.52,21.66,1.72,19.09,83.83
7,臺北市,2015/02/28,大同,-,-,-,-,-,6,-,-,-,-,-,-
8,臺北市,2015/02/28,大同,1.7,0.93,-,-,33,-,44.71,21.88,22.82,-,-,-
9,臺北市,2015/02/28,萬華,-,-,-,-,-,8,-,-,-,-,-,-
10,臺北市,2015/02/28,萬華,1.3,0.55,-,25.6,21,-,24.85,4.05,20.79,1.27,18.83,81.83
11,臺北市,2015/02/28,陽明,-,-,-,-,-,9,-,-,-,-,-,-
12,臺北市,2015/02/28,陽明,2,0.25,419.91,40,12,-,3.79,0.66,3.09,-,15.22,94.79
13,臺北市,2015/02/28,士林,-,-,-,-,-,9,-,-,-,-,-,-
14,臺北市,2015/02/28,士林,1.4,0.32,-,33,24,-,12.29,1.11,11.17,1.76,18.41,79.91
15,臺北市,2015/02/27,松山,-,-,-,-,-,7,-,-,-,-,-,-
16,臺北市,2015/02/27,松山,3.3,0.43,414.19,29.5,20,-,20.39,3.58,16.81,1.78,19.03,87.16
17,臺北市,2015/02/27,古亭,-,-,-,-,-,13,-,-,-,-,-,-
18,臺北市,2015/02/27,古亭,3.4,0.42,-,27.2,31,-,17.89,2.58,15.3,2.71,19.98,90.29
19,臺北市,2015/02/27,中山,-,-,-,-,-,8,-,-,-,-,-,-
20,臺北市,2015/02/27,中山,2.8,0.55,-,25.6,34,-,26.29,6.28,20.02,2.29,20.49,84.47
21,臺北市,2015/02/27,大同,-,-,-,-,-,7,-,-,-,-,-,-
22,臺北市,2015/02/27,大同,3.5,1.09,-,-,33,-,55.95,28.91,27.04,-,-,-
23,臺北市,2015/02/27,萬華,-,-,-,-,-,8,-,-,-,-,-,-
24,臺北市,2015/02/27,萬華,3.1,0.46,-,27.5,25,-,23.03,3.81,19.22,2.59,20.1,83.05
25,臺北市,2015/02/27,陽明,-,-,-,-,-,4,-,-,-,-,-,-
