序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2011/08/31,松山,5.6,0.54,411.18,21.9,39,35,21.0,32.02,7.36,24.66,2.205,0.235,1.97,28.81,72.4,45.0
2,臺北市,2011/08/31,古亭,3.6,0.62,-,23.5,42,44,21.0,30.44,6.77,23.67,2.205,0.226,1.98,29.15,76.34,52.0
3,臺北市,2011/08/31,中山,6.4,0.75,-,19.1,33,38,28.0,39.66,9.86,29.8,2.31,0.311,2.0,29.59,72.65,39.0
4,臺北市,2011/08/31,大同,7.3,2.26,-,-,-,44,27.0,80.41,43.81,36.6,2.989,0.862,2.13,-,-,44.0
5,臺北市,2011/08/31,萬華,4.5,0.66,-,17.7,35,31,17.0,36.7,7.54,29.15,-,-,-,30.36,72.13,47.0
6,臺北市,2011/08/31,陽明,1.0,0.14,394.12,35.8,43,13,9.0,2.57,1.06,1.51,-,-,-,22.79,92.14,37.0
7,臺北市,2011/08/31,士林,3.6,0.41,-,32.3,47,37,18.0,17.73,3.83,13.9,-,-,-,29.31,68.76,51.0
8,臺北市,2011/08/30,松山,2.0,0.41,396.96,20.2,28,21,13.0,21.16,4.54,16.61,2.052,0.175,1.88,29.35,71.38,32.0
9,臺北市,2011/08/30,古亭,2.6,0.51,-,21.1,29,39,18.0,25.88,6.51,19.37,2.072,0.175,1.9,29.54,76.77,39.0
10,臺北市,2011/08/30,中山,1.9,0.67,-,18.6,27,32,22.0,32.09,10.02,22.07,2.149,0.254,1.89,29.74,73.87,34.0
11,臺北市,2011/08/30,大同,3.6,1.62,-,-,-,30,21.0,56.41,29.29,27.12,2.627,0.602,2.03,-,-,30.0
12,臺北市,2011/08/30,萬華,2.3,0.56,-,18.6,28,24,14.0,28.75,6.0,22.76,-,-,-,30.51,73.65,36.0
13,臺北市,2011/08/30,陽明,1.7,0.09,393.33,29.2,35,8,5.0,1.96,0.58,1.37,-,-,-,23.07,95.91,35.0
14,臺北市,2011/08/30,士林,1.8,0.28,-,29.3,38,26,11.0,11.19,1.7,9.47,-,-,-,29.49,69.73,36.0
15,臺北市,2011/08/29,松山,1.4,0.24,387.46,20.8,26,13,10.0,13.15,3.53,9.62,1.854,0.075,1.78,28.76,74.33,23.0
16,臺北市,2011/08/29,古亭,1.3,0.21,-,23.8,28,24,11.0,12.28,3.8,8.48,1.866,0.046,1.82,28.85,79.4,25.0
17,臺北市,2011/08/29,中山,1.4,0.39,-,17.4,22,23,-,19.74,6.59,13.14,1.936,0.129,1.81,29.34,76.12,23.0
18,臺北市,2011/08/29,大同,2.2,0.92,-,-,-,25,14.0,44.29,25.1,19.19,2.241,0.342,1.9,-,-,25.0
19,臺北市,2011/08/29,萬華,1.3,0.26,-,18.2,23,18,9.0,18.04,5.27,12.78,-,-,-,30.19,74.54,20.0
20,臺北市,2011/08/29,陽明,1.9,0.1,391.29,26.5,31,5,3.0,2.02,0.21,1.94,-,-,-,21.98,100.0,29.0
21,臺北市,2011/08/29,士林,1.4,0.15,-,26.0,30,19,11.0,7.01,2.42,4.59,-,-,-,29.32,70.51,27.0
22,臺北市,2011/08/28,松山,0.8,0.18,387.13,12.5,15,16,13.0,11.99,4.39,7.6,-,-,-,28.45,76.97,16.0
23,臺北市,2011/08/28,古亭,1.1,0.19,-,14.1,16,29,10.0,12.8,4.36,8.43,1.841,0.046,1.8,28.49,81.89,29.0
24,臺北市,2011/08/28,中山,1.3,0.27,-,11.1,14,28,-,15.99,7.15,8.84,1.877,0.086,1.79,28.92,79.11,28.0
25,臺北市,2011/08/28,大同,1.5,0.65,-,-,-,25,14.0,35.53,21.94,13.59,2.125,0.232,1.89,-,-,25.0
26,臺北市,2011/08/28,萬華,0.5,0.22,-,10.2,12,19,12.0,18.0,6.79,11.21,-,-,-,29.71,77.69,19.0
27,臺北市,2011/08/28,陽明,1.9,0.05,391.56,14.4,22,7,4.0,2.79,1.28,1.51,-,-,-,22.11,99.62,19.0
28,臺北市,2011/08/28,士林,1.5,0.1,-,17.2,22,22,10.0,5.94,1.78,4.17,-,-,-,29.2,71.92,22.0
29,臺北市,2011/08/27,松山,1.9,0.24,389.31,6.8,9,16,12.0,18.61,8.55,10.06,-,-,-,28.8,72.76,16.0
30,臺北市,2011/08/27,古亭,1.0,0.18,-,9.6,11,21,11.0,14.98,6.43,8.55,1.857,0.051,1.81,29.02,75.78,21.0
31,臺北市,2011/08/27,中山,0.9,0.38,-,5.8,7,25,-,23.35,12.34,11.01,1.99,0.18,1.81,29.36,74.16,25.0
32,臺北市,2011/08/27,大同,2.5,0.95,-,-,-,23,14.0,52.09,37.37,14.71,2.337,0.432,1.91,-,-,23.0
33,臺北市,2011/08/27,萬華,1.4,0.3,-,5.1,7,15,10.0,25.77,13.09,12.68,-,-,-,30.17,72.55,15.0
