序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2014/04/30,松山,-,-,-,-,-,21,-,-,-,-,-,-
2,臺北市,2014/04/30,松山,2,0.46,421.86,37.1,48,-,21.06,2.79,18.27,1.8,21.42,74.09
3,臺北市,2014/04/30,古亭,-,-,-,-,-,20,-,-,-,-,-,-
4,臺北市,2014/04/30,古亭,1.8,0.5,-,30.8,52,-,27.14,4.26,22.88,2.22,21.7,77.21
5,臺北市,2014/04/30,中山,-,-,-,-,-,23,-,-,-,-,-,-
6,臺北市,2014/04/30,中山,2.4,0.68,-,30.1,70,-,36.87,7.67,29.21,2.05,22.3,74.95
7,臺北市,2014/04/30,大同,-,-,-,-,-,21,-,-,-,-,-,-
8,臺北市,2014/04/30,大同,2.8,1.27,-,-,62,-,77.6,37.7,39.9,-,-,-
9,臺北市,2014/04/30,萬華,-,-,-,-,-,24,-,-,-,-,-,-
10,臺北市,2014/04/30,萬華,2.4,0.54,-,31.8,45,-,33.6,5.04,28.56,2.45,22.05,74
11,臺北市,2014/04/30,陽明,-,-,-,-,-,18,-,-,-,-,-,-
12,臺北市,2014/04/30,陽明,1.7,0.24,409.64,54,23,-,3.5,1.67,1.83,-,15.81,98.57
13,臺北市,2014/04/30,士林,-,-,-,-,-,22,-,-,-,-,-,-
14,臺北市,2014/04/30,士林,1.7,0.34,-,50.4,33,-,12.81,1.55,11.26,2.02,22.08,71.63
15,臺北市,2014/04/29,松山,-,-,-,-,-,34,-,-,-,-,-,-
16,臺北市,2014/04/29,松山,1.8,0.44,421.13,50.2,59,-,17.27,2.53,14.73,2.69,21.47,62.65
17,臺北市,2014/04/29,古亭,-,-,-,-,-,29,-,-,-,-,-,-
18,臺北市,2014/04/29,古亭,2,0.48,-,44.2,63,-,20.71,2.55,18.15,3.32,21.89,63.98
19,臺北市,2014/04/29,中山,-,-,-,-,-,33,-,-,-,-,-,-
20,臺北市,2014/04/29,中山,4.3,0.61,-,41,85,-,31.56,5.73,25.82,2.66,22.44,63.95
21,臺北市,2014/04/29,大同,-,-,-,-,-,27,-,-,-,-,-,-
22,臺北市,2014/04/29,大同,5.1,0.94,-,-,73,-,53.38,19.22,34.16,-,-,-
23,臺北市,2014/04/29,萬華,-,-,-,-,-,34,-,-,-,-,-,-
24,臺北市,2014/04/29,萬華,3.6,0.46,-,45.5,57,-,26.79,3.71,23.07,3.74,21.96,63.19
25,臺北市,2014/04/29,陽明,-,-,-,-,-,30,-,-,-,-,-,-
