序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2016/07/31,松山,1.5,0.2,405.22,17.9,22,-,10.82,3.26,7.55,1.732,0.054,1.678,2.39,1.99,30.86,-,-,68.65,-
2,臺北市,2016/07/31,古亭,1,0.2,-,19.9,17,-,10.03,3.09,6.94,1.836,0.043,1.793,3.19,2.92,31.3,-,-,65.17,-
3,臺北市,2016/07/31,中山,3.1,0.29,-,15.3,23,-,16.91,5.72,11.18,1.808,0.042,1.766,2.73,2.33,31.46,-,-,71.73,-
4,臺北市,2016/07/31,大同,2.8,0.49,-,-,32,-,28.24,17.09,11.16,1.966,0.128,1.839,-,-,-,-,-,-,-
5,臺北市,2016/07/31,萬華,2.4,0.22,-,15.8,23,-,16.99,5.4,11.58,-,-,-,3.12,2.86,31.88,-,-,68.9,-
6,臺北市,2016/07/31,陽明,1.7,0.06,401.84,20,9,-,2.13,1.06,1.03,-,-,-,-,-,22.8,0.5,5.39,91.36,10.96
7,臺北市,2016/07/31,士林,3.7,0.13,-,20.7,20,-,7.39,1.18,6.22,-,-,-,3.47,3.06,30.97,-,-,68.66,-
8,臺北市,2016/07/30,松山,2.7,0.28,422.82,29.3,30,-,15.2,3.51,11.69,1.797,0.105,1.692,2.07,1.62,31.17,-,-,62.4,-
9,臺北市,2016/07/30,古亭,2.5,0.29,-,29.7,27,-,15.06,3.43,11.63,1.876,0.083,1.793,2.44,2.08,31.04,-,-,61.33,-
10,臺北市,2016/07/30,中山,4.5,0.4,-,25.1,36,-,24.29,6.55,17.74,1.913,0.136,1.777,2.11,1.68,31.81,-,-,65.01,-
11,臺北市,2016/07/30,大同,4.6,0.96,-,-,47,-,47.1,23.21,23.89,2.198,0.271,1.928,-,-,-,-,-,-,-
12,臺北市,2016/07/30,萬華,3.9,0.33,-,25.6,30,-,21.1,4.89,16.21,-,-,-,2.43,2.01,32.15,-,-,62.29,-
13,臺北市,2016/07/30,陽明,3.1,0.14,410.35,33.6,20,-,3.7,0.92,2.75,-,-,-,-,-,23.87,0,0,83.64,0
14,臺北市,2016/07/30,士林,2.8,0.25,-,28.9,30,-,12.87,2.12,10.74,-,-,-,2.44,2.14,30.94,-,-,64.87,-
15,臺北市,2016/07/27,松山,2.5,0.5,432.84,22.3,36,-,31.05,10.55,20.5,1.944,0.217,1.727,2,1.61,32.23,-,-,56.89,-
16,臺北市,2016/07/27,古亭,2.4,0.39,-,31.2,31,-,20.61,4.66,15.94,1.974,0.154,1.821,1.93,1.51,31.6,-,-,60.06,-
17,臺北市,2016/07/27,中山,3.2,0.68,-,24.4,35,-,33.5,11.5,22.03,2.03,0.224,1.806,1.88,1.26,32.65,-,-,60.48,-
18,臺北市,2016/07/27,大同,4.2,1.89,-,-,50,-,66.38,38.44,27.94,2.526,0.555,1.971,-,-,-,-,-,-,-
19,臺北市,2016/07/27,萬華,2.3,0.44,-,28.2,32,-,20.81,5.02,15.79,-,-,-,1.75,1.45,32.87,-,-,59.69,-
20,臺北市,2016/07/27,陽明,2.9,0.15,415.47,28,17,-,7.78,0.91,6.85,-,-,-,-,-,24.72,0,0,79.52,0
21,臺北市,2016/07/27,士林,3.4,0.31,-,23.8,32,-,19.34,2.78,16.56,-,-,-,2.15,1.69,31.58,-,-,63.76,-
22,臺北市,2016/07/26,松山,5.7,0.41,432.24,34.7,43,-,25.38,4.86,20.53,1.879,0.165,1.714,1.81,1.27,31.11,-,-,63.93,-
23,臺北市,2016/07/26,古亭,3.2,0.42,-,32.1,37,-,20.95,3.67,17.28,1.979,0.156,1.822,1.82,1.38,30.7,-,-,64.89,-
