序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2003/04/30,松山,1.8,0.75,393.38,28.4,-,53,-,29.55,5.05,24.49,-,-,-,21.61,-,-,52.0,-
2,臺北市,2003/04/30,古亭,1.0,0.7,-,24.5,-,40,23.84,28.11,5.13,22.98,2.48,0.54,1.94,21.7,-,-,40.0,-
3,臺北市,2003/04/30,中山,2.1,0.77,-,22.7,-,63,-,42.36,9.39,32.97,2.535,0.34,2.2,22.75,-,-,56.0,-
4,臺北市,2003/04/30,大同,6.6,3.15,-,-,-,84,-,160.35,101.82,58.53,4.249,1.76,2.49,23.62,-,-,67.0,-
5,臺北市,2003/04/30,萬華,1.9,0.84,-,29.6,-,42,-,24.05,3.35,20.69,-,-,-,22.35,-,-,42.0,-
6,臺北市,2003/04/30,陽明,0.9,0.37,421.32,53.7,-,14,-,2.42,0.06,-,-,-,-,15.56,-,96.0,53.0,-
7,臺北市,2003/04/30,士林,1.0,0.57,-,37.1,-,40,-,17.79,2.9,15.52,-,-,-,21.53,-,-,44.0,-
8,臺北市,2003/04/29,松山,4.9,0.81,404.71,30.3,-,71,-,43.21,11.29,31.92,-,-,-,27.37,-,-,82.0,-
9,臺北市,2003/04/29,古亭,3.7,0.86,-,28.9,-,59,33.55,39.71,11.31,28.4,2.624,0.47,2.16,27.55,-,-,79.0,-
10,臺北市,2003/04/29,中山,6.2,0.94,-,21.8,-,83,-,55.58,15.72,39.86,2.829,0.55,2.28,27.89,-,-,66.0,-
11,臺北市,2003/04/29,大同,10.3,2.14,-,-,-,71,-,111.59,64.69,46.91,3.75,1.12,2.63,28.63,-,-,60.0,-
12,臺北市,2003/04/29,萬華,5.3,0.87,-,31.6,-,71,-,27.57,5.17,22.39,-,-,-,28.06,-,-,76.0,-
13,臺北市,2003/04/29,陽明,1.6,0.3,378.92,48.1,-,15,-,5.39,0.45,4.94,-,-,-,21.97,-,83.0,70.0,-
14,臺北市,2003/04/29,士林,4.6,0.66,-,27.4,-,48,-,30.37,7.42,22.95,-,-,-,26.21,-,-,65.0,-
15,臺北市,2003/04/28,松山,0.7,0.34,381.28,16.0,-,44,-,18.93,6.41,12.53,-,-,-,27.95,-,-,44.0,-
16,臺北市,2003/04/28,古亭,0.8,0.62,-,20.6,-,26,14.96,27.46,11.34,16.12,2.432,0.32,2.11,28.0,-,-,51.0,-
17,臺北市,2003/04/28,中山,1.2,0.65,-,17.7,-,36,-,36.46,13.13,23.33,2.384,0.33,2.05,28.31,-,-,64.0,-
18,臺北市,2003/04/28,大同,6.2,-,-,-,-,49,-,142.75,108.81,33.94,4.227,1.8,2.42,29.43,-,-,57.0,-
19,臺北市,2003/04/28,萬華,1.8,0.8,-,24.5,-,33,-,20.14,4.56,15.58,-,-,-,28.41,-,-,80.0,-
20,臺北市,2003/04/28,陽明,0.6,0.25,375.03,27.7,-,11,-,2.16,0.3,1.83,-,-,-,21.3,-,90.0,38.0,-
21,臺北市,2003/04/28,士林,-,0.5,-,21.6,-,24,-,13.2,2.78,10.43,-,-,-,27.46,-,-,74.0,-
22,臺北市,2003/04/27,松山,2.2,0.54,382.26,30.8,-,27,-,18.99,2.59,16.39,-,-,-,24.84,-,-,35.0,-
23,臺北市,2003/04/27,古亭,1.4,0.62,-,27.7,-,24,16.75,22.12,4.47,17.65,2.278,0.33,1.95,25.6,-,-,32.0,-
24,臺北市,2003/04/27,中山,2.5,0.59,-,29.3,-,32,-,22.59,4.12,18.46,2.278,0.19,2.09,25.86,-,-,32.0,-
25,臺北市,2003/04/27,大同,4.8,-,-,-,-,39,-,109.89,71.48,38.41,3.478,1.13,2.35,27.05,-,-,39.0,-
26,臺北市,2003/04/27,萬華,1.4,0.73,-,30.4,-,28,-,14.38,1.49,12.89,-,-,-,25.9,-,-,35.0,-
27,臺北市,2003/04/27,陽明,0.9,0.4,377.57,45.5,-,12,-,3.4,0.43,2.97,-,-,-,18.71,-,96.0,47.0,-
28,臺北市,2003/04/27,士林,-,0.51,-,39.3,-,31,-,9.53,1.33,8.19,-,-,-,25.27,-,-,41.0,-
29,臺北市,2003/04/26,松山,2.7,0.69,388.99,38.2,-,50,-,20.84,2.15,18.69,-,-,-,21.53,-,-,50.0,-
30,臺北市,2003/04/26,古亭,2.5,0.8,-,33.9,-,45,23.36,24.98,4.38,20.6,2.353,0.3,2.05,22.36,-,-,45.0,-
31,臺北市,2003/04/26,中山,4.2,0.75,-,35.6,-,57,-,26.25,4.45,21.8,2.341,0.23,2.11,22.65,-,-,54.0,-
32,臺北市,2003/04/26,大同,7.4,-,-,-,-,59,-,109.86,66.53,43.33,3.689,1.26,2.42,23.84,-,-,54.0,-
33,臺北市,2003/04/26,萬華,2.6,0.86,-,39.1,-,47,-,-,-,12.96,-,-,-,22.83,-,-,47.0,-
34,臺北市,2003/04/26,陽明,0.6,0.51,382.87,56.4,-,11,-,2.69,0.21,2.47,-,-,-,16.44,-,97.0,51.0,-
35,臺北市,2003/04/26,士林,2.4,0.67,-,47.2,-,31,-,11.16,1.23,9.92,-,-,-,22.39,-,-,46.0,-
36,臺北市,2003/04/25,松山,-,0.56,390.01,35.2,-,71,-,61.14,41.7,19.44,-,-,-,26.25,-,-,70.0,-
37,臺北市,2003/04/25,古亭,1.9,0.69,-,30.0,-,62,34.39,24.31,4.48,19.83,2.393,0.34,2.06,26.35,-,-,62.0,-
38,臺北市,2003/04/25,中山,2.0,0.72,-,26.0,-,65,-,29.75,5.47,24.28,2.511,0.38,2.13,26.99,-,-,58.0,-
39,臺北市,2003/04/25,大同,-,-,-,-,-,101,-,-,-,-,-,-,-,27.78,-,-,76.0,-
40,臺北市,2003/04/25,萬華,2.0,0.65,-,30.9,-,78,-,18.45,2.69,15.76,-,-,-,27.02,-,-,64.0,-
