序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2004/02/29,松山,5.8,1.42,447.45,28.0,-,124,-,71.4,24.86,46.53,-,-,-,23.37,-,-,87.0,-
2,臺北市,2004/02/29,古亭,4.4,1.24,-,28.7,-,104,-,55.58,12.77,42.81,3.517,0.902,2.62,22.47,-,65.46,77.0,-
3,臺北市,2004/02/29,中山,5.2,1.3,-,25.9,63,100,-,72.83,21.7,51.14,2.537,0.108,2.43,25.57,-,68.59,75.0,-
4,臺北市,2004/02/29,大同,5.0,1.22,-,-,-,99,-,77.21,30.83,46.38,3.296,0.672,2.62,23.48,-,-,74.0,-
5,臺北市,2004/02/29,萬華,2.7,1.18,-,36.8,-,86,59.0,-,-,-,-,-,-,23.58,-,69.45,78.0,-
6,臺北市,2004/02/29,陽明,1.9,0.47,389.11,62.6,85,71,-,7.26,0.36,6.78,-,-,-,19.66,-,83.0,90.0,-
7,臺北市,2004/02/29,士林,3.2,1.02,-,33.4,-,103,-,43.87,12.76,31.11,-,-,-,22.64,-,74.98,76.0,-
8,臺北市,2004/02/28,松山,4.3,1.43,444.29,30.7,-,113,-,82.19,33.66,48.53,-,-,-,22.51,-,-,108.0,-
9,臺北市,2004/02/28,古亭,2.7,1.3,-,29.9,-,98,-,61.35,15.85,45.49,3.54,0.936,2.6,21.63,-,62.27,95.0,-
10,臺北市,2004/02/28,中山,5.8,1.29,-,26.4,62,95,-,77.73,22.59,55.14,2.703,0.125,2.58,24.54,-,64.34,99.0,-
11,臺北市,2004/02/28,大同,5.0,1.11,-,-,-,93,-,77.74,28.09,49.65,3.091,0.598,2.49,22.39,-,-,72.0,-
12,臺北市,2004/02/28,萬華,3.0,1.25,-,36.7,-,86,57.0,-,-,-,-,-,-,22.63,-,65.12,122.0,-
13,臺北市,2004/02/28,陽明,2.1,0.53,388.35,79.1,99,58,-,7.14,0.35,6.72,-,-,-,18.79,-,77.0,114.0,-
14,臺北市,2004/02/28,士林,2.8,0.99,-,31.8,-,90,-,44.69,10.4,34.28,-,-,-,21.32,-,70.19,88.0,-
15,臺北市,2004/02/27,松山,3.6,0.92,416.08,32.9,-,113,-,52.11,14.36,37.75,-,-,-,21.53,-,-,82.0,-
16,臺北市,2004/02/27,古亭,1.9,1.26,-,35.0,-,102,-,46.45,11.52,34.93,3.479,0.792,2.69,21.24,-,53.54,76.0,-
17,臺北市,2004/02/27,中山,5.1,1.16,-,32.4,-,97,-,76.82,26.98,49.87,-,-,-,24.03,-,54.99,74.0,-
18,臺北市,2004/02/27,大同,5.1,1.22,-,-,-,94,-,83.16,35.59,47.56,2.972,0.599,2.37,22.06,-,-,72.0,-
19,臺北市,2004/02/27,萬華,3.0,1.13,-,42.5,-,91,47.0,-,-,-,-,-,-,22.31,-,55.95,80.0,-
20,臺北市,2004/02/27,陽明,2.4,0.45,386.85,70.3,87,77,-,5.49,0.26,5.14,-,-,-,15.15,-,79.0,89.0,-
21,臺北市,2004/02/27,士林,2.8,0.7,-,44.3,-,94,-,28.36,5.06,23.32,-,-,-,21.36,-,58.16,72.0,-
