序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2013/07/31,松山,3.8,0.61,429.5,20.4,45,34,26.0,31.66,7.22,24.44,2.248,0.39,1.86,30.38,63.3,58.0
2,臺北市,2013/07/31,古亭,3.1,0.64,-,25.8,56,40,23.0,29.9,7.88,22.02,2.045,0.277,1.77,29.46,71.1,80.0
3,臺北市,2013/07/31,中山,4.0,0.83,-,23.9,54,56,35.0,37.46,9.53,27.93,2.299,0.417,1.88,30.8,64.21,92.0
4,臺北市,2013/07/31,大同,6.1,2.68,-,-,-,52,36.0,86.02,50.39,35.63,2.867,0.886,1.98,-,-,51.0
5,臺北市,2013/07/31,萬華,4.8,0.7,-,25.3,60,39,24.0,31.21,5.54,25.67,-,-,-,30.48,66.04,98.0
6,臺北市,2013/07/31,陽明,2.0,0.17,414.62,35.1,48,18,12.0,6.87,1.36,5.49,-,-,-,23.85,93.41,46.0
7,臺北市,2013/07/31,士林,4.6,0.56,-,29.3,63,54,29.0,28.36,3.85,24.5,-,-,-,29.87,71.94,78.0
8,臺北市,2013/07/30,松山,3.7,0.51,429.83,31.8,70,35,27.0,26.03,4.85,21.18,2.101,0.28,1.82,31.18,59.78,101.0
9,臺北市,2013/07/30,古亭,2.7,0.52,-,26.7,57,37,23.0,24.18,5.65,18.53,1.946,0.204,1.74,30.29,68.63,76.0
10,臺北市,2013/07/30,中山,5.3,0.71,-,20.6,47,60,27.0,35.55,11.25,24.3,2.104,0.267,1.84,31.94,61.08,76.0
11,臺北市,2013/07/30,大同,6.1,1.88,-,-,-,44,30.0,62.74,34.7,28.03,2.535,0.623,1.91,-,-,44.0
12,臺北市,2013/07/30,萬華,6.0,0.57,-,24.4,53,36,25.0,27.07,5.48,21.58,-,-,-,31.76,62.7,71.0
13,臺北市,2013/07/30,陽明,2.9,0.16,415.31,33.8,47,16,13.0,8.72,1.72,7.0,-,-,-,24.65,88.31,48.0
14,臺北市,2013/07/30,士林,5.3,0.39,-,28.4,61,47,22.0,22.38,4.44,17.94,-,-,-,31.25,69.53,84.0
15,臺北市,2013/07/29,松山,1.8,0.39,422.86,18.3,38,25,19.0,20.24,4.99,15.25,1.971,0.168,1.8,30.9,59.94,58.0
16,臺北市,2013/07/29,古亭,2.2,0.41,-,16.9,33,33,19.0,19.49,6.91,12.58,1.854,0.141,1.71,30.51,67.13,48.0
17,臺北市,2013/07/29,中山,3.4,0.62,-,15.7,35,46,27.0,31.23,11.93,19.3,2.084,0.242,1.84,31.73,60.65,49.0
18,臺北市,2013/07/29,大同,4.5,2.11,-,-,-,52,30.0,92.82,63.02,29.8,2.7,0.709,1.99,-,-,51.0
19,臺北市,2013/07/29,萬華,3.5,0.47,-,16.8,35,33,16.0,22.93,5.64,17.28,-,-,-,31.58,62.08,52.0
20,臺北市,2013/07/29,陽明,2.2,0.14,409.89,30.2,44,14,11.0,7.16,1.83,5.33,-,-,-,24.6,87.21,63.0
21,臺北市,2013/07/29,士林,2.8,0.42,-,22.3,47,44,24.0,23.53,6.44,17.09,-,-,-,31.31,67.75,70.0
22,臺北市,2013/07/28,松山,3.3,0.47,428.17,27.8,60,36,26.0,21.56,3.62,17.93,2.037,0.175,1.86,30.35,64.3,65.0
23,臺北市,2013/07/28,古亭,2.9,0.51,-,23.0,52,42,24.0,22.17,5.94,16.23,1.955,0.172,1.78,29.87,73.48,59.0
24,臺北市,2013/07/28,中山,4.9,0.61,-,20.9,44,56,34.0,28.3,7.53,20.77,2.076,0.204,1.87,30.96,65.01,53.0
25,臺北市,2013/07/28,大同,4.5,1.56,-,-,-,47,35.0,50.08,26.14,23.94,2.4,0.444,1.96,-,-,47.0
26,臺北市,2013/07/28,萬華,4.2,0.55,-,21.7,48,40,26.0,23.57,4.61,18.96,-,-,-,30.74,67.86,53.0
27,臺北市,2013/07/28,陽明,2.2,0.18,411.43,32.8,47,22,18.0,7.28,2.02,5.26,-,-,-,23.7,94.62,42.0
