序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2010/11/30,松山,3.1,0.55,401.9,17.9,28,36,28.0,39.5,7.79,31.72,2.111,0.219,1.89,20.99,73.11,36.0
2,臺北市,2010/11/30,古亭,1.8,0.63,-,22.1,33,49,22.0,30.28,5.26,25.01,2.208,0.266,1.94,21.2,77.67,49.0
3,臺北市,2010/11/30,中山,2.9,0.97,-,15.0,23,43,30.0,51.78,20.44,31.34,2.313,0.353,1.96,21.0,76.67,43.0
4,臺北市,2010/11/30,大同,2.7,1.22,-,-,-,39,26.0,47.89,18.35,29.55,2.49,0.437,2.05,-,-,39.0
5,臺北市,2010/11/30,萬華,2.6,0.69,-,16.8,24,35,21.0,35.57,7.13,28.45,-,-,-,20.89,77.58,35.0
6,臺北市,2010/11/30,陽明,1.0,0.18,391.28,43.1,47,7,5.0,3.86,1.19,2.67,-,-,-,12.78,99.39,40.0
7,臺北市,2010/11/30,士林,2.0,0.42,-,26.3,36,33,20.0,20.77,3.72,17.05,-,-,-,20.53,80.13,35.0
8,臺北市,2010/11/29,松山,5.3,0.76,416.35,17.8,39,52,33.0,56.42,15.18,41.24,2.449,0.353,2.1,22.08,70.89,64.0
9,臺北市,2010/11/29,古亭,3.3,0.73,-,22.1,44,56,29.0,42.25,10.34,31.91,2.348,0.361,1.99,22.34,73.76,68.0
10,臺北市,2010/11/29,中山,4.8,0.94,-,18.7,40,53,37.0,56.34,19.52,36.82,2.496,0.409,2.09,22.4,71.78,62.0
11,臺北市,2010/11/29,大同,5.3,2.01,-,-,-,56,37.0,84.0,42.61,41.4,2.981,0.801,2.18,-,-,53.0
12,臺北市,2010/11/29,萬華,4.8,0.82,-,16.1,35,44,28.0,45.55,11.06,34.49,-,-,-,22.3,72.11,61.0
13,臺北市,2010/11/29,陽明,3.3,0.23,394.46,47.6,64,29,22.0,7.82,1.42,6.4,-,-,-,14.78,89.29,73.0
14,臺北市,2010/11/29,士林,3.1,0.56,-,32.2,56,47,31.0,29.06,7.54,21.52,-,-,-,22.09,73.38,67.0
15,臺北市,2010/11/28,松山,2.4,0.41,397.22,19.1,28,32,19.0,31.79,6.57,25.24,2.09,0.151,1.94,21.46,63.54,32.0
16,臺北市,2010/11/28,古亭,0.2,0.33,-,28.1,33,37,14.0,22.22,5.0,17.22,1.951,0.09,1.86,22.29,63.74,37.0
17,臺北市,2010/11/28,中山,1.1,0.48,-,21.4,27,33,22.0,32.24,8.25,23.99,2.058,0.157,1.9,22.07,62.99,33.0
18,臺北市,2010/11/28,大同,1.8,1.01,-,-,-,38,21.0,66.92,35.25,31.67,2.4,0.413,1.99,-,-,38.0
19,臺北市,2010/11/28,萬華,1.5,0.37,-,19.7,26,31,13.0,32.71,8.04,24.67,-,-,-,22.1,62.59,31.0
20,臺北市,2010/11/28,陽明,2.5,0.06,386.73,41.7,42,16,9.0,2.53,0.64,1.86,-,-,-,13.17,88.33,37.0
21,臺北市,2010/11/28,士林,0.8,0.21,-,36.6,42,30,12.0,14.88,4.42,10.46,-,-,-,22.25,62.44,37.0
22,臺北市,2010/11/27,松山,2.2,0.35,394.92,22.4,31,36,19.0,26.64,4.05,22.59,2.042,0.127,1.92,20.35,60.74,36.0
23,臺北市,2010/11/27,古亭,0.9,0.31,-,31.9,34,43,17.0,20.52,4.89,15.63,1.942,0.089,1.85,21.17,61.94,43.0
24,臺北市,2010/11/27,中山,2.4,0.47,-,22.9,27,41,24.0,30.2,6.63,23.56,2.066,0.166,1.9,21.02,60.06,41.0
25,臺北市,2010/11/27,大同,1.9,1.04,-,-,-,48,22.0,66.43,33.68,32.75,2.435,0.452,1.98,-,-,48.0
26,臺北市,2010/11/27,萬華,1.7,0.36,-,22.5,28,35,16.0,29.5,6.24,23.26,-,-,-,20.97,60.31,35.0
27,臺北市,2010/11/27,陽明,3.5,0.06,387.86,42.6,43,20,11.0,2.64,0.66,1.98,-,-,-,11.93,85.89,38.0
28,臺北市,2010/11/27,士林,1.0,0.22,-,39.1,42,37,16.0,10.67,1.75,8.94,-,-,-,21.16,59.5,37.0
29,臺北市,2010/11/26,松山,3.1,0.45,397.14,27.7,36,71,35.0,30.11,5.31,24.8,2.053,0.14,1.91,19.11,57.06,60.0
30,臺北市,2010/11/26,古亭,1.9,0.42,-,35.7,42,65,29.0,21.77,5.2,16.57,1.987,0.101,1.89,19.41,60.7,58.0
31,臺北市,2010/11/26,中山,3.9,0.61,-,24.8,34,75,38.0,36.09,7.98,28.11,2.113,0.197,1.92,19.47,58.0,62.0
32,臺北市,2010/11/26,大同,4.3,1.56,-,-,-,79,39.0,90.82,52.44,38.38,2.643,0.624,2.02,-,-,64.0
33,臺北市,2010/11/26,萬華,2.8,0.5,-,24.7,35,69,30.0,34.95,8.58,26.37,-,-,-,19.52,57.63,60.0
34,臺北市,2010/11/26,陽明,2.0,0.19,390.29,49.2,52,41,21.0,2.23,0.43,1.74,-,-,-,10.15,85.1,46.0
35,臺北市,2010/11/26,士林,2.5,0.32,-,42.0,50,66,32.0,11.86,2.7,9.16,-,-,-,19.49,57.37,58.0
36,臺北市,2010/11/25,松山,1.9,0.49,402.75,17.1,26,33,22.0,37.56,7.81,29.75,2.219,0.208,2.01,18.83,78.26,38.0
37,臺北市,2010/11/25,古亭,0.6,0.73,-,13.0,19,38,21.0,46.47,16.27,30.2,2.235,0.282,1.95,18.73,84.19,38.0
38,臺北市,2010/11/25,中山,2.0,0.79,-,10.8,20,39,28.0,51.64,17.45,34.19,2.347,0.328,2.02,19.06,79.37,39.0
39,臺北市,2010/11/25,大同,3.2,2.11,-,-,-,48,29.0,116.81,75.12,41.69,2.992,0.867,2.12,-,-,48.0
40,臺北市,2010/11/25,萬華,1.6,0.66,-,10.9,16,35,20.0,44.58,11.91,32.67,-,-,-,18.97,79.86,35.0
41,臺北市,2010/11/25,陽明,1.3,0.1,390.4,45.9,52,14,9.0,2.43,0.65,1.77,-,-,-,11.34,97.9,46.0
42,臺北市,2010/11/25,士林,1.0,0.49,-,20.9,40,36,22.0,29.88,6.2,23.68,-,-,-,18.98,78.25,45.0
43,臺北市,2010/11/24,松山,3.2,0.55,403.25,16.1,28,38,21.0,41.67,12.71,28.96,2.196,0.233,1.96,20.23,65.83,38.0
44,臺北市,2010/11/24,古亭,0.8,0.5,-,23.2,31,37,16.0,29.6,8.74,20.86,2.094,0.157,1.94,20.61,67.92,37.0
45,臺北市,2010/11/24,中山,2.9,0.64,-,17.6,25,40,23.0,42.56,13.32,29.24,2.197,0.24,1.96,20.85,64.79,40.0
46,臺北市,2010/11/24,大同,3.6,1.72,-,-,-,50,24.0,92.45,56.56,35.88,2.761,0.7,2.06,-,-,50.0
47,臺北市,2010/11/24,萬華,3.0,0.54,-,16.7,25,36,17.0,39.68,11.21,28.47,-,-,-,20.72,64.99,36.0
48,臺北市,2010/11/24,陽明,1.0,0.13,388.6,43.6,45,17,10.0,2.67,1.12,1.54,-,-,-,12.13,91.97,38.0
49,臺北市,2010/11/24,士林,0.8,0.31,-,34.8,38,33,15.0,13.23,2.22,11.36,-,-,-,20.81,64.3,36.0
50,臺北市,2010/11/23,松山,3.1,0.51,401.21,20.3,32,64,39.0,32.79,6.95,25.85,2.114,0.171,1.94,18.72,77.41,57.0
51,臺北市,2010/11/23,古亭,1.7,0.56,-,23.6,35,72,35.0,30.21,7.54,22.68,2.046,0.139,1.91,19.04,80.3,61.0
52,臺北市,2010/11/23,中山,2.4,0.67,-,20.7,34,67,39.0,39.16,11.75,27.41,2.116,0.219,1.9,19.4,74.68,58.0
53,臺北市,2010/11/23,大同,3.5,1.8,-,-,-,76,41.0,91.96,55.89,36.07,2.753,0.726,2.03,-,-,63.0
54,臺北市,2010/11/23,萬華,2.0,0.52,-,20.4,34,61,28.0,32.89,8.09,24.8,-,-,-,19.29,75.31,56.0
55,臺北市,2010/11/23,陽明,1.4,0.2,393.78,45.6,48,13,9.0,2.85,1.03,1.82,-,-,-,10.85,99.39,43.0
56,臺北市,2010/11/23,士林,2.2,0.34,-,37.6,47,46,26.0,12.1,1.21,10.88,-,-,-,19.56,71.4,46.0
57,臺北市,2010/11/22,松山,3.2,0.64,406.02,22.0,26,73,53.0,31.83,5.93,25.9,2.166,0.19,1.98,20.94,77.81,62.0
58,臺北市,2010/11/22,古亭,1.8,0.76,-,21.3,27,80,51.0,33.29,6.95,26.35,2.226,0.205,2.02,21.26,81.0,65.0
59,臺北市,2010/11/22,中山,3.0,0.89,-,19.0,24,70,52.0,40.04,11.16,28.89,2.247,0.259,1.99,21.38,77.34,60.0
60,臺北市,2010/11/22,大同,3.8,2.0,-,-,-,77,54.0,86.73,50.27,36.46,2.942,0.768,2.17,-,-,64.0
61,臺北市,2010/11/22,萬華,2.3,0.8,-,17.0,22,64,42.0,38.94,9.1,29.84,-,-,-,21.23,78.73,57.0
62,臺北市,2010/11/22,陽明,1.9,0.35,395.34,42.8,44,22,16.0,4.98,0.99,4.0,-,-,-,12.96,97.83,40.0
63,臺北市,2010/11/22,士林,2.7,0.54,-,33.4,37,61,44.0,16.9,2.35,14.56,-,-,-,21.29,76.64,56.0
64,臺北市,2010/11/21,松山,4.0,0.67,410.7,29.4,53,53,42.0,34.38,4.58,29.81,2.283,0.235,2.05,22.72,78.73,61.0
65,臺北市,2010/11/21,古亭,2.6,0.76,-,27.2,51,65,37.0,35.15,6.37,28.78,2.293,0.257,2.04,23.04,81.4,58.0
66,臺北市,2010/11/21,中山,4.4,0.9,-,22.8,41,53,39.0,47.53,13.6,33.94,2.335,0.304,2.03,22.99,80.22,52.0
67,臺北市,2010/11/21,大同,3.2,1.46,-,-,-,56,41.0,58.4,23.07,35.33,2.769,0.538,2.23,-,-,53.0
68,臺北市,2010/11/21,萬華,3.8,0.81,-,22.1,40,49,36.0,38.36,6.16,32.2,-,-,-,22.93,80.18,49.0
69,臺北市,2010/11/21,陽明,2.2,0.2,391.58,47.3,57,22,18.0,4.88,0.93,3.94,-,-,-,15.56,93.59,58.0
70,臺北市,2010/11/21,士林,2.7,0.57,-,35.9,62,51,38.0,24.44,3.16,21.26,-,-,-,22.87,80.0,68.0
71,臺北市,2010/11/20,松山,3.0,0.56,401.45,13.3,22,27,18.0,40.11,8.41,31.69,2.236,0.218,2.02,21.01,84.82,27.0
72,臺北市,2010/11/20,古亭,1.1,0.65,-,14.6,22,29,14.0,37.03,10.51,26.51,2.169,0.204,1.97,21.3,87.44,29.0
73,臺北市,2010/11/20,中山,2.7,0.78,-,12.1,19,29,24.0,46.37,15.22,31.16,2.323,0.275,2.05,21.39,85.29,29.0
74,臺北市,2010/11/20,大同,2.2,1.78,-,-,-,38,21.0,93.14,53.9,39.25,2.904,0.704,2.2,-,-,38.0
75,臺北市,2010/11/20,萬華,1.9,0.62,-,12.5,20,22,12.0,39.18,10.48,28.7,-,-,-,21.32,84.92,23.0
76,臺北市,2010/11/20,陽明,0.9,0.14,389.2,46.8,47,5,5.0,2.69,1.5,1.19,-,-,-,14.15,99.38,40.0
77,臺北市,2010/11/20,士林,2.5,0.52,-,23.9,37,29,17.0,25.77,5.64,20.13,-,-,-,21.61,82.09,34.0
78,臺北市,2010/11/19,松山,2.4,0.48,396.03,22.3,29,20,15.0,33.55,6.84,26.71,2.092,0.161,1.93,21.19,84.62,31.0
79,臺北市,2010/11/19,古亭,1.2,0.74,-,20.9,32,28,13.0,40.5,13.59,26.91,2.137,0.23,1.91,21.41,88.21,32.0
80,臺北市,2010/11/19,中山,1.8,0.71,-,19.7,29,25,20.0,39.2,11.1,28.1,2.167,0.251,1.92,21.73,83.51,31.0
81,臺北市,2010/11/19,大同,3.3,2.37,-,-,-,36,22.0,98.02,61.17,36.86,2.924,0.862,2.06,-,-,41.0
82,臺北市,2010/11/19,萬華,1.8,0.68,-,18.8,30,23,15.0,35.59,7.96,27.63,-,-,-,21.55,84.96,30.0
83,臺北市,2010/11/19,陽明,1.3,0.15,388.99,45.4,49,5,3.0,3.65,2.34,1.29,-,-,-,13.99,99.38,41.0
84,臺北市,2010/11/19,士林,1.6,0.48,-,28.0,34,22,17.0,23.42,5.02,18.4,-,-,-,21.96,81.05,38.0
85,臺北市,2010/11/18,松山,3.1,0.46,397.25,20.5,32,27,23.0,36.87,8.37,28.5,2.051,0.163,1.89,20.28,87.12,32.0
86,臺北市,2010/11/18,古亭,1.6,0.48,-,27.5,38,34,17.0,27.8,6.41,21.39,1.998,0.123,1.88,20.8,88.67,37.0
87,臺北市,2010/11/18,中山,3.3,0.59,-,23.3,36,29,25.0,33.61,9.53,24.07,2.055,0.192,1.86,20.94,84.48,35.0
88,臺北市,2010/11/18,大同,3.7,1.81,-,-,-,38,26.0,86.17,51.13,35.04,2.693,0.696,2.0,-,-,38.0
89,臺北市,2010/11/18,萬華,3.2,0.51,-,21.4,32,26,20.0,31.45,6.49,24.96,-,-,-,20.81,85.66,30.0
90,臺北市,2010/11/18,陽明,1.3,0.15,389.71,44.5,46,5,3.0,1.7,0.59,1.07,-,-,-,13.41,99.38,39.0
91,臺北市,2010/11/18,士林,1.3,0.27,-,41.3,47,20,13.0,10.11,2.34,7.77,-,-,-,21.7,77.47,42.0
92,臺北市,2010/11/17,松山,2.7,0.42,396.97,23.3,32,22,19.0,32.99,6.63,26.36,2.018,0.132,1.89,18.79,87.75,31.0
93,臺北市,2010/11/17,古亭,1.1,0.43,-,31.8,38,28,16.0,21.82,4.56,17.26,1.971,0.096,1.88,19.3,89.14,35.0
94,臺北市,2010/11/17,中山,2.6,0.57,-,23.8,32,23,19.0,31.31,7.75,23.56,2.042,0.168,1.87,19.47,84.7,32.0
95,臺北市,2010/11/17,大同,3.0,1.7,-,-,-,35,21.0,84.28,48.81,35.47,2.68,0.664,2.02,-,-,35.0
96,臺北市,2010/11/17,萬華,2.1,0.48,-,22.7,31,21,16.0,27.64,5.29,22.35,-,-,-,19.33,86.05,30.0
97,臺北市,2010/11/17,陽明,1.0,0.17,391.82,43.3,46,5,3.0,2.14,1.01,1.12,-,-,-,11.82,99.38,39.0
98,臺北市,2010/11/17,士林,0.8,0.3,-,39.9,42,17,9.0,11.38,2.13,9.25,-,-,-,20.2,77.35,37.0
99,臺北市,2010/11/16,松山,3.0,0.43,397.34,21.5,32,25,22.0,33.9,7.03,26.87,2.03,0.139,1.89,18.95,87.54,31.0
100,臺北市,2010/11/16,古亭,1.5,0.44,-,27.6,39,32,18.0,25.97,5.95,20.02,1.989,0.113,1.88,19.31,90.86,38.0
101,臺北市,2010/11/16,中山,2.2,0.54,-,22.8,32,27,24.0,30.18,8.04,22.14,2.048,0.17,1.88,19.47,86.03,34.0
102,臺北市,2010/11/16,大同,3.1,1.69,-,-,-,37,25.0,86.48,50.77,35.71,2.676,0.662,2.01,-,-,37.0
103,臺北市,2010/11/16,萬華,2.7,0.46,-,22.1,31,24,16.0,-,-,-,-,-,-,19.42,86.62,30.0
