序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2004/09/30,松山,7.6,0.41,399.47,17.3,-,49,-,25.13,5.29,19.82,-,-,-,26.69,-,74.21,49.0,-
2,臺北市,2004/09/30,古亭,-,0.54,-,19.9,-,50,21.0,36.29,11.36,24.94,1.919,0.219,1.7,26.17,-,67.9,50.0,-
3,臺北市,2004/09/30,中山,5.1,0.54,-,15.8,20,40,20.0,34.2,10.31,23.89,-,-,-,26.9,-,71.69,40.0,-
4,臺北市,2004/09/30,大同,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,12.0,-
5,臺北市,2004/09/30,萬華,4.1,0.3,-,24.9,-,49,23.0,22.51,4.2,18.31,-,-,-,28.28,-,71.77,49.0,-
6,臺北市,2004/09/30,陽明,-,0.13,374.81,42.7,-,33,-,-,-,-,-,-,-,19.92,-,88.0,52.0,-
7,臺北市,2004/09/30,士林,2.8,0.24,-,33.3,-,38,-,12.56,3.83,8.73,-,-,-,27.57,-,69.77,41.0,-
8,臺北市,2004/09/29,松山,9.5,0.52,403.43,39.1,-,79,-,29.96,4.41,25.55,-,-,-,26.48,-,71.18,67.0,-
9,臺北市,2004/09/29,古亭,-,0.52,-,41.1,-,83,42.0,31.62,4.15,27.48,2.109,0.196,1.91,26.32,-,63.31,66.0,-
10,臺北市,2004/09/29,中山,4.2,0.62,-,26.9,-,69,40.0,35.44,5.91,29.53,2.695,0.584,2.11,26.62,-,69.11,60.0,-
11,臺北市,2004/09/29,大同,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,-
12,臺北市,2004/09/29,萬華,5.1,0.51,-,43.5,-,80,43.0,-,-,-,-,-,-,28.02,-,68.54,66.0,-
13,臺北市,2004/09/29,陽明,1.7,0.19,372.69,63.9,-,46,-,2.23,0.9,1.34,-,-,-,20.51,-,83.0,69.0,-
14,臺北市,2004/09/29,士林,3.7,0.34,-,52.5,-,64,-,-,-,-,-,-,-,26.98,-,68.46,66.0,-
15,臺北市,2004/09/28,松山,3.7,0.67,409.48,38.1,-,81,-,34.32,9.77,24.54,-,-,-,26.29,-,73.65,66.0,-
16,臺北市,2004/09/28,古亭,-,0.65,-,38.8,-,80,42.0,30.78,5.09,25.69,2.212,0.236,1.98,25.78,-,68.41,79.0,-
17,臺北市,2004/09/28,中山,4.7,0.81,-,28.9,-,72,45.0,45.21,11.33,33.87,2.937,0.63,2.31,26.35,-,71.38,61.0,-
18,臺北市,2004/09/28,大同,23.1,1.12,-,19.2,-,-,-,-,-,-,3.014,0.535,2.48,26.76,-,-,38.0,-
19,臺北市,2004/09/28,萬華,3.0,0.68,-,41.8,-,86,49.0,23.18,3.04,20.15,-,-,-,27.66,-,72.38,72.0,-
20,臺北市,2004/09/28,陽明,1.3,0.2,377.65,51.1,-,47,-,-,-,-,-,-,-,-,-,92.0,57.0,-
21,臺北市,2004/09/28,士林,2.3,0.69,-,36.0,-,78,-,29.33,8.26,21.09,-,-,-,26.46,-,75.54,64.0,-
22,臺北市,2004/09/27,松山,4.5,1.1,418.51,11.9,-,68,-,66.16,26.64,39.52,-,-,-,25.79,-,81.38,59.0,-
23,臺北市,2004/09/27,古亭,4.6,1.33,-,9.0,-,76,44.0,72.81,32.15,40.66,2.843,0.781,2.06,24.83,-,78.79,63.0,-
24,臺北市,2004/09/27,中山,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,78.61,25.0,-
25,臺北市,2004/09/27,大同,18.6,1.8,-,8.9,-,76,-,19.98,13.46,6.5,3.574,0.77,2.8,25.37,-,-,63.0,-
26,臺北市,2004/09/27,萬華,4.9,1.18,-,11.3,-,77,42.0,57.01,20.07,36.93,-,-,-,26.34,-,84.38,64.0,-
27,臺北市,2004/09/27,陽明,-,-,376.73,46.1,-,8,-,2.01,0.27,1.74,-,-,-,-,-,96.0,48.0,-
28,臺北市,2004/09/27,士林,1.4,0.78,-,26.9,-,56,-,45.16,20.46,24.71,-,-,-,25.59,-,83.3,53.0,-
29,臺北市,2004/09/26,松山,1.7,0.62,406.62,14.1,-,36,-,39.32,12.34,26.98,-,-,-,25.59,-,84.1,36.0,-
30,臺北市,2004/09/26,古亭,1.7,0.66,-,11.4,-,44,22.0,44.88,15.18,29.69,2.254,0.297,1.96,24.89,-,80.08,44.0,-
31,臺北市,2004/09/26,大同,5.3,1.02,-,6.4,-,22,-,98.37,54.8,43.57,3.129,0.539,2.59,25.25,-,-,22.0,-
32,臺北市,2004/09/26,萬華,1.5,0.6,-,18.6,-,45,20.0,29.68,6.23,23.44,-,-,-,26.66,-,84.62,45.0,-
33,臺北市,2004/09/26,陽明,-,0.05,373.53,40.7,-,11,-,-,-,-,-,-,-,-,-,95.0,46.0,-
34,臺北市,2004/09/26,士林,1.1,0.59,-,16.7,-,29,-,34.82,11.06,23.76,-,-,-,25.32,-,87.37,38.0,-
35,臺北市,2004/09/25,松山,2.8,0.53,400.84,22.8,-,35,-,35.14,11.57,23.56,-,-,-,25.79,-,77.87,38.0,-
36,臺北市,2004/09/25,古亭,-,0.68,-,10.8,-,42,18.0,46.18,15.0,31.18,2.171,0.28,1.89,24.7,-,74.45,42.0,-
37,臺北市,2004/09/25,大同,55.7,1.29,-,7.9,-,10,-,101.72,40.63,61.1,3.219,0.6,2.62,25.3,-,-,62.0,-
38,臺北市,2004/09/25,萬華,1.8,0.78,-,13.9,-,44,19.0,43.95,13.19,30.77,-,-,-,26.41,-,79.21,44.0,-
39,臺北市,2004/09/25,陽明,-,0.09,373.08,44.2,-,13,-,-,-,-,-,-,-,-,-,90.0,46.0,-
40,臺北市,2004/09/25,士林,1.6,0.62,-,19.5,-,42,-,36.38,7.18,29.21,-,-,-,25.19,-,81.35,42.0,-
41,臺北市,2004/09/24,松山,2.4,0.53,395.54,31.2,-,36,-,32.85,4.84,28.03,-,-,-,25.06,-,77.32,37.0,-
