序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2010/01/31,松山,6.3,1.32,446.69,15.9,37,118,65.0,94.47,44.29,50.19,2.734,0.602,2.13,21.71,70.04,84.0
2,臺北市,2010/01/31,古亭,4.6,1.11,-,20.6,50,89,58.0,57.61,21.65,35.96,2.588,0.463,2.13,21.83,73.67,70.0
3,臺北市,2010/01/31,中山,6.7,1.44,-,13.9,32,116,68.0,82.85,39.51,43.33,2.877,0.587,2.29,22.02,71.75,83.0
4,臺北市,2010/01/31,萬華,4.7,1.36,-,16.1,39,88,60.0,72.38,31.42,40.95,-,-,-,21.52,74.97,69.0
5,臺北市,2010/01/31,陽明,3.3,0.33,404.25,54.0,62,36,28.0,6.85,1.01,5.84,-,-,-,16.65,76.41,54.0
6,臺北市,2010/01/31,士林,5.6,1.02,-,20.8,52,98,54.0,54.31,21.37,32.94,-,-,-,20.82,75.52,74.0
7,臺北市,2010/01/30,松山,6.3,0.87,419.48,24.5,43,121,64.0,62.7,23.58,39.11,2.162,0.328,1.83,20.09,74.98,86.0
8,臺北市,2010/01/30,古亭,4.7,0.95,-,26.5,49,113,67.0,47.2,14.2,33.0,2.416,0.389,2.03,20.09,78.02,82.0
9,臺北市,2010/01/30,中山,6.3,1.05,-,23.9,38,127,71.0,49.87,18.54,31.34,2.478,0.397,2.08,20.37,76.47,88.0
10,臺北市,2010/01/30,萬華,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,25.0
11,臺北市,2010/01/30,陽明,3.0,0.43,400.88,50.5,59,38,28.0,8.01,1.34,6.65,-,-,-,15.43,89.88,68.0
12,臺北市,2010/01/30,士林,5.2,0.78,-,34.2,52,109,57.0,34.1,9.92,24.18,-,-,-,19.79,77.05,80.0
13,臺北市,2010/01/29,松山,3.6,0.81,408.9,28.9,36,93,57.0,33.02,5.58,27.42,1.968,0.213,1.75,19.19,75.19,72.0
14,臺北市,2010/01/29,古亭,3.4,0.82,-,31.5,37,89,58.0,31.38,6.51,24.88,2.103,0.172,1.93,19.31,77.91,70.0
15,臺北市,2010/01/29,中山,4.6,0.92,-,28.4,34,103,58.0,31.79,5.97,25.84,2.205,0.231,1.97,19.68,74.53,76.0
