序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
1,臺北市,2008/11/30,松山,6.3,0.45,395.0,22.2,32,61,33.0,28.6,4.39,24.21,2.044,0.159,1.89,18.21,56.56,56.0
2,臺北市,2008/11/30,古亭,4.1,0.41,-,32.2,36,-,19.0,22.1,3.65,18.45,1.992,0.112,1.88,19.78,63.99,32.0
3,臺北市,2008/11/30,中山,5.4,0.52,-,25.2,33,-,37.0,32.29,6.35,25.94,2.101,0.178,1.92,17.76,57.52,32.0
4,臺北市,2008/11/30,萬華,4.8,0.53,-,26.0,35,61,33.0,29.63,5.05,24.58,-,-,-,18.16,59.69,56.0
5,臺北市,2008/11/30,陽明,3.8,0.24,385.52,48.1,52,39,22.0,3.31,0.52,2.76,-,-,-,11.08,81.67,45.0
6,臺北市,2008/11/30,士林,3.7,0.31,-,43.3,47,59,25.0,11.15,2.22,8.91,-,-,-,18.46,55.16,54.0
7,臺北市,2008/11/29,松山,4.2,0.57,404.44,17.3,36,54,29.0,43.92,15.58,28.34,2.315,0.267,2.05,15.64,56.71,52.0
8,臺北市,2008/11/29,古亭,4.0,0.48,-,20.5,31,-,21.0,35.18,10.89,24.29,2.118,0.188,1.93,17.33,63.03,32.0
9,臺北市,2008/11/29,中山,5.2,0.8,-,13.3,32,54,35.0,64.41,27.59,36.82,2.383,0.334,2.05,15.43,56.71,52.0
10,臺北市,2008/11/29,萬華,3.8,0.5,-,22.1,36,42,27.0,28.18,5.78,22.39,-,-,-,15.76,58.06,42.0
11,臺北市,2008/11/29,陽明,3.6,0.19,385.44,46.3,57,25,16.0,4.29,1.49,2.82,-,-,-,9.11,78.61,49.0
12,臺北市,2008/11/29,士林,3.7,0.48,-,23.6,41,51,23.0,29.84,7.76,22.09,-,-,-,15.21,58.96,50.0
13,臺北市,2008/11/28,松山,4.1,0.4,392.35,23.4,29,69,33.0,23.24,4.15,19.09,2.035,0.147,1.89,15.13,45.8,60.0
14,臺北市,2008/11/28,古亭,3.9,0.47,-,20.9,25,70,18.0,32.47,11.77,20.7,2.05,0.156,1.89,16.71,56.17,60.0
15,臺北市,2008/11/28,中山,5.0,0.64,-,20.3,31,71,36.0,43.52,18.04,25.47,2.137,0.237,1.9,14.76,47.57,60.0
16,臺北市,2008/11/28,萬華,4.3,0.49,-,25.6,33,63,30.0,24.48,5.83,18.65,-,-,-,15.32,47.97,56.0
17,臺北市,2008/11/28,陽明,3.8,0.21,386.22,38.9,41,41,20.0,3.8,0.54,3.23,-,-,-,7.05,77.57,41.0
18,臺北市,2008/11/28,士林,4.4,0.37,-,29.1,37,63,22.0,18.91,4.79,14.11,-,-,-,14.87,48.17,56.0
19,臺北市,2008/11/27,松山,4.7,0.49,390.38,43.8,49,90,55.0,20.11,3.27,16.84,1.978,0.125,1.85,19.41,52.29,70.0
20,臺北市,2008/11/27,古亭,4.7,0.55,-,47.0,57,92,39.0,23.69,3.98,19.71,2.054,0.152,1.9,21.16,60.41,71.0
21,臺北市,2008/11/27,中山,5.4,0.66,-,43.0,49,93,59.0,32.34,6.95,25.39,2.094,0.2,1.89,19.08,53.61,72.0
22,臺北市,2008/11/27,萬華,4.5,0.53,-,49.0,59,83,57.0,19.72,1.67,18.05,-,-,-,19.29,55.54,66.0
