序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","平均風速 WS_HR (m/sec)","平均風向 WD_HR (degress)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2007/05/31,萬華,4.0,0.66,-,50.7,89,47,31.0,22.65,2.88,19.77,-,-,-,-,-,29.39,-,68.05,97.0,-
2,臺北市,2007/05/31,士林,4.7,0.54,-,46.3,86,57,32.0,23.55,3.16,20.38,-,-,-,-,-,28.5,-,68.95,102.0,-
3,臺北市,2007/05/31,古亭,3.5,0.73,-,41.8,83,55,31.0,34.56,6.72,27.85,2.145,0.231,1.91,-,-,27.79,-,75.05,98.0,-
4,臺北市,2007/05/31,陽明,3.1,0.24,393.81,56.6,76,35,28.0,7.62,1.26,6.36,-,-,-,-,-,22.2,-,86.31,90.0,-
5,臺北市,2007/05/31,松山,3.6,0.6,398.14,42.3,76,53,34.0,27.62,4.32,23.3,2.104,0.227,1.88,-,-,27.82,-,72.91,97.0,-
6,臺北市,2007/05/31,中山,5.5,0.78,-,41.9,75,58,35.0,38.37,7.12,31.26,2.258,0.243,2.02,-,-,28.46,-,71.77,88.0,-
7,臺北市,2007/05/30,萬華,7.7,0.62,-,24.8,43,51,27.0,29.26,5.73,23.54,-,-,-,-,-,28.29,-,71.74,50.0,-
8,臺北市,2007/05/30,士林,5.2,0.39,-,33.2,54,47,26.0,16.11,1.98,14.14,-,-,-,-,-,27.25,-,75.87,52.0,-
9,臺北市,2007/05/30,古亭,8.7,0.6,-,21.0,37,52,-,35.03,8.55,26.49,2.03,0.147,1.88,-,-,26.57,-,79.53,51.0,-
10,臺北市,2007/05/30,陽明,1.7,0.2,391.68,42.2,53,22,17.0,3.78,0.93,2.85,-,-,-,-,-,21.0,-,92.18,56.0,-
11,臺北市,2007/05/30,松山,6.9,0.52,396.57,23.2,40,44,32.0,30.01,7.28,22.72,2.074,0.197,1.88,-,-,26.1,-,81.36,44.0,-
12,臺北市,2007/05/30,中山,7.5,0.66,-,22.1,40,55,41.0,39.51,12.32,27.19,2.143,0.192,1.95,-,-,26.81,-,79.53,52.0,-
13,臺北市,2007/05/29,中山,4.9,0.81,-,15.4,32,48,25.0,49.31,24.21,25.1,2.316,0.315,2.0,-,-,29.98,-,67.15,48.0,-
14,臺北市,2007/05/29,古亭,4.0,0.55,-,18.3,39,45,-,29.97,9.76,20.2,2.079,0.221,1.86,-,-,29.21,-,68.81,45.0,-
15,臺北市,2007/05/29,萬華,3.8,0.48,-,23.4,45,42,16.0,23.23,6.66,16.57,-,-,-,-,-,30.93,-,61.49,52.0,-
16,臺北市,2007/05/29,士林,3.8,0.45,-,21.8,39,48,16.0,24.94,8.51,16.43,-,-,-,-,-,29.59,-,70.08,48.0,-
17,臺北市,2007/05/29,松山,4.9,0.57,401.34,19.7,41,46,22.0,34.15,11.85,22.3,2.138,0.272,1.87,-,-,29.57,-,66.81,48.0,-
18,臺北市,2007/05/29,陽明,-,0.13,390.8,25.4,31,16,11.0,6.15,1.65,4.5,-,-,-,-,-,22.59,-,86.28,30.0,-
