序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","風速 WIND_SPEED (m/sec)","大氣溫度 AMB_TEMP (℃)","相對濕度 RH (percent)","空氣污染指標PSI PSI"
13,臺北市,2013/09/29,陽明,1.4,0.12,399.66,31.8,34,12,10.0,3.32,1.44,1.88,-,-,-,-,21.23,97.53,32.0
14,臺北市,2013/09/29,士林,1.3,0.18,-,32.4,36,31,21.0,7.29,2.14,5.16,-,-,-,2.75,28.54,68.32,33.0
15,臺北市,2013/09/28,松山,2.7,0.3,406.03,29.4,35,28,16.0,15.71,2.16,13.55,1.89,0.088,1.8,2.52,26.3,77.78,32.0
16,臺北市,2013/09/28,古亭,2.3,0.34,-,27.0,31,37,16.0,18.27,3.4,14.87,1.94,0.089,1.85,3.27,26.76,79.07,37.0
17,臺北市,2013/09/28,中山,3.5,0.43,-,25.0,31,48,25.0,23.04,5.73,17.31,1.952,0.131,1.82,2.39,27.35,76.18,48.0
18,臺北市,2013/09/28,大同,3.1,0.99,-,-,-,50,28.0,51.82,26.63,25.18,2.214,0.328,1.89,-,-,-,50.0
19,臺北市,2013/09/28,萬華,2.7,0.33,-,23.0,28,34,17.0,22.69,4.99,17.7,-,-,-,3.4,27.16,76.9,34.0
20,臺北市,2013/09/28,陽明,0.7,0.1,392.61,40.6,45,7,6.0,3.32,1.85,1.47,-,-,-,-,20.31,99.9,39.0
21,臺北市,2013/09/28,士林,2.8,0.21,-,37.9,44,31,16.0,8.49,1.09,7.38,-,-,-,2.68,27.42,71.75,38.0
22,臺北市,2013/09/27,松山,2.8,0.35,408.54,33.0,40,33,17.0,19.21,3.13,16.06,1.912,0.114,1.8,2.37,25.09,71.37,38.0
23,臺北市,2013/09/27,古亭,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,33.0
24,臺北市,2013/09/27,中山,3.8,0.53,-,27.3,34,57,25.0,27.95,6.77,21.19,2.028,0.173,1.86,2.49,26.31,69.8,54.0
25,臺北市,2013/09/27,大同,3.2,1.15,-,-,-,54,24.0,61.77,31.49,30.28,2.313,0.392,1.92,-,-,-,52.0
26,臺北市,2013/09/27,萬華,2.8,0.36,-,28.8,34,39,17.0,23.97,5.23,18.74,-,-,-,3.19,26.05,70.11,39.0
27,臺北市,2013/09/27,陽明,0.9,0.13,389.55,47.5,51,12,7.0,2.08,1.22,0.86,-,-,-,-,18.3,99.33,44.0
28,臺北市,2013/09/27,士林,1.1,0.22,-,43.6,45,39,17.0,9.08,2.11,6.97,-,-,-,2.76,25.95,68.19,39.0
29,臺北市,2013/09/26,松山,1.2,0.27,405.44,35.6,46,42,15.0,16.15,2.68,13.47,1.872,0.08,1.79,2.26,24.97,67.66,43.0
30,臺北市,2013/09/26,古亭,1.6,0.35,-,30.1,39,47,15.0,20.63,4.25,16.38,1.965,0.093,1.87,2.78,24.95,73.89,47.0
31,臺北市,2013/09/26,中山,-,-,-,-,25,-,-,-,-,-,-,-,-,-,-,-,25.0
32,臺北市,2013/09/26,大同,2.1,1.1,-,-,-,56,26.0,58.64,30.82,27.82,2.237,0.354,1.88,-,-,-,53.0
33,臺北市,2013/09/26,萬華,1.8,0.36,-,27.9,38,44,17.0,23.22,4.78,18.45,-,-,-,2.62,25.79,67.32,44.0
34,臺北市,2013/09/26,陽明,1.1,0.12,391.61,46.1,50,18,8.0,2.29,1.33,0.93,-,-,-,-,18.13,96.83,43.0
35,臺北市,2013/09/26,士林,1.2,0.2,-,41.2,49,45,18.0,11.06,3.74,7.32,-,-,-,2.97,25.54,66.38,45.0
36,臺北市,2013/09/25,松山,3.1,0.31,408.36,25.7,37,35,24.0,17.46,3.12,14.34,1.911,0.116,1.8,2.56,27.11,73.74,35.0
37,臺北市,2013/09/25,古亭,2.0,0.35,-,26.6,35,43,21.0,17.79,4.57,13.21,1.939,0.098,1.84,2.86,27.83,73.37,43.0
38,臺北市,2013/09/25,中山,4.0,0.47,-,21.9,29,59,31.0,25.12,7.63,17.49,2.013,0.172,1.84,2.39,28.73,69.75,54.0
39,臺北市,2013/09/25,大同,3.9,1.25,-,-,-,53,32.0,57.01,31.55,25.46,2.322,0.42,1.9,-,-,-,52.0
40,臺北市,2013/09/25,萬華,4.0,0.36,-,22.1,30,42,23.0,22.4,5.41,16.99,-,-,-,2.7,28.23,70.99,42.0
41,臺北市,2013/09/25,陽明,1.1,0.12,389.26,38.5,42,19,13.0,3.19,1.9,1.28,-,-,-,-,21.0,95.18,37.0
42,臺北市,2013/09/25,士林,2.1,0.22,-,34.3,40,42,24.0,9.52,2.59,6.92,-,-,-,2.51,28.27,68.09,42.0
43,臺北市,2013/09/24,松山,2.5,0.31,400.1,22.1,30,29,18.0,15.79,3.68,12.1,1.879,0.107,1.77,2.52,28.4,67.49,29.0
44,臺北市,2013/09/24,古亭,1.5,0.3,-,22.0,27,38,16.0,16.92,4.79,12.14,1.897,0.087,1.81,3.17,29.17,65.23,38.0
45,臺北市,2013/09/24,中山,2.9,0.51,-,17.7,23,46,25.0,25.57,8.35,17.22,1.967,0.165,1.8,2.51,29.32,67.36,46.0
46,臺北市,2013/09/24,大同,4.5,1.07,-,-,-,44,23.0,55.76,33.22,22.54,2.239,0.366,1.87,-,-,-,44.0
47,臺北市,2013/09/24,萬華,2.7,0.34,-,17.6,22,29,16.0,21.12,5.85,15.26,-,-,-,3.38,29.3,66.73,29.0
48,臺北市,2013/09/24,陽明,1.9,0.06,384.15,31.7,34,15,8.0,2.79,1.4,1.39,-,-,-,-,21.42,96.79,30.0
49,臺北市,2013/09/24,士林,2.1,0.17,-,29.9,31,35,15.0,10.78,3.59,7.18,-,-,-,2.96,29.23,66.29,35.0
50,臺北市,2013/09/23,松山,1.3,0.36,401.96,13.5,16,20,13.0,19.97,7.89,12.06,1.893,0.128,1.77,1.92,28.08,73.72,20.0
51,臺北市,2013/09/23,古亭,1.4,0.3,-,16.0,17,28,12.0,15.53,6.04,9.48,1.855,0.074,1.78,3.06,28.75,72.14,28.0
52,臺北市,2013/09/23,中山,1.5,0.55,-,10.9,14,38,21.0,27.91,13.32,14.6,1.965,0.181,1.78,2.64,28.98,73.21,38.0
53,臺北市,2013/09/23,大同,3.1,1.3,-,-,-,-,24.0,63.14,43.15,19.99,2.341,0.463,1.88,-,-,-,21.0
54,臺北市,2013/09/23,萬華,1.4,0.38,-,11.5,14,23,14.0,24.72,10.57,14.15,-,-,-,2.82,29.32,70.44,23.0
55,臺北市,2013/09/23,陽明,1.1,0.08,386.87,23.1,27,11,6.0,2.63,1.33,1.28,-,-,-,-,22.09,98.57,26.0
56,臺北市,2013/09/23,士林,0.8,0.16,-,22.7,25,25,13.0,11.17,4.99,6.18,-,-,-,3.42,29.09,70.53,26.0
57,臺北市,2013/09/22,松山,0.6,0.26,399.3,17.7,22,15,12.0,12.47,3.13,9.33,1.805,0.073,1.73,2.72,27.71,77.02,20.0
58,臺北市,2013/09/22,古亭,1.1,0.16,-,20.8,23,23,9.0,8.18,2.29,5.89,1.792,0.027,1.77,4.39,27.99,79.75,23.0
59,臺北市,2013/09/22,中山,1.7,0.34,-,13.6,18,32,20.0,19.54,6.94,12.59,1.877,0.104,1.77,3.66,28.34,78.1,32.0
60,臺北市,2013/09/22,大同,1.9,0.74,-,-,-,-,22.0,44.78,27.36,17.42,2.066,0.221,1.85,-,-,-,13.0
61,臺北市,2013/09/22,萬華,1.1,0.22,-,16.0,19,20,13.0,13.96,3.87,10.09,-,-,-,3.71,28.88,74.34,20.0
62,臺北市,2013/09/22,陽明,0.9,0.1,386.07,24.5,29,9,5.0,1.9,1.5,0.36,-,-,-,-,22.07,99.96,27.0
63,臺北市,2013/09/22,士林,0.9,0.11,-,26.1,29,22,12.0,6.02,2.5,3.52,-,-,-,4.98,28.6,74.19,28.0
64,臺北市,2013/09/21,松山,0.5,0.1,394.94,18.0,19,20,11.0,6.64,2.39,4.25,1.713,0.022,1.69,3.94,28.0,79.85,20.0
65,臺北市,2013/09/21,古亭,0.5,0.13,-,17.7,18,27,10.0,6.5,2.69,3.81,1.756,0.018,1.74,5.2,27.79,87.18,27.0
66,臺北市,2013/09/21,中山,1.4,0.22,-,13.3,15,36,21.0,13.34,5.39,7.95,1.78,0.057,1.72,3.94,28.44,82.61,36.0
67,臺北市,2013/09/21,大同,1.8,0.41,-,-,-,-,15.0,25.56,14.61,10.96,1.9,0.111,1.79,-,-,-,6.0
68,臺北市,2013/09/21,萬華,1.2,0.16,-,13.5,15,24,12.0,11.24,3.58,7.66,-,-,-,5.14,28.61,81.35,24.0
69,臺北市,2013/09/21,陽明,1.6,0.05,383.6,21.0,22,5,3.0,-,-,-,-,-,-,-,22.77,100.0,19.0
70,臺北市,2013/09/21,士林,0.8,0.09,-,22.9,23,24,13.0,3.2,0.73,2.45,-,-,-,5.45,28.44,78.83,24.0
71,臺北市,2013/09/20,松山,1.7,0.16,395.27,23.3,32,25,12.0,8.1,1.58,6.52,1.771,0.033,1.74,3.1,27.16,83.55,31.0
72,臺北市,2013/09/20,古亭,1.6,0.22,-,17.0,23,30,12.0,13.23,3.53,9.7,1.861,0.061,1.8,3.01,26.82,94.84,30.0
73,臺北市,2013/09/20,中山,1.6,0.28,-,17.8,25,42,22.0,15.72,6.09,9.63,1.858,0.083,1.77,2.62,28.56,79.29,42.0
74,臺北市,2013/09/20,大同,1.5,0.62,-,-,-,35,21.0,31.63,17.67,13.96,2.032,0.191,1.84,-,-,-,35.0
75,臺北市,2013/09/20,萬華,1.5,0.22,-,16.5,23,29,12.0,14.62,4.7,9.91,-,-,-,3.33,28.27,81.13,29.0
76,臺北市,2013/09/20,陽明,1.2,0.05,379.21,26.4,35,7,3.0,2.23,1.07,1.15,-,-,-,-,21.86,99.98,33.0
77,臺北市,2013/09/20,士林,1.3,0.14,-,26.5,33,31,14.0,6.28,2.73,3.55,-,-,-,3.0,28.35,76.25,33.0
78,臺北市,2013/09/19,松山,2.0,0.2,398.31,19.3,23,30,15.0,11.94,2.86,9.08,1.812,0.059,1.75,2.53,27.42,82.09,30.0
79,臺北市,2013/09/19,古亭,2.3,0.26,-,16.8,21,36,14.0,13.72,3.47,10.26,1.857,0.066,1.79,3.02,27.74,86.74,36.0
80,臺北市,2013/09/19,中山,2.5,0.35,-,16.1,19,52,25.0,18.44,6.82,11.62,1.869,0.099,1.77,2.59,28.5,80.19,51.0
81,臺北市,2013/09/19,大同,2.6,0.75,-,-,-,45,25.0,39.08,22.43,16.65,2.072,0.23,1.84,-,-,-,45.0
82,臺北市,2013/09/19,萬華,2.0,0.24,-,15.4,18,33,15.0,17.09,5.46,11.64,-,-,-,3.48,28.41,80.92,33.0
83,臺北市,2013/09/19,陽明,0.6,0.05,378.58,26.9,29,9,4.0,2.74,2.19,0.5,-,-,-,-,21.49,99.82,28.0
84,臺北市,2013/09/19,士林,1.7,0.13,-,27.2,29,31,15.0,5.23,1.3,3.92,-,-,-,3.15,29.03,71.4,31.0
85,臺北市,2013/09/18,松山,1.8,0.42,412.05,13.7,25,27,15.0,27.92,8.72,19.2,1.967,0.167,1.8,1.88,26.52,82.33,27.0
86,臺北市,2013/09/18,古亭,1.7,0.46,-,16.6,31,33,13.0,24.81,9.58,15.24,1.962,0.145,1.82,2.42,26.99,83.42,33.0
87,臺北市,2013/09/18,中山,2.6,0.6,-,13.1,26,46,24.0,34.72,14.44,20.27,2.038,0.22,1.82,2.29,27.55,82.31,46.0
88,臺北市,2013/09/18,大同,3.1,1.63,-,-,-,45,25.0,80.53,53.63,26.89,2.488,0.582,1.91,-,-,-,45.0
89,臺北市,2013/09/18,萬華,2.2,0.46,-,12.3,26,30,22.0,31.95,12.74,19.2,-,-,-,2.7,27.62,81.48,30.0
90,臺北市,2013/09/18,陽明,0.6,0.06,382.2,31.9,42,9,4.0,3.07,2.4,0.66,-,-,-,-,21.36,100.0,40.0
91,臺北市,2013/09/18,士林,2.0,0.19,-,27.0,42,26,12.0,13.23,3.57,9.64,-,-,-,2.75,27.31,78.68,41.0
92,臺北市,2013/09/17,松山,3.5,0.37,416.35,34.5,46,41,23.0,18.82,2.08,16.73,1.977,0.122,1.86,2.56,26.8,67.02,41.0
93,臺北市,2013/09/17,古亭,2.4,0.35,-,37.4,41,46,22.0,18.06,3.59,14.47,1.953,0.094,1.86,3.34,27.44,69.28,46.0
94,臺北市,2013/09/17,中山,1.5,0.55,-,29.1,38,63,30.0,29.62,6.86,22.76,2.073,0.185,1.89,2.51,28.29,64.92,56.0
95,臺北市,2013/09/17,大同,3.2,1.11,-,-,-,59,30.0,56.97,26.78,30.2,2.296,0.368,1.93,-,-,-,54.0
96,臺北市,2013/09/17,萬華,3.1,0.37,-,32.6,40,45,29.0,22.06,4.15,17.92,-,-,-,3.09,27.94,65.82,45.0
97,臺北市,2013/09/17,陽明,1.5,0.14,391.01,49.6,55,21,12.0,-,-,-,-,-,-,-,19.82,99.04,49.0
98,臺北市,2013/09/17,士林,3.1,0.22,-,48.3,54,48,21.0,10.65,1.96,8.67,-,-,-,2.65,27.9,65.48,50.0
99,臺北市,2013/09/16,松山,2.9,0.36,412.34,38.7,45,47,28.0,13.95,1.85,12.06,1.943,0.092,1.85,2.47,27.55,69.21,47.0
100,臺北市,2013/09/16,古亭,2.2,0.35,-,36.3,40,56,27.0,14.79,2.77,12.01,1.958,0.081,1.88,3.2,28.1,70.78,53.0
101,臺北市,2013/09/16,中山,3.1,0.54,-,31.7,36,69,35.0,24.54,6.41,18.13,2.03,0.146,1.88,2.45,28.67,67.83,60.0
102,臺北市,2013/09/16,大同,3.2,1.1,-,-,-,58,36.0,48.43,23.32,25.11,2.263,0.341,1.92,-,-,-,54.0
103,臺北市,2013/09/16,萬華,4.0,0.41,-,31.8,37,52,40.0,20.0,3.27,16.73,-,-,-,2.98,28.43,68.89,51.0
104,臺北市,2013/09/16,陽明,0.7,0.18,392.11,49.4,51,30,23.0,2.05,0.49,1.54,-,-,-,-,20.63,97.85,46.0
105,臺北市,2013/09/16,士林,1.4,0.28,-,46.8,49,49,31.0,10.4,2.25,8.14,-,-,-,2.43,28.31,66.68,49.0
106,臺北市,2013/09/15,松山,2.8,0.25,411.98,13.3,20,19,12.0,15.85,3.73,12.12,1.857,0.085,1.77,2.05,28.15,75.44,19.0
107,臺北市,2013/09/15,古亭,2.2,0.23,-,13.5,18,24,14.0,15.39,5.07,10.32,1.868,0.081,1.79,2.59,28.79,75.28,24.0
108,臺北市,2013/09/15,中山,2.6,0.34,-,12.4,16,33,20.0,20.31,7.64,12.67,1.892,0.106,1.79,2.1,29.39,72.53,33.0
109,臺北市,2013/09/15,大同,4.3,0.88,-,-,-,29,21.0,46.61,28.54,18.08,2.123,0.282,1.84,-,-,-,29.0
110,臺北市,2013/09/15,萬華,3.4,0.27,-,11.4,15,22,-,19.91,6.22,13.69,-,-,-,2.29,29.2,73.74,22.0
111,臺北市,2013/09/15,陽明,1.1,0.06,390.45,23.6,37,10,7.0,2.58,1.18,1.39,-,-,-,-,22.08,95.33,34.0
112,臺北市,2013/09/15,士林,4.0,0.17,-,20.4,28,22,14.0,10.55,3.3,7.24,-,-,-,1.83,28.92,71.33,30.0
113,臺北市,2013/09/14,松山,5.4,0.26,415.88,9.4,19,13,12.0,19.68,7.83,11.85,1.879,0.109,1.77,2.07,29.52,69.33,22.0
114,臺北市,2013/09/14,古亭,3.7,0.32,-,9.6,20,23,10.0,21.68,9.11,12.57,1.884,0.119,1.77,2.55,30.13,70.14,23.0
115,臺北市,2013/09/14,中山,4.1,0.46,-,8.6,18,32,20.0,28.6,14.0,14.6,1.965,0.165,1.8,1.89,30.89,66.01,32.0
116,臺北市,2013/09/14,大同,4.3,1.13,-,-,-,29,23.0,55.36,38.65,16.72,2.267,0.399,1.87,-,-,-,29.0
117,臺北市,2013/09/14,萬華,4.0,0.37,-,8.0,19,22,17.0,26.1,11.79,14.31,-,-,-,2.42,30.68,67.43,22.0
118,臺北市,2013/09/14,陽明,1.4,0.06,391.69,16.4,21,8,7.0,3.25,1.5,1.75,-,-,-,-,23.27,94.56,22.0
119,臺北市,2013/09/14,士林,4.0,0.18,-,14.3,26,21,13.0,12.18,4.62,7.56,-,-,-,2.12,30.44,66.5,34.0
120,臺北市,2013/09/13,松山,2.2,0.35,416.24,5.9,13,13,12.0,23.58,13.58,10.0,1.908,0.146,1.76,1.81,29.71,66.35,13.0
121,臺北市,2013/09/13,古亭,1.5,0.33,-,7.5,14,22,12.0,19.77,9.67,10.1,1.888,0.124,1.76,2.6,30.3,66.46,22.0
122,臺北市,2013/09/13,中山,1.6,0.46,-,6.5,12,32,21.0,26.76,16.0,10.76,1.956,0.184,1.77,2.68,30.89,63.41,32.0
123,臺北市,2013/09/13,大同,3.1,1.54,-,-,-,27,21.0,70.25,54.96,15.3,2.36,0.514,1.85,-,-,-,32.0
124,臺北市,2013/09/13,萬華,2.3,0.39,-,6.4,13,16,9.0,24.97,12.64,12.33,-,-,-,2.62,30.71,64.88,16.0
125,臺北市,2013/09/13,陽明,0.7,0.05,389.15,11.6,14,6,4.0,2.93,1.49,1.45,-,-,-,-,23.89,90.66,13.0
126,臺北市,2013/09/13,士林,1.5,0.22,-,11.9,19,25,13.0,15.67,6.58,9.09,-,-,-,2.55,30.5,64.47,25.0
127,臺北市,2013/09/12,松山,2.0,0.23,408.33,9.2,13,12,10.0,15.16,7.11,8.04,1.812,0.085,1.73,2.24,30.09,64.59,12.0
128,臺北市,2013/09/12,古亭,1.2,0.22,-,9.6,12,18,13.0,13.48,6.66,6.82,1.798,0.069,1.73,3.21,30.68,65.24,18.0
129,臺北市,2013/09/12,中山,2.5,0.38,-,7.9,12,28,21.0,20.99,12.66,8.33,1.904,0.136,1.77,3.03,31.04,64.28,28.0
130,臺北市,2013/09/12,大同,2.7,1.29,-,-,-,26,17.0,64.33,50.81,13.53,2.276,0.445,1.83,-,-,-,26.0
131,臺北市,2013/09/12,萬華,2.3,0.29,-,7.6,11,16,11.0,19.66,10.71,8.94,-,-,-,2.87,31.07,64.54,16.0
132,臺北市,2013/09/12,陽明,1.0,0.05,390.28,13.6,15,6,5.0,3.08,1.41,1.67,-,-,-,-,23.93,92.35,14.0
133,臺北市,2013/09/12,士林,0.8,0.14,-,13.6,18,19,10.0,9.96,4.58,5.38,-,-,-,3.03,30.75,65.04,19.0
134,臺北市,2013/09/11,松山,2.1,0.31,409.58,14.2,21,17,14.0,16.39,5.4,10.97,1.906,0.113,1.79,2.1,29.49,67.38,21.0
135,臺北市,2013/09/11,古亭,1.5,0.31,-,14.4,19,23,13.0,16.57,6.69,9.89,1.859,0.088,1.77,2.97,30.42,65.64,23.0
136,臺北市,2013/09/11,中山,2.0,0.48,-,12.2,17,39,20.0,26.73,12.42,14.3,1.969,0.159,1.81,2.46,30.55,66.27,39.0
137,臺北市,2013/09/11,大同,2.9,1.19,-,-,-,30,20.0,56.47,38.36,18.11,2.288,0.408,1.88,-,-,-,30.0
138,臺北市,2013/09/11,萬華,1.9,0.35,-,10.2,14,23,13.0,21.72,8.74,12.98,-,-,-,3.11,30.52,66.54,23.0
139,臺北市,2013/09/11,陽明,2.0,0.08,389.73,19.4,22,10,10.0,3.68,1.72,1.95,-,-,-,-,22.79,96.88,22.0
140,臺北市,2013/09/11,士林,1.4,0.18,-,21.1,25,23,15.0,12.34,5.64,6.69,-,-,-,2.82,30.39,66.07,26.0
141,臺北市,2013/09/10,松山,2.6,0.31,408.22,17.1,25,25,21.0,16.34,4.82,11.52,1.921,0.102,1.82,2.26,29.14,69.01,25.0
142,臺北市,2013/09/10,古亭,2.3,0.37,-,15.7,23,32,20.0,20.31,6.93,13.38,1.922,0.112,1.81,2.57,29.89,68.56,32.0
143,臺北市,2013/09/10,中山,1.8,0.51,-,14.5,20,42,28.0,24.66,9.19,15.47,2.003,0.161,1.84,2.4,30.34,67.06,42.0
144,臺北市,2013/09/10,大同,2.7,1.22,-,-,-,42,29.0,58.42,36.44,21.98,2.35,0.436,1.91,-,-,-,42.0
145,臺北市,2013/09/10,萬華,2.8,0.38,-,14.3,22,28,21.0,23.82,7.35,16.47,-,-,-,2.84,30.19,68.3,28.0
146,臺北市,2013/09/10,陽明,1.4,0.12,394.43,25.3,31,13,13.0,2.96,1.44,1.52,-,-,-,-,22.89,95.55,28.0
147,臺北市,2013/09/10,士林,2.5,0.21,-,25.9,32,28,19.0,10.71,3.51,7.2,-,-,-,2.14,30.15,66.55,32.0
148,臺北市,2013/09/09,松山,1.8,0.31,406.95,15.6,24,33,26.0,17.52,5.25,12.27,1.952,0.117,1.83,2.33,28.59,68.92,33.0
149,臺北市,2013/09/09,古亭,1.6,0.3,-,17.7,22,36,26.0,15.24,4.63,10.6,1.882,0.09,1.79,3.21,29.43,67.74,36.0
150,臺北市,2013/09/09,中山,1.2,0.47,-,15.1,20,56,37.0,24.58,9.5,15.08,2.02,0.155,1.87,2.55,29.62,69.3,53.0
151,臺北市,2013/09/09,大同,3.0,1.04,-,-,-,47,33.0,51.8,31.81,19.99,2.265,0.365,1.9,-,-,-,47.0
152,臺北市,2013/09/09,萬華,2.1,0.35,-,13.9,20,35,27.0,23.44,7.69,15.76,-,-,-,3.31,29.5,69.31,35.0
153,臺北市,2013/09/09,陽明,2.0,0.11,394.54,26.1,28,18,15.0,1.78,1.06,0.72,-,-,-,-,22.15,96.3,24.0
154,臺北市,2013/09/09,士林,2.2,0.19,-,26.2,28,40,26.0,10.22,3.99,6.23,-,-,-,2.72,29.35,68.19,40.0
155,臺北市,2013/09/08,松山,1.9,0.27,400.83,23.0,33,31,28.0,13.11,2.8,10.31,1.904,0.077,1.83,2.49,28.14,67.87,31.0
156,臺北市,2013/09/08,古亭,1.8,0.23,-,25.0,31,38,26.0,11.22,2.61,8.61,1.842,0.053,1.79,3.21,28.86,66.62,38.0
157,臺北市,2013/09/08,中山,2.8,0.39,-,19.6,26,50,35.0,21.45,7.05,14.4,1.975,0.119,1.86,2.34,29.1,68.32,50.0
158,臺北市,2013/09/08,大同,2.9,0.68,-,-,-,44,31.0,39.37,20.51,18.87,2.108,0.219,1.89,-,-,-,44.0
159,臺北市,2013/09/08,萬華,2.6,0.28,-,19.5,27,36,26.0,18.93,4.65,14.28,-,-,-,3.29,29.01,67.26,36.0
160,臺北市,2013/09/08,陽明,1.3,0.12,394.95,33.0,38,17,15.0,2.72,1.16,1.55,-,-,-,-,21.18,98.56,32.0
161,臺北市,2013/09/08,士林,1.6,0.19,-,30.5,35,40,26.0,10.18,3.12,7.07,-,-,-,2.77,28.66,69.31,40.0
162,臺北市,2013/09/07,松山,1.9,0.29,400.19,28.2,39,21,16.0,14.83,2.64,12.19,1.93,0.098,1.83,2.5,28.15,67.92,36.0
163,臺北市,2013/09/07,古亭,1.7,0.3,-,22.5,28,30,15.0,17.83,3.79,14.04,1.906,0.09,1.82,2.94,28.82,67.95,30.0
164,臺北市,2013/09/07,中山,2.6,0.42,-,24.2,30,40,27.0,23.81,7.63,16.18,1.993,0.13,1.86,2.48,29.28,66.87,40.0
165,臺北市,2013/09/07,大同,2.2,0.74,-,-,-,33,22.0,39.0,17.37,21.63,2.154,0.246,1.91,-,-,-,33.0
166,臺北市,2013/09/07,萬華,2.7,0.33,-,23.2,30,26,15.0,21.78,5.03,16.75,-,-,-,3.34,29.04,67.82,28.0
167,臺北市,2013/09/07,陽明,1.3,0.13,393.61,38.4,39,12,9.0,2.43,1.56,0.86,-,-,-,-,21.65,95.8,35.0
168,臺北市,2013/09/07,士林,2.3,0.21,-,36.0,40,28,15.0,11.26,3.3,7.95,-,-,-,2.61,29.02,66.28,36.0
169,臺北市,2013/09/06,松山,3.8,0.35,403.44,28.0,41,25,17.0,17.92,3.24,14.69,1.98,0.123,1.86,2.57,28.3,69.58,40.0
170,臺北市,2013/09/06,古亭,1.9,0.38,-,17.9,23,30,16.0,19.44,3.52,15.92,1.945,0.12,1.83,2.79,29.15,69.06,30.0
171,臺北市,2013/09/06,中山,2.0,0.54,-,25.2,32,42,26.0,27.68,8.38,19.3,2.047,0.175,1.87,2.25,29.72,66.19,42.0
172,臺北市,2013/09/06,大同,4.8,1.13,-,-,-,39,24.0,60.9,31.6,29.3,2.414,0.478,1.94,-,-,-,39.0
173,臺北市,2013/09/06,萬華,3.0,0.4,-,24.7,34,26,18.0,25.27,5.51,19.75,-,-,-,3.06,29.43,67.71,34.0
174,臺北市,2013/09/06,陽明,1.7,0.13,387.29,42.3,44,13,10.0,2.27,0.48,1.75,-,-,-,-,22.28,94.32,39.0
175,臺北市,2013/09/06,士林,2.4,0.24,-,39.2,42,31,18.0,12.76,3.54,9.23,-,-,-,2.46,29.51,65.15,41.0
176,臺北市,2013/09/05,松山,4.2,0.43,407.22,28.5,47,34,21.0,22.81,3.72,19.09,2.034,0.159,1.88,2.27,26.75,69.41,43.0
