序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2016/12/31,松山,2.5,0.36,422.73,23.4,29,9,21.95,4.05,17.9,1.951,0.122,1.83,1.93,1.56,20.3,-,-,77.85,-
2,臺北市,2016/12/31,古亭,1.6,0.34,-,29.3,20,11,17.63,3.63,14,1.971,0.082,1.889,2.75,2.57,20.96,-,-,75.53,-
3,臺北市,2016/12/31,中山,2.1,0.5,-,21.9,27,10,27.5,6.55,20.95,2.062,0.151,1.911,2.35,2.01,21.07,-,-,80.87,-
4,臺北市,2016/12/31,大同,2.9,0.74,-,-,41,5,50.72,25.24,25.48,2.213,0.219,1.994,-,-,-,-,-,-,-
5,臺北市,2016/12/31,萬華,1.9,0.39,-,21.8,28,9,27.22,5.74,21.49,-,-,-,2.66,2.52,21.39,-,-,75.86,-
6,臺北市,2016/12/31,陽明,1.4,0.15,410.04,41.8,6,2,2.62,0.28,2.26,-,-,-,-,-,13.74,0.5,4.04,99.22,169.85
7,臺北市,2016/12/31,士林,3.2,0.21,-,37,20,8,8.97,1.56,7.41,-,-,-,3.09,2.8,21.14,-,-,73.06,-
8,臺北市,2016/12/30,松山,2.7,0.51,430.11,20.1,43,18,35.29,9.09,26.2,2.014,0.166,1.847,1.93,1.41,17.84,-,-,68.4,-
9,臺北市,2016/12/30,古亭,1.2,0.36,-,34.3,37,18,14.84,3.33,11.51,1.954,0.074,1.88,3.56,3.32,18.32,-,-,68.76,-
10,臺北市,2016/12/30,中山,3.1,0.64,-,20.1,46,21,39.12,11.49,27.63,2.101,0.188,1.912,2.8,2.57,18.63,-,-,72.04,-
11,臺北市,2016/12/30,大同,3.7,0.95,-,-,55,12,72.83,42.61,30.22,2.308,0.297,2.011,-,-,-,-,-,-,-
12,臺北市,2016/12/30,萬華,2.6,0.51,-,16.7,44,21,35.05,9.11,25.93,-,-,-,3.15,2.9,18.84,-,-,66.69,-
13,臺北市,2016/12/30,陽明,0.5,0.23,413.25,43.6,17,12,2.06,0.69,1.35,-,-,-,-,-,10.24,0.5,3.75,96.24,222.2
14,臺北市,2016/12/30,士林,4.2,0.28,-,38.5,36,14,11.04,2.09,8.95,-,-,-,3.6,3.32,18.35,-,-,65.59,-
15,臺北市,2016/12/29,松山,1.9,0.29,424.18,29.7,32,9,20.32,3.73,16.58,1.896,0.086,1.81,2.11,1.63,15.89,-,-,69.08,-
16,臺北市,2016/12/29,古亭,1.9,0.33,-,29.9,32,15,21.63,3.91,17.72,1.985,0.098,1.887,2.7,2.32,15.97,-,-,71.35,-
17,臺北市,2016/12/29,中山,1.3,0.48,-,24.2,29,13,30.57,8.17,22.4,2.037,0.143,1.894,2.09,1.59,16.47,-,-,73.76,-
18,臺北市,2016/12/29,大同,2.2,0.67,-,-,45,8,50.78,24.39,26.4,2.172,0.201,1.971,-,-,-,-,-,-,-
19,臺北市,2016/12/29,萬華,1.2,0.35,-,25.1,29,12,25.85,4.53,21.31,-,-,-,2.5,2.38,16.72,-,-,67.67,-
20,臺北市,2016/12/29,陽明,0.4,0.16,412.16,44.2,14,7,2.35,0.88,1.47,-,-,-,-,-,7.8,0.5,4.13,96.12,87.15
21,臺北市,2016/12/29,士林,1.4,0.22,-,39.5,26,11,9.43,1.97,7.46,-,-,-,2.29,1.54,16.16,-,-,66.02,-
22,臺北市,2016/12/28,松山,1.3,0.34,423.89,22.9,23,8,26.9,5.67,21.23,1.957,0.112,1.845,1.42,0.92,15.01,-,-,76.07,-
23,臺北市,2016/12/28,古亭,1.4,0.32,-,28.1,20,9,20.03,4,16.02,1.993,0.09,1.903,2.5,2.31,14.83,-,-,80.12,-
