序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2016/03/31,松山,-,-,-,-,-,49,-,-,-,-,-,-,-,-,-,-,-,-,-
2,臺北市,2016/03/31,松山,3,0.97,453.95,14.9,94,-,54.58,17.11,37.48,2.432,0.373,2.058,1.26,0.83,19.62,-,-,78.43,-
3,臺北市,2016/03/31,古亭,-,-,-,-,-,55,-,-,-,-,-,-,-,-,-,-,-,-,-
4,臺北市,2016/03/31,古亭,3.2,0.97,-,18.5,-,-,47.83,12.47,35.36,2.39,0.353,2.037,1.59,1.1,19.67,-,-,82.28,-
5,臺北市,2016/03/31,中山,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-
6,臺北市,2016/03/31,中山,3.3,1.22,-,12.3,100,-,66.32,23.77,42.56,2.49,0.468,2.022,1.34,0.85,20.42,-,-,81.61,-
7,臺北市,2016/03/31,大同,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-
8,臺北市,2016/03/31,大同,4.1,2.25,-,-,112,-,104.18,62.15,42.03,3.025,0.787,2.238,-,-,-,-,-,-,-
9,臺北市,2016/03/31,萬華,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,-,-
10,臺北市,2016/03/31,萬華,3.7,1.09,-,15.2,92,-,54.01,15.27,38.74,-,-,-,1.27,0.85,20.43,-,-,79.31,-
11,臺北市,2016/03/31,陽明,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-
12,臺北市,2016/03/31,陽明,2.6,0.31,422.4,51.3,25,-,3.79,0.34,3.37,-,-,-,-,-,15.14,0,0,97.28,0
13,臺北市,2016/03/31,士林,-,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-,-,-,-
14,臺北市,2016/03/31,士林,2.5,0.78,-,15.6,89,-,39.33,7.1,32.23,-,-,-,1.22,0.93,19.74,-,-,79.84,-
15,臺北市,2016/03/30,松山,-,-,-,-,-,36,-,-,-,-,-,-,-,-,-,-,-,-,-
16,臺北市,2016/03/30,松山,4.8,0.92,453.26,14.4,75,-,63.81,19.72,44.09,2.408,0.345,2.063,1.05,0.75,19.24,-,-,69.54,-
17,臺北市,2016/03/30,古亭,-,-,-,-,-,41,-,-,-,-,-,-,-,-,-,-,-,-,-
18,臺北市,2016/03/30,古亭,4.6,0.9,-,21.6,-,-,53.21,11.84,41.37,2.413,0.305,2.108,1.17,0.9,19.73,-,-,71.81,-
19,臺北市,2016/03/30,中山,-,-,-,-,-,40,-,-,-,-,-,-,-,-,-,-,-,-,-
20,臺北市,2016/03/30,中山,4.5,1.26,-,13.3,74,-,84.85,31.86,52.99,2.6,0.45,2.149,1.24,0.67,20.49,-,-,69.09,-
21,臺北市,2016/03/30,大同,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-
22,臺北市,2016/03/30,大同,5.4,2.08,-,-,82,-,113.57,57.43,56.14,3.106,0.687,2.419,-,-,-,-,-,-,-
23,臺北市,2016/03/30,萬華,-,-,-,-,-,38,-,-,-,-,-,-,-,-,-,-,-,-,-
24,臺北市,2016/03/30,萬華,3.3,1,-,20.1,66,-,55.34,11.8,43.54,-,-,-,1.11,0.77,20.55,-,-,67.25,-
25,臺北市,2016/03/30,陽明,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,-,-
26,臺北市,2016/03/30,陽明,3.5,0.26,416.82,59.1,33,-,5.75,0.68,5.04,-,-,-,-,-,12.14,0,0,76.23,0
27,臺北市,2016/03/30,士林,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-
