序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/09/30,松山,-,0.46,437.15,39.7,45,20,23.91,6.4,17.51,2.088,0.189,1.899,1.78,1.47,23.78,-,-,64.33,-
2,臺北市,2018/09/30,古亭,0.6,0.39,-,44.1,-,21,16.46,2.49,13.97,2.103,0.111,1.991,2.14,1.81,24.17,-,-,62.3,-
3,臺北市,2018/09/30,中山,1,0.6,-,34.4,48,22,30.36,5.06,25.3,2.163,0.181,1.983,1.49,0.98,24.56,-,-,66.55,-
4,臺北市,2018/09/30,大同,2,0.84,-,-,59,19,55.54,21.32,34.22,2.358,0.246,2.112,-,-,-,-,-,-,-
5,臺北市,2018/09/30,萬華,0.8,0.42,-,40.8,43,23,22.63,3.35,19.28,-,-,-,1.74,1.48,25.07,-,-,60.73,-
6,臺北市,2018/09/30,陽明,1.7,0.2,412.4,65.9,26,19,1.87,0.25,1.53,-,-,-,4.32,-,17.43,0,0,89.36,0
7,臺北市,2018/09/30,士林,1.9,0.45,-,45.8,45,22,18.45,4.31,14.16,-,-,-,1.68,1.61,24.55,-,-,67.83,-
8,臺北市,2018/09/29,松山,2.8,0.62,433.15,23.6,41,13,40.15,13.74,26.42,2.095,0.227,1.868,1.63,1.25,23.72,-,-,74.55,-
9,臺北市,2018/09/29,古亭,3.2,0.49,-,23.9,41,14,32.84,7.83,25.01,2.158,0.187,1.97,1.61,1.31,23.4,-,-,75.32,-
10,臺北市,2018/09/29,中山,2.2,0.58,-,28.1,37,13,29.53,5.06,24.47,2.07,0.178,1.893,1.53,1.11,24.1,-,-,75.96,-
11,臺北市,2018/09/29,大同,3.2,1.5,-,-,55,15,91.26,54.09,37.21,2.431,0.438,1.993,-,-,-,-,-,-,-
12,臺北市,2018/09/29,萬華,2.9,0.53,-,28.1,41,14,27.87,3.7,24.16,-,-,-,1.55,1.23,24.52,-,-,71.41,-
13,臺北市,2018/09/29,陽明,1.7,0.15,410.54,54.9,14,9,1.54,0.25,1.34,-,-,-,7.86,-,16.96,4.13,4.27,98.01,90.91
14,臺北市,2018/09/29,士林,1.1,0.34,-,37.9,39,15,15.79,1.38,14.41,-,-,-,1.89,1.83,24.18,-,-,75.99,-
15,臺北市,2018/09/28,松山,1.8,0.24,409.69,36.2,28,9,11.14,2.17,8.97,1.724,0.039,1.686,1.84,1.16,25.3,-,-,79.61,-
16,臺北市,2018/09/28,古亭,1.5,0.44,-,23.1,30,13,26.58,6.3,20.28,2.087,0.161,1.926,1.56,8.76,25.03,-,-,80.94,-
17,臺北市,2018/09/28,中山,1.9,0.43,-,27.4,29,13,23.51,6.25,17.27,1.935,0.128,1.808,1.96,1.39,25.48,-,-,84.27,-
18,臺北市,2018/09/28,大同,2.6,1.15,-,-,45,13,54.29,27.49,26.81,2.334,0.328,2.006,-,-,-,-,-,-,-
19,臺北市,2018/09/28,萬華,2.7,0.48,-,25,32,8,23.33,3.13,20.21,-,-,-,1.34,0.74,25.86,-,-,81.68,-
20,臺北市,2018/09/28,陽明,1.9,0.09,406.62,44.9,5,1,1.31,0.25,1.1,-,-,-,8.25,-,19.47,4.5,4.25,99.5,95.33
21,臺北市,2018/09/28,士林,1.8,0.18,-,39.6,30,8,9.06,2.87,6.19,-,-,-,2.54,1.48,25.87,-,-,81.79,-
22,臺北市,2018/09/27,松山,0.9,0.25,413.53,32.6,34,8,12.19,2.36,9.83,1.781,0.064,1.717,2.07,1.6,25.43,-,-,79.81,-
23,臺北市,2018/09/27,古亭,1.3,0.4,-,25.9,29,15,21.17,4.6,16.57,2.029,0.118,1.912,1.52,1.13,25.57,-,-,76.88,-
