序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2018/05/07,松山,4.8,0.54,453.43,19.1,34,17,33.82,9.83,23.99,2.051,0.205,1.845,1.26,0.94,28.06,-,-,73.49,-
2,臺北市,2018/05/07,古亭,3.2,0.55,-,20.9,34,15,28.35,6.67,21.68,2.077,0.169,1.908,1.42,1.16,28.68,-,-,69.3,-
3,臺北市,2018/05/07,中山,5,0.7,-,10.3,36,17,39.82,11.37,28.46,2.207,0.224,1.983,1.54,1.14,28.96,-,-,73.53,-
4,臺北市,2018/05/07,大同,5.4,1.48,-,-,52,18,76.17,40.6,35.57,2.503,0.481,2.023,-,-,-,-,-,-,-
5,臺北市,2018/05/07,萬華,3.2,0.61,-,16.2,32,17,31.7,7.96,23.74,-,-,-,1.42,1.07,29.33,-,-,70.13,-
6,臺北市,2018/05/07,陽明,1.8,0.18,422.03,28.2,19,13,15.11,1.69,13.43,-,-,-,1.76,-,22.27,0,0,89.91,0
7,臺北市,2018/05/07,士林,3.4,0.49,-,20.3,38,19,22.91,3.31,19.6,-,-,-,1.42,1.05,29.45,-,-,75.27,-
8,臺北市,2018/05/06,松山,5,0.51,450.54,39.2,40,21,22.85,3.17,19.68,2.025,0.155,1.87,1.4,1.05,27.45,-,-,67.13,-
9,臺北市,2018/05/06,古亭,3.2,0.51,-,38.3,41,18,21.06,2.36,18.69,2.089,0.13,1.958,1.49,1.15,27.83,-,-,65.86,-
10,臺北市,2018/05/06,中山,2.7,0.59,-,30.3,44,21,25.64,4.49,21.15,2.134,0.161,1.973,1.63,1.12,28.11,-,-,70.23,-
11,臺北市,2018/05/06,大同,4,1.06,-,-,57,19,50.88,20.57,30.32,2.383,0.288,2.095,-,-,-,-,-,-,-
12,臺北市,2018/05/06,萬華,2.9,0.53,-,30.2,38,18,24.6,3.47,21.14,-,-,-,1.48,1.08,28.23,-,-,67.88,-
13,臺北市,2018/05/06,陽明,2.8,0.23,425.8,41.2,20,15,6.12,1.62,4.45,-,-,-,1.88,-,21.4,0,0,88.64,0
14,臺北市,2018/05/06,士林,3.1,0.35,-,29.4,33,19,14.48,2.18,12.3,-,-,-,1.37,1.22,28.31,-,-,74.19,-
15,臺北市,2018/05/05,松山,2,0.38,429.22,42.4,27,11,15.51,2.17,13.34,1.874,0.085,1.788,1.15,0.86,26.48,-,-,62.45,-
16,臺北市,2018/05/05,古亭,2,0.43,-,50,32,17,17.86,2.26,15.61,2.028,0.106,1.922,1.38,1.21,26.8,-,-,60.98,-
17,臺北市,2018/05/05,中山,1.9,0.6,-,41.7,42,20,29.03,2.89,26.18,2.129,0.163,1.965,1.3,0.98,26.87,-,-,66.89,-
18,臺北市,2018/05/05,大同,2.3,1.07,-,-,54,19,54.6,20.83,33.78,2.343,0.306,2.037,-,-,-,-,-,-,-
19,臺北市,2018/05/05,萬華,2,0.5,-,48.1,42,18,21.98,2.09,19.89,-,-,-,1.28,0.89,27.11,-,-,63.2,-
20,臺北市,2018/05/05,陽明,1,0.27,422.32,55.9,22,17,4.1,0.49,3.52,-,-,-,1.44,-,19.9,0,0,89.93,0
21,臺北市,2018/05/05,士林,2.6,0.36,-,46.5,35,19,13.88,1.83,12.05,-,-,-,1.61,1.39,26.98,-,-,71.07,-
22,臺北市,2018/05/04,松山,2.2,0.31,425.63,46.8,32,11,16.79,3.03,13.76,1.802,0.063,1.738,2.15,1.54,23.97,-,-,58.6,-
23,臺北市,2018/05/04,古亭,1.3,0.26,-,51.1,31,10,12.27,1.53,10.74,1.896,0.05,1.846,3.39,3.09,24.31,-,-,56.75,-
