序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2000/01/31,松山,1.1,0.74,22.4,-,25,-,58.49,23.72,34.76,-,-,-,11.27,-,-,44.0,-
2,臺北市,2000/01/31,古亭,1.7,0.64,22.0,-,27,12,34.6,10.18,24.42,2.34,0.29,2.05,11.99,-,-,32.0,-
3,臺北市,2000/01/31,中山,1.9,0.81,16.5,-,30,-,45.55,16.34,29.21,-,-,-,12.32,-,-,32.0,-
4,臺北市,2000/01/31,大同,5.4,3.54,-,-,56,-,214.91,166.78,48.13,-,-,-,13.21,-,-,57.0,-
5,臺北市,2000/01/31,萬華,2.0,0.75,18.3,-,27,-,34.03,6.52,27.51,-,-,-,11.7,-,-,32.0,-
6,臺北市,2000/01/31,陽明,0.4,0.21,50.9,-,12,-,-,-,-,-,-,-,5.67,-,100.0,66.0,-
7,臺北市,2000/01/31,士林,-,0.37,31.6,-,13,-,13.11,2.08,11.03,-,-,-,12.66,-,-,34.0,-
8,臺北市,2000/01/30,松山,0.3,0.44,36.1,-,31,-,23.76,4.12,19.65,-,-,-,13.17,-,-,38.0,-
9,臺北市,2000/01/30,古亭,1.1,0.7,19.8,-,34,18,35.23,7.98,27.25,2.335,0.26,2.08,13.65,-,-,34.0,-
10,臺北市,2000/01/30,中山,0.7,0.75,18.0,-,28,-,34.98,7.73,27.25,-,-,-,14.14,-,-,30.0,-
11,臺北市,2000/01/30,大同,4.3,2.77,-,-,48,-,181.97,132.56,49.41,-,-,-,14.85,-,-,48.0,-
12,臺北市,2000/01/30,萬華,1.0,0.65,21.9,-,30,-,26.84,3.27,23.57,-,-,-,13.3,-,-,30.0,-
13,臺北市,2000/01/30,陽明,1.4,0.28,47.7,-,12,-,-,-,-,-,-,-,7.46,-,100.0,47.0,-
14,臺北市,2000/01/30,士林,0.4,0.41,31.6,-,14,-,12.36,1.34,11.02,-,-,-,14.38,-,-,35.0,-
15,臺北市,2000/01/29,松山,4.4,0.65,25.3,-,30,-,52.36,21.41,30.95,-,-,-,17.18,-,-,34.0,-
16,臺北市,2000/01/29,古亭,1.4,0.71,19.3,-,22,11,43.36,13.63,29.73,2.338,0.25,2.09,17.91,-,-,28.0,-
17,臺北市,2000/01/29,中山,3.1,0.76,14.5,-,27,-,47.7,15.98,31.72,-,-,-,17.76,-,-,27.0,-
18,臺北市,2000/01/29,大同,7.5,3.39,-,-,43,-,212.79,161.08,51.7,-,-,-,18.45,-,-,51.0,-
19,臺北市,2000/01/29,萬華,2.0,0.71,19.2,-,21,-,37.69,8.88,28.8,-,-,-,17.39,-,-,31.0,-
20,臺北市,2000/01/29,陽明,2.9,0.21,44.1,-,12,-,-,-,-,-,-,-,11.04,-,88.0,40.0,-
21,臺北市,2000/01/29,士林,1.0,0.41,27.1,-,18,-,19.52,3.18,16.34,-,-,-,17.78,-,-,29.0,-
22,臺北市,2000/01/28,松山,3.8,0.68,19.3,-,35,-,57.39,24.01,33.38,-,-,-,13.95,-,-,35.0,-
23,臺北市,2000/01/28,古亭,1.0,0.43,23.7,-,26,20,34.34,11.66,22.67,2.361,0.22,2.14,13.92,-,-,29.0,-
24,臺北市,2000/01/28,中山,3.5,0.76,18.9,-,27,-,47.93,19.56,28.37,-,-,-,14.06,-,-,28.0,-
25,臺北市,2000/01/28,大同,8.1,3.41,-,-,58,-,221.09,170.58,50.51,-,-,-,14.88,-,-,58.0,-
26,臺北市,2000/01/28,萬華,1.2,0.54,22.3,-,31,-,-,-,-,-,-,-,13.49,-,-,31.0,-
