序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2001/11/30,松山,3.5,1.32,19.6,-,89,-,64.18,26.28,37.91,-,-,-,20.93,-,-,70.0,-
2,臺北市,2001/11/30,古亭,2.6,1.07,22.8,-,52,40,46.92,14.52,32.4,2.522,0.47,2.05,21.5,-,-,51.0,-
3,臺北市,2001/11/30,中山,2.2,1.02,22.0,-,85,-,48.18,15.82,32.36,2.618,0.48,2.14,22.26,-,-,67.0,-
4,臺北市,2001/11/30,大同,5.4,3.68,-,-,81,-,160.11,101.22,58.89,3.918,1.58,2.34,22.77,-,-,66.0,-
5,臺北市,2001/11/30,萬華,2.3,1.02,27.3,-,59,-,-,-,-,-,-,-,21.69,-,-,54.0,-
6,臺北市,2001/11/30,陽明,0.9,0.38,-,-,-,-,-,-,-,-,-,-,16.18,-,87.0,49.0,-
7,臺北市,2001/11/30,士林,2.7,1.02,31.5,-,74,-,46.77,12.73,34.04,-,-,-,21.41,-,-,62.0,-
8,臺北市,2001/11/29,松山,7.6,1.83,16.3,-,93,-,125.2,67.43,57.77,-,-,-,20.88,-,-,71.0,-
9,臺北市,2001/11/29,古亭,3.5,1.53,22.6,-,59,39,80.57,28.12,52.46,2.737,0.61,2.13,21.36,-,-,61.0,-
10,臺北市,2001/11/29,中山,4.4,1.52,21.2,-,85,-,86.93,30.45,56.48,2.804,0.69,2.12,22.16,-,-,69.0,-
11,臺北市,2001/11/29,大同,6.2,3.37,-,-,97,-,165.85,99.9,65.95,4.09,1.62,2.47,22.15,-,-,73.0,-
12,臺北市,2001/11/29,萬華,3.9,1.13,35.2,-,62,-,-,-,-,-,-,-,21.52,-,-,94.0,-
13,臺北市,2001/11/29,陽明,3.3,0.31,76.4,-,25,-,7.11,0.03,7.08,-,-,-,18.31,-,63.0,99.0,-
14,臺北市,2001/11/29,士林,5.8,1.9,29.7,-,90,-,86.77,31.94,50.85,-,-,-,20.52,-,-,91.0,-
15,臺北市,2001/11/28,松山,4.1,1.12,15.2,-,73,-,90.22,44.33,45.89,-,-,-,20.54,-,-,62.0,-
16,臺北市,2001/11/28,古亭,2.5,1.17,15.7,-,52,31,69.77,31.23,38.55,2.724,0.62,2.11,21.38,-,-,51.0,-
17,臺北市,2001/11/28,中山,3.0,1.15,17.8,-,75,-,68.57,27.97,40.6,2.8,0.52,2.28,21.97,-,-,63.0,-
18,臺北市,2001/11/28,大同,5.2,3.44,-,-,86,-,199.19,140.98,58.21,4.603,1.84,2.76,22.33,-,-,68.0,-
19,臺北市,2001/11/28,萬華,2.2,0.95,18.1,-,52,-,42.3,8.26,34.04,-,-,-,21.4,-,-,51.0,-
20,臺北市,2001/11/28,陽明,1.0,0.23,52.3,-,16,-,4.07,0.09,3.98,-,-,-,16.07,-,74.0,51.0,-
21,臺北市,2001/11/28,士林,1.7,1.16,27.8,-,65,-,39.73,9.83,29.89,-,-,-,20.87,-,-,58.0,-
22,臺北市,2001/11/27,松山,4.4,0.87,16.7,-,73,-,75.67,35.16,40.51,-,-,-,19.63,-,-,61.0,-
23,臺北市,2001/11/27,古亭,0.9,0.63,26.0,-,48,28,31.54,6.64,24.9,2.303,0.27,2.03,20.87,-,-,48.0,-
24,臺北市,2001/11/27,中山,2.1,0.83,20.0,-,69,-,49.0,15.15,33.85,2.13,0.26,1.87,21.13,-,-,60.0,-
25,臺北市,2001/11/27,大同,4.3,2.98,-,-,83,-,175.18,120.55,54.63,3.938,1.66,2.27,21.69,-,-,67.0,-
26,臺北市,2001/11/27,萬華,1.7,0.82,24.8,-,62,-,29.75,6.26,23.5,-,-,-,20.67,-,-,56.0,-
27,臺北市,2001/11/27,陽明,2.1,0.29,54.0,-,24,-,1.89,0.07,1.82,-,-,-,13.32,-,88.0,47.0,-
28,臺北市,2001/11/27,士林,1.9,0.44,35.9,-,53,-,15.59,1.84,13.75,-,-,-,20.53,-,-,51.0,-
29,臺北市,2001/11/26,松山,2.9,0.71,28.0,-,69,-,45.67,14.53,31.13,-,-,-,19.61,-,-,60.0,-
30,臺北市,2001/11/26,古亭,2.3,0.71,29.1,-,64,37,32.85,5.84,27.01,2.301,0.28,2.02,20.09,-,-,57.0,-
31,臺北市,2001/11/26,中山,2.0,0.71,28.0,-,86,-,35.43,9.0,26.42,2.047,0.16,1.89,20.65,-,-,68.0,-
32,臺北市,2001/11/26,大同,4.2,2.82,-,-,94,-,159.43,111.46,47.97,3.668,1.5,2.17,21.22,-,-,72.0,-
33,臺北市,2001/11/26,萬華,2.3,0.73,30.2,-,58,-,22.79,2.71,20.08,-,-,-,19.94,-,-,54.0,-
34,臺北市,2001/11/26,陽明,1.0,0.26,55.4,-,29,-,1.29,0.05,1.24,-,-,-,12.9,-,89.0,62.0,-
35,臺北市,2001/11/26,士林,1.4,0.45,38.5,-,65,-,11.99,1.3,10.69,-,-,-,19.67,-,-,57.0,-
36,臺北市,2001/11/25,松山,4.4,1.25,30.6,-,96,-,63.34,35.85,27.49,-,-,-,19.05,-,-,73.0,-
37,臺北市,2001/11/25,古亭,3.8,0.98,28.5,-,74,46,38.07,8.06,30.02,2.362,0.38,1.98,19.44,-,-,62.0,-
38,臺北市,2001/11/25,中山,3.4,1.25,29.8,-,113,-,57.26,24.08,33.18,2.372,0.33,2.05,20.3,-,-,81.0,-
39,臺北市,2001/11/25,大同,6.5,2.75,-,-,119,-,170.52,108.71,61.82,3.577,1.09,2.48,20.64,-,-,84.0,-
40,臺北市,2001/11/25,萬華,3.1,0.95,31.7,-,70,-,24.67,1.6,23.07,-,-,-,19.52,-,-,60.0,-
41,臺北市,2001/11/25,陽明,2.8,0.46,67.8,-,50,-,2.44,0.08,2.36,-,-,-,13.7,-,86.0,83.0,-
42,臺北市,2001/11/25,士林,4.9,1.08,35.8,-,97,-,46.11,20.38,25.73,-,-,-,18.63,-,-,74.0,-
43,臺北市,2001/11/24,松山,3.1,0.89,21.1,-,45,-,61.29,29.64,31.65,-,-,-,18.94,-,-,45.0,-
44,臺北市,2001/11/24,古亭,1.7,0.69,25.4,-,33,23,36.55,9.4,27.15,2.408,0.34,2.07,19.96,-,-,36.0,-
45,臺北市,2001/11/24,中山,1.4,0.74,22.9,-,52,-,54.99,23.02,31.98,2.344,0.33,2.02,20.23,-,-,51.0,-
46,臺北市,2001/11/24,大同,4.1,2.33,-,-,63,-,166.6,114.71,51.89,3.364,0.96,2.41,20.73,-,-,57.0,-
47,臺北市,2001/11/24,萬華,1.8,0.74,24.8,-,40,-,28.96,4.71,24.24,-,-,-,19.78,-,-,40.0,-
48,臺北市,2001/11/24,陽明,0.1,0.21,55.4,-,14,-,0.77,0.06,0.71,-,-,-,12.86,-,88.0,48.0,-
49,臺北市,2001/11/24,士林,1.1,0.64,30.2,-,33,-,30.77,10.16,20.6,-,-,-,19.03,-,-,38.0,-
50,臺北市,2001/11/23,松山,4.6,0.66,23.8,-,45,-,40.63,11.8,28.83,-,-,-,20.19,-,-,45.0,-
51,臺北市,2001/11/23,古亭,3.2,0.63,28.2,-,34,21,35.42,6.25,29.17,2.126,0.19,1.93,20.88,-,-,34.0,-
52,臺北市,2001/11/23,中山,1.8,0.69,27.2,-,54,-,38.16,7.99,30.18,2.105,0.22,1.89,21.42,-,-,52.0,-
53,臺北市,2001/11/23,大同,5.3,2.92,-,-,60,-,166.16,111.6,54.56,3.893,1.59,2.31,22.03,-,-,55.0,-
54,臺北市,2001/11/23,萬華,2.2,0.69,29.2,-,32,-,25.83,3.12,22.71,-,-,-,20.67,-,-,34.0,-
55,臺北市,2001/11/23,陽明,0.1,0.19,56.5,-,13,-,1.13,0.07,1.06,-,-,-,14.05,-,94.0,49.0,-
56,臺北市,2001/11/23,士林,1.2,0.54,31.9,-,38,-,27.77,9.08,18.7,-,-,-,20.15,-,-,38.0,-
57,臺北市,2001/11/22,松山,4.1,0.66,31.7,-,66,-,36.77,6.64,30.13,-,-,-,19.89,-,-,58.0,-
58,臺北市,2001/11/22,古亭,3.3,0.57,39.3,-,51,35,28.11,0.89,27.22,2.182,0.31,1.87,20.3,-,-,50.0,-
59,臺北市,2001/11/22,中山,3.0,0.7,34.1,-,72,-,38.91,6.8,32.11,2.155,0.19,1.96,20.86,-,-,61.0,-
60,臺北市,2001/11/22,大同,6.7,2.69,-,-,84,-,158.04,98.94,59.1,3.67,1.44,2.23,21.42,-,-,67.0,-
61,臺北市,2001/11/22,萬華,3.0,0.77,38.2,-,45,-,24.71,1.41,23.29,-,-,-,20.14,-,-,45.0,-
62,臺北市,2001/11/22,陽明,1.2,0.3,67.7,-,23,-,1.72,0.09,1.64,-,-,-,13.2,-,87.0,62.0,-
63,臺北市,2001/11/22,士林,1.5,0.42,49.8,-,53,-,10.79,0.49,10.3,-,-,-,20.0,-,-,52.0,-
64,臺北市,2001/11/21,松山,2.8,0.64,28.6,-,46,-,43.06,9.85,33.21,-,-,-,18.95,-,-,46.0,-
65,臺北市,2001/11/21,古亭,2.4,0.58,34.1,-,36,27,33.83,2.54,31.29,2.27,0.31,1.96,19.35,-,-,37.0,-
66,臺北市,2001/11/21,中山,1.7,0.63,32.6,-,48,-,37.35,6.84,30.51,2.14,0.22,1.92,19.97,-,-,48.0,-
67,臺北市,2001/11/21,大同,5.5,3.17,-,-,63,-,157.26,101.71,55.56,3.545,1.34,2.21,20.48,-,-,57.0,-
68,臺北市,2001/11/21,萬華,2.2,0.71,32.9,-,40,-,26.76,1.66,25.09,-,-,-,19.08,-,-,40.0,-
69,臺北市,2001/11/21,陽明,1.2,0.25,64.5,-,15,-,1.65,0.07,1.58,-,-,-,12.27,-,86.0,58.0,-
70,臺北市,2001/11/21,士林,1.6,0.36,45.3,-,37,-,11.58,1.36,10.22,-,-,-,19.15,-,-,42.0,-
