序號,縣市,監測日期,測站,"二氧化硫 SO2 (ppb)","一氧化碳 CO (ppm)","二氧化碳 CO2 (ppm)","臭氧 O3 (ppb)","臭氧8小時最大值 O3_Max_8_HR (ppb)","懸浮微粒 PM 10  (μg/m 3 )","細懸浮微粒 PM 2.5  (μg/m 3 )","氮氧化物 NOx (ppb)","一氧化氮 NO (ppb)","二氧化氮 NO2 (ppb)","總碳氫化合物 THC (ppmC)","非甲烷碳氫化合物 NMHC (ppm)","甲烷 CH4 (ppm)","大氣溫度 AMB_TEMP (℃)","降雨量 RAINFALL (mm)","相對濕度 RH (percent)","空氣污染指標PSI PSI","紫外線指數 UVB (UVI)"
1,臺北市,2006/06/30,松山,3.8,0.45,399.69,23.8,48,38,19.0,26.26,8.52,17.74,-,-,-,31.62,-,60.17,46.0,-
2,臺北市,2006/06/30,古亭,4.4,0.66,-,23.0,52,41,20.0,33.09,13.9,19.18,2.112,0.249,1.86,32.12,-,63.27,56.0,-
3,臺北市,2006/06/30,中山,3.5,0.73,-,18.6,40,47,22.0,38.48,15.31,23.17,2.298,0.312,1.99,31.44,-,61.25,47.0,-
4,臺北市,2006/06/30,萬華,3.3,0.53,-,29.5,61,35,21.0,24.54,6.68,17.86,-,-,-,32.33,-,63.03,66.0,-
5,臺北市,2006/06/30,陽明,-,-,-,-,45,-,-,-,-,-,-,-,-,-,-,76.0,45.0,-
6,臺北市,2006/06/30,士林,3.3,0.4,-,23.6,50,44,17.0,19.37,4.26,15.11,-,-,-,31.23,-,66.06,52.0,-
7,臺北市,2006/06/29,松山,4.1,0.41,399.21,22.2,41,39,23.0,24.01,7.67,16.34,-,-,-,30.68,-,63.88,49.0,-
8,臺北市,2006/06/29,古亭,3.9,0.57,-,21.8,42,46,25.0,29.14,10.77,18.37,2.058,0.189,1.87,31.06,-,67.24,51.0,-
9,臺北市,2006/06/29,中山,4.3,0.78,-,15.6,30,49,27.0,40.9,15.81,25.1,2.346,0.327,2.02,30.86,-,63.55,49.0,-
10,臺北市,2006/06/29,萬華,4.2,0.56,-,27.6,50,41,27.0,25.68,5.92,19.76,-,-,-,31.67,-,66.09,49.0,-
11,臺北市,2006/06/29,陽明,2.5,0.1,388.23,33.2,50,17,13.0,5.74,1.57,4.17,-,-,-,23.77,-,81.0,54.0,-
12,臺北市,2006/06/29,士林,4.6,0.41,-,22.4,40,48,21.0,21.14,4.27,16.87,-,-,-,30.79,-,67.9,48.0,-
13,臺北市,2006/06/28,松山,9.6,0.6,411.02,21.8,42,49,29.0,38.09,10.41,27.69,-,-,-,30.35,-,63.93,50.0,-
14,臺北市,2006/06/28,古亭,5.9,0.82,-,23.3,52,60,29.0,39.15,12.6,26.55,2.149,0.277,1.87,29.9,-,69.7,77.0,-
15,臺北市,2006/06/28,中山,7.7,0.89,-,19.3,39,51,31.0,47.26,14.47,32.79,2.355,0.373,1.98,30.43,-,63.38,60.0,-
16,臺北市,2006/06/28,萬華,6.3,0.74,-,33.7,65,44,27.0,30.79,5.79,25.01,-,-,-,30.9,-,66.95,84.0,-
17,臺北市,2006/06/28,陽明,4.2,0.15,392.29,41.9,51,23,18.0,5.62,1.33,4.29,-,-,-,23.5,-,79.0,48.0,-
18,臺北市,2006/06/28,士林,4.7,0.61,-,28.8,62,59,29.0,29.03,4.71,24.32,-,-,-,30.36,-,66.95,69.0,-
19,臺北市,2006/06/27,松山,6.6,0.58,409.92,25.8,53,46,29.0,36.84,10.26,26.58,-,-,-,30.32,-,64.45,57.0,-
20,臺北市,2006/06/27,古亭,4.5,0.66,-,24.1,52,45,28.0,32.96,12.28,20.69,2.093,0.239,1.86,30.23,-,69.63,61.0,-
21,臺北市,2006/06/27,中山,5.7,0.83,-,20.0,42,56,33.0,44.07,12.95,31.12,2.376,0.394,1.98,30.57,-,64.12,53.0,-
22,臺北市,2006/06/27,萬華,5.3,0.74,-,30.9,68,45,33.0,34.97,11.44,23.53,-,-,-,31.24,-,66.8,67.0,-
23,臺北市,2006/06/27,陽明,4.8,0.17,392.38,36.8,57,23,18.0,7.67,1.21,6.46,-,-,-,24.12,-,80.0,58.0,-
24,臺北市,2006/06/27,士林,5.2,0.59,-,28.7,62,56,28.0,30.14,6.3,23.84,-,-,-,30.24,-,68.47,69.0,-
25,臺北市,2006/06/26,松山,7.7,0.65,416.46,31.1,70,47,33.0,34.4,8.74,25.66,-,-,-,30.28,-,67.43,76.0,-
26,臺北市,2006/06/26,古亭,6.3,0.68,-,25.0,54,50,30.0,34.04,10.26,23.78,2.186,0.264,1.92,30.77,-,70.29,67.0,-
27,臺北市,2006/06/26,中山,6.1,0.89,-,19.7,41,49,28.0,47.62,19.58,28.04,2.485,0.439,2.05,30.85,-,64.75,56.0,-
28,臺北市,2006/06/26,萬華,5.0,0.72,-,26.2,49,44,31.0,30.66,6.85,23.81,-,-,-,31.28,-,69.43,65.0,-
29,臺北市,2006/06/26,陽明,2.5,0.13,388.77,28.9,44,18,14.0,4.93,1.02,3.92,-,-,-,24.32,-,76.0,59.0,-
30,臺北市,2006/06/26,士林,4.0,0.54,-,25.1,54,47,23.0,26.81,8.66,18.15,-,-,-,30.38,-,67.97,84.0,-
31,臺北市,2006/06/25,松山,7.3,0.62,415.01,28.1,67,46,30.0,35.83,10.16,25.68,-,-,-,29.41,-,71.07,80.0,-
32,臺北市,2006/06/25,古亭,5.3,0.69,-,27.1,62,45,28.0,33.9,8.85,25.04,2.147,0.244,1.9,29.39,-,75.8,83.0,-
33,臺北市,2006/06/25,中山,5.1,0.76,-,19.1,41,48,26.0,43.91,14.83,29.08,2.263,0.313,1.95,29.67,-,70.2,59.0,-
34,臺北市,2006/06/25,萬華,5.4,0.66,-,31.6,63,35,27.0,28.81,8.19,20.61,-,-,-,30.27,-,72.89,85.0,-
35,臺北市,2006/06/25,陽明,2.4,0.1,386.65,35.9,45,21,17.0,5.74,1.38,4.36,-,-,-,24.11,-,80.0,48.0,-
36,臺北市,2006/06/25,士林,6.0,0.56,-,23.0,51,49,23.0,30.48,8.44,22.04,-,-,-,29.55,-,73.55,70.0,-
37,臺北市,2006/06/24,松山,5.6,0.64,415.03,28.8,63,52,36.0,38.73,10.39,28.34,-,-,-,29.69,-,69.78,81.0,-
38,臺北市,2006/06/24,古亭,3.7,0.75,-,21.1,43,49,29.0,36.12,10.2,25.91,2.175,0.285,1.89,29.43,-,73.2,56.0,-
39,臺北市,2006/06/24,中山,5.6,0.86,-,15.6,27,58,31.0,46.87,13.41,33.46,-,-,-,29.8,-,68.85,54.0,-
40,臺北市,2006/06/24,萬華,3.7,0.76,-,24.3,41,45,30.0,36.32,9.74,26.58,-,-,-,30.45,-,71.61,52.0,-
41,臺北市,2006/06/24,陽明,2.3,0.08,385.68,39.7,53,23,19.0,6.68,1.61,5.07,-,-,-,23.31,-,82.0,47.0,-
42,臺北市,2006/06/24,士林,5.0,0.72,-,20.0,38,59,29.0,38.69,10.07,28.62,-,-,-,29.65,-,72.76,54.0,-
43,臺北市,2006/06/23,松山,4.9,0.67,415.79,30.6,63,51,31.0,37.83,7.21,30.62,-,-,-,30.07,-,65.3,70.0,-
44,臺北市,2006/06/23,古亭,5.1,0.76,-,32.4,67,53,28.0,36.04,9.69,26.35,2.198,0.31,1.89,30.81,-,66.13,68.0,-
45,臺北市,2006/06/23,中山,5.1,0.88,-,21.0,43,56,28.0,54.71,19.35,35.37,-,-,-,30.36,-,63.78,53.0,-
46,臺北市,2006/06/23,萬華,4.5,0.6,-,38.1,73,44,27.0,27.2,6.13,21.07,-,-,-,31.58,-,63.68,78.0,-
47,臺北市,2006/06/23,陽明,3.6,0.2,389.1,40.4,58,24,18.0,8.72,1.84,6.88,-,-,-,23.66,-,80.0,55.0,-
48,臺北市,2006/06/23,士林,4.9,0.54,-,29.9,63,60,23.0,29.74,6.58,23.16,-,-,-,30.46,-,67.28,82.0,-
49,臺北市,2006/06/22,松山,6.8,0.83,422.53,35.9,80,65,45.0,50.61,10.5,40.1,-,-,-,28.98,-,68.19,151.0,-
50,臺北市,2006/06/22,古亭,4.2,0.88,-,36.8,86,56,35.0,40.68,10.81,29.88,2.235,0.35,1.89,28.7,-,73.66,123.0,-
51,臺北市,2006/06/22,中山,4.9,0.86,-,34.9,74,60,38.0,41.83,6.48,35.34,2.363,0.382,1.98,29.29,-,66.73,95.0,-
52,臺北市,2006/06/22,萬華,3.4,0.8,-,44.4,91,59,43.0,28.26,4.54,23.72,-,-,-,29.81,-,70.54,110.0,-
53,臺北市,2006/06/22,陽明,5.2,0.16,384.57,42.9,56,21,18.0,7.14,2.48,4.66,-,-,-,23.91,-,75.0,56.0,-
54,臺北市,2006/06/22,士林,4.5,0.76,-,37.8,76,73,43.0,35.39,3.28,32.11,-,-,-,29.5,-,69.46,93.0,-
55,臺北市,2006/06/21,松山,4.8,0.51,406.94,32.1,58,43,27.0,31.32,9.91,21.41,-,-,-,29.67,-,63.0,63.0,-
56,臺北市,2006/06/21,古亭,4.0,0.62,-,40.4,84,48,28.0,29.76,8.9,20.86,2.123,0.241,1.88,30.52,-,63.61,101.0,-
57,臺北市,2006/06/21,中山,4.8,0.95,-,34.2,78,55,31.0,49.64,16.02,33.62,2.325,0.365,1.96,29.85,-,62.36,82.0,-
58,臺北市,2006/06/21,萬華,3.6,0.57,-,42.1,94,44,31.0,24.1,5.33,18.77,-,-,-,30.77,-,63.83,111.0,-
59,臺北市,2006/06/21,陽明,5.3,0.23,392.21,55.3,70,29,25.0,6.92,1.8,5.12,-,-,-,23.42,-,80.0,82.0,-
60,臺北市,2006/06/21,士林,4.7,0.65,-,46.5,93,62,35.0,29.08,5.07,24.02,-,-,-,29.32,-,68.56,127.0,-
61,臺北市,2006/06/20,松山,4.2,0.57,408.94,14.9,30,40,22.0,36.46,16.05,20.41,-,-,-,28.94,-,66.74,40.0,-
62,臺北市,2006/06/20,古亭,3.7,0.69,-,16.0,32,42,22.0,37.07,16.18,20.9,2.155,0.288,1.87,28.75,-,71.48,42.0,-
63,臺北市,2006/06/20,中山,5.5,0.82,-,14.4,29,44,26.0,47.28,18.49,28.78,2.482,0.451,2.03,29.22,-,66.27,44.0,-
64,臺北市,2006/06/20,萬華,4.4,0.75,-,21.4,39,38,29.0,34.92,11.11,23.81,-,-,-,30.05,-,69.38,39.0,-
65,臺北市,2006/06/20,陽明,2.8,0.13,387.55,33.1,39,12,10.0,5.3,1.85,3.44,-,-,-,22.64,-,84.0,40.0,-
66,臺北市,2006/06/20,士林,4.1,0.54,-,21.9,43,49,21.0,27.99,8.09,19.9,-,-,-,28.88,-,69.7,49.0,-
67,臺北市,2006/06/19,松山,4.5,0.75,414.67,24.4,48,50,32.0,44.63,10.87,33.76,-,-,-,28.18,-,70.86,81.0,-
68,臺北市,2006/06/19,古亭,3.5,0.96,-,22.6,50,48,30.0,45.1,14.91,30.19,2.336,0.392,1.94,27.96,-,75.4,70.0,-
69,臺北市,2006/06/19,中山,4.3,1.03,-,16.3,31,51,33.0,56.88,17.62,39.26,2.342,0.396,1.95,28.75,-,69.2,50.0,-
70,臺北市,2006/06/19,萬華,3.2,0.85,-,22.8,51,42,30.0,38.2,8.59,29.6,-,-,-,29.31,-,72.11,54.0,-
71,臺北市,2006/06/19,陽明,2.8,0.18,388.9,43.4,57,20,17.0,6.06,1.84,4.21,-,-,-,22.44,-,86.0,52.0,-
72,臺北市,2006/06/19,士林,3.6,0.58,-,24.1,39,50,27.0,26.97,3.4,23.58,-,-,-,28.11,-,74.92,50.0,-
73,臺北市,2006/06/18,松山,4.5,0.63,412.82,19.2,35,46,31.0,36.68,11.42,25.26,-,-,-,29.18,-,67.47,58.0,-
