序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2015/09/30,松山,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-
2,臺北市,2015/09/30,松山,3.9,0.67,449.39,28.2,36,-,29.93,8.05,21.88,2.109,0.24,1.869,1.4,0.94,29.75,-,-,70.02,-
3,臺北市,2015/09/30,古亭,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-
4,臺北市,2015/09/30,古亭,2.3,0.88,-,16.9,53,-,34.35,10.64,23.71,2.35,0.286,2.064,1.66,1.31,29.22,-,-,79.68,-
5,臺北市,2015/09/30,中山,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-
6,臺北市,2015/09/30,中山,4.1,1.07,-,20.8,43,-,45.27,15.27,30,2.401,0.339,2.062,1.37,0.65,30.43,-,-,72.39,-
7,臺北市,2015/09/30,大同,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-
8,臺北市,2015/09/30,大同,4.2,2.11,-,-,57,-,69.51,35.05,34.46,2.902,0.676,2.226,-,-,-,-,-,-,-
9,臺北市,2015/09/30,萬華,-,-,-,-,-,24,-,-,-,-,-,-,-,-,-,-,-,-,-
10,臺北市,2015/09/30,萬華,3.6,1.07,-,21.5,41,-,40.96,10.36,30.59,-,-,-,1.08,0.65,30.57,-,-,73.67,-
11,臺北市,2015/09/30,陽明,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
12,臺北市,2015/09/30,陽明,1.8,0.25,-,37.6,-,-,3.3,0.72,2.58,-,-,-,-,-,23.87,0,0,94.22,0
13,臺北市,2015/09/30,士林,-,-,-,-,-,20,-,-,-,-,-,-,-,-,-,-,-,-,-
14,臺北市,2015/09/30,士林,8.5,0.56,-,15.9,37,-,18.6,4.03,14.56,-,-,-,1.4,1.12,29.66,-,-,72.73,-
15,臺北市,2015/09/29,松山,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-
16,臺北市,2015/09/29,松山,1.1,0.37,427.91,37.5,31,-,11.26,2.59,8.67,1.811,0.071,1.74,2.92,1.71,29.5,-,-,72.7,-
17,臺北市,2015/09/29,古亭,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
18,臺北市,2015/09/29,古亭,2,0.71,-,23.3,43,-,25.22,5.7,19.51,2.234,0.229,2.005,3.65,3.3,29.02,-,-,81.6,-
19,臺北市,2015/09/29,中山,-,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-
20,臺北市,2015/09/29,中山,1.8,0.67,-,26.1,35,-,24.7,7.23,17.47,2.095,0.187,1.908,3.38,2.92,30,-,-,75.17,-
21,臺北市,2015/09/29,大同,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-
22,臺北市,2015/09/29,大同,2.5,1.44,-,-,46,-,52.44,29.08,23.37,2.462,0.424,2.038,-,-,-,-,-,-,-
23,臺北市,2015/09/29,萬華,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-
24,臺北市,2015/09/29,萬華,2.8,0.71,-,26.7,31,-,24.38,5.71,18.68,-,-,-,2.31,2.01,30.33,-,-,75.29,-
25,臺北市,2015/09/29,陽明,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
26,臺北市,2015/09/29,陽明,1.4,0.23,397.86,38.3,-,-,2.3,1.12,1.17,-,-,-,-,-,23.22,2.5,5.67,100,6.78
27,臺北市,2015/09/29,士林,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-
