序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/04/30,松山,1.8,0.52,449.84,44.8,34,20,24.97,3,21.97,2.134,0.191,1.943,1.29,0.74,23.85,-,-,59.13,-
2,臺北市,2017/04/30,古亭,1.8,0.43,-,53.2,29,16,18.09,1.9,16.18,2.089,0.113,1.976,1.64,1.14,23.88,-,-,59.27,-
3,臺北市,2017/04/30,中山,3.5,0.52,-,47.3,35,19,24.19,2.87,21.32,2.052,0.144,1.908,1.69,1.13,24.49,-,-,57.32,-
4,臺北市,2017/04/30,大同,2.7,1.18,-,-,51,16,65.04,29.26,35.78,2.4,0.326,2.074,-,-,-,-,-,-,-
5,臺北市,2017/04/30,萬華,1.7,0.46,-,51.2,34,15,20.36,1.9,18.45,-,-,-,1.44,1,24.54,-,-,57.68,-
6,臺北市,2017/04/30,陽明,3.1,0.22,427.95,72.9,24,18,4.87,0.56,4.26,-,-,-,-,-,17.59,0,0,72.19,0
7,臺北市,2017/04/30,士林,3.2,0.39,-,51,35,17,17.08,1.69,15.39,-,-,-,1.93,1.66,23.44,-,-,64.29,-
8,臺北市,2017/04/29,松山,5.1,0.42,445.8,38.9,29,13,28.05,3.59,24.46,2.024,0.138,1.886,1.95,1.57,20.97,-,-,51.32,-
9,臺北市,2017/04/29,古亭,3.5,0.42,-,45,20,11,24.49,3.2,21.29,2.085,0.123,1.963,1.98,1.53,21.46,-,-,51.57,-
10,臺北市,2017/04/29,中山,2.9,0.56,-,37.3,39,13,35.12,6.79,28.33,2.102,0.181,1.921,1.67,1.26,22.08,-,-,50.68,-
11,臺北市,2017/04/29,大同,3.3,0.72,-,-,44,13,64.43,23.43,41.01,2.331,0.241,2.09,-,-,-,-,-,-,-
12,臺北市,2017/04/29,萬華,3.1,0.4,-,42.3,33,9,28.08,3.91,24.17,-,-,-,2.1,1.82,22.1,-,-,48.44,-
13,臺北市,2017/04/29,陽明,3.4,0.16,423.03,70.8,20,12,3.45,0.27,3.18,-,-,-,-,-,14.75,0,0,58.52,0
14,臺北市,2017/04/29,士林,3,0.29,-,53.3,30,11,15.19,1.52,13.66,-,-,-,2.05,1.82,21.26,-,-,54.6,-
15,臺北市,2017/04/28,松山,5.1,0.45,442.95,37.8,36,15,30.56,4.47,26.07,2.024,0.142,1.883,1.94,1.5,19.44,-,-,55.18,-
16,臺北市,2017/04/28,古亭,2.7,0.41,-,47.5,32,11,24.82,4.39,20.43,2.073,0.111,1.962,2.09,1.86,19.74,-,-,54.37,-
17,臺北市,2017/04/28,中山,3.3,0.57,-,33.8,37,12,36.52,6.28,30.25,2.126,0.213,1.913,1.68,1.14,20.12,-,-,58.15,-
18,臺北市,2017/04/28,大同,3.7,0.91,-,-,43,12,71.16,30.03,41.14,2.35,0.277,2.073,-,-,-,-,-,-,-
19,臺北市,2017/04/28,萬華,3.8,0.43,-,40.5,35,10,30.98,4.84,26.12,-,-,-,2.36,1.99,20.26,-,-,52.1,-
20,臺北市,2017/04/28,陽明,1.9,0.17,424.18,67.1,19,10,3.3,0.35,2.93,-,-,-,-,-,12.27,0,0,72.83,0
21,臺北市,2017/04/28,士林,1.8,0.35,-,46.6,30,10,16.94,2.24,14.69,-,-,-,2.15,1.81,19.14,-,-,61.16,-
22,臺北市,2017/04/27,松山,2.6,0.32,430.07,42.5,25,12,21.29,1.55,19.73,1.888,0.09,1.798,1.7,1.3,17.98,-,-,83.05,-
23,臺北市,2017/04/27,古亭,2.6,0.35,-,44.4,25,14,22.72,2.89,19.83,2.006,0.09,1.916,2.23,2.13,17.89,-,-,85.26,-
