序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),風速
WIND_SPEED
(m/sec),溫度
AMB_TEMP
(℃),相對濕度
RH
(percent)
1,臺北市,2014/03/31,松山,-,-,-,-,-,33,-,-,-,-,-,-
2,臺北市,2014/03/31,松山,3.1,0.66,431.77,39.7,78,-,31.17,3.93,27.24,1.65,21.54,73.71
3,臺北市,2014/03/31,古亭,-,-,-,-,-,35,-,-,-,-,-,-
4,臺北市,2014/03/31,古亭,3,0.66,-,35.4,86,-,28.85,3.65,25.19,1.85,21.99,76.1
5,臺北市,2014/03/31,中山,-,-,-,-,-,34,-,-,-,-,-,-
6,臺北市,2014/03/31,中山,2.6,0.86,-,35,99,-,43.34,10,33.34,1.83,22.47,74.81
7,臺北市,2014/03/31,大同,-,-,-,-,-,32,-,-,-,-,-,-
8,臺北市,2014/03/31,大同,3.8,1.53,-,-,93,-,79.92,38.89,41.03,-,-,-
9,臺北市,2014/03/31,萬華,-,-,-,-,-,38,-,-,-,-,-,-
10,臺北市,2014/03/31,萬華,3.6,0.75,-,34.5,79,-,38.93,5.99,32.94,1.94,22.21,73.87
11,臺北市,2014/03/31,陽明,-,-,-,-,-,20,-,-,-,-,-,-
12,臺北市,2014/03/31,陽明,2.3,0.32,415.46,57.2,28,-,4.66,1.04,3.62,-,16.64,97.3
13,臺北市,2014/03/31,士林,-,-,-,-,-,33,-,-,-,-,-,-
14,臺北市,2014/03/31,士林,3.1,0.45,-,54.5,61,-,15.87,1.04,14.84,2.18,22.04,72.89
15,臺北市,2014/03/30,松山,-,-,-,-,-,39,-,-,-,-,-,-
16,臺北市,2014/03/30,松山,3.7,0.53,428.06,51,92,-,17.87,2.44,15.43,2.87,22.48,60.82
17,臺北市,2014/03/30,古亭,-,-,-,-,-,40,-,-,-,-,-,-
18,臺北市,2014/03/30,古亭,3.6,0.52,-,44.8,95,-,17.13,2.23,14.9,3.34,22.98,62.95
19,臺北市,2014/03/30,中山,-,-,-,-,-,36,-,-,-,-,-,-
20,臺北市,2014/03/30,中山,3.8,0.63,-,43.9,108,-,26.82,6.07,20.75,2.64,23.48,61.83
21,臺北市,2014/03/30,大同,-,-,-,-,-,33,-,-,-,-,-,-
22,臺北市,2014/03/30,大同,4.9,0.93,-,-,105,-,48.99,16.49,32.5,-,-,-
23,臺北市,2014/03/30,萬華,-,-,-,-,-,42,-,-,-,-,-,-
24,臺北市,2014/03/30,萬華,4.2,0.54,-,45.6,88,-,22.7,3.02,19.67,3.72,23.04,60.7
25,臺北市,2014/03/30,陽明,-,-,-,-,-,43,-,-,-,-,-,-
