序號,縣市,監測日期,測站,二氧化硫
SO2
(ppb),一氧化碳
CO
(ppm),二氧化碳
CO2
(ppm),臭氧
O3
(ppb),"懸浮微粒
PM 10 
(μg/m 3 )","細懸浮微粒
PM 2.5 
(μg/m 3 )",氮氧化物
NOx
(ppb),一氧化氮
NO
(ppb),二氧化氮
NO2
(ppb),總碳氫化合物
THC
(ppm),非甲烷碳氫化合物
NMHC
(ppm),甲烷
CH4
(ppm),風速
WIND_SPEED
(m/sec),小時風速值
WS_HR
(m/sec),溫度
AMB_TEMP
(℃),降雨強度
RAIN_INT
(㎜),酸雨
PH_RAIN
(pH),相對濕度
RH
(percent),導電度
RAIN_COND
(μmho/cm)
1,臺北市,2017/06/30,松山,7.4,0.65,458.73,29.6,30,28,37.8,9.04,28.76,2.08,0.273,1.807,1.43,1.1,30.04,-,-,70.79,-
2,臺北市,2017/06/30,古亭,2.9,0.61,-,32.1,37,22,28.81,4.65,24.15,2.163,0.279,1.884,1.55,1.15,29.49,-,-,74.76,-
3,臺北市,2017/06/30,中山,4.6,0.83,-,21.4,41,-,42.92,9.73,33.19,2.238,0.352,1.886,1.47,0.88,29.7,-,-,58.57,-
4,臺北市,2017/06/30,大同,4.1,1.85,-,-,60,10,69.61,33.23,36.38,2.667,0.633,2.034,-,-,-,-,-,-,-
5,臺北市,2017/06/30,陽明,1.9,0.13,417.66,38.9,23,19,4.42,0.5,3.87,-,-,-,-,-,22.5,3,4.78,89.52,15.33
6,臺北市,2017/06/30,士林,3.2,0.55,-,26,38,21,25.13,2.27,22.85,-,-,-,1.63,1.35,28.83,-,-,75.67,-
7,臺北市,2017/06/29,松山,6.6,0.43,449.2,29.1,34,26,25.82,5.11,20.71,1.923,0.161,1.762,1.67,1.23,30.65,-,-,66.84,-
8,臺北市,2017/06/29,古亭,5.1,0.5,-,32.2,38,20,25.63,4.13,21.49,2.097,0.224,1.873,1.64,1.26,30.33,-,-,69.87,-
9,臺北市,2017/06/29,中山,3.3,0.67,-,26,40,-,35.14,11.21,23.93,2.065,0.243,1.823,1.82,1.04,30.91,-,-,63.19,-
10,臺北市,2017/06/29,大同,3.9,1.15,-,-,55,9,45.14,19.91,25.23,2.448,0.376,2.072,-,-,-,-,-,-,-
11,臺北市,2017/06/29,陽明,1.7,0.15,416.25,41.7,25,23,5.65,1.16,4.49,-,-,-,-,-,21.37,0,0,91.65,0
12,臺北市,2017/06/29,士林,3.9,0.38,-,25.5,38,21,20.28,3.72,16.57,-,-,-,2.1,1.81,29.79,-,-,71.85,-
13,臺北市,2017/06/28,松山,7.8,0.39,432.21,25.7,24,16,25.82,6.37,19.45,1.878,0.137,1.741,1.5,1.11,30.52,-,-,70.36,-
14,臺北市,2017/06/28,古亭,5.3,0.46,-,32.5,29,15,24.06,5.12,18.94,2.009,0.163,1.846,1.81,1.44,30.39,-,-,71.75,-
15,臺北市,2017/06/28,中山,4.4,0.59,-,27.7,36,18,29.99,6.73,23.26,2.011,0.213,1.799,1.91,1.17,31,-,-,60.89,-
16,臺北市,2017/06/28,大同,5.4,1.57,-,-,54,10,64.21,33.5,30.71,2.43,0.491,1.939,-,-,-,-,-,-,-
17,臺北市,2017/06/28,陽明,2.1,0.16,413.27,34.1,25,22,5.01,0.82,4.17,-,-,-,-,-,23.53,0,0,91.56,0
18,臺北市,2017/06/28,士林,4.1,0.34,-,30.5,37,17,18.98,2.98,16,-,-,-,1.75,1.52,30.28,-,-,71.92,-
19,臺北市,2017/06/27,松山,2.4,0.34,417.8,18.3,23,12,22.24,6.43,15.81,1.855,0.128,1.727,1.81,1.38,30.43,-,-,70.22,-
20,臺北市,2017/06/27,古亭,2.3,0.4,-,16.2,18,10,21.6,5.94,15.67,2.004,0.156,1.847,1.69,1.37,30.4,-,-,73.16,-
21,臺北市,2017/06/27,中山,3.3,0.57,-,15.5,37,12,30.24,10.33,19.91,1.997,0.201,1.795,2.02,1.21,30.9,-,-,59.92,-
22,臺北市,2017/06/27,大同,3.8,1.06,-,-,46,6,44.95,22.8,22.15,2.272,0.34,1.932,-,-,-,-,-,-,-
23,臺北市,2017/06/27,陽明,1.4,0.09,410.64,19.1,12,8,5.08,0.93,4.15,-,-,-,-,-,21.27,0,0,94.03,0
